date,open,high,low,last,close,vol,count,value
20040223,514.14,514,507,509.46,509.46,2097500,1824,8004597000.00
20040224,534.83,535,510,510.26,510.26,1000,4,4005816.00
20040225,535.76,536,536,535.76,535.76,100000,88,401300000.00
20040228,562.46,562,544,544.17,544.17,10000,11,42129863.00
20040229,571.28,571,571,571.28,571.28,500000,219,2139500000.00
20040303,571.28,587,548,571.28,571.28,429202,335,1836768051.00
20040306,571.01,578,571,573.81,573.81,190305,146,817955258.00
20040307,568.47,570,545,550.85,550.85,43314,49,178718977.00
20040308,523.35,524,523,523.35,523.35,81506,59,319522271.00
20040309,526.02,549,526,538.83,538.83,109016,58,440021309.00
20040310,538.57,548,531,540.97,540.97,27733,31,112481697.00
20040313,544.57,546,525,535.10,535.10,15541,21,61594830.00
20040314,523.61,534,523,528.55,528.55,42112,40,166741558.00
20040315,532.56,533,521,524.82,524.82,69875,52,274714757.00
20040316,524.82,530,522,526.15,526.15,37916,39,149427377.00
20040317,524.82,525,521,523.35,523.35,21572,26,84378312.00
20040327,523.35,523,523,523.35,523.35,2532,2,9925440.00
20040328,521.61,522,519,522.15,522.15,10660,7,41511640.00
20040329,507.33,517,507,516.54,516.54,11887,11,45171290.00
20040330,510.93,511,507,508.79,508.79,27542,21,104767659.00
20040403,508.79,509,507,507.59,507.59,30741,21,116821528.00
20040404,508.66,527,507,511.87,511.87,29417,32,113238990.00
20040405,532.69,534,530,531.09,531.09,69919,41,278148146.00
20040406,540.70,558,541,555.92,555.92,42010,32,174942967.00
20040407,583.69,584,564,571.81,571.81,25966,28,113167962.00
20040410,600.38,600,580,585.03,585.03,42678,27,187032387.00
20040412,587.43,587,582,586.50,586.50,43262,23,190077037.00
20040413,585.96,586,561,582.36,582.36,34353,24,149650925.00
20040414,577.28,581,576,580.75,580.75,18697,12,81090596.00
20040417,574.88,575,552,573.81,573.81,18980,15,80422655.00
20040418,572.34,573,552,573.01,573.01,20510,16,87917277.00
20040421,571.68,572,569,570.47,570.47,30380,21,129659719.00
20040424,569.14,570,569,570.34,570.34,3940,4,16796380.00
20040426,543.51,559,542,559.26,559.26,17016,13,69223560.00
20040427,540.57,558,541,558.33,558.33,2010,2,8139820.00
20040501,530.42,556,530,556.06,556.06,3297,5,13100901.00
20040502,530.02,554,529,554.45,554.45,2435,6,9661530.00
20040504,526.82,551,527,550.72,550.72,5510,6,21744250.00
20040505,523.21,549,523,548.98,548.98,2510,3,9838620.00
20040508,521.61,522,522,521.61,521.61,96701,40,377810807.00
20040517,551.92,585,529,551.25,551.25,211308,143,872513206.00
20040518,578.75,579,551,559.53,559.53,17191,17,73633203.00
20040519,574.35,574,560,561.66,561.66,16213,14,68663343.00
20040522,574.21,590,574,587.16,587.16,55267,44,243071767.00
20040523,587.03,614,586,591.97,591.97,11340,8,51394000.00
20040524,584.36,621,566,596.24,596.24,97712,65,436466245.00
20040608,596.24,668,561,651.11,651.11,19270,13,93998250.00
20040609,654.18,654,641,651.65,651.65,60385,35,294796561.00
20040612,651.65,652,625,630.69,630.69,38573,31,181705500.00
20040613,607.32,634,601,615.07,615.07,32143,23,146983590.00
20040614,615.07,615,615,615.07,615.07,11077,17,51032816.00
20040615,613.33,614,587,609.19,609.19,35151,39,160129000.00
20040616,609.33,627,609,614.67,614.67,18158,18,84589126.00
20040619,614.67,634,615,618.00,618.00,30162,19,140659600.00
20040620,621.21,641,621,623.34,623.34,26650,19,125089710.00
20040621,640.97,654,641,641.77,641.77,105226,30,505866523.00
20040622,640.83,654,634,649.11,649.11,37704,24,183599261.00
20040623,653.65,668,627,655.52,655.52,31922,21,157254523.00
20040626,667.27,688,666,666.33,666.33,30753,18,154464070.00
20040627,694.10,700,694,698.24,698.24,118605,41,620412892.00
20040628,699.58,700,698,698.24,698.24,13315,8,69646420.00
20040629,691.30,696,680,695.84,695.84,5951,10,30394070.00
20040630,667.53,679,667,673.41,673.41,35359,25,177265862.00
20040704,639.77,664,640,664.33,664.33,11210,13,53720160.00
20040707,631.22,658,631,657.65,657.65,8408,6,39755004.00
20040711,624.81,655,625,655.39,655.39,2777,6,12998650.00
20040713,622.68,655,623,654.98,654.98,510,2,2381060.00
20040714,622.28,652,622,651.65,651.65,4268,5,19895348.00
20040717,619.07,629,619,628.82,628.82,29357,21,136129139.00
20040718,627.48,629,627,628.42,628.42,60760,27,286005070.00
20040719,626.81,631,627,627.08,627.08,39324,23,184738956.00
20040720,626.95,634,627,627.62,627.62,13196,9,62189789.00
20040724,627.22,627,627,627.48,627.48,6350,8,29832320.00
20040726,625.61,627,625,626.68,626.68,14020,18,65677228.00
20040728,626.68,641,627,628.55,628.55,8497,11,40517538.00
20040801,627.88,641,628,628.68,628.68,22705,23,106943752.00
20040802,597.31,629,597,628.02,628.02,8001,8,37507459.00
20040804,627.08,628,627,627.75,627.75,17535,23,82447092.00
20040808,624.68,627,625,626.95,626.95,53876,27,253052195.00
20040809,627.35,627,627,627.35,627.35,63018,27,296150243.00
20040810,636.69,637,629,628.95,628.95,7352,4,35061108.00
20040814,627.35,627,627,627.48,627.48,34872,12,163839750.00
20040818,596.11,627,596,626.68,626.68,909,3,4061863.00
20040821,595.44,609,595,608.66,608.66,24110,25,107546610.00
20040822,578.75,598,579,598.24,598.24,14510,10,62902310.00
20040823,578.35,597,578,597.18,597.18,2010,3,8708730.00
20040824,577.42,596,577,595.97,595.97,2310,5,9992960.00
20040829,572.08,595,572,595.31,595.31,1010,3,4329590.00
20040831,571.01,585,571,585.03,585.03,18953,17,81303457.00
20040901,578.75,585,579,584.89,584.89,810,2,3511810.00
20040904,578.75,585,579,584.63,584.63,1332,4,5774660.00
20040905,583.43,594,583,585.83,585.83,10971,58,48441730.00
20040906,587.43,614,587,595.97,595.97,20929,8,95054357.00
20040907,600.78,607,597,596.78,596.78,6486,54,29206500.00
20040908,600.78,603,598,597.84,597.84,9483,54,42758121.00
20040911,614.27,628,614,618.14,618.14,31831,59,148949863.00
20040912,648.98,649,633,632.96,632.96,20322,9,98784042.00
20040914,640.83,665,641,649.24,649.24,23250,10,115375100.00
20040915,667.53,682,668,667.93,667.93,41990,19,210159910.00
20040918,694.24,701,682,681.95,681.95,21219,83,110601767.00
20040919,691.57,693,685,684.62,684.62,10870,77,56385580.00
20040920,689.56,690,685,685.42,685.42,20310,58,104441340.00
20040921,679.55,684,678,683.82,683.82,15936,81,81342324.00
20040922,667.00,671,654,670.87,670.87,24036,93,119072656.00
20040925,667.53,669,666,669.00,669.00,18506,82,92450610.00
20040926,667.40,668,667,668.20,668.20,16297,78,81444520.00
20040927,667.40,668,667,668.07,668.07,1968,4,9838480.00
20040929,663.53,668,664,667.93,667.93,790,2,3926630.00
20041002,662.19,665,662,665.13,665.13,20918,83,103783609.00
20041003,659.92,662,660,660.46,660.46,54798,74,271130663.00
20041004,660.46,660,660,660.33,660.33,2908,6,14380314.00
20041005,659.66,660,660,659.92,659.92,28951,89,143079741.00
20041006,667.27,668,663,662.73,662.73,16085,9,80427266.00
20041009,668.34,683,667,666.87,666.87,9662,79,49266212.00
20041010,668.87,700,669,672.87,672.87,21847,126,111048964.00
20041011,672.74,707,673,678.35,678.35,10490,8,54632010.00
20041012,712.26,712,712,712.26,712.26,47039,13,250953065.00
20041013,709.99,712,692,700.91,700.91,51409,28,269944648.00
20041016,700.91,701,694,700.78,700.78,6790,5,35607490.00
20041017,700.91,701,701,700.78,700.78,11020,8,57856427.00
20041018,700.78,707,694,696.37,696.37,131271,20,684786671.00
20041019,700.91,701,697,696.91,696.91,5681,3,29824950.00
20041020,700.91,702,698,698.11,698.11,12674,9,66554898.00
20041023,698.24,710,698,704.52,704.52,57510,27,303517068.00
20041024,714.26,725,714,720.14,720.14,97170,33,524217660.00
20041025,727.61,728,721,721.34,721.34,36584,16,197757458.00
20041026,746.30,757,729,729.48,729.48,11870,10,66720140.00
20041027,730.15,730,722,728.81,728.81,61982,24,338381943.00
20041030,740.96,741,729,730.55,730.55,13520,9,74367567.00
20041031,727.61,734,728,730.95,730.95,22593,21,123773456.00
20041101,729.88,730,728,730.42,730.42,10274,11,56088508.00
20041102,724.68,730,725,730.28,730.28,796,3,4327268.00
20041207,774.34,774,755,774.21,774.21,384915,91,2232485145.00
20041211,812.79,813,813,812.79,812.79,1073542,207,6535723696.00
20041212,853.38,853,841,850.57,850.57,323376,101,2060373181.00
20041213,853.91,881,850,851.37,851.37,243932,62,1555648720.00
20041214,850.71,851,814,825.07,825.07,60364,51,373058567.00
20041215,824.81,825,801,811.99,811.99,76202,55,463484834.00
20041218,802.78,803,771,791.70,791.70,69046,42,409449856.00
20041219,774.47,786,774,780.08,780.08,148909,55,870188825.00
20041220,773.00,817,773,802.91,802.91,49263,29,296272840.00
20041221,814.53,816,809,814.53,814.53,88874,44,542297423.00
20041222,814.39,816,788,807.85,807.85,36502,33,220625826.00
20041225,807.85,814,800,802.64,802.64,45853,36,275668627.00
20041226,783.69,801,784,799.44,799.44,56186,41,336472236.00
20041227,798.77,799,781,789.29,789.29,67152,42,397040203.00
20041228,787.56,799,778,786.89,786.89,106959,51,630439310.00
20041229,781.02,801,778,786.36,786.36,75939,32,447339237.00
20050101,786.36,814,774,787.96,787.96,60975,33,359888837.00
20050102,787.96,788,784,787.29,787.29,28936,33,170629952.00
20050103,787.69,804,788,792.90,792.90,47316,41,281048285.00
20050104,800.51,814,794,803.18,803.18,267376,40,1595369338.00
20050105,802.38,808,788,795.17,795.17,53946,33,321333519.00
20050108,803.18,805,797,803.71,803.71,49829,28,299988823.00
20050109,803.58,804,800,802.91,802.91,30744,22,184887599.00
20050110,795.70,800,788,800.24,800.24,12362,17,73527150.00
20050111,793.70,794,768,788.63,788.63,23032,16,134436069.00
20050112,774.34,778,749,766.20,766.20,36749,29,210033810.00
20050115,747.64,762,734,761.79,761.79,6333,9,34971427.00
20050116,734.42,761,724,733.49,733.49,116152,36,638239704.00
20050117,720.94,745,721,725.48,725.48,42131,24,228958448.00
20050118,744.70,761,745,750.84,750.84,36473,24,206182158.00
20050119,754.31,788,754,787.29,787.29,117197,45,691118052.00
20050122,787.69,819,788,806.52,806.52,56134,37,339115406.00
20050123,806.38,819,805,810.92,810.92,77962,40,473617979.00
20050124,807.72,808,788,801.17,801.17,24599,27,146376615.00
20050125,800.77,801,781,799.44,799.44,11087,13,66010233.00
20050126,773.41,796,773,796.37,796.37,4893,5,28347521.00
20050130,767.66,790,757,790.23,790.23,7720,6,44146470.00
20050131,770.60,787,751,774.21,774.21,29674,27,170628500.00
20050201,744.43,770,744,769.93,769.93,6051,8,33766600.00
20050202,770.33,771,745,762.19,762.19,17905,11,100825399.00
20050205,759.92,761,759,760.19,760.19,50886,15,289771289.00
20050206,743.63,748,741,748.31,748.31,26926,16,149611038.00
20050207,734.42,783,729,737.23,737.23,42891,29,236850043.00
20050208,711.32,734,708,734.29,734.29,4713,7,25144050.00
20050209,734.15,734,714,729.08,729.08,63042,25,344298715.00
20050212,739.63,740,728,730.28,730.28,7160,9,39498425.00
20050213,721.20,721,708,721.47,721.47,18841,11,100314716.00
20050214,721.47,722,708,718.00,718.00,15908,13,84898686.00
20050215,718.00,718,705,715.20,715.20,12880,7,68430370.00
20050216,703.58,734,689,698.11,698.11,35904,19,187007927.00
20050221,698.11,698,698,698.11,698.11,29720,5,155405880.00
20050222,707.59,729,700,700.11,700.11,4194,3,22602520.00
20050223,720.94,734,704,704.25,704.25,6945,8,37757037.00
20050226,735.36,739,709,708.92,708.92,5933,6,32805854.00
20050227,744.30,744,729,728.95,728.95,23889,12,133180025.00
20050228,765.39,765,764,765.26,765.26,128172,65,734801924.00
20050301,774.34,775,761,765.80,765.80,41868,28,240214384.00
20050302,764.59,765,761,765.39,765.39,4972,9,28422883.00
20050305,760.59,761,734,752.04,752.04,22929,17,127274007.00
20050306,736.69,748,736,740.56,740.56,43468,20,241154605.00
20050411,734.29,734,694,734.15,734.15,47586,24,261689550.00
20050412,747.51,770,746,755.65,755.65,44272,26,250587678.00
20050413,764.06,765,761,763.53,763.53,98515,47,563408007.00
20050416,763.53,793,764,771.80,771.80,43996,32,254377936.00
20050417,775.54,776,765,773.27,773.27,48270,24,279593014.00
20050418,759.39,759,735,738.03,738.03,38784,24,213590292.00
20050419,734.29,735,701,719.20,719.20,34490,26,184778554.00
20050420,707.59,728,701,717.20,717.20,36163,16,194195461.00
20050423,717.60,721,718,717.73,717.73,10826,6,58366135.00
20050424,720.80,753,721,733.49,733.49,29800,17,165195846.00
20050425,734.15,734,734,733.62,733.62,16208,10,89137212.00
20050427,720.94,728,708,728.15,728.15,9456,9,50247410.00
20050430,718.80,724,708,724.27,724.27,10255,13,54731245.00
20050501,702.25,721,702,719.74,719.74,15338,13,81822408.00
20050502,710.26,714,696,713.59,713.59,13235,11,69441303.00
20050503,720.27,720,713,713.99,713.99,13468,13,72136915.00
20050504,707.59,719,678,703.05,703.05,21392,18,110996722.00
20050507,707.59,708,705,707.32,707.32,55904,20,296205286.00
20050508,707.59,708,698,703.18,703.18,71447,30,376333016.00
20050509,703.18,721,703,710.52,710.52,22204,12,119281119.00
20050510,714.13,714,705,709.72,709.72,7230,9,38258733.00
20050511,710.26,710,701,709.06,709.06,21050,13,111735991.00
20050514,707.59,708,689,697.04,697.04,31844,19,165391704.00
20050515,694.24,694,686,691.43,691.43,25640,15,132129570.00
20050516,691.43,694,691,691.83,691.83,8615,15,44746577.00
20050517,693.03,699,692,692.23,692.23,5720,7,29781896.00
20050518,693.03,699,693,692.63,692.63,4418,12,23067900.00
20050521,694.24,710,694,701.85,701.85,29885,25,157987398.00
20050522,706.12,734,702,721.60,721.60,30018,21,164062897.00
20050523,725.74,726,708,718.27,718.27,21514,29,115252124.00
20050525,713.59,714,694,712.26,712.26,19762,22,104448838.00
20050607,694.24,694,574,591.84,591.84,85290,26,378100810.00
20050608,562.33,562,562,562.33,562.33,68937,25,290362644.00
20050611,562.33,590,562,575.95,575.95,69670,42,300617438.00
20050612,587.16,587,574,575.01,575.01,31082,23,133814499.00
20050613,574.21,575,547,571.01,571.01,47194,20,201873896.00
20050614,567.40,569,566,569.01,569.01,21972,14,93367500.00
20050615,560.73,569,561,565.80,565.80,2174850,11,9263974280.00
20050618,562.20,571,562,565.94,565.94,20196,17,85655156.00
