date,open,high,low,last,close,vol,count,value
20181015,2382.59,2383,2383,2382.59,2382.59,34999826,201795,115499425800.00
20181016,2501.72,2502,2502,2501.72,2501.72,60768,375,210561120.00
20181017,2626.63,2627,2627,2626.63,2626.63,71188,477,258981944.00
20181020,2757.31,2757,2757,2757.31,2757.31,2576958,994,9841402602.00
20181021,2894.49,2894,2894,2894.49,2894.49,8170952,2594,32757346568.00
20181022,3038.89,3039,3039,3038.89,3038.89,184824,965,777924216.00
20181023,3190.51,3191,3191,3190.51,3190.51,21009939,7010,92842920441.00
20181024,3349.35,3349,3349,3349.35,3349.35,22575872,22812,104729470208.00
20181027,3357.29,3458,3183,3182.57,3295.20,43135988,77475,196851836344.00
20181028,3130.58,3131,3131,3130.58,3130.58,480594,360,2083855584.00
20181029,2974.63,3240,2975,2974.63,3080.76,24409042,37744,104150714303.00
20181031,3204.95,3235,3105,3234.55,3188.34,10653174,13057,47046073417.00
20181103,3241.77,3347,3189,3347.18,3331.30,10304668,7949,47542430926.00
20181104,3422.27,3497,3285,3497.36,3477.14,19451524,11940,93675519642.00
20181105,3516.13,3624,3510,3599.16,3556.56,11674031,9596,57508735835.00
20181106,3609.27,3609,3429,3487.25,3503.13,9406132,14203,45639551852.00
20181110,3508.91,3509,3328,3328.41,3342.13,6529712,4465,30225528949.00
20181111,3194.84,3321,3175,3240.33,3198.45,6469444,5117,28662121485.00
20181112,3241.77,3358,3240,3358.01,3326.97,4022505,3817,18534507941.00
20181113,3429.49,3466,3336,3350.07,3386.17,4844446,4299,22721953403.00
20181114,3350.07,3536,3263,3464.87,3429.49,7324276,4736,34789973861.00
20181117,3429.49,3492,3287,3357.29,3371.01,3469821,4806,16201560778.00
20181118,3403.50,3403,3203,3320.47,3228.77,5209157,2900,23295957500.00
20181119,3228.77,3314,3213,3251.16,3248.99,2056575,2556,9254112625.00
20181120,3147.91,3217,3105,3180.40,3139.97,2896326,2875,12596127874.00
20181121,3105.31,3209,3105,3155.85,3151.52,1476333,2415,6444427550.00
20181124,3204.95,3205,2994,3013.62,3036.72,2871918,2821,12078827060.00
20181126,2996.29,2996,2885,2885.10,2890.88,1546629,1303,6193138843.00
20181127,2794.13,2968,2794,2887.27,2882.94,3373838,3738,13472870468.00
20181128,2887.99,2901,2739,2776.08,2755.14,4655910,2610,17767592909.00
20181201,2743.59,2744,2618,2617.96,2623.02,3585225,2122,13026174907.00
20181202,2635.29,2729,2621,2719.77,2685.11,2010323,1630,7476813553.00
20181203,2750.81,2780,2715,2732.76,2739.98,1273364,1159,4832471499.00
20181204,2742.87,2743,2604,2641.79,2621.57,3839573,1909,13941869823.00
20181205,2664.17,2752,2592,2752.26,2714.71,3923912,2107,14752161948.00
20181208,2815.79,2850,2744,2850.45,2823.01,2467467,1504,9648728814.00
20181209,2916.87,2933,2758,2794.13,2850.45,2365956,1479,9340393955.00
20181210,2753.70,2793,2715,2754.42,2742.15,2006539,1235,7621651529.00
20181212,2671.39,2729,2671,2696.66,2695.94,1427067,1390,5327985280.00
20181215,2690.16,2702,2635,2667.78,2655.51,1801171,1126,6624927343.00
20181216,2665.62,2744,2653,2700.99,2699.55,1421919,920,5317259841.00
20181217,2736.37,2736,2610,2620.85,2645.40,1610192,1047,5899295631.00
20181218,2620.85,2668,2615,2634.57,2636.01,966963,749,3530101570.00
20181219,2631.68,2643,2539,2563.81,2565.26,1280204,882,4548990904.00
20181222,2526.99,2599,2455,2506.78,2519.05,1097329,775,3828423118.00
20181223,2484.39,2645,2484,2584.75,2610.02,1514574,1054,5475907825.00
20181224,2622.30,2670,2566,2599.19,2591.97,823314,634,2955727762.00
20181225,2599.19,2610,2527,2548.65,2549.37,1195932,611,4222531076.00
20181226,2528.44,2599,2528,2578.25,2555.87,2110620,767,7470890253.00
