date,open,high,low,last,close,vol,count,value
20140308,3074.46,3074,3074,3074.46,3074.46,3192,1,15960000.00
20140414,3695.49,3695,3695,3695.49,3695.49,3192,1,19183920.00
20140503,3695.49,3695,3695,3695.49,3695.49,664,1,3990640.00
20141025,3996.79,3997,3997,3996.79,3996.79,9360,3,60840000.00
20141026,3996.79,3997,3997,3996.79,3996.79,18592,14,120848000.00
20141028,3996.79,3997,3997,3996.79,3996.79,1328,1,8632000.00
20141119,6456.36,6456,6456,6456.36,6456.36,61168,1,642264000.00
20141129,6825.29,6825,6825,6825.29,6825.29,46120,2,511932000.00
20141201,7071.25,7071,7071,7071.25,7071.25,2656,2,30544000.00
20141203,9530.81,9531,9531,9530.81,9530.81,2656,2,41168000.00
20141206,9530.81,9531,9531,9530.81,9530.81,2656,2,41168000.00
20141208,10145.70,10146,10146,10145.70,10145.70,5312,4,87648000.00
20141209,10576.13,10576,10576,10576.13,10576.13,1328,1,22841600.00
20141216,11990.37,11990,11990,11990.37,11990.37,2656,2,51792000.00
20141217,12359.31,12359,12359,12359.31,12359.31,1328,1,26692800.00
20141227,12666.75,12667,12667,12666.75,12666.75,1328,1,27356800.00
20141230,18446.73,18447,18447,18446.73,18446.73,3328,1,99840000.00
20150107,18446.73,18447,18447,18446.73,18446.73,1328,1,39840000.00
20150201,18446.73,18447,18447,18446.73,18446.73,320,3,9600000.00
20150202,18446.73,18447,18447,18446.73,18446.73,2344,1,70320000.00
20150228,18446.73,18447,18447,18446.73,18446.73,1328,1,39840000.00
20150411,18446.73,18447,18447,18446.73,18446.73,17264,1,517920000.00
20150420,18446.73,18447,18447,18446.73,18446.73,2489,4,74670000.00
20150421,18446.73,18447,18447,18446.73,18446.73,8000,1,240000000.00
20150422,18446.73,18447,18447,18446.73,18446.73,167,1,5010000.00
20150610,18446.73,18447,18447,18446.73,18446.73,1328,1,39840000.00
20150915,18919.72,18920,18920,18919.72,18919.72,1328,1,39840000.00
20151104,18919.72,18920,18920,18919.72,18919.72,1328,1,39840000.00
20151201,18919.72,18920,18920,18919.72,18919.72,195,1,5850000.00
20160123,18919.72,18920,18920,18919.72,18919.72,664,1,19920000.00
20160305,18919.72,18920,18920,18919.72,18919.72,3320,4,99600000.00
20160307,18919.72,18920,18920,18919.72,18919.72,664,1,19920000.00
20160312,18919.72,18920,18920,18919.72,18919.72,664,1,19920000.00
20160316,18919.72,18920,18920,18919.72,18919.72,664,1,19920000.00
20160806,18983.00,18983,18983,18983.00,18983.00,60,2,1800000.00
20161212,18983.00,18983,18983,18983.00,18983.00,17660,1,529800000.00
20180725,18983.00,18983,18983,18983.00,18983.00,1039328,21,30971974400.00
20181001,18983.00,18983,18983,18983.00,18983.00,734400,15,21885120000.00
20181029,18983.00,18983,18983,18983.00,18983.00,1039992,21,30991761600.00
