date,open,high,low,last,close,vol,count,value
20141130,1451.41,1451,1451,1451.41,1451.41,1000,1,15000000.00
20150310,1741.69,1742,1742,1741.69,1741.69,804,1,14472000.00
20150817,1741.69,1742,1742,1741.69,1741.69,1000,1,14900000.00
20151116,1741.69,1742,1742,1741.69,1741.69,310,1,4619000.00
20160309,2162.51,2163,2163,2162.51,2162.51,804,1,14874000.00
20160410,2220.95,2221,2104,2104.06,2111.66,804,2,14524000.00
20160504,2104.06,2104,2104,2104.06,2104.06,1847,1,33246000.00
20171104,8736.58,8737,8737,8736.58,5420.32,10000,2,120000000.00
20171105,9617.52,9618,9618,9617.52,5818.56,1898,2,25072580.00
20171106,10556.70,10557,10557,10556.70,7003.10,5000,1,72500000.00
20171114,29121.94,29122,14561,14560.97,20043.18,195950,161,5394600268.00
20171115,18038.86,20380,18039,18038.86,18040.31,46860,86,1161127404.00
20171118,16236.94,16237,16237,16236.94,16236.94,9206,16,205312212.00
20171120,14613.39,16067,14613,15274.46,14842.73,22592,61,460573525.00
20171121,15281.74,16326,15280,16326.49,16302.46,175679,117,3933783784.00
20171122,17932.56,17933,16382,17254.75,17571.45,31563,57,761762725.00
20171125,17465.16,17465,15815,15814.67,15921.69,21249,67,464697388.00
20171126,14678.19,15941,14672,15784.09,14815.79,16665,56,339130916.00
20171128,15870.73,15871,13334,13334.21,13546.80,60649,44,1128501952.00
20171129,12523.16,13104,12213,12238.50,12346.25,25149,42,426473382.00
20171202,11118.03,12377,11118,11940.00,11381.58,26269,32,410671466.00
20171203,12519.52,12520,11648,12223.94,12254.51,5667,17,95388356.00
20171204,12376.10,12504,11066,11600.00,11487.15,5549,27,87553752.00
20171205,11503.17,12012,11085,11140.60,11525.01,5212,11,82506671.00
20171209,11140.60,11284,10630,10630.24,10828.27,3492,16,51936396.00
20171210,10194.86,11358,10193,10199.96,10443.13,8453,41,121248259.00
20171211,10555.98,10957,9916,9916.02,10309.17,7728,18,109430684.00
20171212,10847.20,10847,9502,10112.59,9906.56,6389,16,86934655.00
20171213,10047.07,10047,9032,9032.17,9132.64,10739,28,134712700.00
20171216,9032.17,9032,8737,8736.58,8764.98,3480,13,41896828.00
20171217,8518.90,9641,8373,9640.82,8948.44,17199,38,211394891.00
