date,open,high,low,last,close,vol,count,value
20010325,222.85,223,213,213.29,213.29,4520,22,112766576.00
20010326,213.29,213,213,213.29,213.29,45,2,1119825.00
20010408,214.27,214,214,214.27,214.27,2000,5,50000000.00
20010410,214.30,214,214,214.30,214.30,70,1,1750210.00
20010415,214.36,214,214,214.36,214.36,120,1,3001200.00
20010418,214.57,215,215,214.57,214.57,1120,2,28038880.00
20010421,215.99,217,216,216.85,216.85,3070,11,77464000.00
20010422,217.70,219,218,218.56,218.56,5804,15,147521600.00
20010423,218.56,219,219,219.42,219.42,2000,3,51100000.00
20010424,220.27,220,220,220.27,220.27,74696,7,1919687200.00
20010425,220.28,220,220,220.28,220.28,56,3,1439266.00
20010429,222.85,223,223,222.86,222.86,1411,6,36688369.00
20010430,222.89,223,223,222.91,222.91,156,3,4056960.00
20010501,224.56,225,225,224.65,224.65,700,4,18341000.00
20010512,235.87,236,236,235.87,235.87,2847,19,78349440.00
20010513,235.87,236,236,235.87,235.87,287,5,7898240.00
20010529,282.84,291,274,274.28,274.28,828,6,27570121.00
20010530,287.99,288,279,287.99,287.99,3178,15,105786658.00
20010602,288.00,288,288,288.00,288.00,300,1,10080600.00
20010612,302.38,302,302,302.38,302.38,2795,16,98607165.00
20010613,302.38,302,302,302.38,302.38,1530,6,53978580.00
20010616,302.34,302,302,302.38,302.38,3413,15,120405304.00
20010618,302.64,303,303,302.76,302.76,1449,4,51166052.00
20010619,309.93,310,310,310.33,310.33,1015,10,36704717.00
20010620,310.33,311,310,310.51,310.51,601,5,21761814.00
20010626,318.27,318,318,318.27,318.27,1300,7,48272900.00
20010703,334.17,334,334,334.17,334.17,1460,7,56923940.00
20010708,337.51,338,338,337.51,337.51,3196,6,125852088.00
20010725,179.99,191,139,190.70,190.70,35757,59,718472730.00
20010728,195.47,195,195,195.47,195.47,2950,4,67277700.00
20010815,197.42,197,197,197.42,197.42,1000,1,23034000.00
20010821,199.40,199,199,199.40,199.40,1000,5,23264000.00
20010827,201.38,201,201,201.38,201.38,1104,12,25939584.00
20010901,203.39,203,203,203.39,203.39,1000,4,23730000.00
20010902,205.42,205,205,205.42,205.42,1000,2,23967000.00
20010903,207.47,207,207,207.47,207.47,1000,4,24206000.00
20010904,209.54,210,210,209.54,209.54,6035,25,147543680.00
20010905,211.63,212,212,211.63,211.63,1250,7,30865000.00
20010908,213.74,214,214,213.74,213.74,1250,3,31172500.00
20010909,214.27,216,214,215.88,215.88,201428,48,5041016036.00
20010910,218.03,218,214,218.02,218.02,35947,44,905719036.00
20010911,217.97,218,218,218.13,218.13,6286,22,159879718.00
20010912,218.03,218,216,215.95,215.95,2139,9,54221128.00
20010915,213.80,214,214,213.80,213.80,9000,13,224505000.00
20010919,211.67,214,212,213.80,213.80,24384,31,602681280.00
20010922,214.27,214,214,214.27,214.27,3796,16,94896244.00
20010923,214.27,214,214,214.27,214.27,3121,9,78024800.00
20010924,214.27,214,214,214.27,214.27,650,2,16249350.00
20010930,214.27,214,212,212.13,212.13,10150,24,251249850.00
20011003,210.01,210,210,210.01,210.01,1000,1,24503000.00
20011006,207.91,208,208,207.91,207.91,1051,3,25495158.00
20011007,205.84,210,206,209.99,209.99,17678,37,425417650.00
20011008,209.99,210,210,209.99,209.99,70,1,1715000.00
20011010,207.89,208,208,207.89,207.89,1000,2,24255000.00
20011016,205.82,206,206,205.82,205.82,700,3,16809100.00
20011020,203.76,204,204,203.76,203.76,1000,1,23773000.00
20011021,201.73,202,202,201.73,201.73,46805,15,1101602480.00
20011022,203.74,204,204,203.74,203.74,2000,10,47542000.00
20011023,205.70,206,206,205.77,205.77,7368,24,176886944.00
20011024,207.83,208,208,207.83,207.83,11690,14,283459120.00
20011027,209.90,210,210,209.90,209.90,4210,12,103100116.00
20011028,209.90,210,210,209.90,209.90,1970,12,48245300.00
20011029,209.90,210,210,209.90,209.90,1418,11,34726677.00
20011031,207.81,210,208,209.80,209.80,3830,9,93051876.00
20011104,209.77,210,210,209.80,209.80,570,4,13951390.00
20011105,209.80,210,210,209.80,209.80,500,2,12239000.00
20011106,211.89,212,212,211.89,211.89,2700,4,66749400.00
