date,open,high,low,last,close,vol,count,value
20070826,138.81,140,139,139.01,139.01,437402390,10429,591427151280.00
20070827,141.79,142,142,141.79,141.79,14030185,1887,19347625115.00
20070828,144.57,145,141,144.26,144.26,102663438,7137,144131253978.00
20070901,146.01,147,145,146.93,146.93,18758591,1468,26814720068.00
20070902,149.81,150,150,149.81,149.81,3259796,241,4749522772.00
20070903,152.79,153,153,152.79,152.79,8103085,752,12041184310.00
20070904,155.77,156,156,155.77,155.77,5228536,565,7921232040.00
20070905,158.86,159,156,156.08,156.08,310856,78,480272250.00
20070908,159.17,159,159,159.17,159.17,3206994,467,4964426712.00
20070909,162.25,162,162,161.63,161.63,2561055,491,4041344730.00
20070910,164.82,165,164,163.90,163.90,2259723,483,3622335879.00
20070911,167.08,167,139,165.44,165.44,12579215,834,17418052245.00
20070912,168.73,169,169,168.73,168.73,3404999,667,5587603359.00
20070915,172.02,172,165,170.17,170.17,38678662,2764,64045406944.00
20070916,166.78,170,167,170.07,170.07,98588,23,159910056.00
20070917,166.67,170,167,169.96,169.96,51524,18,83520724.00
20070918,166.57,170,167,169.86,169.86,137102,39,222105560.00
20070919,166.47,170,166,169.76,169.76,73280,18,118640640.00
20070922,166.36,170,139,169.65,169.65,4542840,245,6172762700.00
20070923,166.26,169,166,169.45,169.45,236544,40,382491958.00
20070924,166.16,169,166,169.35,169.35,109924,16,177637494.00
20070925,166.06,169,166,169.35,169.35,32574,8,52607330.00
20070926,166.06,166,166,166.06,166.06,3330601,113,5378920615.00
20070929,162.77,163,163,162.77,162.77,4120623,242,6522946209.00
20070930,159.58,160,160,159.58,159.58,3226761,140,5007933072.00
20071001,156.39,160,156,159.58,159.58,35684,19,54275674.00
20071002,156.39,160,156,159.58,159.58,30192,14,45922342.00
20071006,156.39,159,156,159.48,159.48,119490,11,181744590.00
20071007,156.29,159,156,159.48,159.48,14327,6,21777350.00
20071008,156.29,159,156,159.48,159.48,4778,5,7262870.00
20071009,156.29,159,156,159.48,159.48,6026,9,9159830.00
20071010,156.29,159,156,159.48,159.48,13436,7,20423030.00
20071014,156.29,156,156,156.29,156.29,3178341,97,4831078320.00
20071015,153.20,156,153,156.19,156.19,85780,14,127812490.00
20071016,153.10,156,153,156.08,156.08,88461,11,131718719.00
20071017,153.00,156,139,156.08,156.08,1824524,55,2468266892.00
20071020,153.00,156,153,156.08,156.08,4610,4,6859980.00
20071021,153.00,156,153,156.08,156.08,1333,3,1983804.00
20071022,153.00,156,153,156.08,156.08,2684,2,3994092.00
20071024,153.00,156,153,156.08,156.08,6690,2,9955020.00
20071027,153.00,156,153,156.08,156.08,1286,3,1913868.00
20071028,153.00,156,153,156.08,156.08,810,2,1205580.00
20071029,153.00,156,153,156.08,156.08,1005,2,1495740.00
20071030,153.00,153,153,153.00,153.00,1100,2,1636800.00
20071031,150.02,150,150,150.02,150.02,1515176,45,2210641784.00
20071103,147.03,147,147,147.03,147.03,108776,5,155549680.00
20071104,144.16,147,144,147.03,147.03,13514,4,18946908.00
20071105,144.16,147,144,147.03,147.03,14204,2,19914288.00
20071107,144.16,147,144,147.03,147.03,3010,2,4220300.00
20071110,144.16,147,144,147.03,147.03,8300,3,11636880.00
20071111,144.16,147,144,147.03,147.03,14920,5,20918120.00
20071112,144.16,147,144,147.03,147.03,7742,5,10854564.00
20071113,144.16,147,144,147.03,147.03,2430,5,3407140.00
20071114,144.16,147,144,147.03,147.03,1421,3,1992522.00
20071117,144.16,145,144,145.49,145.49,1700010,52,2383414150.00
20071120,142.61,145,143,145.49,145.49,15357,4,21300439.00
20071126,142.61,145,143,145.49,145.49,530,3,735390.00
20071128,142.61,143,143,142.61,142.61,3178260,92,4408246620.00
20071202,139.84,142,140,141.58,141.58,1200020,40,1632027370.00
20071203,138.81,140,139,138.81,138.81,292213409,10002,394489237209.00
20071204,138.81,139,136,138.71,138.71,14086288,808,19010880296.00
20071205,138.81,139,139,138.81,138.81,5566026,291,7514462078.00
20071208,138.81,139,139,138.81,138.81,1307028,137,1764588176.00
20071209,138.81,140,139,138.81,138.81,705903,88,953549221.00
20071210,138.91,139,139,138.81,138.81,1286077,134,1736490715.00
20071211,138.81,139,136,138.71,138.71,4174820,297,5635788929.00
20071212,138.40,138,136,138.50,138.50,196819,38,260562410.00
20071215,135.83,139,136,138.40,138.40,4441115,272,5980379133.00
20071216,138.81,139,136,138.50,138.50,1969826,97,2656614996.00
20071217,137.68,138,136,138.29,138.29,651295,64,869653934.00
20071218,136.55,138,136,137.99,137.99,450744,53,595495255.00
20071225,135.31,138,135,137.88,137.88,80010,12,105293410.00
20071226,135.31,138,135,137.88,137.88,3153,3,4149455.00
20071231,135.21,137,135,136.85,136.85,1269175,117,1668965285.00
20080101,134.18,136,134,136.24,136.24,784023,73,1024660215.00
20080102,134.18,136,134,135.83,135.83,548025,44,712219813.00
20080105,133.56,135,133,134.90,134.90,1097306,89,1421020624.00
