date,open,high,low,last,close,vol,count,value
20131112,18.99,19,19,18.99,18.99,500,1,300000.00
20131222,31.64,32,32,31.68,31.68,1250,2,1251000.00
20131225,31.80,32,32,31.80,31.80,2349,1,2360745.00
20140101,60.12,60,60,60.12,60.12,10,1,19000.00
20140104,60.12,60,60,60.12,60.12,380,1,722000.00
20140105,63.29,63,63,63.29,63.29,250,1,500000.00
20140113,66.58,67,67,66.61,66.58,21450,2,45137950.00
20140219,88.60,89,89,88.60,88.60,17649,1,49417200.00
20140302,101.26,101,101,101.26,101.26,3000,1,9600000.00
20140304,101.26,101,101,101.26,101.26,270,1,864000.00
20140305,101.26,101,101,101.26,101.26,4300,1,13760000.00
20140310,101.26,101,101,101.26,101.26,5700,1,18240000.00
20140311,101.26,101,101,101.26,101.26,1450,1,4640000.00
20140330,126.58,127,127,126.58,126.58,1700,3,6800000.00
20140407,126.58,127,127,126.58,126.58,2000,1,8000000.00
20140420,142.40,142,142,142.40,142.40,1000,1,4500000.00
20140504,133.08,133,101,101.43,106.37,1516,3,5088480.00
20140611,69.71,70,70,69.71,69.71,100,1,220000.00
20140614,69.71,70,70,69.71,69.71,1600,1,3520000.00
20140625,70.38,71,70,71.29,70.69,6258,3,13959318.00
20140628,73.20,73,73,73.20,73.20,15000,1,34650000.00
20140701,88.72,89,89,88.72,88.72,1268,1,3550400.00
20140706,88.72,89,80,79.85,80.64,5500,2,14000000.00
20140712,72.88,73,73,72.88,72.88,4000,1,9200000.00
20140714,72.88,73,73,72.88,72.88,185000,5,425500000.00
20140715,72.88,73,73,72.88,72.88,150,1,345000.00
20140716,72.88,73,73,72.88,72.88,74000,3,170200000.00
20140803,75.48,75,75,75.48,75.48,3021,3,7196022.00
20140806,76.36,76,76,76.36,76.36,1549,1,3733090.00
20140817,76.46,76,76,76.46,76.46,2000,1,4826000.00
20140823,79.22,79,79,79.22,79.22,42099,1,105247500.00
20140916,79.88,80,80,79.88,79.88,9500,1,23949500.00
20140921,79.88,80,80,79.88,79.88,2000,1,5042000.00
20141006,95.06,95,95,95.06,95.06,881,1,2643000.00
20141007,104.56,105,105,104.56,104.56,685,1,2260500.00
20141008,113.12,115,113,115.02,113.85,1095,2,3934350.00
20141020,82.38,82,82,82.38,82.38,120,1,312000.00
20141022,82.38,82,82,82.38,82.38,2000,1,5200000.00
20141102,95.06,117,95,117.24,111.00,5035,3,17638200.00
20141110,124.21,133,124,133.08,127.60,57977,10,233472265.00
20141119,133.08,133,133,133.08,133.08,100,1,420000.00
20141123,104.60,133,105,133.08,107.86,3390,2,11541000.00
20141203,142.59,143,143,142.59,142.59,217,1,976500.00
20141206,142.59,143,143,142.59,142.59,280,1,1260000.00
20150107,105.20,105,105,105.20,105.20,25,1,83000.00
20150128,164.77,165,165,164.77,164.77,1000,2,5200000.00
20150201,167.94,168,165,164.77,165.94,800,2,4190000.00
20150207,105.55,106,106,105.55,105.55,9000,1,29979000.00
20150209,105.55,106,106,105.55,105.55,1100,1,3664100.00
20150318,106.43,106,106,106.40,106.40,1700,2,5708860.00
20150331,106.40,106,106,106.40,106.40,3000,1,10074000.00
20150414,114.07,114,114,114.07,114.07,200,1,720000.00
20150511,104.56,105,105,104.56,104.56,6539,8,21578700.00
20150624,104.56,105,105,104.56,104.56,7035,1,23215500.00
20150711,94.74,95,95,94.74,94.74,2000,1,5980000.00
20150819,91.89,92,92,91.89,91.89,2134,1,6188600.00
20150822,91.89,92,92,91.89,91.89,5500,1,15950000.00
20151107,91.89,92,92,91.89,91.89,15100,2,43790000.00
20151116,91.89,92,92,91.89,91.89,2000,1,5800000.00
20151129,95.06,95,92,95.06,94.36,22651,4,67453000.00
20151206,94.43,94,92,91.89,93.82,2364,2,6999280.00
20151226,68.44,68,68,68.44,68.28,16880,4,36370800.00
20160330,95.06,95,95,95.06,95.06,5000,1,15000000.00
20160402,93.47,93,93,93.47,93.47,1000,1,2950000.00
20160404,95.06,95,95,95.06,95.06,1000,1,3000000.00
20160418,101.40,101,95,95.06,95.41,18600,6,56007600.00
20160531,95.38,95,95,95.38,95.38,10000,1,30100000.00
20160606,95.38,95,95,95.38,95.38,3385,1,10188850.00
20160619,95.38,95,95,95.38,95.38,10000,1,30100000.00
20160620,95.41,95,95,95.41,95.41,48969,2,147445659.00
20160621,95.38,95,95,95.41,95.41,6758,2,20346580.00
20160629,95.06,95,95,95.06,95.06,1310,2,3930000.00
20160810,95.06,95,95,95.06,95.06,57,1,171000.00
20160821,95.06,95,95,95.06,95.06,20,1,60000.00
20160905,95.06,95,95,95.06,95.06,126,1,378000.00
20161001,95.06,95,95,95.06,95.06,11226,3,33678000.00
20161004,95.06,95,95,95.06,95.06,980,1,2940000.00
20161005,95.06,95,95,95.06,95.06,20,1,60000.00
20161102,95.06,95,95,95.06,95.06,5980,1,17940000.00
20161113,95.06,95,95,95.06,95.06,2000,1,6000000.00
20161203,93.47,93,93,93.47,93.47,2050,1,6047500.00
20170107,95.06,95,95,95.06,95.06,7000,1,21000000.00
20170226,95.06,95,95,95.06,95.06,380,9,1140000.00
20170408,95.06,95,95,95.06,95.06,123,2,369000.00
20170409,104.56,105,105,104.56,104.56,1004,2,3313200.00
20170430,106.15,106,106,106.15,106.15,300,1,1005000.00
20170502,114.67,117,115,116.76,116.67,35700,8,131462600.00
20170503,128.33,128,128,128.33,128.33,19000,7,76950000.00
20170506,129.03,141,127,141.16,133.53,27200,12,114627000.00
20170507,129.91,130,127,126.75,127.76,21500,10,86698000.00
20170508,123.58,124,124,123.58,123.58,8200,2,31980000.00
20170509,122.02,122,122,122.02,122.02,4000,2,15404000.00
20170517,109.82,114,110,109.98,110.93,18050,7,63195870.00
20170527,100.22,122,100,122.02,121.49,11801,4,45244163.00
20170528,111.88,134,112,133.62,131.69,14947,11,62117086.00
20170530,144.84,145,145,144.84,144.84,24652,10,112684192.00
20170531,145.79,146,146,145.79,145.79,1000,2,4601000.00
20170606,150.51,160,151,160.33,157.04,22651,12,112262256.00
20170607,172.72,173,173,172.72,172.72,48255,20,263036005.00
20170611,189.99,190,190,189.99,189.99,29446,30,176557116.00
20170617,208.97,209,203,208.97,208.78,23899,86,157464905.00
20170618,223.39,230,223,229.63,229.63,30147,56,218473908.00
20170619,252.57,253,253,252.57,252.57,24099,10,192093129.00
20170620,275.67,276,227,239.55,268.92,12640,25,107276171.00
20170621,242.05,242,242,242.05,242.05,9051,12,69140589.00
20170625,217.87,218,218,217.87,217.87,6844,8,47059344.00
20170628,196.11,196,196,196.11,196.11,9245,9,57217305.00
20170701,176.52,202,177,190.12,180.83,5364,10,30612927.00
20170703,198.89,199,199,198.89,198.89,4734,11,29715318.00
20170704,218.76,219,219,218.76,218.76,28864,24,199272656.00
20170708,218.64,225,197,196.90,197.50,13742,15,85656914.00
20170709,216.73,217,215,215.47,215.50,6620,5,45021587.00
20170710,193.95,214,194,194.01,194.43,16831,23,103269696.00
20170712,175.26,205,175,175.00,178.24,18730,29,105358957.00
20170926,110.90,187,111,174.27,176.75,19815,18,110537500.00
20170927,190.12,190,181,190.12,188.25,7524,8,44700000.00
20171003,188.25,188,188,188.25,188.25,2169,3,12886029.00
20171007,169.43,170,169,169.52,169.43,10252,11,54818197.00
20171111,169.43,170,169,170.09,169.43,309819,91,1656612693.00
20171113,205.96,206,206,205.96,205.96,120646,31,784199000.00
20171118,205.96,206,206,205.96,205.96,9456,6,61464000.00
20171120,190.15,190,190,190.15,190.15,5513,12,33083513.00
20171122,177.44,182,177,182.20,179.72,11750,6,66641500.00
20171125,180.61,181,181,180.93,180.71,2229,7,12712100.00
20171129,205.33,205,205,205.33,205.33,67160,9,435196800.00
20171202,205.01,206,205,205.68,205.01,249384,44,1613577480.00
20171204,211.00,219,211,218.64,212.20,40356,17,270260954.00
20171209,191.70,221,192,221.11,210.87,2284,6,15200920.00
20171211,210.87,211,211,210.87,210.87,30440,14,202578200.00
20171213,210.87,211,211,210.87,210.87,2899,5,19292845.00
20171216,210.87,211,211,210.87,210.87,7080,6,47117400.00
20171223,217.05,217,217,217.05,217.05,10000,1,68500000.00
20171225,211.22,211,211,211.13,211.22,34206,15,228015447.00
20171227,211.13,211,211,211.13,211.13,42425,10,282677775.00
20180101,211.13,211,211,211.13,211.13,11850,4,78956550.00
20180106,211.13,211,211,211.13,211.13,850,1,5663550.00
20180110,180.61,215,181,215.47,210.37,683,5,4534400.00
20180115,176.18,176,176,176.18,176.18,10340,4,57490400.00
20180117,176.49,176,176,176.49,176.49,10000,5,55700000.00
20180122,176.49,176,176,176.18,176.49,11430,9,63660800.00
20180127,176.49,176,176,176.49,176.49,10170,8,56646900.00
20180203,176.49,190,176,190.09,177.00,41223,21,230286927.00
20180317,186.95,187,187,186.95,186.95,20365,15,120153500.00
20180407,186.95,187,187,186.95,186.95,85,1,501500.00
20180409,186.95,192,187,192.02,189.33,10727,14,64089300.00
20180411,195.38,195,195,195.38,195.38,8242,13,50820172.00
20180416,201.37,201,201,201.37,201.37,8690,6,55224950.00
20180421,209.19,209,209,209.19,209.19,9090,11,60012180.00
20180423,218.76,219,219,218.76,218.76,7603,12,52491112.00
20180430,227.82,228,228,227.82,227.82,34687,7,249399530.00
20180505,236.06,236,236,236.06,236.06,29055,6,216459750.00
20180507,243.03,253,243,253.49,248.23,28100,10,220130500.00
20180509,255.07,263,255,263.00,256.88,34800,22,282127500.00
20180512,269.33,270,269,269.65,269.40,43124,30,366633240.00
20180514,275.67,285,276,285.18,276.72,39665,27,346389000.00
20180516,276.72,277,277,277.25,276.75,26165,21,228532945.00
20180519,285.14,285,282,281.66,284.95,37669,16,338763331.00
20180521,283.59,284,284,283.59,283.59,120,1,1074000.00
20180618,253.49,253,253,253.49,253.49,5161,7,41288000.00
20180630,253.49,253,252,251.91,252.03,2186,2,17388000.00
20180702,252.03,252,252,252.03,252.03,1000,1,7954000.00
20180704,250.19,250,250,250.19,250.19,1000,1,7896000.00
20180714,221.80,222,222,221.80,221.80,1,1,7000.00
20180725,221.80,222,222,221.80,221.80,1000,1,7000000.00
20180801,221.80,222,222,221.80,221.80,3000,1,21000000.00
20180818,220.22,220,220,220.22,220.22,186,1,1292700.00
20180825,205.96,206,206,205.96,205.96,22005,5,143032500.00
20180827,206.94,207,207,206.94,206.94,6909,7,45122679.00
20180829,221.90,231,222,231.40,227.35,21850,13,156765250.00
20180901,250.64,257,251,257.45,254.03,19142,12,153455935.00
20180905,266.48,266,266,266.48,266.48,39854,28,335172140.00
20180908,266.48,269,266,269.30,266.58,31460,20,264667600.00
20180912,316.86,317,317,316.86,316.86,29786,31,297860000.00
20180915,380.24,380,380,380.24,380.24,22294,16,267528000.00
20180917,538.67,539,539,538.67,538.67,255709,143,4347053000.00
20180922,760.47,760,745,744.60,755.15,51889,61,1236620604.00
20180924,570.35,570,570,570.35,570.35,52795,65,950310000.00
20180926,633.73,634,509,508.56,603.59,8310,16,158300000.00
20180929,507.04,586,507,586.20,511.48,69108,46,1115540970.00
20181001,633.73,634,546,545.95,614.27,30516,46,591583720.00
20181003,513.32,513,507,506.98,512.84,89799,93,1453418600.00
20181006,548.17,548,548,548.17,548.17,5923,8,102467900.00
20181010,516.49,516,516,516.49,516.49,3173,5,51719900.00
20181013,465.60,466,466,465.60,465.60,5063,13,74395722.00
20181015,453.11,466,453,465.79,454.73,50705,34,727655500.00
20181020,503.49,503,502,502.23,503.46,32087,52,509839990.00
20181022,503.46,503,503,503.46,503.46,1246,3,19797694.00
20181027,396.11,396,396,396.11,396.11,10260,11,128260260.00
20181029,396.40,396,396,396.40,396.40,3396,4,42483960.00
20181031,396.40,396,396,396.40,396.40,8010,4,100205100.00
20181103,411.92,412,412,411.92,411.92,10052,8,130676000.00
20181105,427.76,428,428,427.76,427.76,12536,19,169236000.00
20181110,446.78,447,412,411.92,415.19,10410,6,136398100.00
20181112,435.69,436,436,435.69,435.69,1541,9,21188750.00
20181114,435.69,436,436,435.69,435.69,444,3,6105000.00
20181121,435.69,436,436,435.69,435.69,1369,3,18823750.00
20181124,435.69,436,436,435.69,435.69,1000,2,13750000.00
20181128,435.69,436,436,435.69,435.69,938,3,12897500.00
20181201,396.05,396,396,396.05,396.05,5000,1,62495000.00
20181203,380.33,380,380,380.33,380.33,2000,1,24006000.00
20181205,380.33,380,380,380.33,380.33,11779,23,141383337.00
20181208,380.33,397,380,396.71,386.76,2598,7,31712168.00
20181210,386.76,387,387,386.76,386.76,220,1,2685320.00
20181212,443.61,488,444,487.94,454.41,10920,20,156604138.00
20181215,475.29,504,475,503.81,494.27,20582,17,321050100.00
20181217,516.49,523,516,522.82,517.79,46505,39,759931500.00
20181219,545.00,545,507,506.98,517.91,7126,9,116476000.00
20181222,517.91,518,412,411.92,412.46,12549,4,163347735.00
20181226,432.52,433,433,432.52,432.52,2613,9,35667450.00
