date,open,high,low,last,close,vol,count,value
20040225,821.41,847,770,813.02,813.02,454000,262,14379985673.00
20040228,847.08,853,433,839.66,839.66,177403,474,3973518602.00
20040303,841.00,841,840,839.97,839.97,10010,4,327957230.00
20040306,842.49,843,798,834.32,834.32,575413,76,18807291580.00
20040307,847.08,847,835,835.07,835.07,2803,15,92341598.00
20040308,847.21,852,838,838.25,838.25,9520,15,314919722.00
20040309,847.13,847,839,838.92,838.92,3251,13,107281920.00
20040310,850.93,860,840,840.33,840.33,4477,15,148657370.00
20040313,842.15,855,842,854.04,854.04,89856,41,2989654142.00
20040314,844.38,855,844,852.73,852.73,9702,24,320699171.00
20040315,852.70,853,821,851.39,851.39,4801,10,157346124.00
20040316,851.39,851,851,851.39,851.39,99,1,3283632.00
20040317,834.30,850,834,850.03,850.03,3818,6,124447738.00
20040328,835.53,850,836,849.80,849.80,652,3,21228160.00
20040330,832.94,850,833,849.62,849.62,436,4,14151814.00
20040403,807.34,847,807,846.62,846.62,20565,17,674144750.00
20040404,847.08,847,847,846.62,846.62,6300,7,207792000.00
20040405,844.51,847,845,846.52,846.52,15667,16,516545288.00
20040406,847.08,847,847,846.52,846.52,4892,11,161358807.00
20040407,846.54,847,847,846.52,846.52,11945,10,393937190.00
20040410,846.52,847,846,846.49,846.49,4995,11,164723100.00
20040412,846.52,847,846,846.49,846.49,6358,9,209667916.00
20040413,846.49,846,846,846.49,846.49,2320,3,76506640.00
20040414,850.16,851,847,846.90,846.90,5945,8,196969815.00
20040417,846.93,847,847,846.90,846.90,1690,4,55759970.00
20040418,847.05,847,847,846.90,846.90,2198,6,72533242.00
20040421,847.11,847,847,846.90,846.90,2195,7,72435135.00
20040424,847.13,852,847,846.98,846.98,1910,3,63231760.00
20040425,854.78,889,854,853.52,853.52,8864,8,306810340.00
20040426,854.78,855,854,853.63,853.63,5334,5,177632266.00
20040427,896.18,896,854,854.37,854.37,1219,3,42196135.00
20040428,865.05,865,864,864.46,864.46,53010,7,1786436770.00
20040501,864.46,864,864,864.46,864.46,700,1,23573900.00
20040502,864.46,864,864,864.46,864.46,7532,6,253655164.00
20040508,885.51,886,865,864.51,864.51,171,3,5891093.00
20040516,859.14,864,859,864.48,864.48,20,2,671480.00
