date,open,high,low,last,close,vol,count,value
20040119,6028.96,6029,6029,6028.96,6028.96,2699999,1752,48599982000.00
20040121,6330.40,6330,6036,6036.32,6036.32,1500,8,28349122.00
20040124,6338.11,6338,6036,6036.32,6036.32,500,3,9460599.00
20040125,6338.11,6338,6046,6046.37,6046.37,2005,6,37939744.00
20040126,6348.49,6348,6072,6071.83,6071.83,5000,6,94769174.00
20040127,6375.29,6375,6375,6375.29,6375.29,90000,134,1713060000.00
20040128,6693.82,6694,6489,6488.83,6488.83,21000,40,419684388.00
20040131,6813.06,6813,6813,6813.06,6813.06,71239,144,1449072499.00
20040201,7153.69,7154,6813,7143.64,7143.64,1330212,1578,28371005051.00
20040203,7500.69,7501,7404,7497.68,7497.68,227058,378,5082798228.00
20040204,7872.48,7872,7838,7871.81,7871.81,133517,113,3137990204.00
20040207,8265.36,8265,7878,8234.88,8234.88,188471,214,4633889852.00
20040208,8268.71,8541,8189,8326.99,8326.99,188274,255,4680836505.00
20040209,8206.08,8327,7938,8142.11,8142.11,146864,193,3570262849.00
20040214,8039.28,8040,7955,8029.56,8029.56,74348,188,1782374386.00
20040215,8012.15,8012,7704,7835.63,7835.63,23400,35,547439212.00
20040216,7833.62,7834,7670,7759.27,7759.27,76740,154,1777814152.00
20040217,7725.77,7821,7726,7759.94,7759.94,66201,93,1533801656.00
20040218,7812.86,8148,7738,8123.01,8123.01,113076,147,2742415818.00
20040221,8527.62,8528,8223,8222.83,8222.83,20933,47,525258923.00
20040222,8265.03,8474,8257,8373.55,8373.55,279121,109,6978286536.00
20040223,8471.69,8591,8472,8504.85,8504.85,40958,66,1047076762.00
20040224,8591.26,8708,8577,8577.20,8577.20,30748,47,793540303.00
20040225,8646.53,8663,8595,8594.61,8594.61,12725,35,328983425.00
20040228,8661.27,9006,8661,8804.29,8804.29,68428,89,1798736710.00
20040229,9043.43,9244,8948,8947.98,8947.98,20167,45,555400350.00
20040303,9244.40,9378,9051,9240.05,9240.05,99774,93,2752504543.00
20040306,9206.89,9207,8970,9134.87,9134.87,41315,91,1121336976.00
20040307,8778.83,9006,8779,9005.92,9005.92,1987243,53,53056862582.00
20040308,8958.02,8958,8775,8934.58,8934.58,23454,58,618133610.00
20040309,8802.28,8802,8488,8762.08,8762.08,26259,67,670206909.00
20040310,8536.67,8661,8324,8660.60,8660.60,16395,39,411141509.00
20040313,8512.22,8627,8240,8627.10,8627.10,6252,17,155832071.00
20040314,8322.30,8544,8196,8544.37,8544.37,12389,31,304625603.00
20040315,8189.33,8387,8117,8387.28,8387.28,23077,32,561168775.00
20040316,8115.31,8521,8115,8320.29,8320.29,23424,38,574850191.00
20040317,8520.92,8542,8388,8387.95,8387.95,18094,35,461380600.00
20040327,8542.03,8542,8397,8397.33,8397.33,3694,8,94198166.00
20040328,8541.69,8809,8413,8413.41,8413.41,4156,15,107028315.00
20040329,8808.97,8834,8451,8451.26,8451.26,5480,10,144307596.00
20040330,8708.49,8874,8514,8513.89,8513.89,11213,29,293971152.00
20040403,8775.82,8874,8551,8551.07,8551.07,10680,24,280260081.00
20040404,8873.62,8874,8613,8613.03,8613.03,16531,28,436586605.00
20040407,8641.50,8708,8183,8608.68,8608.68,4370,15,111435074.00
20040410,8206.41,8524,8178,8524.27,8524.27,15486,33,378314139.00
20040412,8098.56,8410,8098,8410.39,8410.39,21633,42,523918531.00
20040413,8239.57,8382,8204,8381.92,8381.92,19579,35,485002583.00
20040414,8540.69,8541,8243,8392.98,8392.98,20138,28,506582313.00
20040417,8392.98,8393,8243,8381.25,8381.25,6974,21,172089487.00
20040418,8239.57,8379,8237,8379.24,8379.24,961,7,23639036.00
20040421,8185.65,8379,8183,8378.57,8378.57,165,4,4037613.00
20040424,8172.92,8373,8168,8372.55,8372.55,2237,3,54561765.00
20040425,8372.88,8541,8142,8315.94,8315.94,90622,99,2250029470.00
20040426,8204.74,8541,8204,8441.21,8441.21,50010,43,1271084922.00
20040427,8306.56,8438,8307,8438.19,8438.19,1610,2,39931930.00
20040428,8254.98,8399,8039,8399.34,8399.34,8173,17,196821894.00
20040501,8038.61,8391,7980,8390.97,8390.97,1607,5,38362920.00
20040504,7971.62,8385,7972,8385.27,8385.27,1025,3,24407350.00
20040505,8132.06,8374,7966,7978.99,7978.99,88762,97,2114553932.00
