date,open,high,low,last,close,vol,count,value
20010328,6454.81,7692,6455,7692.13,7692.13,23041,13,476326759.00
20010407,7692.13,7692,7692,7692.13,7692.13,441,4,10511235.00
20010408,7692.13,7694,7692,7693.74,7693.74,8818,11,210192927.00
20010409,7693.10,7694,7693,7694.07,7694.07,5812,8,138553834.00
20010410,7695.04,7702,7695,7702.14,7702.14,947,5,22595618.00
20010411,7714.08,7714,7714,7714.08,7714.08,1800,2,43025400.00
20010414,7745.38,7810,7745,7809.93,7809.93,2000,2,48200000.00
20010415,7811.86,7814,7812,7813.80,7813.80,797,4,19295878.00
20010416,7906.74,7907,7907,7906.74,7906.74,1262,8,30919000.00
20010417,7910.62,7912,7910,7911.91,7911.91,604,4,14805185.00
20010422,7947.08,7949,7947,7948.70,7948.70,431,3,10613864.00
20010423,7966.12,7968,7966,7967.74,7967.74,174,3,4295526.00
20010424,7978.71,7979,7979,7979.36,7979.36,714,2,17652348.00
20010425,7995.17,7995,7995,7995.17,7995.17,616,2,15260784.00
20010429,8194.94,8195,8195,8194.94,8194.94,3977,6,100987961.00
20010430,4258.99,8195,4259,8194.94,8194.94,2035,13,28075495.00
20010501,8399.54,8400,8400,8399.54,8399.54,630,9,16397010.00
20010506,8609.31,8609,8609,8609.31,8609.31,7183,10,191620891.00
20010507,8824.25,8824,8824,8824.25,8824.25,2732,6,74701076.00
20010512,8912.35,8912,8912,8912.35,8912.35,1077,4,29742432.00
20010513,9001.42,9001,9001,9001.42,9001.42,1032,2,28784544.00
20010515,9091.14,9091,9091,9091.14,9091.14,1065,2,30001050.00
20010516,9181.83,9182,9182,9181.83,9181.83,17499,16,497864049.00
20010520,9273.48,9273,9273,9273.48,9273.48,1386,4,39826710.00
20010523,9366.10,9366,9366,9366.10,9366.10,2392,3,69420624.00
20010529,9459.69,9460,9460,9459.69,9459.69,1116,6,32712192.00
20010530,9554.25,9554,9554,9554.25,9554.25,2124,9,62881020.00
