date,open,high,low,last,close,vol,count,value
20010416,2133.16,2149,2133,2149.12,2149.12,6229,15,196940245.00
20010418,2202.83,2203,2203,2202.83,2202.83,18849,85,613817685.00
20010421,2224.82,2225,2225,2224.82,2224.82,1075,5,35356750.00
20010422,2247.01,2247,2247,2247.01,2247.01,487,4,16177166.00
20010423,2269.46,2269,2269,2269.46,2269.46,372,5,12480600.00
20010430,2292.12,2292,2292,2292.12,2292.12,1060,16,35918100.00
20010502,2314.99,2315,2315,2314.99,2314.99,5492,8,187952716.00
20010512,2338.12,2338,2338,2338.12,2338.12,1500,3,51847500.00
20010513,2361.46,2361,2361,2361.46,2361.46,1646,12,57461860.00
20010519,2385.07,2385,2385,2385.07,2385.07,964,5,33989676.00
20010528,2408.88,2409,2409,2408.88,2408.88,1060,11,37747660.00
20010602,2432.96,2433,2433,2432.96,2432.96,1485,14,53410995.00
20010612,2457.24,2457,2457,2457.24,2457.24,540,7,19616040.00
20010616,2481.80,2482,2482,2481.80,2481.80,1187,11,43549843.00
20010618,2506.56,2507,2507,2506.56,2506.56,2114,13,78334270.00
20010709,3152.96,3247,2533,3167.10,3167.10,40297,168,1800083369.00
20010710,3198.76,3199,3199,3198.76,3198.76,19611,159,927364968.00
20010711,3230.69,3231,3231,3230.69,3230.69,1548673,125,73964622480.00
20010827,3043.99,3432,3044,3431.59,3431.59,3164,25,151110772.00
20010829,3465.89,3466,3466,3465.89,3465.89,1874,13,96018138.00
20010904,3500.52,3501,3501,3500.52,3500.52,3240,21,167666760.00
20010905,3535.49,3535,3535,3535.49,3535.49,1331,10,69566046.00
20010909,3570.80,3571,3571,3570.80,3570.80,1687,20,89053356.00
20010910,3606.45,3606,3606,3606.45,3606.45,1609,22,85783835.00
20010911,3642.50,3643,3643,3642.50,3642.50,11146,14,600189808.00
20010912,3678.90,3679,3679,3678.90,3678.90,1762,7,95828132.00
20010915,3715.63,3716,3716,3715.63,3715.63,7168,24,393731072.00
20010916,3752.76,3753,3678,3752.76,3752.76,27088,98,1486029102.00
20010917,3752.49,3752,3715,3720.36,3720.36,7897,25,435621460.00
20010918,3720.03,3720,3683,3720.30,3720.30,30994,57,1696710037.00
20010919,3719.75,3754,3720,3754.25,3754.25,16701,61,920175699.00
20010922,3754.39,3788,3754,3788.08,3788.08,1603,10,89705140.00
20010923,3790.65,3793,3789,3792.40,3792.40,4951,34,277441705.00
20010924,3792.54,3793,3792,3792.40,3792.40,4835,31,271093625.00
20010925,3792.20,3792,3755,3790.04,3790.04,2085,13,116379339.00
20010926,3754.32,3754,3752,3752.16,3752.16,2364,19,131165515.00
20010929,3714.68,3715,3715,3714.68,3714.68,1012,5,55573980.00
20010930,3677.54,3678,3678,3677.54,3677.54,1012,6,55018392.00
20011002,3640.81,3641,3641,3640.81,3640.81,3800,11,204527400.00
20011003,3604.42,3604,3604,3604.42,3604.42,3000,6,159855000.00
20011006,3568.43,3568,3568,3568.43,3568.43,1000,4,52753000.00
20011007,3532.79,3533,3533,3532.79,3532.79,1101,4,57500826.00
20011008,3497.48,3497,3497,3497.48,3497.48,1700,11,87896800.00
20011009,3462.50,3463,3463,3462.50,3462.50,1117,6,57175879.00
20011010,3427.94,3428,3428,3427.94,3427.94,700,3,35473200.00
20011013,3393.71,3394,3394,3393.71,3393.71,3800,12,190646000.00
20011014,3359.82,3360,3360,3359.82,3359.82,6649,14,330249181.00
20011016,3326.27,3382,3326,3382.21,3382.21,31865,107,1574975190.00
20011017,3416.03,3416,3416,3416.03,3416.03,11444,64,577922000.00
20011020,3450.19,3450,3450,3450.19,3450.19,1747,14,89103575.00
20011022,3484.69,3485,3485,3484.69,3484.69,2330,213,120029950.00
20011023,3519.53,3520,3520,3519.53,3519.53,1329,7,69147870.00
20011024,3554.70,3555,3555,3554.70,3554.70,1344,5,70627200.00
20011027,3590.22,3590,3568,3590.22,3590.22,7790,24,413407882.00
20011028,3626.07,3626,3626,3625.73,3625.73,27092,214,1452262406.00
20011029,3625.73,3626,3625,3625.39,3625.39,1246,17,66792729.00
20011030,3625.39,3628,3625,3626.61,3626.61,5266,106,282295919.00
20011031,3626.61,3627,3626,3627.22,3627.22,3804,22,203952126.00
20011103,3628.30,3632,3627,3632.49,3632.49,1564,13,83930766.00
20011104,3632.49,3669,3632,3668.82,3668.82,5606,13,303514918.00
20011105,3673.08,3705,3673,3705.48,3705.48,1439,5,78727815.00
20011106,3742.48,3742,3742,3742.48,3742.48,4174,8,230930724.00
20011107,3779.89,3780,3780,3779.89,3779.89,1750,10,97788250.00
20011110,3817.64,3818,3818,3817.64,3817.64,2782,9,157007734.00
20011111,3855.79,3856,3856,3855.52,3855.52,7124,43,406067780.00
20011112,3855.52,3856,3856,3855.65,3855.65,1030,6,58709040.00
20011114,3855.65,3856,3852,3852.34,3852.34,5443,40,310199379.00
20011119,3813.85,3814,3814,3813.85,3813.85,794,5,44766514.00
20011124,3775.76,3776,3776,3775.76,3775.76,2000,5,111636000.00
20011125,3738.02,3738,3738,3738.02,3738.02,4268,8,235849680.00
20011126,3700.68,3701,3701,3700.68,3700.68,5912,11,323433696.00
20011127,3663.68,3664,3664,3663.68,3663.68,3911,3,211823671.00
