date,open,high,low,last,close,vol,count,value
20160702,8154.02,8290,8154,8154.02,8255.95,12349,10,375109349.00
20160703,8154.57,8155,8154,8154.30,8154.57,1356,2,40683878.00
20160704,8154.30,8154,8154,8153.75,8154.02,690,2,20700380.00
20160709,8154.30,8154,8154,8154.30,8154.30,50,1,1500100.00
20160710,8154.30,8154,8154,8154.30,8154.30,565,2,16951130.00
20160711,8154.30,8154,8154,8154.30,8154.30,2187,2,65614374.00
20160713,8154.30,8154,8154,8154.30,8154.30,167,1,5010334.00
20160716,8154.30,8154,8154,8154.30,8154.30,1892,1,56763784.00
20160717,8154.30,8154,8154,8154.30,8154.30,3652,1,109567304.00
20160718,8154.30,8154,8154,8154.30,8154.30,2892,2,86765784.00
20160719,8154.30,8154,8154,8154.30,8154.30,1892,1,56763784.00
20160725,8154.30,8154,8154,8154.30,8154.30,1060,2,31802120.00
20160801,8154.30,8154,8154,8154.30,8154.30,1892,1,56763784.00
20160802,8154.30,8154,8154,8154.30,8154.30,1755,2,52653510.00
20160806,8154.30,8154,8154,8154.30,8154.30,4000,1,120008000.00
20160807,8154.30,8154,8154,8154.30,8154.30,3652,3,109567304.00
20160808,8154.57,8155,8154,8154.30,8154.57,13145,4,394384078.00
20160809,8154.30,8154,8154,8154.30,8154.30,2310,2,69304620.00
20160810,8154.57,8155,8154,8154.30,8154.57,22318,3,669604502.00
20160813,8154.57,8155,8155,8154.57,8154.57,1892,1,56765676.00
20160814,8154.57,8155,8155,8154.57,8154.57,1892,1,56765676.00
20160815,8154.30,8154,8154,8154.30,8154.30,5544,3,166331088.00
20160816,8154.30,8154,8154,8154.30,8154.30,3652,2,109567304.00
20160817,8154.30,8154,8154,8154.30,8154.30,1705,1,51153410.00
20160821,8154.30,8154,8154,8154.30,8154.30,3000,1,90006000.00
20160822,8154.57,8155,8155,8154.57,8154.57,1892,1,56765676.00
20160824,8154.57,8155,8155,8154.57,8154.57,1155,1,34653465.00
20160827,8154.30,8154,8154,8154.30,8154.30,1705,1,51153410.00
20160904,8153.75,8154,8154,8153.75,8153.75,400,1,12000000.00
20160906,8154.57,8155,8155,8154.57,8154.57,6127,1,183828381.00
20160907,8154.30,8154,8154,8154.30,8154.30,3652,4,109567304.00
20160911,8154.30,8154,8154,8154.30,8154.30,3000,1,90006000.00
20160913,8154.84,8155,8155,8154.84,8154.84,1892,1,56767568.00
20160917,8156.47,8156,8156,8156.47,8156.47,1705,1,51167050.00
20160918,8156.74,8157,8157,8156.74,8156.74,6666,2,200053326.00
20160924,8160.00,8160,8156,8155.65,8159.19,1205,2,36174435.00
20160926,8167.34,8167,8167,8167.34,8167.34,140,1,4207000.00
20160927,8156.47,8156,8156,8156.47,8156.47,4892,2,146808920.00
20160928,8156.47,8156,8156,8156.47,8156.47,1200,1,36012000.00
20161001,8156.47,8156,8156,8156.47,8156.47,1892,1,56778920.00
20161002,8156.47,8156,8156,8156.47,8156.47,1500,1,45015000.00
20161004,8159.19,8159,8159,8159.19,8159.19,1000,1,30020000.00
20161008,8159.19,8159,8159,8159.19,8159.19,1705,1,51184100.00
20161010,8159.19,8159,8159,8159.19,8159.19,315,1,9456300.00
20161017,8159.19,8159,8159,8159.46,8159.46,12754,3,382887334.00
20161022,8159.19,8159,8159,8159.19,8159.19,95,1,2851900.00
20161023,8159.19,8159,8156,8156.47,8157.28,5357,2,160780620.00
20161025,8159.19,8159,8156,8159.19,8157.56,4417,3,132573970.00
20161026,8156.47,8156,8156,8156.47,8156.47,3652,1,109596520.00
20161029,8156.74,8157,8157,8156.74,8156.74,4818,2,144592998.00
20161030,8157.01,8157,8157,8157.28,8157.28,18942,11,568504354.00
20161031,8157.28,8157,8157,8157.28,8157.28,14547,11,436599111.00
20161101,8157.28,8157,8157,8157.28,8157.28,7618,7,228639034.00
20161106,8157.56,8158,8158,8157.56,8157.56,1892,2,56786488.00
20161107,8157.56,8158,8158,8157.56,8157.56,1705,1,51173870.00
20161108,8157.56,8158,8158,8157.56,8157.56,12749,4,382648486.00
20161109,8157.56,8158,8154,8153.75,8154.02,3810,4,114305600.00
20161113,8153.75,8154,8154,8153.75,8153.75,3500,1,105000000.00
20161127,8153.75,8154,8154,8153.75,8153.75,5011,2,150330000.00
20161203,8153.75,8154,8154,8153.75,8153.75,1705,1,51150000.00
20161205,8153.75,8154,8154,8153.75,8153.75,1705,1,51150000.00
20161207,8153.75,8154,8154,8153.75,8153.75,1892,1,56760000.00
20161210,8154.02,8154,8154,8154.02,8154.02,4301,3,129034301.00
20161212,6795.06,6795,6795,6795.06,6795.06,38082,14,952088082.00
20161225,6795.06,6795,6795,6795.06,6795.06,3784,2,94603784.00
20161228,6794.79,6795,6795,6794.79,6794.79,2000,1,50000000.00
20170103,6795.06,6795,6795,6795.06,6795.06,3410,2,85253410.00
20170115,6794.79,6795,6795,6794.79,6794.79,2739,1,68475000.00
20170118,6795.06,6795,6795,6794.79,6795.06,22609,15,565246615.00
20170208,6794.79,6795,6795,6794.79,6794.79,3652,2,91300000.00
20170211,6794.79,6795,6795,6794.79,6794.79,30,1,750000.00
20170215,6794.79,6795,6795,6794.79,6794.79,200,1,5000000.00
20170218,6794.79,6795,6795,6794.79,6794.79,1892,1,47300000.00
20170219,6795.06,6795,6795,6795.06,6795.06,1705,1,42626705.00
20170222,6795.06,6795,6795,6795.06,6795.06,15000,1,375015000.00
20170226,6794.79,6795,6795,6795.06,6795.06,6634,7,165856434.00
20170228,6794.79,6795,6795,6794.79,6794.79,1892,1,47300000.00
20170318,7066.58,7067,7067,7066.58,7066.58,100,1,2600000.00
20170410,7610.17,7610,6795,6794.79,6839.91,1938,8,48771319.00
20170514,7701.98,7702,6052,6051.56,6595.92,18780,3,414300000.00
20170520,6054.31,6054,6052,6051.56,6594.00,200,2,4401300.00
20170523,6065.59,6066,6066,6065.59,6592.35,190,1,4189690.00
20170528,6054.58,6055,6055,6054.58,6402.00,21032,1,462935352.00
20170606,6326.63,6327,6052,6051.56,6386.87,2586,6,56905000.00
20170607,6051.56,6052,6052,6051.56,6380.82,1066,1,23452000.00
20170611,6051.56,6052,6052,6051.56,6346.98,6127,1,134794000.00
20170618,6464.16,6464,6327,6326.63,6347.26,210,2,4880000.00
20170625,6051.56,6052,6052,6051.56,6335.43,2373,6,52206000.00
20170703,6051.56,6052,6052,6051.56,6322.23,2739,2,60258000.00
20170705,6051.56,6052,6052,6051.56,6321.40,170,1,3740000.00
20170712,6051.83,6052,6052,6051.56,6312.87,1892,2,41625000.00
20170715,6051.56,6052,6052,6051.56,6211.37,23061,2,507342000.00
20170717,6051.56,6052,6052,6051.56,6051.56,2400,5,52800000.00
20170718,6052.11,6052,6052,6052.11,6052.11,6127,1,134806254.00
20170730,6051.56,6052,6052,6051.56,6051.56,35,1,770000.00
20170806,6051.56,6052,6052,6051.56,6051.56,1892,1,41624000.00
20170808,6051.56,6052,6052,6051.56,6051.56,1892,1,41624000.00
20170814,6051.83,6052,6052,6051.83,6051.83,5115,3,112535115.00
20170816,5776.49,5776,5776,5776.49,5776.49,1200,3,25200000.00
20170819,5776.49,5776,5776,5776.49,5776.49,6127,1,128667000.00
20170902,5776.49,5776,5776,5776.49,5776.49,1705,1,35805000.00
20170906,5776.49,6052,5776,6051.56,5776.49,21042,2,441892000.00
20170910,6051.56,6354,6052,6354.14,6082.92,2100,8,46439800.00
20170912,6051.56,6052,5777,5776.76,5779.79,5016,2,105395961.00
20170916,5776.49,5776,5776,5776.49,5776.49,3652,1,76692000.00
20170917,5776.49,5776,5776,5776.49,5776.49,137,1,2877000.00
20170920,5776.49,5776,5776,5776.49,5776.49,1705,1,35805000.00
20170923,5776.49,5776,5776,5776.49,5776.49,635,3,13335000.00
20170924,5776.49,5776,5776,5776.49,5776.49,782,1,16422000.00
20170926,5776.49,5776,5199,5198.84,5744.58,3047,3,63634200.00
20171014,5226.62,5227,5227,5226.62,5226.62,1892,1,35949892.00
20171015,5226.35,5226,5226,5226.35,5226.35,1892,1,35948000.00
20171028,5226.35,5226,5226,5226.35,5226.35,5570,1,105830000.00
20180129,5226.35,5226,5226,5226.35,5226.35,3652,5,69388000.00
20180203,5226.35,5226,5226,5226.35,5226.35,3147,3,59793000.00
20180205,5226.35,5226,5226,5226.35,5226.35,1166,1,22154000.00
20180207,5226.35,5226,5226,5226.35,5226.35,5744,3,109136000.00
20180212,5226.35,5226,5226,5226.35,5226.35,200,1,3800000.00
20180219,5226.62,5227,5227,5226.62,5226.62,19866,1,377473866.00
20180221,5226.35,5226,5226,5226.35,5226.35,10000,2,190000000.00
20180228,5226.35,5226,5226,5226.35,5226.35,10000,2,190000000.00
20180303,5225.52,5226,5226,5225.52,5225.52,1892,1,35942324.00
20180310,5225.24,5225,5225,5225.24,5225.24,7127,2,135384492.00
20180312,5225.24,5225,5225,5225.24,5225.24,7379,3,140171484.00
20180404,5225.24,5225,5225,5225.24,5225.24,19866,1,377374536.00
20180425,5030.72,5031,5031,5030.72,5218.54,8459,1,152262000.00
20180505,5030.72,5031,5031,5030.72,5030.72,2642,2,47556000.00
20180512,5031.00,5031,5031,5031.00,5031.00,6127,1,110292127.00
20180514,5031.00,5031,5031,5031.00,5031.00,4961,1,89302961.00
20180523,5031.00,5031,5031,5031.00,5031.00,1705,1,30691705.00
20180618,5031.00,5031,5031,5031.00,5031.00,60,1,1080060.00
20180620,5031.00,5031,5031,5030.72,5030.72,1595,2,28710440.00
20180625,5030.72,5031,5031,5030.72,5030.72,3952,2,71136000.00
20180627,5030.72,5031,5031,5030.72,5030.72,1148,2,20664000.00
20180704,5030.72,5031,5031,5030.72,5030.72,20352,2,366336000.00
20180725,5030.72,5031,5031,5030.72,5030.72,6831,4,122958000.00
20180730,5030.72,5031,5031,5030.72,5030.72,1000,1,18000000.00
20180801,5030.72,5031,5031,5030.72,5030.72,2000000,40,36000000000.00
20180804,5030.72,5031,5031,5030.72,5030.72,2000,1,36000000.00
20180806,5030.72,5031,5031,5030.72,5030.72,1800000,36,32400000000.00
20180827,5030.72,5031,5031,5030.72,5030.72,1705,1,30690000.00
20180903,5030.72,5031,5031,5030.72,5030.72,3058,2,55044000.00
20181013,5031.00,5031,5031,5031.00,5031.00,1000,4,18001000.00
20181015,5031.00,5031,5031,5031.00,5031.00,242,1,4356242.00
20181022,5031.00,5031,5031,5031.00,5031.00,81,1,1458081.00
20181105,5030.72,5031,5031,5030.72,5030.72,5284,7,95112000.00
20181114,5031.28,5031,5031,5031.28,5031.28,152,2,2736304.00
20181119,5031.84,5032,5032,5031.84,5031.84,1892,3,34063568.00
20181126,5032.40,5032,5032,5032.40,5032.40,910,2,16385460.00
20181208,5032.40,5032,5032,5032.40,5032.40,300,1,5401800.00
20181212,5032.96,5033,5033,5032.96,5032.96,1705,2,30703640.00
20181215,5034.08,5034,5034,5034.08,5034.08,1705,2,30710460.00
20181231,5034.64,5035,5035,5034.64,5034.64,2739,2,49340346.00
20190109,5034.64,5035,5035,5034.64,5034.64,300,1,5404200.00
20190130,5058.67,5059,5059,5058.67,5058.67,2500,1,45250000.00
20190204,5058.67,5063,5059,5063.14,5062.58,2952,5,53472912.00
20190213,5072.65,5073,5073,5072.65,5072.65,16104,2,292287600.00
20190225,5171.02,5171,5171,5171.02,5171.02,2104,2,38928208.00
20190506,5213.49,5213,5213,5213.49,5213.49,20,1,120320.00
20190612,5982.17,5982,5982,5982.17,5982.17,5676,3,39181428.00
20190917,6161.55,6162,6162,6161.55,6161.55,1010,2,7181100.00
20190923,6161.55,6162,6162,6161.55,6161.55,462,1,3284820.00
20191007,6346.14,6346,6346,6346.14,6346.14,468,3,3427164.00
20191012,6535.93,6536,6536,6535.93,6535.93,5676,2,42808392.00
20191016,6731.78,6732,6732,6731.78,6731.78,4876,4,37876768.00
20191111,6933.70,6934,6934,6933.70,6933.70,5676,2,45413676.00
20200122,7072.35,7072,7072,7072.35,7072.35,7500,1,61207500.00
20200302,7213.61,7214,7214,7213.61,7074.09,11352,4,94494048.00
20200304,7215.34,7215,7215,7215.34,7074.09,1180,2,9824680.00
20200307,7215.34,7215,7215,7215.34,7074.09,1600,1,13321600.00
20200317,7215.34,7215,7215,7215.34,7074.09,907,2,7551682.00
20200330,7356.60,7357,7357,7356.60,7074.09,657,1,5577273.00
20200415,7215.34,7215,7215,7215.34,7074.09,3576,1,29773776.00
20200421,7215.34,7215,7215,7215.34,7074.09,3036,1,25277736.00
20200425,7356.60,7357,7357,7356.60,7076.69,10956,1,93005484.00
20200426,7217.94,7218,7218,7217.94,7080.15,33600,5,279854400.00
20200506,7362.67,7363,7363,7362.67,7083.62,14556,2,123667776.00
20200510,7224.88,7225,7225,7224.88,7084.49,6000,1,50022000.00
20200512,7367.87,7368,7368,7367.87,7086.22,6000,1,51012000.00
20200601,7369.60,7370,7370,7369.60,7086.22,1000,1,8504000.00
20200606,7227.48,7227,7227,7227.48,7087.09,9115,2,76019100.00
20200608,7370.47,7370,7370,7370.47,7088.82,8910,2,75779550.00
20200614,7372.20,7372,7372,7372.20,7088.82,946,3,8047622.00
20200616,7230.08,7230,7230,7230.08,7090.55,12456,2,103920408.00
20200621,7373.93,7374,7374,7373.93,7090.55,521,5,4433189.00
20200622,7231.81,7232,7232,7231.81,7091.42,5676,1,47366220.00
20200627,7374.80,7375,7375,7374.80,7091.42,237,2,2016870.00
20200629,7232.68,7233,7233,7232.68,7091.42,1324,2,11050104.00
20200630,7232.68,7233,7233,7232.68,7091.42,2000,2,16692000.00
20200704,7232.68,7233,7233,7232.68,7091.42,3000,2,25038000.00
20200705,7232.68,7233,7233,7232.68,7091.42,3000,1,25038000.00
20200707,7374.80,7375,7375,7374.80,7091.42,700,2,5957000.00
20200708,7232.68,7233,7233,7232.68,7091.42,1500,1,12519000.00
20200712,7232.68,7233,7233,7232.68,7092.29,4000,1,33384000.00
20200715,7233.54,7234,7234,7233.54,7093.15,5700,2,47577900.00
20200718,7234.41,7234,7234,7234.41,7093.15,288,1,2404224.00
20200719,7376.53,7377,7377,7376.53,7094.89,7560,5,64350720.00
20200725,7378.26,7378,7378,7378.26,7094.89,810,1,6896340.00
20200729,7378.26,7378,7378,7378.26,7096.62,5931,3,50496534.00
20200804,7380.00,7380,7380,7380.00,7099.22,11352,2,96673632.00
20200809,7240.47,7240,7240,7240.47,7099.22,2739,1,22884345.00
20200826,7240.47,7240,7240,7240.47,7101.82,20495,5,171235725.00
20200906,7385.20,7385,7385,7385.20,7111.35,41942,3,357429724.00
20200907,7253.47,7253,7253,7253.47,7111.35,100,1,837000.00
20200909,7253.47,7253,7253,7253.47,7113.95,22308,3,186717960.00
20200912,7398.20,7398,7398,7398.20,7122.62,37682,4,321691234.00
20200916,7406.86,7407,7407,7406.86,7126.08,15179,1,129734913.00
20200920,7268.21,7268,7268,7268.21,7126.08,1676,1,14056612.00
20200922,7410.33,7410,7410,7410.33,7126.08,771,1,6592821.00
20200927,7268.21,7268,7268,7268.21,7126.95,5000,2,41935000.00
20200930,7269.07,7269,7269,7269.07,7126.95,20,1,167760.00
20201003,7269.07,7269,7269,7269.07,7128.68,12191,3,102258108.00
20201007,7270.81,7271,7271,7270.81,7128.68,320,2,2684800.00
20201013,7270.81,7271,7271,7270.81,7129.55,5115,1,42914850.00
20201019,7271.67,7272,7272,7271.67,7131.28,17626,2,147899766.00
20201124,7273.37,7273,7273,7273.37,7132.21,7920,1,62029440.00
20201125,7417.31,7417,7417,7417.31,7132.21,15,1,119805.00
20201206,7417.31,7417,7417,7417.31,7137.78,26647,4,212829589.00
20201208,7279.87,7280,7280,7279.87,7138.71,5676,1,44494164.00
20201215,7280.80,7281,7281,7280.80,7139.64,5115,1,40101600.00
20201221,7281.73,7282,7282,7281.73,7141.50,16467,5,129117747.00
20201227,7283.58,7284,7284,7283.58,7141.50,2089,2,16384027.00
20201229,7283.58,7284,7284,7283.58,7141.50,2174,2,17050682.00
20210105,7283.58,7284,7284,7283.58,7141.50,3465,1,27175995.00
20210207,7426.60,7427,7427,7426.60,7143.36,7519,2,60129443.00
20210220,7428.46,7428,7428,7428.46,7151.71,37057,2,296418943.00
20210224,7437.74,7438,7438,7437.74,7153.57,6635,2,53139715.00
20210314,7439.60,7440,7440,7439.60,7157.29,16050,2,128576550.00
20210316,7300.30,7300,7300,7300.30,7157.29,3144,3,24714984.00
20210317,7300.30,7300,7300,7300.30,7157.29,3500,1,27513500.00
20210425,7300.30,7300,7300,7300.30,7158.21,10956,1,86125116.00
20210428,7444.25,7444,7444,7444.25,7160.07,7000,1,56112000.00
20210501,7303.09,7303,7303,7303.09,7160.07,3995,2,31416680.00
20210502,7303.09,7303,7303,7303.09,7160.07,3961,2,31149304.00
20210503,7303.09,7303,7303,7303.09,7160.07,4000,2,31456000.00
20210508,7303.09,7303,7303,7303.09,7160.07,3000,1,23592000.00
20210509,7303.09,7303,7303,7303.09,7161.00,4550,3,35781200.00
20210728,7304.00,7304,7304,7304.00,7162.00,5676,1,41457504.00
20210801,7305.00,7305.00,7305.00,7305.00,7162.00,2417,1,17656185.00
