date,open,high,low,last,close,vol,count,value
20200304,5567.42,5567,5567,5567.42,5567.42,33999895,1619279,676597910500.00
20200307,5845.79,5846,5846,5845.79,5576.09,78618,3801,1642723110.00
20200309,5854.74,5855,5855,5854.74,5785.92,1890989,4310,39572726803.00
20200310,6075.20,6075,6075,6075.20,5796.83,94237,4560,2046356455.00
20200311,6086.67,6087,6087,6086.67,5811.66,129598,6294,2819534088.00
20200314,6102.06,6102,6102,6102.06,5843.83,265950,7394,5800635450.00
20200315,6135.91,6136,6136,6135.91,5857.82,115449,4319,2532027468.00
20200316,6150.46,6150,6150,6150.46,5878.25,167696,7150,3686628864.00
20200317,6172.00,6172,6172,6172.00,5895.31,139199,6684,3070869139.00
20200318,6189.91,6190,6190,6189.91,5915.45,163570,7874,3618986250.00
20200324,6211.17,6211,6211,6211.17,5935.32,159841,7670,3548630041.00
20200325,6231.87,6232,6232,6231.87,5960.50,200518,9609,4466538450.00
20200328,6258.45,6258,6258,6258.45,5994.07,265057,12596,5929325090.00
20200329,6293.70,6294,6294,6293.70,6031.84,296388,13954,6667544448.00
20200330,6333.43,6333,6333,6333.43,6065.41,262220,12474,5936136360.00
20200404,6368.68,6369,6369,6368.68,6106.82,315750,15074,7187733000.00
20200405,6412.05,6412,6412,6412.05,6156.62,376461,16635,8628109659.00
20200406,6464.36,6464,6464,6464.36,6231.59,561740,26862,12979564440.00
20200407,6542.98,6543,6543,6542.98,6313.29,605661,28339,14164593807.00
20200408,6628.87,6629,6629,6628.87,6410.65,710566,32497,16836150804.00
20200411,6730.98,6731,6731,6730.98,6456.53,312884,14611,7527676156.00
20200412,6779.10,6779,6779,6779.10,6495.70,265035,12212,6422063085.00
20200413,6820.23,6820,6820,6820.23,6573.75,525159,21455,12802326102.00
20200414,6902.20,6902,6902,6902.20,6786.10,1411254,57518,34817047434.00
20200415,7125.18,7125,7125,7125.18,6888.21,657842,31414,16753920056.00
20200418,7232.61,7233,7233,7232.61,6940.25,306483,14016,7923198516.00
20200419,7287.17,7287,7287,7287.17,7002.92,366976,13117,9558623872.00
20200420,7352.91,7353,7353,7352.91,7064.19,354804,13877,9324958728.00
20200421,7417.26,7417,7417,7417.26,7106.44,243586,11684,6457952032.00
20200422,7461.74,7462,7462,7461.74,7158.75,298670,10346,7965827570.00
20200425,7516.58,7517,7517,7516.58,7202.40,238015,10531,6394749005.00
20200426,7562.46,7562,7562,7562.46,7263.11,329230,13105,8899416130.00
20200427,7626.25,7626,7626,7626.25,7333.61,379425,15686,10342746075.00
20200428,7700.11,7700,7700,7700.11,7416.70,443254,16041,12199679842.00
20200429,7787.40,7787,7787,7787.40,7473.49,299424,14238,8334467040.00
