date,open,high,low,last,close,vol,count,value
20190904,9507.64,9508,9508,9507.64,9507.64,11600000,613,116000000000.00
20190916,10078.09,10078,10078,10078.09,10078.09,307075,13,3254995000.00
20190917,10380.44,10380,10380,10380.44,10380.44,56133,7,612860094.00
20190918,10380.44,10380,9799,10154.16,10271.10,3656959,552,39506280229.00
20190921,10350.96,10380,9776,10380.44,10113.27,1961214,403,20861514609.00
20190922,10379.49,10380,10175,10380.44,10374.73,832720,149,9086618773.00
20190923,10380.44,11003,10380,11003.19,10858.67,15466,11,176630018.00
20190924,11333.10,11333,11010,11333.10,11331.20,2046207,177,24387598470.00
20190925,11670.62,11671,11515,11670.62,11670.62,721431,84,8855426430.00
20190928,12020.50,12021,12021,12020.50,12020.50,2110,4,26676730.00
20190929,12380.84,12381,12255,12380.84,12375.14,1682395,284,21898349253.00
20190930,12745.94,12746,12746,12745.94,12745.94,3601,5,48275006.00
20191001,13128.14,13128,13128,13128.14,13128.14,374329,24,5168734832.00
20191002,13500.84,13522,13168,13521.76,13499.89,380983,80,5409408417.00
20191005,13903.97,13904,13904,13903.97,13903.97,256695,34,3753907680.00
20191006,14320.40,14320,14309,14320.40,14320.40,1892506,206,28504151724.00
20191007,14749.20,14749,14749,14749.20,14749.20,741,3,11495133.00
20191008,15191.30,15191,14307,15191.30,15037.28,2170156,397,34322445339.00
20191009,14746.34,15488,14746,15487.94,15436.60,358571,151,5821886685.00
20191012,15895.82,15900,15697,15899.62,15894.87,915728,277,15308966206.00
20191013,16310.35,16310,15419,15418.53,15511.71,1056509,309,17236682739.00
20191014,15046.79,15047,15047,15046.79,15046.79,21842,30,345671492.00
20191015,14596.12,14596,14596,14596.12,14596.12,9382,5,144032464.00
20191016,14158.77,14159,14159,14158.77,14158.77,19268,9,286939056.00
20191020,13451.40,13451,13451,13451.40,13451.40,5075,2,71801100.00
20191021,13048.28,13591,13048,13282.17,13064.44,1535215,194,21095959057.00
20191022,13456.16,13456,12673,12747.84,13055.89,373887,106,5134309577.00
20191023,13311.64,13447,12740,13215.61,13123.39,559215,192,7718953606.00
20191026,13451.40,13501,12740,13453.31,13109.13,478951,100,6603568294.00
20191028,13500.84,13502,12716,12716.46,12894.26,1003456,309,13608814350.00
20191030,13168.08,13280,12531,13031.17,13020.71,1290284,522,17670118878.00
20191102,13028.31,13168,12631,12928.48,12808.69,324962,153,4377790955.00
20191103,12939.89,12997,12551,12742.13,12840.06,221378,92,2989624025.00
20191104,12645.16,12853,12455,12456.91,12517.75,202870,92,2671046879.00
20191105,12435.04,12834,12360,12550.08,12665.12,115378,46,1536996298.00
20191109,12359.93,12854,12333,12455.00,12537.72,80196,43,1057574827.00
20191110,12455.00,12721,12162,12449.30,12306.68,400637,146,5185913265.00
20191111,12671.78,12676,12222,12675.58,12657.52,1654966,470,22032386389.00
20191112,12976.97,13037,12741,13036.87,13034.02,938406,295,12864946917.00
