date,open,high,low,last,close,vol,count,value
20040717,1017.65,1018,1018,1017.65,1017.65,458921,480,6424894000.00
20040718,1068.53,1069,1026,1025.93,1025.93,1359,2,19976714.00
20040719,1077.18,1077,1032,1032.11,1032.11,1000,2,14818380.00
20040720,1083.65,1084,1084,1083.65,1083.65,38720,32,577237760.00
20040724,1137.80,1138,1087,1086.85,1086.85,500,3,7825799.00
20040725,1141.14,1141,1141,1141.14,1141.14,55800,61,876004200.00
20040726,1198.13,1198,1151,1151.39,1151.39,1510,7,24882900.00
20040727,1208.96,1209,1209,1208.96,1208.96,90800,44,1510185600.00
20040728,1269.37,1269,1269,1269.37,1269.37,63089,19,1101723207.00
20040731,1332.83,1333,1333,1332.83,1332.83,80990,32,1485032640.00
20040801,1399.41,1399,1399,1399.41,1399.41,201477,153,3878835204.00
20040802,1448.55,1449,1381,1418.24,1418.24,142840,137,2786978560.00
20040803,1380.29,1415,1373,1386.54,1386.54,97823,71,1865988384.00
20040804,1332.83,1417,1317,1347.58,1347.58,68551,71,1270923840.00
20040807,1280.27,1327,1280,1327.23,1327.23,2510,4,44215090.00
20040808,1341.84,1342,1261,1291.47,1291.47,16010,13,284453522.00
20040809,1226.92,1356,1227,1309.20,1309.20,21656,27,390053646.00
20040810,1374.55,1375,1244,1299.61,1299.61,19450,23,347749863.00
20040811,1234.77,1364,1235,1302.37,1302.37,1397,6,25299099.00
20040927,1235.71,1236,1236,1235.71,1235.71,22768,17,387059000.00
20040928,1173.93,1175,1174,1174.07,1174.07,8787,14,141930070.00
20040929,1174.07,1174,1163,1174.07,1174.07,6822,12,110194856.00
20041002,1163.02,1165,1163,1164.62,1164.62,7162,15,114608778.00
20041004,1164.41,1165,1164,1164.55,1164.55,510,2,8169710.00
20041005,1162.59,1164,1163,1163.61,1163.61,5260,15,84171389.00
20041006,1163.02,1164,1163,1163.53,1163.53,810,2,12960070.00
20041009,1163.53,1164,1164,1163.53,1163.53,2500,5,40017500.00
20041011,1163.53,1164,1164,1163.53,1163.53,10546,10,168809822.00
