date,open,high,low,last,close,vol,count,value
20010325,315.59,316,316,315.59,315.59,1172,1,4746600.00
20010326,315.59,316,316,315.59,315.59,64,1,259200.00
20010328,315.91,316,316,316.14,316.14,1933,3,7841782.00
20010331,315.91,316,316,315.98,315.98,6237,8,25292450.00
20010403,316.37,316,316,316.37,316.37,5000,1,20300000.00
20010407,316.53,317,316,315.91,315.91,8576,14,34823168.00
20010408,316.37,316,316,316.37,316.37,9876,15,40091982.00
20010409,316.53,317,316,316.61,316.61,7445,12,30238560.00
20010410,319.49,319,317,319.41,319.41,125890,35,515837905.00
20010411,319.34,319,317,319.49,319.49,10314,13,42039218.00
20010414,319.49,319,319,319.41,319.41,48429,16,198557955.00
20010415,319.41,323,317,322.69,322.69,73768,35,304567596.00
20010416,327.28,334,323,334.30,334.30,11184,16,47471036.00
20010417,335.08,351,335,343.73,343.73,41072,31,184353653.00
20010418,360.87,361,353,352.69,352.69,75416,63,348539847.00
20010421,358.45,359,353,358.45,358.45,49535,59,227477820.00
20010422,362.35,363,358,358.45,358.45,47218,48,218186519.00
20010423,357.28,358,352,355.34,355.34,19182,32,87550268.00
20010424,355.34,355,353,354.56,354.56,9449,15,42872290.00
20010425,354.40,358,218,358.38,358.38,159306,306,540920100.00
20010428,358.38,362,358,359.31,359.31,22066,24,101879567.00
20010429,356.27,356,347,346.69,346.69,19822,23,89284538.00
20010430,342.87,343,339,342.25,342.25,3792,9,16582916.00
20010501,335.08,335,325,325.34,325.34,11543,16,48658507.00
20010502,311.70,325,309,312.63,312.63,20488,39,81879253.00
20010505,315.59,327,313,323.54,323.54,8323,8,34488484.00
20010506,323.62,327,324,327.28,327.28,25949,28,108107536.00
20010507,326.89,328,324,328.37,328.37,5311,12,22342276.00
20010508,329.62,341,330,335.08,335.08,35117,49,151092109.00
20010509,335.08,335,334,333.52,333.52,1271,7,5461355.00
20010512,333.44,333,331,331.49,331.49,7013,10,29872907.00
20010513,331.49,332,327,331.96,331.96,16810,19,71156185.00
20010515,324.95,325,201,324.95,324.95,24266,48,77375810.00
20010516,324.95,325,322,324.95,324.95,41242,36,171841714.00
20010519,323.47,325,321,323.39,323.39,21567,31,89319974.00
20010520,319.57,323,318,323.31,323.31,24933,44,102486318.00
20010521,323.23,324,323,323.78,323.78,94778,34,393334943.00
20010523,324.40,335,324,335.47,335.47,17125,30,72820511.00
20010526,335.86,343,336,342.87,342.87,4759,13,20868560.00
20010527,342.87,345,343,345.21,345.21,24130,18,106566961.00
20010528,345.21,352,345,346.06,346.06,42016,42,188495046.00
20010529,346.06,346,344,345.05,345.05,33623,37,149017301.00
20010530,342.63,343,343,342.63,342.63,1330,3,5848010.00
20010602,341.70,342,339,338.89,338.89,2606,6,11388966.00
20010603,334.92,335,325,327.28,327.28,16629,38,69613408.00
20010606,324.95,327,325,325.88,325.88,16060,46,67375317.00
20010609,327.21,335,326,329.15,329.15,36868,31,155809829.00
20010611,335.00,343,329,335.08,335.08,39769,42,173890973.00
20010612,335.31,337,335,336.95,336.95,8866,28,38280084.00
20010613,336.95,339,335,335.08,335.08,67310,45,292208035.00
20010616,335.08,335,335,334.92,334.92,5178,16,22254491.00
20010617,332.43,332,325,325.73,325.73,38455,42,161217810.00
20010618,325.73,330,325,329.62,329.62,27842,62,116465789.00
20010710,292.22,292,273,292.22,292.22,194971,44,730736747.00
20010711,292.22,297,292,296.50,296.50,86035,54,322788720.00
20010714,301.57,302,298,301.49,301.49,23459,40,90556218.00
20010715,300.79,301,300,300.79,300.79,52170,44,201588254.00
20010716,297.44,301,296,300.01,300.01,26662,40,102526851.00
20010717,300.01,301,298,301.41,301.41,38455,68,147402776.00
20010718,301.65,312,302,302.66,302.66,60671,47,238349227.00
20010721,303.05,312,303,308.58,308.58,28076,38,111689742.00
20010722,308.66,315,309,308.89,308.89,20648,32,82530771.00
20010723,311.70,312,309,311.70,311.70,6007,20,23965216.00
20010724,317.15,318,312,315.52,315.52,17112,21,69387310.00
20010725,317.93,319,316,317.39,317.39,8349,21,34101976.00
20010728,317.85,319,318,317.70,317.70,13054,17,53408576.00
20010729,317.85,318,316,316.76,316.76,43953,27,178844414.00
20010730,316.76,319,317,317.15,317.15,16197,22,66151828.00
20010731,317.54,320,318,319.88,319.88,13227,29,54117714.00
20010801,318.40,319,317,319.49,319.49,58462,51,239154732.00
20010804,318.32,319,318,319.49,319.49,17478,27,71629727.00
20010805,319.65,323,320,323.39,323.39,38666,29,160425372.00
20010806,320.35,323,320,323.39,323.39,27320,25,113311815.00
20010807,323.00,323,323,323.47,323.47,12879,17,53444998.00
20010808,325.80,327,324,326.50,326.50,15213,24,63637083.00
20010811,326.27,327,326,327.36,327.36,24829,32,104098486.00
20010812,343.02,343,327,330.79,330.79,11268,18,48236669.00
20010813,333.05,346,330,342.87,342.87,16019,22,70137914.00
20010814,350.66,351,343,346.84,346.84,5489,20,24324549.00
20010815,347.00,352,347,347.86,347.86,11940,17,53675424.00
20010818,348.09,348,343,346.76,346.76,21564,33,95712059.00
20010819,343.80,347,344,346.76,346.76,14347,24,63675410.00
20010820,346.76,347,347,346.76,346.76,27587,32,122757528.00
20010821,346.76,347,347,346.84,346.84,54296,36,241658104.00
20010822,346.76,347,347,346.76,346.76,24652,24,109696028.00
20010825,342.56,347,343,346.76,346.76,37186,27,165222842.00
20010826,346.76,347,347,346.76,346.76,44601,38,198474450.00
20010827,346.76,347,335,336.79,336.79,4906,10,21704639.00
20010828,336.87,346,337,339.60,339.60,61255,54,267165861.00
20010829,339.83,340,339,339.99,339.99,8988,24,39181091.00
20010901,340.06,340,333,332.74,332.74,22675,27,97826393.00
20010902,331.96,332,327,331.88,331.88,16692,13,70974410.00
20010903,323.31,332,319,331.88,331.88,14233,36,59758534.00
20010904,331.80,332,329,331.88,331.88,29000,20,123231371.00
20010908,325.80,332,326,331.88,331.88,33328,50,140535546.00
20010909,325.02,332,325,331.88,331.88,14637,19,61398240.00
20010910,330.71,332,327,331.88,331.88,6659,21,28086115.00
20010911,331.88,332,330,331.88,331.88,9528,19,40563992.00
20010912,331.88,332,328,328.06,328.06,3200,8,13508644.00
20010915,326.50,332,312,331.80,331.80,51305,41,216290781.00
20010919,319.88,331,320,331.18,331.18,93989,74,392738851.00
