date,open,high,low,last,close,vol,count,value
20010403,565.36,565,565,565.36,565.36,300,4,1137000.00
20010421,539.85,541,540,541.49,541.49,21155,15,76668195.00
20010422,541.49,565,541,565.21,565.21,4390,7,16568840.00
20010423,565.21,567,565,566.85,566.85,1000,4,3795240.00
20010425,559.40,559,559,559.40,559.40,3323,3,12461200.00
20010428,559.25,567,559,566.85,566.85,166276,36,627999097.00
20010429,581.77,582,567,567.15,567.15,188613,33,721971700.00
20010430,576.25,595,576,595.49,595.49,40000,21,155560000.00
20010501,625.18,625,625,625.18,625.18,1716,3,7191756.00
20010502,656.36,656,656,656.36,656.36,31000,24,136400000.00
20010505,689.17,689,689,689.17,689.17,1000,1,4620000.00
20010506,723.63,724,724,723.63,723.63,1500,3,7276500.00
20010507,759.73,760,759,759.73,759.73,382500,106,1948063500.00
20010508,797.62,798,798,797.62,797.62,8190,6,43791930.00
20010616,1023.32,1343,1014,1019.44,1019.44,150207,63,1061773599.00
20010617,1019.59,1030,1020,1029.59,1029.59,52025,44,358798150.00
20010618,1039.88,1040,1030,1036.75,1036.75,265107,156,1846719690.00
20010619,1036.75,1046,1037,1045.55,1045.55,136738,100,954713900.00
20010620,1051.66,1056,1052,1055.99,1055.99,107860,87,763091237.00
20010623,1059.12,1066,1056,1066.43,1066.43,24400,27,173630000.00
20010624,1077.02,1077,1077,1077.02,1077.02,19725,19,142414500.00
20010625,1087.76,1088,1088,1087.76,1087.76,11500,17,83858000.00
20010626,1098.50,1099,1099,1098.50,1098.50,28500,30,209874000.00
20010627,1109.39,1109,1109,1109.39,1109.39,74882,53,556897434.00
20010630,1120.43,1120,1120,1120.43,1120.43,36050,37,270771550.00
20010701,1131.62,1132,1132,1131.62,1131.62,34000,33,257924000.00
20010702,1142.81,1143,1143,1142.81,1142.81,64000,54,490304000.00
20010703,1154.14,1154,1154,1154.14,1154.14,67266,61,520437042.00
20010704,1165.63,1166,1143,1142.66,1142.66,225935,139,1740826729.00
20010707,1131.32,1147,1131,1142.66,1142.66,222159,136,1688036173.00
20010708,1151.61,1154,1152,1153.99,1153.99,66917,31,517637912.00
20010709,1165.48,1165,1165,1165.48,1165.48,16098,20,125773674.00
20010710,1177.12,1177,1177,1177.12,1177.12,57600,57,454516139.00
20010711,1188.75,1189,1189,1188.75,1188.75,19334,30,154072646.00
20010819,1491.57,1507,1268,1461.89,1461.89,84723,99,832946356.00
20010820,1416.98,1462,1389,1389.09,1389.09,45764,50,433859197.00
20010821,1385.36,1385,1343,1342.55,1342.55,553,3,5021372.00
20010822,1342.25,1365,1339,1357.91,1357.91,52157,51,472937833.00
20010825,1357.76,1395,1358,1390.58,1390.58,18133,29,168041018.00
20010826,1380.59,1391,1372,1372.38,1372.38,14592,36,135089933.00
20010827,1344.19,1344,1320,1327.63,1327.63,22223,32,197975000.00
20010828,1327.63,1328,1320,1320.02,1320.02,21002,42,186381665.00
20010829,1312.86,1313,1298,1297.80,1297.80,15493,14,136156845.00
20010901,1290.34,1296,1275,1275.42,1275.42,1700,6,14628700.00
20010902,1263.49,1268,1223,1223.21,1223.21,37670,19,311422020.00
20010903,1212.77,1213,1210,1209.79,1209.79,25325,37,205737745.00
20010904,1193.82,1194,1186,1185.77,1185.77,25470,27,202909344.00
20010905,1178.31,1178,1134,1150.27,1150.27,50860,45,394276190.00
20010908,1151.76,1208,1150,1207.70,1207.70,98906,105,776051594.00
20010909,1223.21,1223,1208,1211.43,1211.43,87376,68,714788170.00
20010910,1211.43,1211,1156,1156.68,1156.68,23339,23,183286814.00
20010911,1148.62,1158,1126,1126.25,1126.25,18407,29,141310055.00
20010912,1104.02,1107,1074,1082.54,1082.54,22153,44,160533668.00
20010915,1090.60,1104,1089,1103.87,1103.87,15565,15,113838520.00
20010916,1092.54,1093,1074,1074.04,1074.04,16020,24,116117960.00
20010917,1020.34,1020,1020,1020.34,1020.34,4000,2,27360000.00
20010918,1018.84,1019,999,1001.24,1001.24,22797,30,153173907.00
20010919,1044.20,1051,1014,1051.22,1051.22,22533,27,155346770.00
