date,open,high,low,last,close,vol,count,value
20180801,2361.00,2361,2361,2361.00,2361.00,14037158,349,35092895000.00
20180804,2549.88,2550,2550,2549.88,2549.88,7843149,394,21176502300.00
20180806,3116.52,3117,3117,3116.52,3116.52,4427504,405,14610763200.00
20180808,3305.40,3305,3164,3163.74,3296.90,2864541,289,9999063150.00
20180811,3163.74,3164,3032,3031.53,3130.69,1066213,126,3534363690.00
20180813,3012.64,3098,3013,3097.64,3022.08,1165365,123,3729020850.00
20180815,3178.85,3306,3179,3306.35,3195.85,2600741,231,8801984646.00
20180818,3494.28,3590,3494,3589.67,3512.23,1677975,185,6240221096.00
20180820,3597.22,3597,3390,3390.40,3554.73,486520,102,1831447619.00
20180825,3494.28,3779,3494,3778.55,3671.83,536109,65,2084171614.00
20180827,4060.92,4108,4061,4108.14,4061.87,2081772,229,8954619600.00
20180829,4467.96,4468,4468,4467.96,4242.25,444461,57,2102744991.00
20180901,4325.36,4666,4325,4666.29,4495.35,4444364,468,21153266532.00
20180902,4943.94,4945,4495,4816.45,4864.61,2858647,422,14725870588.00
20180903,4864.61,4865,4378,4553.90,4537.85,1942386,367,9332325285.00
20180904,4991.16,4991,4627,4626.62,4857.05,4144068,1042,21311153596.00
20180905,4662.51,4883,4441,4759.78,4676.67,3608752,760,17870310903.00
20180908,4962.83,4963,4750,4814.56,4809.83,2619739,587,13341157876.00
20180909,4863.67,5192,4779,5006.27,4999.66,2048731,482,10845465669.00
20180910,5033.66,5499,5034,5499.25,5445.42,1833215,334,10569876573.00
20180911,5987.50,5989,5678,5988.45,5911.95,1862318,366,11657498530.00
20180912,6412.48,6412,5912,6045.11,6169.77,2615325,551,17086626253.00
20180915,6421.93,6422,5855,6044.17,6231.16,1993106,501,13150825231.00
20180916,6044.17,6327,5609,6129.16,6023.39,1403803,423,8953284690.00
20180917,6610.81,6611,6044,6233.05,6216.05,1985892,419,13071844246.00
20180918,6271.77,6272,5761,5836.40,5954.45,1044441,360,6585553935.00
20180922,6194.33,6549,6124,6374.71,6424.76,1356571,394,9228284819.00
20180923,6818.58,6837,6375,6780.80,6636.31,1089406,380,7655083298.00
20180924,6988.57,7299,6847,7299.28,7180.28,633062,147,4812882607.00
20180925,7898.03,7898,7898,7898.03,7898.03,54422,6,455131186.00
20180930,8687.55,9555,7820,9056.81,8703.60,1940467,461,17884286217.00
20181001,9566.78,9567,7900,9349.57,8951.03,2509969,606,23790386252.00
20181002,9340.13,9340,8057,8056.69,8261.62,398375,157,3485072951.00
20181003,7436.21,8499,7436,7439.05,7638.32,1671349,466,13517662271.00
20181006,7555.21,8027,6875,6875.24,7310.61,535052,220,4142095992.00
20181007,6579.64,6875,6580,6579.64,6608.92,622633,136,4357073711.00
20181008,5948.78,5949,5949,5948.78,5948.78,270037,131,1700963063.00
20181009,5354.75,6535,5355,6138.61,5917.62,2033718,517,12742371485.00
20181010,5949.73,5969,5326,5326.42,5454.86,1306589,335,7547347954.00
20181013,5118.65,6000,5119,5999.78,5690.96,2473873,626,14907370365.00
20181014,6259.49,6259,6259,6259.49,6259.49,423315,103,2805731820.00
20181015,6884.68,6885,6885,6884.68,6884.68,313986,61,2288957940.00
20181016,7573.15,7573,7573,7573.15,7573.15,101563,40,814433697.00
20181017,8328.67,8329,7573,7573.15,8327.73,389997,52,3438799841.00
20181028,8499.61,8500,7650,7649.65,7849.86,315204,55,2619998600.00
20181029,7065.06,7065,7065,7065.06,7065.06,153131,34,1145573011.00
20181031,6610.81,7664,6611,7412.60,7238.83,1854294,546,14213984614.00
20181103,7646.82,7690,7239,7540.10,7490.05,1492285,429,11834688464.00
20181104,7555.21,7616,6741,6925.29,7039.57,587700,246,4380578046.00
20181105,7554.26,7554,7018,7139.67,7236.95,404356,144,3098476696.00
20181106,7319.11,7687,6941,7460.77,7527.82,845086,423,6736507929.00
20181110,7177.45,7635,6854,7008.40,7110.40,341212,207,2569114738.00
20181111,6846.91,7064,6400,7035.79,6701.47,925839,305,6569562923.00
20181112,6987.62,6989,6505,6987.62,6876.18,465092,161,3386379095.00
20181113,6726.02,7212,6726,6799.69,6973.46,406624,175,3002507114.00
20181114,7166.12,7366,6894,7243.56,7202.95,608982,261,4644490469.00
20181117,7243.56,7244,6483,6610.81,6706.19,618619,236,4393018250.00
20181118,6894.13,6894,6036,6256.66,6301.04,481089,179,3209737869.00
20181119,6421.93,6771,6421,6515.42,6561.70,194378,110,1350573605.00
20181120,6563.59,7177,6378,6977.24,6870.52,647923,217,4713559608.00
20181121,7168.00,7168,6612,6621.20,6809.13,163379,85,1177893867.00
20181124,7016.90,7024,6470,6610.81,6530.53,130456,82,902047486.00
20181126,6336.93,6781,5878,5969.56,6056.44,305494,122,1959019970.00
20181127,6233.05,6662,5667,6661.81,6476.70,449574,243,3083364705.00
20181128,6752.47,7079,6668,6969.68,6927.18,616577,340,4522856751.00
20181201,7270.94,7271,6425,6872.41,6725.08,235825,150,1679293088.00
20181202,6916.79,6917,6615,6845.02,6767.58,383119,107,2745284391.00
20181203,6845.02,7260,6845,7101.90,7051.84,546425,232,4080424218.00
20181204,6865.80,7225,6621,6709.03,6949.85,364277,142,2680771932.00
20181205,6799.69,6988,6567,6702.41,6646.69,540795,168,3806026161.00
20181208,6717.53,6804,6634,6778.91,6741.14,85265,39,608664072.00
20181209,6799.69,6846,6668,6774.19,6738.30,103902,70,741382106.00
20181210,6705.25,6779,6327,6458.76,6472.93,263034,113,1802813928.00
20181212,6703.36,6703,6337,6648.58,6546.59,246689,105,1710155398.00
20181215,6327.49,6709,6242,6421.93,6487.09,253527,147,1741483043.00
20181216,6329.38,6649,6205,6374.71,6405.87,293908,162,1993459047.00
20181217,6186.77,6696,6187,6667.47,6633.47,425572,185,2989123960.00
20181218,6743.02,6743,6422,6440.82,6507.87,143980,70,992140349.00
20181219,6450.26,6608,5865,6384.15,6484.26,320301,118,2199066332.00
20181222,6384.15,6564,6225,6515.42,6382.26,144151,106,974145744.00
20181223,6547.53,6667,6409,6408.71,6537.14,98510,101,681929167.00
20181224,6544.70,6573,6091,6393.60,6342.60,661566,247,4443403787.00
20181225,6185.83,6474,6186,6233.05,6228.33,185764,58,1225100780.00
20181226,6185.83,6611,6144,6497.48,6319.93,743616,272,4976580212.00
20181229,6231.16,6611,6164,6394.54,6377.54,274647,163,1854600818.00
20181230,6516.37,6535,6349,6493.70,6496.54,179366,116,1233833300.00
20181231,6516.37,7145,6474,7145.34,6932.85,1432540,466,10516508726.00
20190101,7432.44,7626,7273,7626.04,7524.99,3169972,899,25259506470.00
20190102,8276.73,8277,8037,8276.73,8261.62,1541401,380,13484562419.00
20190105,8762.15,9066,8339,8971.81,8810.32,3070717,897,28647654749.00
20190106,8565.72,9444,8566,9066.25,9095.53,2914228,645,28066748211.00
20190107,9727.33,10005,8972,10004.99,9803.83,1453578,468,15089850595.00
20190108,10784.12,10784,10784,10784.12,10784.12,73650,32,841009350.00
20190112,11861.68,12181,11862,12180.89,12043.00,443342,103,5653435586.00
20190113,12278.16,12278,10839,11326.20,11263.87,1929295,851,23009884187.00
20190114,11519.80,12390,11342,12389.60,12149.72,1294892,559,16658573420.00
20190115,13316.06,13316,12563,13249.00,13172.51,2097763,1040,29258632445.00
20190116,13977.14,13977,12749,13146.06,13209.34,1081636,732,15129304252.00
20190119,13174.40,13174,11889,12022.23,12147.83,1593238,910,20493757113.00
20190120,11668.08,12466,10933,11177.93,11431.03,1196925,579,14487578698.00
20190121,11238.37,11238,10288,10288.31,10447.91,1052639,526,11645637555.00
20190122,9632.89,11492,9633,11492.42,11238.37,1424294,530,16949054210.00
20190123,12088.33,12362,11711,12362.21,12313.10,735755,532,9592416424.00
20190126,12560.53,13544,12561,13542.71,13402.94,1160658,668,16472126403.00
20190127,13693.82,14743,13222,14743.05,14497.50,1827617,884,28055037921.00
20190128,15110.42,15498,13048,13112.06,13907.25,2557079,1323,37655456983.00
20190129,13406.72,13407,12517,12517.09,12536.92,681536,299,9047579588.00
20190130,11296.93,12592,11297,11614.24,11756.85,1961778,969,24421291356.00
20190202,12045.84,12412,10863,10912.55,11410.25,1294339,687,15638240863.00
20190203,10955.05,11474,10303,10624.51,10548.02,897641,615,10025501054.00
20190204,10548.96,11602,10549,11601.97,11446.14,538221,205,6523489504.00
20190205,12590.76,12591,11899,12277.21,12388.65,1574410,859,20653034368.00
20190206,12182.77,12843,11551,11729.46,12073.22,1624791,647,20772133438.00
20190210,11729.46,12158,10955,11285.59,11248.76,828077,527,9862928793.00
20190212,11087.27,11796,11087,11521.69,11516.03,381763,314,4655360388.00
20190213,11479.20,11597,10861,11058.94,11150.54,382410,363,4515197718.00
20190216,11427.25,11427,10579,10739.73,10805.84,524226,470,5998254767.00
20190217,11143.93,11144,10576,10827.56,10755.78,312582,261,3560089101.00
20190218,9869.94,11126,9870,10861.56,10843.61,512641,289,5886271187.00
20190219,10861.56,11805,10862,11238.37,11244.98,724830,378,8630336634.00
20190220,10786.95,11333,10719,10718.95,10865.33,217988,197,2507856307.00
20190223,10672.68,11049,9822,10567.85,10607.51,671712,412,7544547119.00
20190224,9984.21,10955,9984,10293.97,10350.64,584395,439,6405025692.00
20190225,10360.08,10846,10294,10388.41,10534.79,389274,312,4342454556.00
20190226,10660.40,10660,9982,10435.63,10472.46,415161,320,4603889186.00
20190227,10548.02,10813,10199,10577.29,10440.35,464252,394,5132083715.00
20190302,10530.07,10849,10388,10388.41,10427.13,313511,177,3461320868.00
20190303,10108.87,11470,10109,11469.75,11232.71,1768957,770,21040728228.00
20190304,12277.21,12315,11144,11294.09,11717.18,1336743,804,16585150914.00
20190305,11427.25,11578,10955,11200.60,11201.54,293876,335,3485761840.00
20190306,11030.60,11314,10388,10933.33,10721.79,564189,446,6405061908.00
20190309,10955.05,11425,10870,10955.05,11112.77,460986,297,5424471341.00
20190310,11048.55,12088,10341,11332.81,11533.97,1505714,1003,18389573065.00
20190311,11427.25,11799,10946,10975.83,11373.42,590155,465,7107147123.00
20190312,11143.93,11331,11001,11001.33,11053.27,314848,191,3685101335.00
20190313,11323.37,11323,10765,10765.23,10980.55,328219,283,3816318714.00
20190316,11040.05,11144,10577,10756.73,10661.34,345295,319,3897993823.00
20190317,10942.78,10943,10388,10621.68,10652.84,317463,253,3581126963.00
20190318,10577.29,11427,10505,11227.04,11116.55,248455,313,2924467060.00
20190319,11238.37,11286,10578,10578.24,10921.05,189156,223,2187313042.00
20190325,10955.05,10971,10628,10649.07,10707.62,265509,220,3010216926.00
20190326,10954.11,10954,9916,10813.39,10633.01,466982,343,5257947655.00
20190327,10718.95,11474,10719,10964.50,11091.99,408586,402,4798866672.00
20190330,11087.27,11695,10966,11248.76,11317.70,493407,392,5913098441.00
20190331,11332.81,11661,10917,11077.82,11219.49,1024066,638,12165768101.00
20190406,11219.49,11285,10908,10907.83,11015.49,721825,505,8419251029.00
20190407,11238.37,11286,10909,10992.83,11100.49,712491,543,8374768363.00
20190408,10992.83,11233,10917,10955.05,11007.94,477414,352,5564571724.00
20190409,11049.49,11096,10861,10912.55,10965.44,748651,578,8692688135.00
20190410,11096.71,12062,11097,12061.89,11832.40,5291418,2023,66293695075.00
20190413,13014.79,13015,12561,13014.79,13012.90,12376391,1989,170536394580.00
20190414,13221.62,13694,12183,13231.06,13085.62,4606554,2376,63826354358.00
20190415,13316.06,14072,12542,12654.97,13111.12,2921936,1621,40565893833.00
20190416,12938.30,12938,11805,11805.01,12290.44,2037537,1277,26516263223.00
20190417,11711.52,13173,11428,12843.85,12687.08,3288758,1257,44180645504.00
20190420,13221.62,13519,12749,13221.62,13116.79,4086302,2151,56755565224.00
20190422,13519.10,13519,12136,12324.43,12732.42,1741295,1243,23476622816.00
20190423,12324.43,12985,12183,12236.61,12423.60,850940,637,11194000614.00
20190424,12557.70,12608,12088,12277.21,12284.77,1221864,727,15894073577.00
20190427,12371.65,13127,12195,12756.03,12864.63,1621788,1007,22091302686.00
20190428,12749.41,13411,12740,12749.41,13006.29,1471167,971,20261599508.00
20190429,12994.96,13000,12513,12748.47,12632.31,1775134,1124,23744426783.00
20190430,12756.03,12938,12277,12413.21,12491.59,1956558,1043,25879519516.00
20190501,12466.09,12696,12279,12434.93,12442.48,1624872,968,21407971945.00
20190504,12674.81,13127,12627,12750.36,12788.14,1810526,1014,24515649910.00
20190505,12938.30,13210,12419,12431.15,12813.63,2323503,1168,31524254166.00
20190506,12433.04,12745,11533,11720.02,11917.40,1833202,1112,23133029124.00
20190507,11437.64,11805,10727,10726.51,10859.67,1333467,693,15333424793.00
20190508,10388.41,11802,10388,11802.18,11249.71,1434318,791,17085607796.00
20190511,11897.57,12087,10861,11512.25,11600.08,1258940,693,15464135759.00
20190512,11512.25,11805,10577,11125.04,10825.67,1176204,629,13483149642.00
20190513,11323.37,11324,10766,11096.71,11136.38,796559,419,9392956960.00
20190514,11331.87,11711,11248,11455.59,11502.81,871596,548,10615924199.00
20190515,11547.19,11547,10804,11002.27,11017.38,1584131,842,18481004401.00
20190518,12118.55,12119,12109,12118.55,12118.55,2959788,739,37979951544.00
20190519,12938.30,13220,12279,12843.85,12743.75,4733704,2200,63874407047.00
20190520,13013.85,13014,11616,12133.67,12143.11,1182924,854,15210220122.00
20190521,12276.27,12797,12013,12097.78,12225.27,1048087,796,13567982338.00
20190522,12297.99,12298,11474,11634.08,11632.19,1308961,1037,16123052959.00
20190525,11701.13,11890,11182,11525.47,11359.26,1017527,707,12239003823.00
20190526,11786.13,11943,11570,11756.85,11764.40,975319,714,12149976029.00
20190528,12277.21,12277,11757,11852.23,11946.67,1056130,704,13360489093.00
20190529,12041.11,12088,11522,11663.35,11616.13,1320271,777,16239503155.00
20190601,11877.73,12087,11333,12060.00,11720.02,1278190,594,15862240865.00
20190602,11710.57,12797,11711,11711.52,12240.38,2818018,1299,36522957801.00
20190603,11715.30,12466,11715,11833.35,12061.89,1954255,1010,24959844138.00
20190608,12182.77,12183,10955,11483.92,11366.81,1666552,1116,20058969206.00
20190609,11805.01,12126,11796,11991.06,11955.17,1037937,613,13139712789.00
20190610,12163.89,12205,11476,11805.01,11776.68,1161572,806,14484645787.00
20190611,12012.78,12205,11531,12181.83,11883.40,1602790,862,20168210849.00
20190612,12466.09,13071,12132,13071.46,12972.29,3349446,1489,46009325154.00
20190615,13640.93,14269,12972,14268.96,13834.53,3673909,2025,53818814994.00
