date,open,high,low,last,close,vol,count,value
20171225,9969.90,9970,9970,9969.90,9969.90,23562887,863,235628870000.00
20171226,9969.90,9970,9970,9969.90,9969.90,6602402,260,66024020000.00
20171227,9969.90,9970,9970,9969.90,9969.90,12131422,630,121314220000.00
20180113,10076.58,10095,10077,10083.56,10092.53,34360,29,347809760.00
20180114,10092.53,10110,10093,10110.47,10109.48,10040509,120,101809633663.00
20180115,10109.48,10169,10109,10117.45,10121.44,303471,118,3080799587.00
20180116,10114.46,10114,10089,10088.54,10103.50,362705,28,3675774899.00
20180117,10094.52,10127,10095,10127.42,10119.45,284270,76,2885219382.00
20180120,10108.48,10129,10108,10116.46,10126.43,2475127,89,25138644152.00
20180121,10113.47,10139,10113,10131.41,10128.42,120692,40,1226057246.00
20180122,10134.40,10139,10131,10139.39,10131.41,106534,7,1082631258.00
20180123,10146.37,10163,10146,10162.32,10149.36,1518350,77,15456987914.00
20180124,10169.30,10188,10169,10187.24,10174.28,1428887,38,14581564495.00
20180127,10191.23,10198,10176,10178.27,10187.24,132354,33,1352439420.00
20180128,10192.23,10198,10188,10188.24,10191.23,3895,9,39816485.00
20180129,10214.16,10214,10186,10214.16,10207.18,1440722,39,14750508797.00
20180130,10209.18,10217,10194,10210.17,10209.18,315186,16,3227392902.00
20180131,10195.22,10213,10195,10213.16,10205.19,3810,8,39000040.00
20180203,10219.15,10219,10162,10162.32,10204.19,1999779,59,20467180245.00
20180204,10171.29,10172,10149,10152.35,10156.34,95519,14,973034049.00
20180205,10156.34,10198,10149,10198.21,10177.27,164484,49,1679015511.00
20180206,10160.32,10169,10150,10167.30,10164.31,2043402,136,20833078839.00
20180207,10169.30,10179,10164,10174.28,10174.28,62102,37,633764438.00
20180210,10182.26,10209,10181,10209.18,10199.21,802200,32,8206546800.00
20180212,10194.22,10204,10190,10204.19,10191.23,618768,17,6324881568.00
20180213,10191.23,10198,10186,10187.24,10188.24,293170,16,2995926047.00
20180214,10188.24,10192,10169,10172.29,10188.24,2250858,37,23001903465.00
20180217,10205.19,10205,10157,10158.33,10202.20,10800,4,110515300.00
20180218,10149.36,10169,10149,10168.30,10169.30,949963,35,9689513440.00
20180219,10189.24,10207,10168,10204.19,10185.25,2647937,81,27052516307.00
20180221,10208.18,10217,9970,10209.18,10119.45,865004,64,8779524900.00
20180224,10219.15,10234,10219,10227.12,10230.11,4192693,60,43023272982.00
20180225,10231.11,10244,10231,10244.07,10242.08,559659,20,5749229675.00
20180226,10253.04,10253,10237,10237.09,10242.08,61150,4,628208200.00
20180227,10239.09,10239,10224,10234.10,10231.11,365662,9,3752391310.00
20180228,10237.09,10237,10217,10217.15,10231.11,1522812,26,15626552576.00
20180303,10239.09,10239,10234,10234.10,10234.10,3713600,69,38120604000.00
20180304,10225.13,10230,10219,10219.15,10230.11,10025069,147,102866874442.00
20180305,10241.08,10250,10237,10239.09,10241.08,12333640,233,126685547164.00
20180306,10250.05,10268,10220,10220.14,10246.07,133547,8,1372484153.00
20180307,10238.09,10246,10221,10231.11,10241.08,133830,17,1374762240.00
20180310,10236.10,10236,10204,10217.15,10236.10,234152,18,2404034058.00
20180311,10239.09,10242,10236,10241.08,10238.09,1324011,54,13596444530.00
20180312,10253.04,10253,10196,10229.12,10222.14,728832,36,7472967157.00
20180313,10210.17,10212,10210,10212.17,10212.17,2154,4,22063164.00
20180314,10216.16,10233,10208,10233.10,10213.16,555169,32,5687070216.00
20180317,10232.11,10243,10232,10239.09,10237.09,451185,17,4632776450.00
20180318,10245.07,10279,9972,10230.11,10228.12,202050,11,2072852050.00
20180319,10269.00,10359,10249,10288.94,10266.01,976768,40,10058182003.00
20180325,10289.93,10314,10290,10313.86,10289.93,20100,2,207454500.00
20180326,10291.93,10299,10289,10298.91,10296.91,152650,17,1576503500.00
20180327,10299.90,10319,10289,10288.94,10316.85,1269427,47,13135982337.00
20180403,10333.80,10334,10301,10301.90,10300.90,211400,7,2184238000.00
20180404,10292.92,10329,10283,10328.82,10294.92,25063,8,258801780.00
20180407,10298.91,10334,10259,10278.97,10282.95,244741,16,2524171645.00
20180408,10273.98,10289,10257,10257.03,10284.95,131100,6,1352468800.00
20180409,10237.09,10266,10237,10246.07,10262.02,282632,19,2909241410.00
20180410,10278.97,10286,10238,10238.09,10282.95,60951,10,628646360.00
20180411,10322.83,10323,10246,10246.07,10259.03,1010600,49,10398974700.00
20180415,10227.12,10259,10227,10241.08,10258.03,2100210,39,21609354080.00
20180416,10223.13,10236,10209,10209.18,10227.12,14968,6,153543664.00
20180417,10250.05,10250,10240,10250.05,10250.05,96814,14,995339734.00
20180418,10276.97,10277,10277,10276.97,10276.97,107000,4,1102956000.00
20180421,10305.88,10329,10306,10308.88,10322.83,230000,6,2381480000.00
20180422,10302.89,10303,10259,10259.03,10277.97,71144,8,733432031.00
20180423,10294.92,10323,10259,10259.03,10313.86,278123,12,2877139722.00
20180424,10283.95,10339,10253,10338.79,10318.85,865633,39,8959664950.00
20180425,10313.86,10318,10290,10289.93,10311.87,73000,5,755009000.00
20180428,10313.86,10314,10286,10285.94,10312.86,176770,10,1828471290.00
20180429,10285.94,10287,10286,10286.94,10285.94,330431,18,3409069527.00
20180430,10288.94,10289,10282,10286.94,10286.94,223200,6,2302975203.00
20180501,10284.95,10285,10285,10284.95,10284.95,76000,3,784016000.00
20180505,10269.99,10295,10270,10294.92,10294.92,910010,12,9396763010.00
20180506,10270.99,10271,10271,10270.99,10270.99,3990,2,41104980.00
20180507,10308.88,10313,10309,10312.86,10309.87,784160,16,8109151040.00
20180508,10312.86,10313,10312,10312.86,10312.86,590000,13,6102900000.00
20180509,10328.82,10330,10319,10318.85,10326.82,612000,11,6339277000.00
20180512,10328.82,10334,10329,10333.80,10333.80,295590,8,3063787400.00
20180513,10322.83,10323,10323,10322.83,10322.83,5000,1,51770000.00
20180514,10348.76,10418,10349,10417.55,10380.66,76110,6,792491723.00
20180515,10339.78,10404,10340,10403.59,10371.69,100,2,1040300.00
20180520,10418.54,10464,10419,10464.41,10464.41,750050,28,7872522500.00
20180522,10393.62,10394,10355,10354.74,10360.72,670,2,6962520.00
20180526,10388.63,10389,10389,10388.63,10388.63,200000,3,2084000000.00
20180527,10376.67,10377,10377,10376.67,10376.67,9000,5,93672000.00
20180528,10370.69,10371,10371,10370.69,10370.69,100,1,1040200.00
20180529,10386.64,10387,10370,10369.69,10386.64,360000,5,3750310000.00
20180530,10381.66,10402,10382,10401.60,10400.60,539685,13,5629959700.00
20180602,10430.51,10431,10382,10381.66,10430.51,501772,6,5249451836.00
