date,open,high,low,last,close,vol,count,value
20010425,2933.80,2934,2934,2933.80,2933.80,1000,1,7000000.00
20010812,3080.49,3080,3080,3080.49,3080.49,500,2,3675000.00
20010904,3234.30,3234,3234,3234.30,3234.30,500,1,3858500.00
20010905,3234.30,3234,3234,3234.30,3234.30,250,1,1929250.00
20010908,3234.30,3234,3234,3234.30,3234.30,150,1,1157550.00
20010916,3395.66,3396,3396,3395.66,3395.66,2000,1,16204000.00
20011007,3393.98,3396,3394,3395.66,3395.66,6550,7,53055500.00
20011008,3395.66,3396,3396,3395.66,3395.66,65,1,526630.00
20011010,3565.40,3565,3565,3565.40,3565.40,500,1,4253500.00
20011111,3743.52,3744,3744,3743.52,3743.52,1000,1,8932000.00
20011127,3930.45,3930,3930,3930.45,3930.45,1000,1,9378000.00
20021124,1697.41,1697,1697,1697.41,1697.41,1000,1,4050000.00
20021125,1676.45,1676,1676,1676.45,1676.45,10000,1,40000000.00
20021130,1676.45,1676,1676,1676.45,1676.45,2750,1,11000000.00
20021201,1676.45,1676,1676,1676.45,1676.45,5145,3,20580000.00
20021202,1676.45,1760,1676,1760.28,1760.28,2200,2,9200000.00
20021203,1802.19,1802,1802,1802.19,1802.19,16683,11,71736900.00
20021207,1844.10,1844,1844,1844.10,1844.10,4187,3,18422800.00
20021208,1844.10,1844,1844,1844.10,1844.10,813,1,3577200.00
20021209,1823.14,1823,1823,1823.14,1823.14,2900,1,12615000.00
20021210,1823.14,1823,1823,1823.14,1823.14,565,2,2457750.00
20021216,1823.14,1823,1823,1823.14,1823.14,200,1,870000.00
20021217,1823.14,1823,1823,1823.14,1823.14,100,1,435000.00
20021218,1823.14,1823,1823,1823.14,1823.14,228,1,991800.00
20021221,1823.14,1823,1823,1823.14,1823.14,250,1,1087500.00
20021224,1822.31,1823,1822,1823.14,1823.14,746,3,3244608.00
20030106,1914.09,1914,1914,1914.09,1914.09,1000,1,4567000.00
20030111,2009.65,2010,2010,2009.65,2009.65,870,1,4171650.00
20030113,2109.82,2110,2110,2109.82,2109.82,200,1,1006800.00
20030203,1676.45,1676,1676,1676.45,1676.45,1000,1,4000000.00
20030209,1760.28,1760,1760,1760.28,1760.28,1000,1,4200000.00
20030308,1848.29,1848,1848,1848.29,1848.29,1000,1,4410000.00
20030309,1940.50,1940,1940,1940.50,1940.50,813,1,3764190.00
20030318,2037.31,2037,2037,2037.31,2037.31,765,1,3718665.00
20030319,2138.74,2139,2139,2138.74,2138.74,3000,2,15309000.00
20030428,2139.16,2139,2139,2139.16,2139.16,222,2,1133088.00
20030517,2139.16,2139,2139,2139.16,2139.16,5425,4,27689200.00
20030521,2137.48,2137,2137,2137.48,2137.48,50,1,255000.00
20030525,2137.06,2137,2137,2137.06,2137.06,500,1,2549500.00
20030608,2134.13,2179,2134,2179.39,2179.39,9321,6,48031940.00
20030624,2175.20,2200,2175,2200.35,2200.35,7190,4,37682600.00
20030629,2305.13,2305,2305,2305.13,2305.13,2000,2,11000000.00
20030903,2303.87,2305,2304,2304.71,2304.71,13600,6,74780199.00
20030908,2304.71,2305,2305,2304.71,2304.71,100,1,549900.00
20030921,2304.71,2305,2200,2224.66,2224.66,7910,5,41777080.00
20030922,2200.35,2200,2158,2168.08,2168.08,9010,9,46611730.00
20031004,2171.01,2171,2168,2168.08,2168.08,142,2,735490.00
20031007,2276.21,2276,2216,2215.85,2215.85,4010,3,21776870.00
20031011,2276.21,2276,2219,2218.79,2218.79,510,2,2768440.00
20031018,2291.71,2292,2219,2218.79,2218.79,43,2,233384.00
20031025,2290.04,2301,2290,2298.00,2298.00,10310,9,56533830.00
20031026,2298.00,2298,2298,2298.00,2298.00,1600,1,8772800.00
20031028,2367.99,2368,2297,2318.12,2318.12,32510,21,179842010.00
20031209,2346.20,2389,2346,2376.79,2376.79,12138,7,68841054.00
20031230,2376.79,2377,2377,2376.79,2376.79,10000,2,56710000.00
20031231,2376.79,2377,2377,2376.79,2376.79,1472,1,8347712.00
20040106,2376.79,2377,2377,2376.79,2376.79,7500,3,42532500.00
20040110,2376.79,2377,2377,2376.79,2376.79,10000,1,56710000.00
20040114,2376.79,2377,2377,2376.79,2376.79,5250,1,29772750.00
20040128,1844.10,1844,1844,1844.10,1844.10,1000,1,4400000.00
20040218,1759.86,1843,1760,1842.84,1842.84,110,2,463870.00
20040307,1751.06,1835,1751,1835.30,1835.30,720,2,3010170.00
20040329,1743.93,1744,1744,1743.93,1743.93,9100,1,37865100.00
20040410,1656.76,1671,1657,1671.43,1671.43,10010,3,39569880.00
