date,open,high,low,last,close,vol,count,value
20010407,85.49,85,85,85.47,85.47,4330,11,36766660.00
20010408,85.47,85,85,85.47,85.47,2500,6,21225000.00
20010410,86.09,86,86,86.09,86.09,544,1,4651744.00
20010414,87.61,89,88,88.59,88.59,1907,3,16692714.00
20010415,89.10,90,89,89.60,89.60,9507,3,84182300.00
20010416,90.61,91,91,90.61,90.61,1800,1,16200000.00
20010417,91.11,91,91,91.11,91.11,2000,1,18100000.00
20010421,91.11,91,91,91.11,91.11,140,1,1267000.00
20010422,91.12,91,91,91.11,91.11,6478,13,58625258.00
20010424,91.11,91,91,91.11,91.11,907,1,8208350.00
20010428,91.62,92,92,91.61,91.61,3670,11,33399000.00
20010429,91.61,92,92,91.61,91.61,4000,7,36400000.00
20010430,91.60,92,92,91.58,91.58,6443,11,58619423.00
20010501,91.59,92,92,91.59,91.59,3020,3,27476310.00
20010502,91.56,92,92,91.56,91.56,2000,3,18190000.00
20010506,91.50,92,92,91.50,91.50,408,1,3708312.00
20010507,91.41,91,91,91.41,91.41,3418,7,31035440.00
20010509,91.35,91,91,91.35,91.35,500,1,4537000.00
20010513,91.11,91,91,91.11,91.11,557,2,5040850.00
20010515,90.10,91,89,91.10,91.10,20991,32,187037658.00
20010516,91.10,91,91,91.11,91.11,3178,10,28759993.00
20010519,91.11,91,91,91.20,91.20,9749,23,88224950.00
20010520,91.20,91,91,91.20,91.20,553,4,5009627.00
20010521,91.12,91,91,91.12,91.12,848,1,7675248.00
20010527,91.04,91,91,91.37,91.37,5110,9,46252538.00
20010528,91.34,91,91,91.34,91.34,7000,7,63511000.00
20010529,91.31,91,91,91.30,91.30,680,2,6167200.00
20010603,91.09,91,91,91.09,91.09,500,1,4524000.00
20010612,86.54,87,87,86.55,86.55,63332,90,544403779.00
20010613,86.56,87,87,86.56,86.56,4606,11,39602388.00
20010617,90.55,91,91,90.55,90.55,3000,1,26985000.00
20010619,90.50,91,90,90.49,90.49,3150,3,28318300.00
20010625,89.60,90,90,89.60,89.60,4000,7,35600000.00
20010627,88.59,89,89,88.59,88.59,1000,1,8800000.00
20010709,88.44,88,88,88.44,88.44,907,1,7967995.00
20010717,87.38,87,87,87.38,87.38,436,2,3784480.00
20010718,87.35,87,87,87.35,87.35,220,1,1908940.00
20010722,87.31,87,87,87.31,87.31,90,1,780570.00
20010731,83.56,84,83,82.95,82.95,5789,11,47997280.00
20010801,82.96,87,83,86.47,86.47,5100,9,43435100.00
20010805,86.47,87,86,87.47,87.47,5565,12,48199925.00
20010806,87.44,87,87,87.44,87.44,10435,11,90631410.00
20010807,87.44,87,87,87.44,87.44,5399,7,46895714.00
20010808,87.55,88,88,87.55,87.55,907,1,7888179.00
20010811,87.55,88,88,87.55,87.55,2174,5,18907278.00
20010812,87.55,88,88,87.55,87.55,1350,3,11793950.00
