date,open,high,low,last,close,vol,count,value
20010325,300.39,300,300,300.39,300.39,2822,5,4244288.00
20010326,299.79,300,299,299.99,299.99,26318,15,39518812.00
20010327,299.99,300,297,299.99,299.99,20147,17,30170194.00
20010328,299.99,300,300,299.99,299.99,8739,9,13125978.00
20010331,299.99,300,300,300.19,300.19,11000,3,16540260.00
20010403,303.58,304,302,303.58,303.58,8722,8,13212638.00
20010407,303.58,304,304,304.38,304.38,2028,2,3090560.00
20010408,312.17,320,305,319.56,319.56,43937,27,68724726.00
20010409,319.56,336,320,329.94,329.94,35269,24,58423210.00
20010410,331.54,340,332,339.53,339.53,31057,22,52146704.00
20010411,339.53,340,340,339.53,339.53,4000,4,6800000.00
20010414,338.13,338,338,338.13,338.13,10,1,16930.00
20010415,335.14,335,335,335.34,335.34,1890,3,3172960.00
20010416,334.34,334,319,319.36,319.36,7978,12,12791843.00
20010417,313.57,320,314,319.56,319.56,13579,15,21524622.00
20010418,319.76,325,320,324.55,324.55,19583,17,31581274.00
20010421,324.55,325,320,319.96,319.96,5271,4,8473955.00
20010422,319.96,325,320,325.15,325.15,49113,27,79169019.00
20010423,329.55,330,326,330.14,330.14,41895,16,68955910.00
20010424,334.54,335,335,334.54,334.54,39000,18,65354000.00
20010425,334.54,336,335,335.54,335.54,38256,30,64188800.00
20010428,339.13,350,337,347.52,347.52,120781,60,207953651.00
20010429,347.12,347,342,345.32,345.32,31524,25,54386592.00
20010430,339.53,340,336,335.54,335.54,37587,35,63839460.00
20010501,338.93,339,336,335.54,335.54,5434,7,9159997.00
20010502,335.54,336,335,335.54,335.54,10384,17,17431779.00
20010505,335.34,338,335,337.53,337.53,47236,25,79578701.00
20010506,337.53,338,338,337.53,337.53,34210,18,57815435.00
20010507,337.73,340,338,337.73,337.73,44265,31,74951100.00
20010508,337.13,338,332,337.73,337.73,14766,17,24940700.00
20010509,337.53,340,334,333.74,333.74,14998,9,25266358.00
20010512,333.74,334,330,333.34,333.34,34548,26,57631108.00
20010513,333.54,339,334,333.54,333.54,21248,15,35744393.00
20010515,333.14,338,331,337.93,337.93,39158,29,65275367.00
20010516,337.33,355,337,354.71,354.71,175826,64,310174510.00
20010519,357.51,365,357,360.30,360.30,42287,19,76082957.00
20010520,360.30,367,360,359.50,359.50,62411,40,113836488.00
20010521,357.31,360,356,355.51,355.51,44473,26,79797242.00
20010523,359.10,360,356,355.51,355.51,28457,21,51088976.00
20010526,358.90,363,356,362.50,362.50,57575,30,104315997.00
20010527,362.90,364,363,364.50,364.50,56946,26,103757163.00
20010528,364.30,364,360,359.50,359.50,34785,11,62860924.00
20010529,356.51,357,342,343.53,343.53,20855,11,36810532.00
20010530,346.72,360,344,359.50,359.50,82315,38,147654529.00
20010602,359.30,360,354,359.50,359.50,34545,23,61793381.00
20010603,359.50,363,360,363.50,363.50,45929,29,82992344.00
20010606,363.50,363,360,359.50,359.50,65521,32,118247965.00
20010609,361.50,369,360,369.49,369.49,184791,60,335029396.00
20010611,369.49,385,369,379.68,379.68,154364,64,293870403.00
20010612,380.67,384,380,383.47,383.47,31228,17,59803592.00
20010613,389.26,399,389,397.45,397.45,135924,69,269144206.00
20010616,397.45,399,384,393.06,393.06,11486,13,22843856.00
20010617,379.48,379,373,373.48,373.48,54154,25,101591610.00
20010618,373.48,373,367,372.49,372.49,42932,24,79870172.00
20010619,372.49,375,372,372.29,372.29,71078,24,132613371.00
20010620,372.29,379,365,379.48,379.48,55353,28,104552637.00
20010623,388.46,388,382,387.47,387.47,32444,21,62703228.00
20010624,385.27,386,376,376.48,376.48,48209,28,91451729.00
20010625,376.48,376,370,369.69,369.69,30747,20,57341494.00
20010626,371.89,375,370,375.08,375.08,42805,26,79967156.00
20010627,371.89,372,360,367.49,367.49,75537,49,136468403.00
20010630,367.49,367,360,363.50,363.50,61334,63,111548175.00
20010701,363.50,365,361,364.70,364.70,46230,29,84061883.00
20010702,361.70,365,360,364.50,364.50,36535,35,66296083.00
20010703,364.30,364,350,364.10,364.10,144187,66,259343464.00
20010805,378.88,387,365,369.49,369.49,43000,27,81139000.00
20010806,363.50,363,355,356.31,356.31,118365,71,211665669.00
20010807,359.10,365,357,361.50,361.50,73443,46,132779851.00
20010808,365.30,373,362,373.48,373.48,97349,53,179999927.00
20010811,379.48,385,375,383.47,383.47,102903,68,196608513.00
20010812,384.27,389,384,389.46,389.46,75664,53,145927582.00
20010813,389.46,390,386,389.46,389.46,79748,39,155343419.00
20010814,389.46,389,379,379.48,379.48,59818,22,114986248.00
20010815,379.48,381,379,381.07,381.07,35157,16,66862860.00
20010818,381.27,386,381,385.87,385.87,48452,23,92903130.00
20010819,386.47,391,386,389.46,389.46,112806,46,219937165.00
20010820,389.86,390,387,386.67,386.67,81372,31,158765416.00
20010821,385.47,386,380,383.47,383.47,38274,13,73544585.00
20010822,383.47,383,378,377.68,377.68,19770,10,37586570.00
20010825,377.88,383,378,382.47,382.47,30424,17,58028175.00
20010826,379.88,380,380,380.08,380.08,30089,14,57236387.00
20010827,380.47,380,377,377.48,377.48,30545,18,57821002.00
20010828,373.28,374,373,373.28,373.28,24970,12,46711230.00
20010829,362.90,370,362,361.50,361.50,46118,22,83811622.00
20010901,359.50,360,359,359.50,359.50,49824,25,89686915.00
20010902,359.70,360,360,360.10,360.10,22573,20,40661818.00
20010903,360.10,360,360,360.10,360.10,7923,6,14286269.00
20010904,360.10,360,360,360.10,360.10,7500,5,13522500.00
20010905,358.51,360,357,360.30,360.30,24815,14,44583656.00
20010908,361.70,365,361,360.50,360.50,77190,41,140182420.00
20010909,360.90,361,361,360.70,360.70,18080,11,32647714.00
20010910,361.70,366,362,366.49,366.49,15650,6,28640743.00
20010911,369.49,369,369,369.49,369.49,16376,13,30295600.00
20010912,359.50,360,360,359.50,359.50,20391,17,36703800.00
