date,open,high,low,last,close,vol,count,value
20010708,1299.72,1300,1300,1299.72,1299.72,1000,1,6000000.00
20010709,1299.72,1300,1300,1299.72,1299.72,715,4,4290000.00
20010710,1299.51,1300,1299,1299.29,1299.29,4000,4,23994000.00
20010819,1083.10,1083,1083,1083.10,1083.10,1000,1,5000000.00
20010820,1083.32,1083,1083,1083.32,1083.32,2500,8,12502500.00
20010821,1083.32,1083,1083,1083.32,1083.32,2600,4,13002600.00
20010822,1083.97,1084,1084,1083.97,1083.97,1338,7,6696352.00
20010825,1083.97,1084,1084,1084.19,1084.19,2300,4,11510000.00
20010826,1084.40,1084,1084,1084.40,1084.40,4522,5,22637132.00
20010827,1085.05,1085,1085,1084.62,1084.62,2000,5,10014500.00
20010828,1084.62,1085,1085,1084.62,1084.62,4200,6,21029400.00
20010829,1084.62,1085,1085,1084.62,1084.62,450,1,2253150.00
20010901,1084.62,1085,1085,1084.62,1084.62,330,1,1652310.00
20010902,1083.10,1083,1083,1083.10,1083.10,674,2,3370000.00
20010903,1083.10,1083,1083,1083.10,1083.10,96,1,480000.00
20010904,1083.10,1083,1083,1083.10,1083.10,404,1,2020000.00
20010905,1083.10,1083,1083,1083.10,1083.10,500,2,2500000.00
20010909,1083.10,1083,1083,1083.10,1083.10,3922,9,19612004.00
20010911,1083.10,1083,1083,1083.10,1083.10,1350,2,6750000.00
20010912,1083.32,1083,1083,1083.32,1083.32,4000,4,20004000.00
20010916,1083.10,1083,1083,1083.10,1083.10,1520,4,7600000.00
20010917,1083.10,1083,1083,1083.10,1083.10,480,2,2400000.00
20010918,1082.67,1083,1083,1082.89,1082.89,1491,4,7453897.00
20010919,1083.10,1083,1083,1083.10,1083.10,60,1,300000.00
20010923,1083.10,1083,1083,1083.10,1083.10,602,2,3010000.00
20010924,1083.10,1083,1083,1083.10,1083.10,600,1,3000000.00
20010926,1083.10,1083,1083,1083.10,1083.10,202,1,1010000.00
20010930,1083.10,1083,1083,1083.10,1083.10,900,2,4500000.00
20011006,1083.10,1083,1083,1083.10,1083.10,1232,2,6160000.00
20011007,1083.10,1083,1083,1083.10,1083.10,2565,2,12825000.00
20011008,1083.32,1084,1083,1083.54,1083.54,6000,6,30013020.00
20011009,1083.75,1084,1084,1083.54,1083.54,7000,3,35017000.00
20011010,1083.54,1084,1084,1083.97,1083.97,8400,5,42027800.00
20011013,1083.97,1085,1084,1085.05,1085.05,12402,8,62066258.00
20011014,1085.70,1087,1086,1087.00,1087.00,7000,2,35096000.00
20011016,1087.87,1088,1088,1088.30,1088.30,7490,2,37619760.00
20011017,1089.82,1105,1090,1104.77,1104.77,13000,5,66009000.00
20011020,1105.42,1106,1105,1105.85,1105.85,7200,5,36745200.00
20011021,1107.15,1109,1107,1108.67,1108.67,4749,5,24281139.00
20011022,1126.43,1126,1116,1126.43,1126.43,32000,5,166300000.00
20011023,1137.26,1148,1137,1148.09,1148.09,2000,2,10550000.00
20011027,1137.26,1137,1137,1137.26,1137.26,2000,2,10500000.00
20011028,1137.48,1137,1137,1137.48,1137.48,6760,8,35496760.00
20011029,1137.48,1138,1137,1137.69,1137.69,2985,6,15675620.00
20011030,1137.48,1148,1137,1148.09,1148.09,54200,9,287054200.00
20011103,1148.09,1148,1148,1148.09,1148.09,464,1,2459200.00
20011106,1148.09,1148,1148,1148.09,1148.09,17000,9,90100000.00
20011107,1150.26,1152,1148,1152.42,1152.42,6854,7,36364740.00
20011110,1152.42,1152,1152,1152.42,1152.42,280,1,1489600.00
20011111,1158.70,1159,1159,1158.70,1158.70,3460,4,18507540.00
20011113,1169.75,1170,1158,1169.75,1169.75,3086,9,16608965.00
20011118,1148.09,1148,1148,1148.09,1148.09,3407,4,18057100.00
20011119,1137.26,1137,1137,1137.26,1137.26,565,1,2966250.00
20011120,1137.48,1137,1137,1137.26,1137.26,1092,2,5733612.00
20011124,1137.26,1137,1083,1083.10,1083.10,14395,11,73950000.00
20011125,1083.10,1083,1083,1083.10,1083.10,1492,3,7460000.00
20011126,1083.10,1083,1083,1083.10,1083.10,4508,4,22540000.00
20011127,1074.44,1074,1074,1074.44,1074.44,1800,2,8928000.00
20011128,1074.44,1074,1074,1074.44,1074.44,589,2,2921440.00
20011203,1075.74,1076,1070,1070.11,1070.11,7666,10,38034904.00
20011204,1070.11,1070,1070,1070.11,1070.11,60,1,296400.00
20011210,1072.27,1072,1071,1070.54,1070.54,825,3,4078110.00
20011217,1070.76,1071,1071,1070.54,1070.54,400,2,1976900.00
20011222,1070.11,1070,1068,1067.94,1067.94,2685,3,13243900.00
20011224,1067.72,1068,1061,1061.44,1061.44,1400,2,6871600.00
20011225,1061.44,1061,1061,1061.44,1061.44,1000,1,4900000.00
20011229,1060.58,1061,1061,1060.79,1060.79,2100,5,10282506.00
20011230,1060.79,1061,1061,1060.79,1060.79,2000,2,9794000.00
20020102,1058.63,1061,1059,1061.44,1061.44,9176,10,44921853.00
20020105,1059.28,1061,1059,1061.44,1061.44,8348,4,40841720.00
20020106,1059.49,1061,1059,1061.44,1061.44,8652,6,42366800.00
20020107,1061.44,1061,1061,1061.44,1061.44,3000,2,14700000.00
20020108,1061.44,1066,1061,1065.77,1065.77,164823,21,810892700.00
20020112,1061.44,1061,1061,1061.44,1061.44,700,2,3430000.00
20020126,1058.63,1059,1059,1059.06,1059.06,3364,5,16444828.00
20020127,1059.28,1059,1059,1059.28,1059.28,704,1,3442560.00
20020128,1059.28,1059,1059,1059.28,1059.28,672,2,3286080.00
20020203,1059.28,1059,1059,1059.28,1059.28,200,1,978000.00
20020205,1059.28,1059,1059,1059.28,1059.28,900,1,4401000.00
20020209,1059.28,1059,1059,1059.28,1059.28,581,3,2841090.00
20020212,1059.28,1059,1059,1059.28,1059.28,2640,6,12909600.00
20020213,1059.28,1059,1051,1050.61,1050.61,2060,2,9993400.00
20020217,1050.61,1051,1051,1050.61,1050.61,1095,4,5310750.00
20020218,1050.61,1051,1051,1050.61,1050.61,1628,3,7895800.00
20020309,1039.78,1040,1040,1039.78,1039.78,920,1,4416000.00
