date,open,high,low,last,close,vol,count,value
20010325,187.08,187,187,187.08,187.08,5000,9,11100000.00
20010403,187.08,187,187,187.08,187.08,926,3,2055720.00
20010407,187.08,187,187,187.08,187.08,1000,2,2220000.00
20010408,187.08,187,187,187.08,187.08,16000,13,35520000.00
20010409,187.08,187,187,187.08,187.08,2000,1,4440000.00
20010410,187.17,187,187,187.25,187.25,10500,10,23323000.00
20010411,187.25,187,187,187.34,187.34,23990,11,53305840.00
20010414,187.34,192,187,192.14,192.14,26115,13,58979703.00
20010415,192.14,194,192,193.83,193.83,5453,11,12527500.00
20010416,195.51,196,196,195.51,195.51,13244,13,30726080.00
20010417,201.75,202,196,202.25,202.25,14971,6,35780880.00
20010418,202.25,202,202,202.42,202.42,29193,16,70079793.00
20010421,203.94,204,202,202.25,202.25,7969,14,19155538.00
20010422,202.25,204,201,201.41,201.41,28540,15,68431960.00
20010423,201.41,201,198,198.04,198.04,5000,2,11756920.00
20010424,198.04,198,198,198.04,198.04,12737,11,29931950.00
20010425,198.12,198,141,198.04,198.04,142745,496,249627414.00
20010428,197.95,198,198,198.04,198.04,5780,9,13579758.00
20010429,197.87,198,198,198.04,198.04,10430,10,24500014.00
20010430,198.04,201,198,198.04,198.04,25695,15,61062350.00
20010501,197.87,198,194,193.83,193.83,10437,9,24047804.00
20010502,193.83,194,194,193.91,193.91,9146,13,21033844.00
20010505,193.83,194,194,193.83,193.83,1000,1,2300000.00
20010506,193.49,193,193,193.40,193.40,32902,21,75453913.00
20010507,192.14,194,192,193.83,193.83,51381,32,118102889.00
20010508,193.83,194,194,193.83,193.83,7374,11,16960200.00
20010509,199.64,201,195,200.57,200.57,33321,20,78813339.00
20010512,200.57,201,201,200.57,200.57,11592,9,27589082.00
20010513,200.57,201,201,200.57,200.57,50416,22,119990306.00
20010515,200.57,211,201,205.45,205.45,39684,17,97605120.00
20010516,205.29,205,202,205.37,205.37,21930,17,52880590.00
20010519,205.37,205,202,202.25,202.25,11669,12,28129053.00
20010520,202.08,202,198,202.25,202.25,35778,36,84758096.00
20010521,200.57,201,198,201.33,201.33,14117,13,33543530.00
20010523,193.83,201,194,200.40,200.40,20985,11,49931406.00
20010526,193.83,200,194,196.77,196.77,35328,31,82251348.00
20010617,139.05,160,139,139.05,139.05,15980,9,26392000.00
20010618,145.96,146,139,140.48,140.48,3099,4,5343618.00
20010619,140.57,141,141,140.82,140.82,18640,11,31101700.00
20010620,141.24,141,141,141.16,141.16,2000,4,3351800.00
20010623,143.68,147,143,146.80,146.80,6356,10,10945675.00
20010625,154.13,154,154,154.13,154.13,11770,15,21527330.00
20010626,154.30,157,154,156.75,156.75,6062,12,11132022.00
20010627,157.00,157,157,156.75,156.75,11560,12,21512581.00
20010630,157.08,157,157,157.08,157.08,11582,9,21588848.00
20010701,157.17,157,149,149.33,149.33,14322,11,25782690.00
20010702,151.44,151,151,151.44,151.44,2000,1,3594000.00
20010703,151.69,152,152,151.77,151.77,41740,16,75210476.00
20010704,151.86,159,152,151.86,151.86,16584,6,30437484.00
20010707,151.77,152,144,151.94,151.94,12510,9,22021945.00
20010708,151.86,152,151,151.02,151.02,11942,14,21421460.00
