date,open,high,low,last,close,vol,count,value
20190123,862.52,863,863,862.52,862.52,505373562,360083,1036015802100.00
20190126,905.43,905,905,905.43,867.57,242265,232,521354280.00
20190127,910.90,911,911,910.90,908.38,1888345,918,4088266925.00
20190129,953.40,953,953,953.40,953.40,2404198,927,5447912668.00
20190130,1000.94,1001,1001,1000.94,1000.94,6935364,3926,16499230956.00
20190202,1050.59,1051,951,960.97,1027.87,140628139,86809,343496256018.00
20190203,976.54,989,977,976.54,976.96,66345970,41491,154055999752.00
20190204,956.34,988,930,948.35,956.76,113377785,69429,257824904259.00
20190205,948.77,968,937,947.93,948.77,40208386,22325,90681135535.00
20190206,946.67,963,939,942.88,944.56,31042916,13598,69692375545.00
20190210,943.30,963,934,947.51,947.93,35020203,17493,78914994252.00
20190212,957.18,988,943,960.97,965.18,50358618,22214,115529533113.00
20190213,965.18,980,952,966.02,966.02,47108163,29317,108142702633.00
20190216,965.60,980,949,974.01,967.70,36915874,19366,84901372715.00
20190217,972.33,977,964,965.18,968.54,24754828,6480,56986568111.00
20190218,964.34,967,960,963.49,963.07,20103569,5774,46025997112.00
20190219,963.49,965,951,952.56,960.55,17120344,5784,39082664220.00
20190220,960.97,961,947,954.66,953.82,20374489,5423,46184827534.00
20190223,950.87,953,934,936.15,942.46,22027148,6821,49345133086.00
20190224,934.04,951,931,945.40,939.93,16499846,5087,36858010127.00
20190225,935.73,945,926,928.57,935.73,11432002,4429,25421184161.00
20190226,925.63,938,918,925.21,928.99,11478140,3507,25348485545.00
20190227,928.99,964,929,946.24,952.56,15618436,3827,35367528456.00
20190302,952.98,980,953,976.96,974.01,22665469,5444,52473993512.00
20190303,976.12,993,972,989.16,985.79,25318437,5400,59328488660.00
20190304,998.42,1010,947,975.70,985.79,14330434,4029,33569113739.00
20190305,967.70,976,951,967.70,960.55,7325877,2479,16722816462.00
20190306,956.34,976,956,959.71,962.23,4994591,1875,11420170246.00
20190309,963.92,996,960,970.65,972.33,7118298,2490,16449145902.00
20190310,968.12,980,963,967.70,973.17,21769517,3222,50344600288.00
20190311,968.12,1014,967,1010.62,990.42,37758724,6938,88892398683.00
20190318,1054.95,1055,1030,1050.34,1050.85,5115497,1049,10495558126.00
20190319,1065.70,1067,1039,1067.24,1053.92,12517902,2589,25756270245.00
20190325,1061.61,1068,1047,1049.32,1054.44,6685836,1669,13766722490.00
20190326,1054.44,1063,1046,1062.63,1049.83,6293720,1845,12899439616.00
20190327,1059.56,1066,1049,1064.17,1055.46,4610586,1421,9502113981.00
20190330,1067.24,1081,1050,1079.53,1063.14,8001133,1613,16609909571.00
20190331,1078.51,1096,1064,1084.14,1076.97,7041796,1463,14810359029.00
20190406,1085.16,1086,1067,1076.97,1074.41,7741313,1706,16243860630.00
20190407,1070.31,1096,1070,1080.55,1084.65,11394411,1997,24138396748.00
20190408,1090.80,1091,1065,1080.04,1076.46,15215589,1874,31988181237.00
20190409,1069.29,1084,1058,1067.75,1065.19,7577680,1761,15760546162.00
20190410,1074.92,1085,1060,1071.34,1074.41,6319478,1748,13260812660.00
20190413,1066.21,1075,1055,1060.07,1063.14,7731192,1797,16053440348.00
20190414,1057.51,1073,1058,1059.56,1062.63,6715822,1757,13934073745.00
20190415,1065.19,1086,1065,1066.21,1074.92,8834769,2177,18540194842.00
20190416,1072.87,1073,1058,1067.75,1063.65,7199175,1566,14953990019.00
20190417,1063.14,1070,1060,1070.31,1065.19,11569170,1462,24068307463.00
20190420,1070.31,1090,1067,1081.07,1080.04,7240219,1436,15268246901.00
20190422,1075.94,1081,1053,1059.56,1062.12,8400165,1635,17426140789.00
20190423,1057.00,1073,1057,1067.75,1065.19,4726038,1098,9828694861.00
20190424,1065.19,1081,1063,1075.43,1073.90,6442228,1163,13508646022.00
20190427,1080.04,1080,1066,1070.31,1072.36,5492638,1875,11502927332.00
20190428,1067.75,1072,1059,1060.07,1063.14,8370857,2521,17378325689.00
20190429,1058.53,1070,1055,1065.70,1060.07,10023544,4091,20745367418.00
20190430,1065.70,1113,1066,1094.89,1096.94,13656562,2530,29246566183.00
20190501,1109.74,1150,1104,1147.64,1136.37,10937893,2106,24271944558.00
20190504,1152.25,1171,1148,1160.96,1157.88,11200962,1684,25322495844.00
20190505,1153.27,1182,1116,1137.40,1151.74,9817703,1582,22084598179.00
20190506,1124.08,1139,1094,1102.06,1106.67,10715234,1441,23153481160.00
20190507,1062.63,1081,1059,1069.80,1064.17,6003553,1093,12472796893.00
20190508,1069.80,1102,1068,1098.48,1084.65,5200067,1093,11013414511.00
20190511,1101.04,1136,1081,1090.80,1104.11,5969538,1129,12869182745.00
20190512,1098.48,1100,1062,1079.53,1072.36,3512596,712,7355534471.00
20190513,1080.55,1093,1073,1084.65,1082.09,2614457,680,5524029220.00
20190514,1080.55,1104,1081,1084.65,1090.28,7576098,1125,16126314719.00
20190515,1082.60,1086,1074,1077.99,1079.53,3883262,699,8185019300.00
20190518,1075.43,1096,1071,1074.92,1078.51,4523228,898,9525192549.00
20190519,1075.43,1081,1068,1075.94,1072.87,4863272,860,10186790629.00
20190520,1071.34,1096,1065,1083.11,1073.38,5262197,891,11028336858.00
20190521,1078.51,1104,1079,1090.80,1092.84,3703152,1211,7901698967.00
20190522,1094.38,1127,1088,1093.36,1106.67,4833899,1100,10444411802.00
20190525,1109.23,1109,1083,1106.16,1095.92,2447038,656,5237840473.00
20190526,1088.24,1107,1087,1091.31,1093.36,3353325,1225,7160189866.00
20190528,1103.60,1104,1082,1091.31,1087.72,4762417,1007,10113105675.00
20190529,1090.80,1106,1091,1093.36,1097.45,3699051,729,7928163943.00
20190601,1097.45,1101,1087,1092.33,1093.87,3943691,677,8425056249.00
20190602,1088.75,1103,1089,1097.97,1095.92,4474651,855,9575566044.00
20190603,1091.31,1136,1091,1115.89,1118.96,5647410,1139,12338550807.00
20190608,1121.52,1122,1101,1105.65,1106.16,2930819,559,6329772799.00
20190609,1116.40,1116,1104,1107.18,1108.72,4306593,924,9324700289.00
20190610,1111.28,1164,1106,1164.03,1151.23,15370653,1740,34553739617.00
20190611,1172.73,1209,1167,1208.58,1201.92,32695527,1907,76734313003.00
20190612,1243.92,1262,1234,1261.84,1258.77,53024539,2867,130345703346.00
20190615,1258.77,1315,1204,1257.23,1269.01,16678877,1910,41329054877.00
20190616,1241.87,1269,1206,1206.02,1219.34,26787318,2222,63792665654.00
20190617,1180.42,1211,1180,1192.71,1198.34,5821268,1437,13623025653.00
20190618,1195.27,1224,1168,1183.49,1194.24,3678445,666,8576550445.00
20190619,1188.61,1203,1147,1158.91,1172.73,14839289,889,33985416677.00
20190622,1167.61,1178,1150,1159.42,1158.39,4717480,475,10671834938.00
20190623,1152.76,1216,1153,1215.75,1197.83,4617400,1008,10802034859.00
20190624,1203.46,1250,1203,1212.68,1216.26,5541397,673,13159117837.00
20190625,1210.63,1229,1172,1218.82,1207.05,4329774,696,10205677264.00
20190626,1224.46,1238,1198,1212.68,1217.29,3565228,596,8474546772.00
20190630,1230.09,1262,1214,1224.46,1231.63,7588733,950,18247790889.00
20190701,1248.53,1249,1178,1206.02,1218.82,4558899,669,10849147378.00
20190702,1207.05,1237,1207,1229.07,1227.53,7082280,797,16973891737.00
20190703,1229.07,1237,1197,1229.58,1223.43,4096416,696,9784726584.00
20190706,1223.94,1224,1178,1197.83,1202.44,42632946,2500,100089962224.00
20190707,1203.46,1216,1186,1200.39,1194.75,4986758,581,11633311328.00
20190708,1196.80,1221,1197,1209.61,1206.53,3304940,512,7787708857.00
20190709,1209.61,1266,1210,1265.94,1225.48,8288682,1221,19836600400.00
20190710,1254.67,1286,1227,1285.40,1283.35,22511646,2161,56409533189.00
20190713,1275.67,1306,1239,1305.37,1271.57,6013627,1348,14931865649.00
20190714,1305.88,1320,1256,1278.74,1287.45,6425853,906,16151590180.00
20190715,1269.01,1280,1242,1242.38,1254.67,3949758,606,9677881930.00
20190716,1246.99,1247,1192,1213.70,1202.95,7300023,725,17151238543.00
20190717,1199.36,1242,1199,1217.29,1220.36,1900270,469,4530791347.00
20190720,1220.36,1244,1200,1208.07,1218.31,2909325,583,6920677606.00
20190721,1218.31,1260,1214,1260.30,1243.41,3171336,614,7700937498.00
20190722,1243.41,1300,1243,1265.94,1293.59,43458832,2604,109781473322.00
20190723,1287.45,1287,1239,1248.53,1253.14,2317833,352,5671918625.00
20190724,1246.99,1250,1214,1213.70,1224.97,3738473,453,8943013826.00
20190727,1229.07,1243,1198,1198.85,1207.05,2356517,466,5554800444.00
20190728,1207.05,1226,1196,1203.46,1203.97,2016697,415,4741329780.00
20190729,1198.85,1219,1193,1213.70,1203.97,1977745,411,4649925990.00
20190730,1225.48,1244,1216,1223.43,1228.04,2312797,389,5546368996.00
20190731,1229.07,1238,1203,1210.63,1208.58,2099762,391,4954602167.00
20190803,1201.92,1226,1194,1203.46,1205.51,2102801,399,4949605442.00
20190804,1228.04,1265,1204,1265.43,1230.60,35632324,1636,85634994955.00
20190805,1292.06,1292,1292,1292.06,1292.06,12025107,491,30339344961.00
20190806,1356.58,1357,1314,1356.58,1351.46,53014517,3091,139909887926.00
20190807,1372.46,1416,1337,1382.19,1388.84,20987752,1727,56908460512.00
20190810,1368.36,1419,1320,1331.49,1357.61,16560264,1646,43900309379.00
20190811,1331.49,1381,1321,1321.25,1353.51,8003038,865,21151685672.00
20190813,1346.85,1421,1324,1421.11,1391.41,18820672,1580,51129428209.00
20190814,1447.23,1456,1383,1392.94,1430.84,18929856,1561,52882909438.00
20190817,1426.74,1427,1360,1359.65,1363.75,27660231,1500,73650552265.00
20190818,1368.87,1376,1333,1371.94,1353.00,8249697,815,21792678676.00
20190819,1373.48,1421,1360,1420.60,1418.55,53073961,2197,147012387085.00
20190821,1489.22,1489,1453,1489.22,1488.71,26146774,873,76012464803.00
20190824,1562.96,1563,1511,1562.96,1560.91,20809587,771,63426154947.00
20190825,1582.42,1639,1506,1636.71,1580.89,34092767,2437,105245298959.00
20190826,1600.86,1660,1601,1659.75,1659.24,46696451,1666,151288878554.00
20190827,1689.97,1716,1623,1654.12,1681.77,33651779,1918,110529068703.00
20190828,1598.30,1682,1598,1654.12,1639.78,13276131,1033,42507172879.00
20190831,1662.82,1674,1558,1561.94,1574.74,35062681,2391,107826874171.00
20190901,1582.42,1653,1562,1638.75,1637.22,17005613,1201,54373494856.00
20190902,1637.22,1678,1556,1631.07,1607.00,9784469,850,30705523719.00
20190903,1591.13,1638,1588,1616.22,1613.15,4544965,616,14317863353.00
20190904,1623.39,1694,1603,1693.55,1668.46,13588207,1065,44268088051.00
20190907,1684.84,1735,1616,1715.57,1683.82,7252085,1070,23842533787.00
20190908,1730.93,1731,1650,1689.97,1690.48,6332006,791,20902452607.00
20190911,1700.21,1700,1663,1668.46,1669.48,6339521,868,20663712007.00
20190921,1754.61,1812,1708,1740.71,1743.02,3455591,523,10400970397.00
20190922,1737.81,1798,1738,1787.61,1751.13,9081455,925,27460410786.00
20190923,1789.35,1839,1789,1838.57,1825.83,5262353,518,16594637876.00
20190924,1841.47,1870,1755,1789.35,1802.09,5454763,782,16973913007.00
20190925,1802.09,1827,1755,1802.67,1794.56,5526613,906,17127255129.00
20190928,1812.51,1839,1775,1789.35,1802.09,4708135,716,14651620686.00
20190929,1777.77,1813,1748,1810.20,1784.14,10710622,936,33002720272.00
20190930,1823.52,1873,1813,1873.32,1866.95,18357966,1099,59184947783.00
20191001,1939.33,1957,1827,1837.41,1899.38,4670878,639,15321509956.00
20191002,1880.27,1899,1837,1843.20,1865.21,2326852,371,7490930145.00
20191005,1822.36,1863,1801,1840.89,1828.15,3964805,566,12517831668.00
20191006,1806.72,1847,1795,1819.46,1820.62,2266779,326,7124848425.00
20191007,1813.09,1839,1795,1801.51,1813.09,2106870,398,6593515841.00
20191008,1801.51,1813,1723,1781.24,1745.34,4767728,557,14368061299.00
20191009,1782.98,1830,1708,1776.03,1763.29,2045639,405,6239546795.00
20191012,1776.03,1816,1776,1795.14,1773.14,950428,267,2934558470.00
20191013,1799.77,1818,1772,1778.93,1775.45,1766873,310,5419484853.00
20191014,1766.77,1795,1760,1771.98,1770.24,1767694,280,5398116987.00
20191015,1788.19,1791,1682,1701.91,1726.23,1870563,364,5535006832.00
20191016,1722.76,1743,1668,1737.23,1723.91,1744219,274,5190581908.00
20191020,1715.81,1737,1638,1648.06,1688.59,1437965,315,4135327701.00
20191021,1680.48,1719,1609,1708.28,1693.22,1430045,276,4189514084.00
20191022,1737.23,1760,1702,1729.13,1752.29,6256962,364,18931301341.00
20191023,1760.98,1761,1665,1716.39,1723.91,1399555,275,4117704397.00
20191026,1752.87,1753,1638,1737.23,1715.81,1295747,286,3824980499.00
