date,open,high,low,last,close,vol,count,value
20050817,1291.32,1291,1291,1291.32,1291.32,4850000,3013,8730000000.00
20050820,1355.88,1356,1356,1355.88,1355.88,2500000,1324,4725000000.00
20050821,1423.32,1423,1423,1423.32,1423.32,500000,358,992000000.00
20050822,1494.34,1494,1494,1494.34,1494.34,500000,288,1041500000.00
20050823,1568.95,1569,1569,1568.95,1568.95,279250,169,610719750.00
20050824,1647.15,1647,1647,1647.15,1647.15,201380,165,462368480.00
20050827,1728.93,1729,1729,1728.93,1728.93,264952,195,638534320.00
20050828,1815.02,1815,1815,1815.02,1815.02,279994,154,708384820.00
20050829,1905.41,1905,1905,1905.41,1905.41,46376,43,123174656.00
20050830,2000.10,2000,2000,2000.10,2000.10,703550,516,1961497400.00
20050831,2099.82,2100,2100,2099.82,2099.82,69090,68,202226430.00
20050903,2204.56,2205,2205,2204.56,2204.56,85164,73,261708972.00
20050904,2314.33,2314,2314,2314.33,2314.33,225810,161,728463060.00
20050905,2429.83,2430,2430,2429.83,2429.83,202433,202,685640571.00
20050906,2551.07,2551,2551,2551.07,2551.07,4659787,2532,16570202572.00
20050925,2678.05,2678,984,2487.94,2487.94,2012333,796,6979347361.00
20050926,2612.05,2612,2612,2612.05,2612.05,1341919,593,4885927079.00
20050927,2742.61,2743,2743,2742.61,2742.61,320214,191,1224178122.00
20050928,2879.63,2880,2880,2879.63,2879.63,130257,60,522851598.00
20051001,3023.11,3023,3016,3015.94,3015.94,38010,25,160174040.00
20051002,3166.59,3167,3167,3166.59,3166.59,45645,27,201477030.00
20051003,3324.42,3324,3324,3324.42,3324.42,328250,147,1521110500.00
20051004,3490.14,3490,3490,3490.14,3490.14,308321,149,1499981665.00
20051005,3664.47,3664,3664,3664.47,3664.47,1103366,366,5635993528.00
20051008,3847.40,3847,3551,3799.34,3799.34,3645636,1333,19310429282.00
20051009,3784.99,3799,3611,3633.62,3633.62,1122350,465,5684733726.00
20051010,3586.99,3609,3452,3526.73,3526.73,603052,275,2965149624.00
20051126,5018.20,5738,4304,4752.76,4752.76,2087418,858,13830622101.00
