date,open,high,low,last,close,vol,count,value
20140107,2862.72,2863,2863,2862.72,2862.72,16918500,14964,49909575000.00
20140108,3005.38,3005,3005,3005.38,3005.38,99017,67,306655649.00
20140111,3154.82,3155,3155,3154.82,3154.82,16024,50,52094024.00
20140112,3312.03,3312,3312,3312.03,3312.03,3176942,957,10842903046.00
20140113,3477.00,3477,3477,3477.00,3477.00,2028617,466,7268534711.00
20140114,3650.70,3651,3651,3650.70,3650.70,2055174,499,7731564588.00
20140115,3833.14,3833,3833,3833.14,3833.14,1221662,344,4825564900.00
20140118,4024.31,4024,4024,4024.31,4024.31,48048,97,199255056.00
20140120,4225.19,4225,4225,4225.19,4225.19,4855861,2717,21142418794.00
20140121,4416.36,4436,4221,4318.35,4393.07,20166650,15151,91286678248.00
20140122,4267.89,4268,4174,4173.75,4199.96,1682297,1277,7280184063.00
20140125,3990.35,4076,3990,3990.35,3991.32,3404752,2130,14003745357.00
20140126,3792.38,3969,3792,3792.38,3814.70,4762502,4465,18721143521.00
20140127,3746.77,4005,3747,4004.90,3978.70,3266118,2289,13389508993.00
20140128,4177.64,4178,4178,4177.64,4177.64,235606,162,1014283830.00
20140129,4386.28,4386,4386,4386.28,4386.28,152102,127,687501040.00
20140201,4605.59,4606,4606,4605.59,4605.59,106951,135,507589446.00
20140202,4835.58,4836,4415,4835.58,4811.32,7172115,2492,35560282756.00
20140203,4949.12,5051,4811,5051.01,5001.52,8258704,3332,42561982327.00
20140204,5250.92,5251,5251,5250.92,5250.92,341778,139,1849360758.00
20140205,5512.93,5513,5251,5337.28,5490.61,13399443,5837,75814730649.00
20140208,5216.95,5217,5217,5216.95,5216.95,341217,137,1834382592.00
20140209,4956.88,5133,4957,4956.88,4979.20,8450466,9416,43363279058.00
20140210,5018.02,5228,4862,4986.96,5083.03,4663073,3117,24425948041.00
20140212,4852.07,4930,4830,4829.76,4837.52,739551,449,3686874485.00
20140223,5458.58,5720,5348,5579.89,5581.83,2990619,1635,17203295343.00
20140224,5628.41,5860,5581,5860.34,5781.73,3200587,1749,19068761925.00
20140225,5929.24,6070,5852,6069.95,6058.30,3428795,1420,21404664636.00
20140226,6162.14,6361,6116,6361.07,6322.25,1749364,938,11397479598.00
20140301,6637.64,6638,6638,6637.64,6637.64,344364,147,2355449760.00
20140302,6969.52,6970,6970,6969.52,6969.52,188263,124,1352104866.00
20140303,7317.90,7318,7318,7317.90,7317.90,3922038,1468,29576088558.00
20140304,6952.05,7684,6952,7338.28,7327.60,8881633,4405,67061712018.00
20140305,7452.79,7693,7443,7651.72,7652.69,2482958,1496,19580838895.00
20140308,7743.91,7938,7270,7270.35,7505.19,2013377,1289,15571276789.00
20140309,7130.61,7131,7131,7130.61,7130.61,108561,49,797706228.00
20140310,6774.47,6774,6774,6774.47,6774.47,25634,27,178950954.00
20140311,6435.79,6436,6436,6435.79,6435.79,34174,20,226641968.00
20140312,6114.58,6498,6115,6213.57,6204.83,4140197,2205,26472949848.00
20140315,6402.80,6514,6310,6514.40,6481.40,821353,522,5485748111.00
20140316,6804.55,6805,6502,6804.55,6783.20,2496413,1808,17449096729.00
20140317,7015.13,7122,6841,7121.88,7077.24,1041456,692,7595503932.00
20140318,7181.07,7430,6724,6724.01,6970.49,3812215,1875,27382307515.00
20140319,6622.11,6790,6622,6622.11,6636.67,2574459,1765,17607411771.00
20140325,6637.64,6638,6306,6305.76,6340.69,2007317,1053,13116465418.00
20140326,6186.40,6657,6186,6657.05,6603.67,1795198,930,12216675011.00
20140329,6744.38,6785,6274,6289.26,6440.64,1425531,924,9461833827.00
