date,open,high,low,last,close,vol,count,value
20160306,488.15,488,488,488.15,488.15,26700,1,26700000.00
20160412,493.03,493,493,493.03,493.03,290000,1,292900000.00
20160427,493.03,493,493,493.03,493.03,391040,1,394950400.00
20160710,493.03,493,493,493.03,493.03,100,1,101000.00
20160723,488.15,493,488,493.03,488.15,3300000,4,3300139120.00
20160724,488.15,488,488,488.15,488.15,11,2,11000.00
20160807,488.15,488,488,488.15,488.15,1110,2,1110000.00
20160815,483.27,483,483,483.27,483.27,1000,1,990000.00
20160910,488.15,488,488,488.15,488.15,10,1,10000.00
20161204,485.71,486,486,485.71,485.71,50000,1,49750000.00
20170307,341.71,342,342,341.71,341.71,28428,2,19899600.00
20170315,375.88,376,376,375.88,375.88,314,1,241780.00
20170404,342.19,343,338,338.29,340.24,90314,16,62947102.00
20170410,368.55,371,369,370.99,369.04,5500,2,4160000.00
20170412,405.65,406,406,405.65,405.65,20500,3,17035500.00
20170415,446.17,446,446,446.17,446.17,42519,7,38862366.00
20170416,490.59,491,491,490.59,490.59,48500,3,48742500.00
20170417,502.79,512,442,511.58,463.74,31700,13,30128100.00
20170418,417.86,453,417,417.37,430.55,112808,18,99346840.00
20170419,466.18,466,439,439.34,459.84,13000,3,12250000.00
20170422,413.95,482,414,482.29,423.71,127608,13,110787422.00
20170423,464.72,465,460,463.25,464.23,30001,7,28537419.00
20170426,464.23,470,464,469.11,465.70,3060,3,2920670.00
20170429,419.32,439,419,439.34,426.16,15000,3,13090000.00
20170520,383.69,385,384,384.66,384.17,25162,4,19802211.00
20170521,384.17,384,384,384.17,384.17,9300,1,7319100.00
20170522,422.25,422,422,422.25,422.25,50000,5,43250000.00
20170524,405.16,405,405,405.16,405.16,129707,20,107656810.00
20170527,429.08,446,429,445.68,438.85,126701,31,113865381.00
20170528,477.90,478,439,439.34,453.49,95791,21,89013727.00
20170530,458.86,498,459,498.40,486.20,90061,37,89695641.00
20170531,498.40,535,498,534.52,511.09,158754,32,166212567.00
20170603,558.93,562,558,561.86,559.42,26534,11,30412984.00
20170607,615.07,615,615,615.07,615.07,102252,11,128837520.00
20170610,554.54,635,555,590.66,576.02,70028,26,82609260.00
20170612,623.86,634,624,633.13,632.15,101314,35,131169273.00
20170613,695.13,695,586,610.19,645.33,106444,28,140761872.00
20170614,610.68,669,611,668.77,624.83,16406,7,20993256.00
20170618,661.44,687,661,687.32,685.85,62809,19,88217272.00
20170619,694.15,754,694,754.19,751.26,106020,32,163128090.00
20170620,825.95,826,684,717.58,699.52,78427,24,112411618.00
20170621,717.58,732,684,683.90,694.15,98080,31,139496412.00
20170624,701.47,702,701,700.98,700.98,24908,26,35779581.00
20170625,637.52,688,635,635.57,636.55,72090,22,93985140.00
20170701,646.80,700,647,670.23,688.78,242078,41,341557011.00
20170702,693.17,718,682,698.06,687.80,133597,32,188218120.00
