date,open,high,low,last,close,vol,count,value
20140203,578.78,602,579,598.02,593.21,2587065,560,4784820024.00
20140204,609.24,609,569,569.48,581.02,2663513,640,4826415275.00
20140205,557.93,558,558,557.93,576.53,94135,26,163794900.00
20140208,553.77,554,554,553.77,576.53,3118,5,5384786.00
20140209,553.77,554,554,553.77,574.61,42523,9,73437221.00
20140210,551.84,552,552,551.84,574.29,4380,1,7537980.00
20140212,551.52,552,552,551.52,573.97,4098,6,7048560.00
20140215,551.20,551,551,551.20,573.97,1000,1,1719000.00
20140216,551.20,573,551,555.05,555.05,2353281,396,4073129522.00
20140217,546.07,568,534,555.05,555.05,2491484,355,4312017668.00
20140218,555.05,555,533,537.09,537.09,989566,111,1657725807.00
20140219,545.11,552,537,545.75,545.75,1126202,142,1916462763.00
20140222,545.75,568,546,564.03,564.03,1035829,156,1821809099.00
20140223,570.76,571,545,554.41,554.41,391048,83,672913940.00
20140224,545.11,545,536,536.13,539.66,937047,157,1576972614.00
20140225,518.17,523,518,518.17,522.66,416652,63,674872627.00
20140226,506.95,513,502,501.82,507.59,830520,115,1314599879.00
20140301,494.13,521,494,511.12,511.12,493575,86,787063463.00
20140302,498.29,510,491,495.73,495.41,503239,70,777635502.00
20140303,481.30,481,476,475.85,476.49,528778,66,785934816.00
20140304,465.27,478,459,469.43,468.47,556171,74,812431260.00
20140305,480.66,487,481,487.07,481.30,348938,45,529604322.00
20140308,500.54,501,501,500.54,500.54,882833,55,1378102313.00
20140309,513.04,520,485,518.17,518.17,1853383,183,2994558731.00
20140310,498.61,529,499,513.04,513.04,864467,91,1382732876.00
20140311,521.06,521,493,502.78,502.78,265576,45,408679279.00
20140312,512.08,512,483,490.92,492.52,826945,106,1270167416.00
20140315,511.76,512,495,512.08,511.12,869703,76,1386239644.00
20140316,531.32,531,513,531.32,529.72,644979,76,1065614293.00
20140317,550.56,551,535,550.88,545.43,808412,75,1374713613.00
20140318,566.59,567,525,529.08,547.35,482054,53,823079288.00
20140319,529.40,545,526,525.87,531.32,656930,81,1088347543.00
20140325,514.33,551,510,510.16,520.74,291636,51,466909519.00
20140326,501.82,537,500,512.72,515.93,163099,27,257270408.00
20140329,513.04,513,495,501.82,512.40,101032,30,157196076.00
20140330,519.46,533,519,532.60,519.78,266038,42,436586146.00
20140331,520.42,540,520,539.98,538.05,774502,81,1299740565.00
20140405,519.78,552,519,522.66,532.28,522636,59,867813054.00
20140406,525.87,535,512,515.29,527.47,156483,20,252238091.00
20140407,529.08,532,507,507.27,509.52,617456,87,981148242.00
20140408,529.08,530,510,522.66,521.06,356763,53,584975494.00
20140409,505.03,519,500,500.22,511.76,230200,44,359666435.00
20140412,522.66,523,492,491.88,497.97,358949,66,551323534.00
20140413,481.30,493,478,484.18,479.05,772272,119,1153412928.00
20140414,490.60,491,460,460.14,464.30,570093,49,825365979.00
20140415,447.31,479,447,455.97,464.95,122622,33,178522205.00
20140416,464.95,483,459,477.77,471.68,348640,87,516075008.00
20140419,464.95,465,453,453.08,467.51,122249,35,173250537.00
20140420,466.23,486,462,486.11,472.96,366579,62,543017191.00
20140421,487.39,492,487,491.88,491.56,1562935,150,2396530098.00
20140422,503.10,507,478,493.16,489.64,326378,42,497486427.00
20140423,480.98,496,470,470.08,471.36,1517947,109,2231198372.00
20140426,480.98,490,481,489.96,487.71,708485,79,1077349092.00
20140427,506.95,507,490,490.28,502.78,1274494,134,1998083864.00
20140428,483.54,494,483,484.18,484.83,891882,95,1348081942.00
20140429,480.98,484,473,480.98,481.30,441084,38,661436388.00
20140430,496.69,501,486,500.54,499.26,981711,87,1528234092.00
20140503,519.14,519,507,513.04,517.53,2108096,165,3403109051.00
20140504,518.82,519,503,517.85,514.01,1865741,165,2990105995.00
20140505,516.25,534,514,528.76,522.66,611256,103,996046403.00
20140506,515.29,525,504,503.74,510.48,846289,107,1347230838.00
20140507,503.74,531,501,530.68,527.15,2196638,195,3611255461.00
20140510,547.99,548,537,545.75,547.67,2531769,226,4324933722.00
20140511,544.79,556,539,545.11,544.47,1384514,102,2350985423.00
20140512,548.32,566,544,565.95,560.50,2249456,184,3932891833.00
20140514,575.89,583,565,582.63,579.42,1175898,140,2124658270.00
20140517,556.33,557,556,556.33,556.33,1579775,79,2741004125.00
20140518,551.84,578,552,578.46,575.25,948887,68,1701935997.00
20140519,598.02,598,580,598.02,595.45,6095330,307,11319288167.00
20140520,599.62,619,598,619.18,614.69,3339939,224,6401431500.00
20140521,638.10,639,628,639.06,638.74,7041350,257,14028672517.00
20140524,664.07,664,646,664.07,663.75,11102557,430,22979687325.00
20140525,664.39,664,637,638.42,642.91,5678304,455,11387555038.00
20140526,625.27,669,625,668.56,665.99,6461361,498,13417475715.00
20140608,618.86,638,613,624.31,625.27,1763757,134,3439318065.00
20140609,634.89,650,625,639.70,640.66,4746708,386,9482877887.00
20140610,639.38,639,617,617.58,626.55,866120,103,1692666783.00
20140611,625.27,625,602,601.54,601.86,1741638,144,3269403488.00
20140614,579.10,579,578,577.82,599.62,45265,11,81667530.00
20140615,575.89,576,576,575.89,575.89,655028,72,1176430288.00
20140616,559.86,596,560,586.47,577.17,192400,38,347465175.00
20140617,555.05,558,554,555.69,558.90,410902,37,711370792.00
20140618,577.17,581,545,581.02,579.42,507399,58,917032501.00
20140621,596.41,603,581,602.51,601.86,3643079,276,6837719992.00
20140622,609.24,616,586,587.11,600.90,674879,74,1265002732.00
20140623,577.17,578,577,577.17,590.96,209229,20,376722960.00
20140624,568.20,577,568,568.20,568.52,1490923,94,2644064321.00
20140625,548.96,580,546,546.07,551.84,1370796,96,2359569519.00
20140628,535.49,535,530,530.04,538.70,316654,48,524378782.00
20140629,517.21,517,517,517.21,538.05,14239,2,22967507.00
20140630,522.98,558,517,516.57,522.34,678650,113,1105493996.00
20140701,541.90,543,542,543.18,532.28,238798,24,404494166.00
20140702,553.45,553,553,553.45,553.45,500613,43,864058038.00
20140705,575.57,576,576,575.57,575.57,507937,32,911746915.00
20140706,598.02,598,555,573.65,586.15,2753650,197,5033765849.00
20140707,565.95,610,566,609.56,605.71,2739009,176,5174427760.00
20140708,623.03,630,623,629.76,629.44,4260997,138,8365630216.00
