date,open,high,low,last,close,vol,count,value
20010325,875.12,875,875,875.12,875.12,21000,8,21000000.00
20010326,875.12,875,875,875.12,875.12,45000,8,45000000.00
20010327,875.12,875,875,875.12,875.12,60000,14,60000000.00
20010328,875.12,875,875,875.12,875.12,50000,9,50000000.00
20010331,875.12,875,875,875.12,875.12,45000,21,45000000.00
20010403,875.12,875,875,875.12,875.12,57958,18,57958000.00
20010407,875.12,875,875,875.12,875.12,31400,5,31400000.00
20010408,875.12,875,875,875.12,875.12,30850,5,30850000.00
20010409,875.12,875,875,875.12,875.12,4000,2,4000000.00
20010410,875.12,875,875,875.12,875.12,20000,7,20000000.00
20010411,875.12,875,875,875.12,875.12,31000,8,31000000.00
20010414,875.12,875,875,875.12,875.12,12000,6,12000000.00
20010415,875.12,875,875,875.12,875.12,26000,7,26000000.00
20010416,875.12,875,875,875.12,875.12,10000,1,10000000.00
20010417,875.12,875,875,875.12,875.12,12000,3,12000000.00
20010418,875.12,875,875,875.12,875.12,11000,3,11000000.00
20010421,875.12,875,875,875.12,875.12,1122,2,1122000.00
20010422,875.12,875,875,875.12,875.12,4000,2,4000000.00
20010423,875.12,875,875,875.12,875.12,4000,1,4000000.00
20010424,875.12,875,875,875.12,875.12,12000,4,12000000.00
20010425,875.12,878,875,875.12,875.12,6027338,606,6027463000.00
20010428,875.99,919,875,875.12,875.12,2154680,101,2163118618.00
20010429,880.37,919,875,875.99,875.99,3187243,401,3196646795.00
20010430,896.99,920,894,919.75,919.75,5139341,88,5255649439.00
20010501,961.75,965,894,965.25,965.25,4605978,519,4770530531.00
20010502,971.38,972,954,962.63,962.63,842580,266,925597696.00
20010505,962.63,963,930,947.75,947.75,655193,172,712088968.00
20010506,946.00,946,921,929.37,929.37,140380,58,149321780.00
20010507,929.37,929,908,909.25,909.25,4275599,526,4489477122.00
20010508,918.00,943,909,918.87,918.87,5694827,120,5979932389.00
20010509,928.50,945,919,918.87,918.87,1517496,202,1600700205.00
20010512,946.88,953,943,944.25,944.25,220964,75,239190446.00
20010513,928.50,958,928,958.25,958.25,390535,116,419803284.00
20010515,961.75,963,937,962.63,962.63,260424,95,283438779.00
20010516,960.88,963,954,962.63,962.63,239993,73,263749520.00
20010519,962.63,967,963,963.50,963.50,1030422,89,1134516087.00
20010520,965.25,971,954,953.88,953.88,195142,67,215027368.00
20010521,962.63,964,954,959.13,959.13,116251,33,127341927.00
20010523,960.88,980,954,980.13,980.13,319031,76,351816570.00
20010526,980.13,1006,980,1006.38,1006.38,418947,97,480809156.00
20010527,1041.39,1056,1024,1041.39,1041.39,731243,153,872597754.00
20010528,1041.39,1068,1019,1050.14,1050.14,463748,130,556697918.00
20010529,1049.26,1050,1014,1028.26,1028.26,1382927,119,1652281686.00
20010530,1027.39,1030,1006,1006.38,1006.38,371679,113,430529141.00
20010602,1005.51,1006,980,988.88,988.88,148558,66,168577754.00
20010603,981.01,1006,963,1006.38,1006.38,399699,96,448731416.00
20010606,1004.63,1006,989,1006.38,1006.38,186200,57,213730884.00
20010609,1002.88,1008,998,1006.38,1006.38,270584,83,310913046.00
20010611,1006.38,1006,998,1006.38,1006.38,316209,75,363463440.00
