date,open,high,low,last,close,vol,count,value
20201117,878.82,879,879,878.82,878.82,793716,42,714344400.00
20201118,917.88,918,898,917.88,878.82,2011512,141,1888852100.00
20201121,898.35,918,889,888.59,878.82,1727611,92,1601419110.00
20201122,839.76,918,840,878.82,878.82,1802282,108,1589301220.00
20201123,859.29,908,850,878.82,878.82,2893984,111,2566367170.00
20201124,839.76,850,840,839.76,878.82,912894,45,785383350.00
20201125,839.76,840,840,839.76,878.82,337422,12,290182920.00
20201128,839.76,840,840,839.76,878.82,63000,7,54180000.00
20201129,839.76,879,840,878.82,869.06,23003246,585,20177862420.00
20201130,839.76,908,840,878.82,869.06,18695873,514,16669606710.00
20201201,849.53,908,850,869.06,869.06,16798936,412,15073515200.00
20201202,859.29,889,850,869.06,869.06,10673451,278,9441528480.00
20201205,859.29,859,840,859.29,869.06,8308815,273,7230412220.00
20201206,839.76,859,830,839.76,859.29,19936641,530,17128943230.00
20201207,830.00,850,820,820.24,849.53,16393281,367,13865696090.00
20201208,810.47,830,810,810.47,839.76,12452287,307,10358438060.00
20201209,810.47,830,801,810.47,830.00,13324505,363,11015742710.00
20201213,790.94,791,791,790.94,830.00,854722,64,692324820.00
20201215,810.00,840,790,810.00,820.00,33705788,753,27211754130.00
20201216,810.00,830,780,790.00,810.00,29155120,699,23183961960.00
20201219,790.00,810,770,770.00,800.00,30044983,656,23429719020.00
20201220,770.00,780,760,760.00,780.00,29282692,705,22310842850.00
20201221,750.00,760,750,750.00,770.00,17063512,415,12800924080.00
20201222,740.00,740,740,740.00,770.00,6440663,182,4766090620.00
20201223,740.00,740,740,740.00,770.00,1890411,76,1398904140.00
20201226,740.00,740,740,740.00,770.00,952079,41,704538460.00
20201227,740.00,740,740,740.00,770.00,656525,45,485828500.00
20201228,740.00,740,740,740.00,770.00,1137408,57,841681920.00
20201229,740.00,740,740,740.00,770.00,1091547,63,807744780.00
20201230,740.00,740,740,740.00,770.00,201555,19,149150700.00
20210102,740.00,740,740,740.00,770.00,403595,24,298660300.00
20210103,740.00,740,740,740.00,770.00,95166,12,70422840.00
20210104,740.00,740,740,740.00,770.00,2549685,47,1886766900.00
20210105,740.00,740,740,740.00,770.00,777105,30,575057700.00
20210106,740.00,740,740,740.00,770.00,390116,18,288685840.00
20210109,740.00,740,740,740.00,770.00,231399,8,171235260.00
20210110,740.00,740,740,740.00,770.00,707474,29,523530760.00
20210111,740.00,740,740,740.00,770.00,212533,15,157274420.00
20210112,740.00,740,740,740.00,770.00,204000,6,150960000.00
20210404,760.00,760,760,760.00,770.00,67432,7,51248320.00
20210405,760.00,760,760,760.00,770.00,1404641,25,1067527160.00
20210406,760.00,760,760,760.00,770.00,151633,5,115241080.00
20210407,760.00,760,760,760.00,770.00,23650,2,17974000.00
20210410,760.00,760,760,760.00,770.00,7000,1,5320000.00
20210411,760.00,760,760,760.00,770.00,79545,3,60454200.00
20210412,760.00,760,760,760.00,770.00,149443,7,113576680.00
20210413,760.00,760,760,760.00,770.00,10783133,156,8195181080.00
20210414,760.00,760,760,760.00,770.00,251358,13,191032080.00
20210417,760.00,760,760,760.00,770.00,8133062,125,6181127120.00
20210418,760.00,760,760,760.00,770.00,10001,2,7600760.00
20210419,760.00,760,760,760.00,770.00,14000,2,10640000.00
20210420,760.00,760,760,760.00,770.00,15,1,11400.00
20210421,750.00,750,750,750.00,770.00,1,1,750.00
20210424,750.00,750,750,750.00,770.00,6620,1,4965000.00
20210425,750.00,750,750,750.00,770.00,36568,3,27426000.00
20210426,750.00,750,750,750.00,770.00,6842,1,5131500.00
20210428,750.00,750,750,750.00,770.00,16854,2,12640500.00
20210502,750.00,750,750,750.00,770.00,14000,2,10500000.00
20210503,747.00,747,747,747.00,770.00,77862,5,58162914.00
20210516,732.00,732,732,732.00,770.00,28137,3,20596284.00
20210517,732.00,732,732,732.00,732.00,70132580,909,51337048560.00
20210518,696.00,720,696,696.00,696.00,92225958,1228,64194500007.00
20210519,662.00,662,662,662.00,662.00,63509607,728,42043359834.00
20210522,629.00,629,629,629.00,662.00,15839,1,9962731.00
