date,open,high,low,last,close,vol,count,value
20010409,57.25,57,57,57.25,57.25,4500,2,5220000.00
20010411,57.55,58,57,57.40,57.40,16000,6,18631000.00
20010414,57.50,57,57,57.45,57.45,20000,3,23290000.00
20010415,57.65,58,58,57.65,57.65,24200,4,28265600.00
20010417,58.98,59,59,59.23,59.23,1002500,18,1202987500.00
20010501,62.19,62,62,62.19,62.19,50000,10,63000000.00
20010529,65.30,65,65,65.30,65.30,51000,32,67473000.00
20010602,68.56,69,69,68.56,68.56,50000,24,69450000.00
20010603,71.96,72,72,71.96,71.96,50000,8,72900000.00
20010609,75.51,76,76,75.51,75.51,50000,23,76500000.00
20010612,79.27,79,79,79.27,79.27,200000,84,321200000.00
20010613,83.21,83,79,79.27,79.27,376000,94,633456000.00
20010616,79.46,81,79,81.44,81.44,34640,22,56643000.00
20010626,77.83,81,77,77.88,77.88,92730,21,146260960.00
20010627,77.98,80,78,79.07,79.07,42800,38,68240876.00
20010630,79.12,80,79,80.45,80.45,66471,18,108036390.00
20010701,81.59,83,81,81.44,81.44,64963,27,108028925.00
20010702,81.83,82,82,81.63,81.63,23896,9,39564672.00
20010703,81.59,82,82,81.63,81.63,17500,12,28944000.00
20010704,81.63,82,82,81.63,81.63,34100,16,56400400.00
20010708,81.49,81,79,78.97,78.97,8718,7,13954920.00
20010709,78.97,79,79,78.97,78.97,1367,2,2187200.00
20010710,78.92,79,79,78.92,78.92,7942,3,12699258.00
20010711,78.97,79,79,78.97,78.97,9373,9,14996800.00
20010714,79.12,79,79,79.27,79.27,38643,19,62008815.00
20010715,79.22,79,79,79.31,79.31,11250,7,18062500.00
20010716,79.46,79,79,78.97,78.97,22000,13,35255000.00
20010717,78.97,79,79,78.97,78.97,22329,20,35726400.00
20010718,78.97,79,79,78.97,78.97,20371,16,32593600.00
20010721,78.97,79,79,78.97,78.97,18000,13,28800000.00
20010723,78.97,79,79,78.82,78.82,8500,4,13578000.00
20010724,78.87,79,79,78.97,78.97,9620,12,15390762.00
20010725,78.97,79,79,78.97,78.97,6380,6,10208000.00
20010729,79.02,79,79,79.02,79.02,14460,13,23141680.00
20010805,82.97,83,80,80.45,80.45,120400,44,199166220.00
20010806,79.71,80,79,79.51,79.51,37370,12,60291700.00
20010811,80.01,80,80,79.51,79.51,26884,27,43434374.00
20010812,80.35,80,80,79.66,79.66,2305,2,3724540.00
20010813,80.35,80,80,80.45,80.45,41415,12,67464740.00
20010814,80.45,80,80,80.45,80.45,17491,19,28511456.00
20010815,80.45,80,80,80.45,80.45,12890,3,21010700.00
20010818,80.45,80,80,80.45,80.45,5330,3,8687900.00
20010819,80.50,81,80,80.94,80.94,21000,10,34441000.00
20010820,81.04,81,81,81.44,81.44,6500,4,10686000.00
20010821,81.09,81,81,81.44,81.44,10847,7,17874521.00
20010822,81.44,81,81,81.44,81.44,13240,13,21823320.00
20010825,81.39,81,81,81.44,81.44,10000,11,16494000.00
20010826,81.44,82,81,81.68,81.68,527000,13,872090000.00
20010827,81.93,82,82,81.93,81.93,11460,7,19023600.00
20010828,83.66,84,82,82.57,82.57,58460,25,97918860.00
20010829,82.57,83,82,82.37,82.37,48140,14,80422492.00
20010901,82.37,82,82,82.42,82.42,22186,9,37049620.00
20010902,81.44,81,81,80.94,80.94,12250,5,20170000.00
20010904,80.94,81,81,80.94,80.94,1750,1,2870000.00
20010905,80.75,81,80,80.94,80.94,31000,5,50705000.00
