date,open,high,low,last,close,vol,count,value
20010513,12.53,13,13,12.53,12.53,50000,23,50000000.00
20010516,12.53,13,13,12.53,12.53,1048,1,1048000.00
20010521,12.53,13,13,12.53,12.53,36885,21,36885000.00
20010523,12.53,13,13,12.53,12.53,10000,1,10000000.00
20010527,12.53,13,13,12.53,12.53,30000,10,30000000.00
20010528,12.53,13,13,12.53,12.53,154,1,154000.00
20010612,12.53,13,13,12.53,12.53,882,3,882000.00
20010703,12.53,13,13,12.53,12.53,1100,4,1100000.00
20010708,12.53,13,13,12.53,12.53,499000,165,499000000.00
20010709,12.53,13,13,12.53,12.53,498000,198,498000000.00
20010710,12.53,13,13,12.53,12.53,980,1,980000.00
20010711,12.53,13,13,12.53,12.53,910735,256,910735000.00
20010714,12.53,13,13,12.53,12.53,209100,12,209100000.00
20010902,12.53,13,13,12.53,12.53,1000,1,1000000.00
20010922,12.53,13,13,12.53,12.53,15,1,15000.00
20010924,12.53,13,13,12.53,12.53,240850,124,240850000.00
20010929,12.53,13,13,12.53,12.53,37623,22,37623000.00
20011003,12.53,13,13,12.53,12.53,50,1,50000.00
20011007,12.53,13,13,12.53,12.53,324730,10,324730000.00
20011009,12.53,13,13,12.53,12.53,2000,2,2000000.00
20011014,12.53,13,13,12.53,12.53,15400,17,15400000.00
20011016,12.53,13,13,12.53,12.53,6680,2,6680000.00
20011017,12.53,13,13,12.53,12.53,4000,2,4000000.00
20011022,12.53,13,13,12.53,12.53,41010,13,41010000.00
20011023,12.53,13,13,12.53,12.53,11182,9,11182000.00
20011024,12.53,13,13,12.53,12.53,7170,6,7170505.00
20011027,12.53,13,13,12.53,12.53,16253,5,16253000.00
20011028,12.53,13,13,12.53,12.53,15750,15,15750000.00
20011029,12.53,13,13,12.53,12.53,9009,12,9009000.00
20011030,12.53,13,13,12.53,12.53,3000,2,3000000.00
20011111,12.53,13,13,12.53,12.53,15000,11,15000000.00
20011112,12.53,13,13,12.53,12.53,25000,14,25000000.00
20011113,12.53,13,13,12.53,12.53,15000,11,15000000.00
20011118,12.53,13,13,12.53,12.53,15000,10,15000000.00
20011119,12.53,13,13,12.53,12.53,15000,8,15000000.00
20011120,12.53,13,13,12.53,12.53,16170,14,16170000.00
20011121,12.53,13,13,12.53,12.53,16588,16,16588000.00
20011124,12.53,13,13,12.53,12.53,5000,3,5000000.00
20011127,12.53,13,13,12.53,12.53,15000,9,15000000.00
20011128,12.53,13,13,12.53,12.53,15000,12,15000000.00
20011201,12.53,13,13,12.53,12.53,15000,13,15000000.00
20011202,12.53,13,13,12.53,12.53,15000,14,15000000.00
20011203,12.53,13,13,12.53,12.53,500,1,500000.00
20011204,12.53,13,13,12.53,12.53,15000,12,15000000.00
20011205,12.53,13,13,12.53,12.53,15000,13,15000000.00
20011208,12.53,13,13,12.53,12.53,15000,12,15000000.00
20011209,12.53,13,13,12.53,12.53,15000,12,15000000.00
20011211,12.53,13,13,12.53,12.53,60000,51,60000000.00
20011212,12.53,13,13,12.53,12.53,23037,19,23037000.00
20011217,12.53,13,13,12.53,12.53,17000,3,17000000.00
20011218,12.53,13,13,12.53,12.53,15000,2,15000000.00
20011219,12.53,13,13,12.53,12.53,130000,24,130000000.00
20011222,12.53,13,13,12.53,12.53,18350,5,18350000.00
20011223,12.53,13,13,12.53,12.53,15000,3,15000000.00
20011225,12.53,13,13,12.53,12.53,115000,88,115000000.00
20011226,12.53,13,13,12.72,12.72,280591,164,280621000.00
20011229,13.34,13,13,12.84,12.84,485454,73,509202238.00
20011230,12.91,13,13,13.22,13.22,184516,60,196214816.00
20011231,13.87,14,13,13.76,13.76,901134,139,996606338.00
20020101,14.43,14,14,14.43,14.43,100068,24,115278336.00
20020102,15.15,15,15,15.15,15.15,104702,23,126584718.00
20020105,15.90,16,16,15.90,15.90,1446046,232,1835032374.00
20020106,15.41,17,15,16.04,16.04,432642,118,552451524.00
20020107,16.04,16,16,16.26,16.26,107180,43,137639378.00
20020108,16.16,16,16,15.80,15.80,98019,45,124582026.00
20020112,15.79,16,15,16.01,16.01,156760,66,196643570.00
20020113,15.98,16,16,15.98,15.98,123192,42,156798660.00
20020114,15.98,16,15,15.98,15.98,160975,64,204261118.00
20020115,15.95,16,15,15.91,15.91,38416,13,48639020.00
20020116,15.78,16,16,15.79,15.79,16535,9,20825971.00
20020119,15.76,16,15,15.60,15.60,64791,28,80373019.00
20020120,15.59,16,15,15.59,15.59,136340,49,169250281.00
20020121,15.49,16,15,15.54,15.54,145489,40,179832835.00
20020122,15.29,16,15,15.64,15.64,88806,24,109176520.00
20020123,15.64,16,16,15.64,15.64,71402,25,88725694.00
20020126,15.61,16,16,15.61,15.61,3300,2,4111800.00
20020127,15.07,15,15,15.31,15.31,43000,14,52757000.00
20020128,15.31,16,15,15.66,15.66,298785,75,366864799.00
20020129,15.66,16,15,15.73,15.73,21858,14,26797500.00
20020130,15.91,16,16,15.93,15.93,84410,42,107763940.00
20020202,15.54,16,16,15.93,15.93,48941,23,61734229.00
20020203,15.90,16,16,15.98,15.98,36413,28,46224986.00
20020204,16.29,16,16,16.05,16.05,143456,62,186197016.00
20020205,16.29,16,16,16.14,16.14,85000,32,109789478.00
20020206,16.24,16,16,16.23,16.23,48010,37,61996851.00
20020209,16.24,16,16,16.28,16.28,167240,37,217602826.00
20020210,16.41,16,16,16.36,16.36,104280,24,136000960.00
20020212,16.38,16,16,16.43,16.43,68622,28,89862351.00
20020213,16.45,17,16,16.53,16.53,273300,46,361240900.00
20020216,16.53,17,17,16.60,16.60,74045,29,98095501.00
20020217,16.85,17,17,16.79,16.79,153179,37,205909039.00
20020218,16.89,17,17,16.95,16.95,665400,119,907771300.00
20020219,17.18,17,17,17.17,17.17,589491,123,809810272.00
