date,open,high,low,last,close,vol,count,value
20030621,392.77,402,389,400.35,400.35,1660000,366,2421230000.00
20030623,420.36,420,420,420.36,420.36,200000,45,310800000.00
20030625,441.19,441,441,441.19,441.19,3019,5,4923989.00
20030628,463.10,463,463,463.10,463.10,870000,232,1489440000.00
20030629,486.10,486,486,486.10,486.10,10300,4,18509100.00
20030701,510.17,510,510,510.17,510.17,2500,2,4715000.00
20030702,535.60,536,536,535.60,535.60,1700,1,3366000.00
20030705,562.38,562,562,562.38,562.38,1600,2,3326400.00
20030706,590.24,590,590,590.24,590.24,4500,3,9819000.00
20030707,619.73,620,620,619.73,619.73,44700,22,102407700.00
20030708,650.56,651,651,650.56,650.56,7902,4,19004310.00
20030709,683.02,683,683,683.02,683.02,4000,4,10100000.00
20030712,717.11,717,717,717.11,717.11,6595,13,17483345.00
20030713,717.38,753,717,752.81,752.81,1069276,408,2959005832.00
20030714,790.42,790,757,790.42,790.42,144037,64,419751177.00
20030715,829.91,830,830,829.91,829.91,119912,53,367890016.00
20030716,829.91,1028,830,932.97,932.97,147956,120,486679418.00
20030719,946.77,979,886,886.44,886.44,255461,159,883612543.00
20030720,842.35,842,842,842.35,842.35,30751,23,95758614.00
20030721,800.42,800,800,800.42,800.42,35983,15,106473697.00
20030722,760.66,761,761,760.66,760.66,6284,6,17670608.00
20030723,722.79,723,723,722.79,722.79,47727,29,127526544.00
20030726,722.79,759,687,758.77,758.77,245750,151,642416256.00
20030727,796.64,797,797,796.64,796.64,24250,14,71416250.00
20030728,836.40,836,796,797.45,797.45,311963,166,952192338.00
20030729,784.46,784,760,760.12,760.12,75729,47,218011705.00
20030909,730.36,730,544,641.10,641.10,16430,16,38935893.00
20030913,609.18,641,609,641.10,641.10,5010,6,11283700.00
20030914,609.18,641,609,641.10,641.10,11367,7,25599664.00
20030915,609.18,641,609,641.10,641.10,6027,4,13573984.00
20030917,609.18,639,609,639.47,639.47,3713,4,8362796.00
20030921,607.55,638,608,638.39,638.39,2219,2,4985014.00
20030922,606.47,638,606,638.39,638.39,1027,3,2303714.00
20030923,606.47,637,606,636.77,636.77,3860,3,8655240.00
20030927,605.12,632,605,631.90,631.90,12221,8,27339367.00
20030929,600.52,631,601,630.82,630.82,2240,2,4973920.00
20030930,599.44,630,599,629.74,629.74,2800,4,6205920.00
20031001,598.36,630,598,629.74,629.74,503,2,1113796.00
20031004,598.36,627,598,627.03,627.03,6550,4,14489660.00
20031005,595.92,623,596,622.97,622.97,10459,4,23042177.00
20031007,591.86,623,592,622.97,622.97,369,3,808522.00
20031008,591.86,601,592,592.68,592.68,310232,193,680005756.00
20031011,592.95,603,592,593.49,593.49,96598,42,212120108.00
20031013,593.49,622,588,594.57,594.57,33113,19,73265216.00
20031014,594.57,622,595,595.65,595.65,33313,25,73792989.00
20031015,568.06,595,566,591.59,591.59,17779,12,37372250.00
20031018,562.11,582,562,582.13,582.13,38289,27,79565282.00
20031019,553.18,571,553,570.77,570.77,49345,26,101195145.00
20031020,555.08,570,555,570.22,570.22,2460,8,5048997.00
20031021,567.25,570,567,569.95,569.95,3444,6,7219328.00
20031022,563.19,569,563,568.87,568.87,20010,10,41752670.00
20031025,568.06,595,568,570.77,570.77,51516,28,109269712.00
20031026,599.17,599,572,572.39,572.39,7842,8,17369040.00
20031027,600.79,601,575,575.09,575.09,12701,11,28207971.00
20031028,603.77,604,575,575.36,575.36,1510,4,3369270.00
20031029,604.04,604,589,588.89,588.89,59385,36,132558145.00
20031101,604.04,617,594,594.03,594.03,33189,29,74635460.00
20031102,617.56,622,602,601.87,601.87,46134,34,104986509.00
20031103,601.87,602,602,601.87,601.87,2510,5,5588750.00
20031104,602.96,628,599,603.50,603.50,58517,35,131017459.00
20031105,603.50,625,603,603.50,603.50,13917,8,31057367.00
20031108,600.52,603,599,603.23,603.23,7964,12,17663953.00
20031109,578.88,594,573,593.76,593.76,39849,16,84638374.00
20031110,564.27,582,564,582.13,582.13,55194,20,115975912.00
20031111,570.49,579,568,578.61,578.61,36409,16,76888421.00
20031112,574.01,582,568,576.72,576.72,48037,24,102028470.00
20031115,576.72,581,577,576.99,576.99,47999,36,102620049.00
20031117,576.99,580,576,576.99,576.99,14288,15,30511707.00
20031118,577.26,584,568,577.53,577.53,62405,29,133363457.00
20031119,576.72,577,568,575.09,575.09,64050,26,135758795.00
20031122,568.06,573,563,572.93,572.93,32585,28,68368992.00
20031123,567.25,571,554,571.31,571.31,16959,14,35214787.00
20031124,545.07,569,545,568.60,568.60,15578,21,31703183.00
20031125,551.83,568,550,558.59,558.59,130333,45,269172725.00
