date,open,high,low,last,close,vol,count,value
20040204,194.02,220,194,196.74,196.74,3500000,1777,13133746226.00
20040207,206.55,207,197,196.90,196.90,3200,5,12604616.00
20040208,206.71,207,207,206.71,206.71,600000,495,2365200000.00
20040209,217.04,217,217,217.04,217.04,650000,624,2690350000.00
20040214,227.84,228,228,227.84,227.84,650000,583,2824250000.00
20040215,239.22,239,239,239.22,239.22,992682,661,4528615284.00
20040216,251.17,251,251,251.17,251.17,918360,577,4398944400.00
20040217,263.70,264,264,263.70,263.70,184129,153,925984741.00
20040218,276.87,277,277,276.87,276.87,227551,124,1201469280.00
20040221,290.71,291,277,290.50,290.50,1925814,977,10669941296.00
20040222,291.02,304,290,295.95,295.95,557010,465,3144177932.00
20040223,292.81,296,288,292.81,292.81,407527,322,2275692702.00
20040224,292.12,292,279,285.46,285.46,388866,226,2117194940.00
20040225,283.16,285,273,277.28,277.28,281836,147,1490404322.00
20040228,277.60,289,277,283.37,283.37,528809,221,2857740728.00
20040229,282.63,290,283,287.30,287.30,384654,183,2107680532.00
20040303,288.40,299,288,297.73,297.73,566597,186,3217398116.00
20040306,298.89,302,297,299.20,299.20,3590565,177,20439819215.00
20040307,299.20,299,292,295.38,295.38,349208,121,1967147851.00
20040310,295.22,302,288,292.75,292.75,150038,69,837759709.00
20040313,289.03,293,283,287.72,287.72,339228,149,1861554488.00
20040314,291.76,292,288,289.24,289.24,1126270,74,6215878893.00
20040315,288.35,288,281,287.93,287.93,307037,83,1685954938.00
20040316,288.03,288,278,284.89,284.89,111086,67,601411283.00
20040317,283.16,299,278,286.41,286.41,257839,101,1408472367.00
20040327,286.46,299,286,286.83,286.83,21283,16,117530021.00
20040328,293.64,301,289,299.31,299.31,142043,54,812910397.00
20040329,300.20,314,299,303.08,303.08,66418,33,390040789.00
20040330,303.35,304,301,301.98,301.98,371628,91,2140399470.00
20040403,316.98,317,303,314.67,314.67,177645,60,1071717215.00
20040404,330.40,330,330,330.40,330.40,563732,142,3552075332.00
20040405,346.92,347,330,339.42,339.42,309952,103,2006501126.00
20040406,340.84,356,341,344.82,344.82,481539,173,3166701474.00
20040407,348.70,362,349,357.20,357.20,489465,180,3334490561.00
20040410,361.97,367,341,360.97,360.97,158240,109,1092496633.00
20040412,361.81,379,344,366.58,366.58,284079,134,1986148094.00
20040413,361.97,372,350,367.11,367.11,155520,119,1089458802.00
20040414,361.50,362,355,362.34,362.34,118406,76,810956557.00
20040417,359.09,367,359,365.17,365.17,254877,111,1775045708.00
20040418,364.49,375,357,365.06,365.06,234210,106,1630573723.00
20040421,364.70,370,354,366.64,366.64,158421,108,1109104305.00
20040424,372.30,375,367,369.63,369.63,536398,218,3781246682.00
20040425,369.68,370,370,369.63,369.63,26423,13,186302840.00
20040508,367.16,378,357,369.31,369.31,822947,209,5796767859.00
20040509,367.06,372,366,369.05,369.05,705739,268,4967171328.00
20040510,367.21,378,367,371.57,371.57,299667,140,2123595162.00
20040511,376.34,390,376,380.11,380.11,411011,142,2979433261.00
20040512,386.04,399,385,394.53,394.53,345326,101,2598248399.00
20040515,394.74,414,395,403.50,403.50,102785,54,807648370.00
20040516,423.64,424,410,409.58,409.58,60762,32,490893518.00
20040517,430.03,430,419,419.44,419.44,96793,77,793797373.00
20040518,440.36,440,438,440.26,440.26,785760,378,6597613434.00
20040519,462.23,462,447,462.12,462.12,639442,256,5635614847.00
20040522,485.20,485,479,479.32,479.32,149502,53,1383340886.00
20040523,503.29,503,503,503.29,503.29,251095,131,2410009810.00
20040524,528.40,528,513,524.58,524.58,961784,580,9622400599.00
20040620,456.20,536,419,487.61,487.61,1593543,762,14818422685.00
20040621,511.94,512,506,505.70,505.70,148857,96,1453289701.00
20040622,530.97,531,509,509.47,509.47,30303,43,306844078.00
20040623,534.91,535,520,520.49,520.49,86876,108,886219326.00
20040626,546.49,546,524,524.47,524.47,30992,40,322994424.00
20040627,550.69,551,534,533.80,533.80,71372,62,749545524.00
20040628,560.49,560,560,560.49,560.49,1046960,597,11190955440.00
20040629,571.56,572,532,538.52,538.52,350302,210,3597684135.00
20040630,511.62,535,512,514.19,514.19,714147,339,7003524528.00
20040703,513.83,514,488,490.91,490.91,345988,173,3239466241.00
20040704,482.21,507,467,483.78,483.78,617576,230,5711363177.00
20040705,478.75,488,479,484.15,484.15,149746,132,1383170321.00
20040706,485.56,508,485,498.30,498.30,453958,203,4314304253.00
20040707,519.07,523,509,518.18,518.18,213750,100,2112201362.00
20040710,544.08,544,544,544.08,544.08,274421,127,2847392296.00
20040711,571.24,571,530,568.73,568.73,364816,199,3956862131.00
20040712,550.58,597,545,586.40,586.40,811771,162,9163169506.00
20040713,589.86,590,557,575.07,575.07,124680,138,1351336391.00
20040714,565.69,566,546,554.62,554.62,162024,133,1699071030.00
20040717,546.34,546,534,540.99,540.99,139236,117,1420833943.00
20040718,536.06,539,523,529.92,529.92,231487,138,2339520557.00
20040719,522.06,551,519,527.88,527.88,139049,123,1397678309.00
20040720,529.61,530,514,525.68,525.68,83926,73,836730082.00
20040724,521.11,521,514,520.33,520.33,121838,98,1201115421.00
20040725,516.50,518,494,513.20,513.20,186415,83,1822876267.00
20040726,506.48,506,488,488.08,488.08,5446214,135,50810626827.00
20040727,487.66,511,488,494.63,494.63,181953,132,1718786016.00
20040728,498.78,519,499,500.19,500.19,65455,72,638669231.00
20040731,521.22,525,514,520.70,520.70,189021,114,1881403518.00
20040801,519.12,524,504,517.39,517.39,167051,90,1646433128.00
20040802,524.31,524,492,517.97,517.97,5154891,101,51480673774.00
20040803,517.97,524,492,502.71,502.71,2029183,82,19907407506.00
20040804,502.71,503,478,498.99,498.99,2761578,109,26243439751.00
20040807,477.17,503,475,494.37,494.37,1404586,150,12955239870.00
20040808,471.98,509,470,491.23,491.23,331219,138,3102951663.00
20040809,491.38,516,488,502.76,502.76,449403,79,4246065587.00
20040810,524.37,524,488,501.71,501.71,180513,87,1726908348.00
20040811,508.53,509,477,489.65,489.65,256859,86,2398752357.00
20040814,472.19,498,472,492.01,492.01,111826,63,1053481110.00
20040815,467.42,482,467,467.52,467.52,247052,83,2202872666.00
20040816,470.72,491,447,473.08,473.08,191919,100,1732488624.00
20040817,473.08,481,449,471.25,471.25,113725,62,1019188885.00
20040818,474.55,485,472,476.02,476.02,185889,69,1688912168.00
20040821,482.31,490,472,481.63,481.63,285791,76,2625003033.00
20040822,481.37,482,472,479.74,479.74,310082,89,2837189687.00
20040823,482.36,485,472,480.16,480.16,136004,61,1246066433.00
20040824,485.04,486,472,481.84,481.84,261845,70,2406174510.00
20040825,482.42,501,477,487.35,487.35,215984,65,2007445654.00
20040828,498.15,498,486,487.45,487.45,74232,39,690512067.00
20040829,487.40,488,482,487.24,487.24,57532,46,534129025.00
20040831,487.14,492,482,486.98,486.98,159604,57,1482124546.00
20040901,481.11,490,481,487.08,487.08,309760,90,2877450112.00
20040904,490.28,491,487,488.76,488.76,260213,61,2425697285.00
20040905,488.71,513,472,488.55,488.55,165979,77,1546426893.00
20040906,512.93,513,498,512.83,512.83,549361,102,5346944561.00
20040907,523.84,524,503,511.52,511.52,38040,38,367151320.00
20040908,502.87,514,488,501.50,501.50,126492,72,1195831437.00
20040911,498.15,499,488,498.72,498.72,99728,48,943391581.00
20040912,490.28,493,485,492.75,492.75,564436,52,5249657106.00
20040914,492.22,503,492,493.06,493.06,247768,53,2350213574.00
20040915,498.15,509,498,497.78,497.78,306626,52,2934685367.00
20040918,508.63,509,488,497.52,497.52,1364564,47,12951523605.00
20040919,497.52,498,477,492.96,492.96,293400,58,2724952715.00
20040920,492.96,498,485,494.48,494.48,202894,66,1913376823.00
20040921,479.90,488,477,488.39,488.39,676321,48,6209752756.00
20040922,486.09,487,483,487.40,487.40,46924,20,433484008.00
20040925,477.96,483,477,483.15,483.15,92328,46,842194490.00
20040926,480.27,484,478,481.63,481.63,103176,63,945029926.00
20040927,477.23,478,473,478.17,478.17,117297,62,1064414879.00
20040928,476.81,498,472,482.89,482.89,255241,97,2350673990.00
20040929,487.66,490,477,480.84,480.84,98771,69,901946359.00
20041002,477.17,500,477,492.59,492.59,1926112,130,17660401311.00
20041003,495.58,514,494,498.78,498.78,131421,90,1258254414.00
20041004,498.78,499,483,493.17,493.17,100474,50,934416803.00
20041005,491.80,495,472,491.17,491.17,128622,48,1202352104.00
20041006,489.55,490,477,487.19,487.19,68339,55,625070091.00
20041009,498.10,498,479,495.26,495.26,243313,137,2298179015.00
20041010,492.90,511,493,502.55,502.55,128927,120,1245702209.00
20041011,509.68,519,509,509.05,509.05,137248,126,1340466071.00
20041012,519.12,524,512,511.57,511.57,70966,84,708218442.00
20041013,524.16,535,522,527.98,527.98,1412163,212,14347870968.00
20041016,542.77,554,535,548.22,548.22,312705,154,3303462406.00
20041017,575.60,576,556,569.04,569.04,355810,200,3879110553.00
20041018,558.45,564,541,564.37,564.37,101472,99,1065668348.00
