date,open,high,low,last,close,vol,count,value
20030705,87.77,114,88,113.53,113.53,1999999,923,7443153215.00
20030706,119.18,119,119,119.18,119.18,75000,49,358575000.00
20030707,125.14,125,125,125.14,125.14,1170000,399,5873400000.00
20030708,131.40,131,131,131.40,131.40,200000,108,1054200000.00
20030709,137.96,138,138,137.96,137.96,209500,105,1159373000.00
20030712,142.82,145,138,144.84,144.84,3757384,842,21812116149.00
20030713,145.86,152,145,152.07,152.07,871073,403,5265074349.00
20030714,152.07,160,152,159.67,159.67,1550100,160,9821113709.00
20030715,159.67,168,160,167.65,167.65,443133,125,2971109545.00
20030716,174.03,176,160,159.54,159.54,12392063,184,87527658016.00
20030719,157.08,157,152,151.57,151.57,206877,101,1262274545.00
20030720,145.83,146,144,143.99,143.99,112757,63,652716860.00
20030721,140.05,147,137,145.83,145.83,300821,122,1694783306.00
20030722,139.65,140,139,138.55,138.55,162511,75,906303475.00
20030723,138.11,139,137,138.48,138.48,71896,41,397954293.00
20030726,144.49,145,140,145.38,145.38,920550,115,5295761645.00
20030727,152.64,153,153,152.64,152.64,215710,34,1320792330.00
20030728,160.07,160,153,153.81,153.81,379249,75,2342254385.00
20030729,153.76,155,154,154.56,154.56,206166,102,1275651371.00
20030730,154.56,155,153,153.81,153.81,166743,64,1029708640.00
20030803,150.82,152,151,150.82,150.82,159666,47,966185116.00
20030804,150.79,153,151,150.84,150.84,181463,39,1114357179.00
20030805,150.79,151,145,145.33,145.33,105739,34,623083611.00
20030806,147.08,147,147,147.08,147.08,56524,22,333491600.00
20030809,150.82,151,147,150.82,150.82,393278,88,2376751669.00
20030810,150.82,151,151,150.82,150.82,75474,22,456617700.00
20030811,150.82,151,151,150.82,150.82,371282,73,2246256100.00
20030812,150.82,151,151,150.82,150.82,151494,36,916538700.00
20030813,150.82,151,151,150.82,150.82,14309,5,86569450.00
20030816,150.82,151,151,150.82,150.82,182833,32,1106139650.00
20030817,150.82,151,151,150.82,150.82,71480,15,432454000.00
20030818,150.82,151,151,150.82,150.82,10,1,60500.00
20030819,150.82,151,151,150.82,150.82,30374,7,183762700.00
20030820,158.35,158,151,150.82,150.82,82965,24,526993378.00
20030823,158.35,158,151,150.82,150.82,21190,7,134598578.00
20030824,158.35,158,151,150.82,150.82,22914,9,145549426.00
20030825,158.35,178,151,150.82,150.82,2026213,28,14486504674.00
20030826,158.35,158,151,150.82,150.82,17105,10,108650658.00
20030827,158.35,158,158,158.35,158.35,501501,88,3185534352.00
20030830,166.25,166,158,158.35,158.35,35401,13,236088952.00
20030831,166.25,166,158,158.35,158.35,18365,11,122473015.00
20030901,166.25,166,166,166.25,166.25,405830,109,2706480270.00
20030902,174.55,175,174,174.55,174.55,1989375,305,13929165194.00
20030903,179.49,182,175,174.55,174.55,3885886,56,27785819011.00
20030906,181.81,182,175,174.55,174.55,51608,21,372902906.00
20030907,179.04,183,175,174.55,174.55,314957,88,2295196013.00
20030908,183.28,183,175,174.55,174.55,79055,26,580777078.00
20030909,183.23,183,175,174.55,174.55,232265,53,1706351547.00
20030913,183.28,183,175,174.55,174.55,470162,72,3439246213.00
20030914,174.45,180,174,177.72,177.72,3381509,99,24258566062.00
20030915,179.29,181,178,177.72,177.72,229185,61,1652657992.00
20030916,179.39,179,178,178.49,178.49,145215,16,1039825160.00
20030917,181.73,182,179,180.38,180.38,81879,17,595483260.00
20030927,179.49,189,179,183.68,183.68,17310,5,127553680.00
20030928,180.48,180,177,178.22,178.22,1053125,49,7530488654.00
20030929,176.99,178,174,177.87,177.87,17525,13,123717150.00
20031001,169.52,170,169,169.96,169.96,214141,25,1451907178.00
20031004,167.02,170,167,169.72,169.72,10010,4,67068080.00
20031005,167.02,175,167,167.92,167.92,1177075,60,7995752900.00
20031006,176.25,176,168,168.07,168.07,2510,3,17744420.00
20031007,176.25,176,169,168.87,168.87,15200,11,106343990.00
20031008,177.29,177,177,177.29,177.29,512607,72,3645660984.00
20031011,179.49,182,178,177.99,177.99,47434,19,340775575.00
20031013,182.03,187,182,186.32,186.32,203371,58,1520112125.00
20031014,189.46,189,187,186.69,186.69,15010,7,114074890.00
20031015,189.46,196,187,190.48,190.48,157748,34,1205468918.00
20031018,190.43,190,185,187.84,187.84,86865,35,651076579.00
20031019,185.72,188,186,187.17,187.17,2542617,41,19067901050.00
20031020,186.94,187,187,187.02,187.02,32330,9,242052100.00
20031021,187.02,187,187,186.94,186.94,1614220,51,12106391318.00
20031022,186.94,196,187,191.55,191.55,262523,59,2017476694.00
20031025,191.63,201,192,198.71,198.71,302885,35,2392301579.00
20031026,201.03,201,197,199.55,199.55,521588,29,4203087270.00
20031027,196.94,201,197,199.50,199.50,97267,35,778507818.00
20031028,200.63,201,199,199.50,199.50,35223,15,281944302.00
20031029,199.43,199,196,199.28,199.28,359126,81,2871157390.00
20031101,199.28,199,196,199.23,199.23,35995,21,287616734.00
20031102,195.69,198,189,197.64,197.64,28435,18,219633859.00
20031103,195.69,197,193,195.34,195.34,289084,64,2265500159.00
20031123,196.94,199,196,196.34,196.34,36110,12,287774756.00
20031124,199.43,202,195,197.78,197.78,851422,50,6692234941.00
20031125,195.44,195,192,192.05,192.05,489902,22,3773338086.00
20031129,192.03,192,191,191.93,191.93,85513,24,658212771.00
20031130,189.48,192,189,189.58,189.58,4061056,38,30864862326.00
20031201,189.38,190,189,189.53,189.53,160410,4,1218593230.00
20031202,189.16,190,189,189.51,189.51,1677,8,12725341.00
20031203,189.03,189,187,189.43,189.43,10690,5,81012070.00
20031206,184.95,189,182,189.16,189.16,5360,4,39469530.00
20031207,180.73,186,181,186.27,186.27,41510,12,301083220.00
20031208,178.24,182,178,181.63,181.63,80510,19,579297860.00
20031209,178.19,182,178,181.26,181.26,25433,18,183531260.00
20031210,178.24,180,177,180.41,180.41,24081,18,171098277.00
20031213,174.53,175,175,174.83,174.83,114110,20,799101130.00
20031214,174.95,176,175,174.83,174.83,2279,4,16017460.00
20031215,178.99,179,175,175.32,175.32,215525,13,1523201930.00
20031216,176.15,180,176,176.52,176.52,1115494,25,7966291772.00
20031217,181.98,183,179,179.29,179.29,53229,17,390312070.00
20031221,182.28,188,181,181.21,181.21,1050027,21,7920135640.00
20031222,181.71,182,181,181.41,181.41,250571,15,1826446460.00
20031223,181.98,184,181,181.61,181.61,276285,14,2039878751.00
20031224,181.28,181,181,181.26,181.26,92490,18,672210135.00
20031227,181.23,182,181,181.31,181.31,75070,23,546174045.00
20031228,181.98,182,181,181.36,181.36,11826,7,86296106.00
20031229,181.33,181,181,181.28,181.28,34797,13,252907129.00
20031230,179.49,180,177,179.06,179.06,1152007,35,8195942253.00
20031231,179.06,179,179,179.04,179.04,26379,13,189475387.00
20040103,179.49,179,177,177.39,177.39,359224,34,2552270812.00
20040104,177.99,181,177,177.84,177.84,21527,12,155370850.00
20040105,177.24,178,177,177.79,177.79,8750,10,62225340.00
20040106,177.74,179,177,179.01,179.01,191898,21,1378098649.00
20040107,178.49,179,178,178.66,178.66,53220,18,380527446.00
20040110,177.99,179,177,178.89,178.89,1163138,61,8310626861.00
20040111,178.89,179,178,178.76,178.76,31620,12,226411758.00
20040112,176.99,179,177,178.61,178.61,20544,13,146693984.00
20040113,176.99,178,177,178.04,178.04,40452,17,287205120.00
20040114,178.37,179,178,178.47,178.47,69224,20,496491748.00
20040117,178.47,183,178,179.29,179.29,528683,19,3809400330.00
20040118,180.96,181,179,179.31,179.31,99460,27,715605030.00
20040119,179.24,179,179,179.29,179.29,1765,5,12690370.00
20040120,177.24,178,176,176.94,176.94,135010,24,958425587.00
20040121,176.45,178,176,176.84,176.84,586089,70,4158591764.00
20040124,179.64,184,179,181.78,181.78,263949,59,1924741194.00
20040125,183.23,184,183,183.10,183.10,80826,21,595829650.00
20040126,183.08,183,183,183.08,183.08,28033,19,205893238.00
20040127,184.47,184,183,183.08,183.08,7706,15,56680868.00
20040128,183.03,183,177,179.49,179.49,993000,16,7069854870.00
20040131,180.71,181,179,179.94,179.94,124510,29,898820180.00
20040201,177.17,179,177,179.36,179.36,22939,9,162934731.00
20040203,179.24,179,177,178.34,178.34,502026,13,3564494865.00
20040204,176.74,178,174,176.99,176.99,152959,40,1086061800.00
20040207,179.21,181,178,178.44,178.44,71260,16,513006700.00
20040208,178.42,178,177,178.19,178.19,92525,17,661264275.00
20040209,178.09,178,177,176.99,176.99,1724802,17,12246279900.00
20040214,176.94,177,174,176.10,176.10,76777,23,540924135.00
20040215,176.47,176,173,175.72,175.72,22680,18,158524266.00
20040216,174.43,175,173,174.95,174.95,155020,23,1083155360.00
20040217,173.30,174,173,174.35,174.35,95844,18,669901158.00
