date,open,high,low,last,close,vol,count,value
20120215,1896.47,1896,1896,1896.47,1896.47,599834500,1729,2879205600000.00
20120218,1972.33,1972,1972,1972.33,1972.33,3243442,103,16191262464.00
20120219,2050.96,2051,2051,2050.96,2050.96,6670245,357,34625241795.00
20120220,2094.02,2133,2093,2132.74,2127.60,161495197,10846,869684379078.00
20120221,2165.14,2184,2137,2173.04,2169.09,147601771,9376,810341515536.00
20120222,2163.16,2163,2122,2135.11,2135.90,29770468,2828,160952101431.00
20120225,2119.70,2120,2093,2096.00,2097.18,18381792,2073,97571106480.00
20120226,2097.58,2136,2098,2112.99,2114.57,6227742,1041,33331501466.00
20120227,2132.74,2199,2114,2192.80,2176.20,13233140,1871,72893901848.00
20120228,2188.84,2258,2181,2251.67,2239.42,19415418,1782,110040929672.00
20120229,2252.46,2288,2213,2220.45,2242.97,8410639,1357,47748913142.00
20120303,2224.40,2244,2213,2219.66,2225.98,7552841,839,42553394254.00
20120304,2212.55,2232,2201,2204.65,2219.27,6158371,857,34592095136.00
20120305,2200.70,2201,2165,2192.80,2176.99,8514042,860,46910127472.00
20120306,2181.34,2189,2173,2176.60,2174.62,7850614,683,43212949004.00
20120307,2173.04,2224,2173,2184.89,2196.75,4108449,558,22842851527.00
20120310,2191.61,2224,2189,2196.75,2205.04,3795691,506,21183758018.00
20120311,2199.51,2224,2200,2208.60,2212.55,6003259,793,33621202044.00
20120312,2210.58,2211,2178,2188.84,2191.61,2928775,444,16245164754.00
20120313,2192.40,2250,2179,2240.21,2210.58,6473094,846,36218982966.00
20120314,2245.34,2299,2245,2298.68,2291.97,2773331,286,16088343683.00
20120317,2383.63,2384,2332,2383.63,2379.68,10857969,903,65392242728.00
20120318,2425.90,2473,2394,2457.91,2412.08,37340105,1964,227962634451.00
20120324,2481.22,2508,2481,2508.48,2453.56,1090189,139,6908194701.00
20120325,2551.55,2552,2469,2551.55,2537.32,12257147,1297,78710548295.00
20120326,2536.53,2548,2490,2527.84,2512.83,4203417,727,26735049895.00
20120327,2528.23,2613,2528,2613.18,2590.66,7312184,702,47947679595.00
20120328,2647.16,2694,2627,2694.18,2680.35,10466209,1624,70998693209.00
20120402,2753.84,2776,2706,2734.87,2747.91,12575597,1962,87460124189.00
20120403,2725.78,2742,2653,2686.67,2695.76,5736475,976,39137369022.00
