date,open,high,low,last,close,vol,count,value
20150318,1001.07,1041,1001,1001.07,1002.32,616919,83,8894527094.00
20150325,1021.85,1029,1022,1021.99,1007.18,17501,15,257941389.00
20150328,1008.16,1008,967,966.93,976.39,233214,285,3275380969.00
20150329,1008.02,1015,974,974.23,981.18,317376,154,4479570892.00
20150330,981.60,982,959,966.38,978.54,19650,41,274303203.00
20150331,987.16,987,951,973.26,975.35,45333,60,634445220.00
20150404,1014.35,1014,1014,1014.35,1014.35,80183,17,1169950153.00
20150405,1054.87,1055,1030,1049.73,1051.75,522085,114,7898414221.00
20150406,1024.70,1025,1010,1014.90,1009.83,214469,67,3115479038.00
20150407,988.69,1009,980,981.53,1005.93,27318,31,392322528.00
20150408,982.30,995,982,994.25,1005.38,3561,12,50850505.00
20150411,1021.92,1025,973,987.86,986.26,63063,40,890009735.00
20150412,987.16,1001,987,988.55,987.86,52915,37,752545926.00
20150413,974.79,975,974,974.79,986.89,6020,16,84413580.00
20150414,973.89,987,974,987.16,986.54,2929,13,41170600.00
20150415,987.16,1001,977,1001.07,986.05,22079,19,312764052.00
20150418,993.42,1008,991,1001.07,987.16,6876,18,98773450.00
20150419,980.21,1001,977,980.21,986.82,40093,26,568909250.00
20150420,977.43,980,977,976.74,981.88,42770,26,601411140.00
20150421,974.58,975,974,973.95,981.60,3000,2,42031800.00
20150422,997.59,998,977,994.12,983.97,18080,17,258026850.00
20150425,1001.00,1001,987,987.16,985.56,11653,8,166746948.00
20150426,973.33,994,973,987.30,985.22,22114,21,313123627.00
20150427,980.28,980,973,973.26,981.18,30182,41,423129550.00
20150428,973.26,991,961,960.75,979.52,9711,15,135164570.00
20150429,993.42,993,960,973.26,979.45,779,9,10920950.00
20150503,962.14,965,959,964.92,976.53,12754,27,176320080.00
20150504,948.09,948,938,937.53,960.61,33272,29,449078646.00
20150505,952.40,965,941,941.28,960.47,6299,10,86902180.00
20150506,931.55,945,932,935.51,959.63,2470,6,33132955.00
20150509,937.18,964,937,938.85,957.41,11080,15,150415950.00
20150510,931.62,933,925,924.60,950.25,20400,29,272737500.00
20150511,945.45,953,939,938.85,949.62,8951,11,121623741.00
20150512,952.33,959,939,938.50,949.62,36700,14,501302900.00
20150513,928.07,945,928,942.39,947.95,11454,25,154546875.00
20150517,928.07,929,918,917.71,946.29,5175,8,68630306.00
20150518,938.50,965,925,929.46,945.04,95425,43,1297206560.00
20150519,958.38,959,925,958.38,944.27,4030,7,53912500.00
20150520,958.10,958,932,945.45,943.44,9976,22,134518455.00
20150523,951.99,952,918,951.36,942.39,10176,20,136879716.00
20150524,936.41,950,898,945.38,940.10,21479,21,288564013.00
20150525,945.45,945,936,938.50,940.03,10121,11,136824000.00
20150526,938.50,939,939,938.50,939.68,19790,13,267165000.00
20150527,954.70,955,940,941.98,942.39,16760,17,229649950.00
20150530,931.69,949,904,945.45,940.10,9915,10,131798100.00
20150531,944.90,945,939,938.50,940.10,2989,8,40400582.00
20150601,907.29,949,907,938.01,939.06,10632,14,142613000.00
20150602,958.24,958,915,945.31,938.92,14310,16,193119800.00
20150607,921.12,943,921,942.81,938.71,1290,5,17186100.00
20150608,924.60,945,904,943.99,937.87,4108,7,54495132.00
20150609,908.75,941,908,927.38,934.33,18991,32,252151450.00
20150610,943.09,943,914,938.43,933.50,16757,15,224223923.00
20150613,921.12,938,918,936.28,933.36,4442,10,59482684.00
20150614,936.83,938,918,932.94,929.12,75800,35,1012850230.00
20150615,936.69,937,918,934.95,929.32,12690,20,169837590.00
20150616,936.69,937,932,934.61,929.53,4700,10,63093804.00
20150617,938.50,942,930,941.98,930.64,10195,23,137610300.00
20150620,943.37,950,932,945.45,936.83,37621,21,510737355.00
20150621,949.62,984,950,973.26,965.89,114871,49,1596032217.00
20150622,971.87,972,952,969.37,964.85,21811,39,301845150.00
20150623,969.78,970,945,962.14,963.25,9470,8,129631200.00
20150624,960.75,961,939,959.36,962.69,9140,14,126012990.00
20150627,930.16,965,918,952.40,946.43,70971,45,964124360.00
20150628,959.36,959,959,959.36,946.50,618,2,8528400.00
20150629,931.55,956,932,938.50,946.56,3600,20,49092360.00
20150630,932.66,956,933,938.50,947.26,27466,50,374764873.00
20150701,959.36,959,933,947.40,945.73,18000,13,243533536.00
20150704,959.29,959,945,950.18,947.82,22973,29,314917121.00
20150705,947.82,949,933,945.94,945.87,27711,25,375601535.00
20150706,932.94,959,933,939.89,955.46,81850,31,1124957805.00
20150707,959.01,959,933,947.82,946.15,44930,25,606786000.00
20150711,959.36,966,921,957.27,960.75,2085633,43,28823194486.00
20150712,945.45,969,945,954.49,961.37,18778,21,260245155.00
20150713,969.78,981,951,951.01,961.79,70439,62,974592826.00
20150714,938.85,959,932,935.02,935.30,127008,57,1708716045.00
20150715,924.60,951,921,937.81,932.59,46750,50,625829055.00
20150720,921.82,939,922,930.16,932.59,7100,10,95245900.00
20150721,931.55,945,932,941.28,934.12,42578,36,572942880.00
20150722,931.55,950,932,949.55,934.19,999,3,13516100.00
20150725,925.29,950,925,944.76,938.92,44500,62,603441785.00
20150726,929.60,950,930,931.55,938.85,4262,13,57502983.00
20150727,931.55,939,918,938.50,938.57,7229,18,97334615.00
20150728,931.55,942,919,937.11,934.33,57577,69,772465680.00
20150729,934.33,934,918,932.73,933.29,15805,27,211254121.00
20150801,931.55,948,925,943.37,933.29,4319,14,57975448.00
20150802,931.55,943,911,929.95,927.93,32105,60,424842631.00
20150803,924.60,937,907,928.07,926.13,16596,35,219426041.00
20150804,938.50,939,939,938.50,926.20,444,1,5994000.00
20150805,926.20,926,918,923.83,925.78,25733,35,342376873.00
