date,open,high,low,last,close,vol,count,value
20200520,35981.06,35981,35981,35981.06,35981.06,38602747,2903297,1557736649691.00
20200523,37779.53,37780,37780,37779.53,36069.33,60870,4722,2579061900.00
20200526,37872.26,37872,37872,37872.26,37872.26,1474829,4990,62641886946.00
20200527,39765.25,39765,39765,39765.25,37950.73,51343,3567,2289743771.00
20200531,39848.18,39848,39848,39848.18,37992.64,26160,1983,1169090400.00
20200601,39891.87,39892,39892,39891.87,38171.86,110779,8472,4956141681.00
20200602,40080.01,40080,40080,40080.01,38306.50,82796,6006,3721680200.00
20200606,40221.78,40222,40222,40221.78,38489.29,111120,7938,5012512080.00
20200607,40413.49,40413,40413,40413.49,38701.50,128577,9754,5827623948.00
20200608,40636.40,40636,40636,40636.40,38913.72,127613,10236,5815834862.00
20200609,40859.32,40859,40859,40859.32,39121.48,124494,8999,5704813056.00
20200610,41076.88,41077,41077,41076.88,39325.66,121325,9009,5589200100.00
20200613,41291.77,41292,41292,41291.77,39624.37,172243,11433,7976401087.00
20200614,41604.74,41605,41605,41604.74,39878.49,145670,11086,6796962200.00
20200615,41872.24,41872,41872,41872.24,40129.94,143053,10510,6717768880.00
20200616,42136.17,42136,42136,42136.17,40378.71,140357,10670,6632710392.00
20200620,42397.43,42397,42397,42397.43,40795.12,227752,13374,10829379848.00
20200621,42834.34,42834,42834,42834.34,41111.65,171287,12019,8228456193.00
20200622,43166.93,43167,43167,43166.93,41442.46,177848,13508,8609977376.00
20200623,43513.78,43514,43514,43513.78,41685.88,129688,9895,6328904088.00
20200624,43769.69,43770,43770,43769.69,41807.15,64192,4409,3151056896.00
20200627,43897.19,43897,43897,43897.19,41997.07,96886,7262,4769794666.00
20200628,44096.92,44097,44097,44096.92,42187.89,97057,7355,4799953935.00
20200704,44296.64,44297,44297,44296.64,42480.72,151568,11306,7291027072.00
20200705,44604.20,44604,44604,44604.20,42925.49,228386,16942,11062561068.00
20200706,44604.20,45071,44604,45071.07,43344.47,213162,15878,10433186712.00
20200707,45511.24,45511,45511,45511.24,43715.58,187111,13976,9247586953.00
20200708,45900.76,45901,45901,45900.76,44222.05,253131,8845,12617567826.00
20200711,46433.01,46433,46433,46433.01,44513.04,137152,10309,6915752448.00
20200712,46737.81,46738,46738,46737.81,44918.21,189784,9282,9632486920.00
20200713,47163.25,47163,47163,47163.25,45283.79,169487,12253,8680615679.00
20200714,47547.24,47547,47547,47547.24,45688.96,186324,12772,9620653416.00
20200715,47972.67,47973,47973,47972.67,45793.02,47512,3464,2475185152.00
20200718,48082.26,48082,48082,48082.26,46172.41,166500,12112,8693797500.00
20200719,48480.98,48481,48481,48480.98,46477.21,132802,10103,6991759696.00
20200720,48800.52,48801,48801,48800.52,46753.47,119434,8953,6329404830.00
20200721,49090.59,49091,49091,49090.59,47067.48,135229,10321,7209057990.00
20200722,49420.25,49420,49420,49420.25,47332.68,113524,6088,6092606032.00
20200725,49699.27,49699,49699,49699.27,47573.95,99334,7567,5361155314.00
20200726,49952.50,49953,49953,49952.50,47833.63,106149,8054,5758158654.00
20200727,50225.08,50225,50225,50225.08,48936.81,448720,10354,24474086240.00
20200728,51383.51,51384,51384,51383.51,49309.75,148216,11219,8270452800.00
20200729,51774.87,51775,51775,51774.87,49481.03,67552,5006,3798111200.00
20200801,51954.44,51954,51954,51954.44,49722.29,90594,6596,5111313480.00
20200802,52207.67,52208,52208,52207.67,49982.89,97580,5954,5532298100.00
20200803,52481.16,52481,52481,52481.16,50200.21,81046,6098,4618973632.00
20200804,52709.53,52710,52710,52709.53,50564.87,135215,10320,7739706600.00
20200805,53092.61,53093,53093,53092.61,50758.25,71136,4736,4101417216.00
20200809,101516.50,106592,101516,106592.23,103249.54,881851,25652,100315864342.00
20200810,108411.83,108412,108412,108411.83,107685.28,779389,12059,91757466970.00
20200811,113069.50,113070,113070,113069.50,113069.50,979766,9934,120303507608.00
20200812,118722.61,118723,118723,118722.61,117209.65,664316,4996,85648268932.00
20200815,123069.95,123070,123070,123069.95,123003.65,388396,7898,51908348608.00
20200816,129153.09,129153,129153,129153.09,126649.30,232890,2742,32663754060.00
20200817,132981.07,132981,120318,120317.52,127620.79,8874484,73631,1229916496968.00
20200818,121240.21,121240,121240,121240.21,123104.02,278072,2088,36611237592.00
20200819,116949.05,116949,116949,116949.05,120049.55,194953,819,24759225953.00
20200822,114047.44,114047,114047,114047.44,118844.16,77003,406,9536821550.00
20200823,112902.83,112903,112903,112902.83,118107.48,47578,307,5833395846.00
20200824,112202.98,112203,112203,112202.98,117147.03,62397,408,7602887259.00
20200825,119710.68,123004,111290,111290.42,117786.10,7382918,72535,944350043240.00
20200826,121552.38,123210,114324,121230.09,121387.55,4481745,41813,590787782912.00
20200831,120631.53,120734,115318,115318.22,116980.36,871202,19157,110672946694.00
20200901,111132.03,111132,111132,111132.03,115844.95,73668,399,8890548912.00
20200902,110052.79,110053,110053,110052.79,115364.26,31461,243,3759967032.00
20200905,109596.05,109596,109596,109596.05,111562.99,263003,466,31301565048.00
20200906,105985.39,105985,105985,105985.39,110748.95,58243,358,6703478085.00
