date,open,high,low,last,close,vol,count,value
20131112,234.62,235,235,234.62,234.62,790,1,2370000.00
20131130,78.21,78,78,78.21,78.21,2860,2,2860000.00
20140217,249.59,250,250,249.59,249.59,13180,2,39540000.00
20140531,415.99,416,416,415.99,415.99,2300,2,11500000.00
20140611,374.39,374,374,374.39,374.39,1458,1,6561000.00
20140630,183.03,183,183,183.03,183.03,2810,1,6182000.00
20140706,166.64,167,167,166.64,166.64,500,1,1001500.00
20140721,415.99,416,167,166.64,341.69,7914,3,32501012.00
20140831,331.96,332,332,331.96,331.96,100,1,399000.00
20141112,249.59,250,250,249.59,249.59,9300,1,27900000.00
20141209,251.26,251,251,251.26,251.26,1260,1,3805200.00
20150107,253.75,254,254,253.75,253.75,250,1,762500.00
20150111,253.75,254,253,252.92,252.92,4060,3,12343100.00
20150311,291.19,291,291,291.19,291.19,4060,1,14210000.00
20150420,291.19,291,291,291.19,291.19,2754,1,9639000.00
20150421,291.19,291,291,291.19,291.19,959,1,3356500.00
20150530,332.79,333,333,332.79,332.79,2000,1,8000000.00
20150531,332.79,333,333,332.79,332.79,5900,1,23600000.00
20150707,292.02,333,292,332.79,322.39,5370,3,20808700.00
20150803,332.79,333,333,332.79,332.79,2030,1,8120000.00
20150908,370.23,374,370,374.39,372.97,6000,3,26898000.00
20150916,374.39,374,374,374.39,374.39,2672,4,12024000.00
20160112,374.39,374,374,374.39,374.39,10,1,45000.00
20160116,374.39,374,366,366.07,374.31,4080,2,18357000.00
20160207,374.39,374,374,374.39,374.39,3510,1,15795000.00
20160213,374.39,374,374,374.39,374.39,580,1,2610000.00
20160718,291.19,291,291,291.19,291.19,6920,1,24220000.00
20160724,291.19,291,291,291.19,291.19,2,1,7000.00
20160802,291.19,291,291,291.19,291.19,2000,1,7000000.00
20160815,291.19,291,291,291.19,291.19,4060,2,14210000.00
20160816,291.19,291,291,291.19,291.19,99,1,346500.00
20161113,291.19,291,291,291.19,291.19,790,1,2765000.00
20161231,295.35,295,295,295.35,295.35,4060,1,14413000.00
20170125,307.83,308,308,307.83,307.83,4060,1,15022000.00
20170204,320.31,320,320,320.31,320.31,5000,1,19250000.00
20170207,320.31,320,320,320.31,320.31,4000,1,15400000.00
20170208,320.31,320,320,320.31,320.31,11960,1,46046000.00
20170327,352.34,352,352,352.34,352.34,190,2,804650.00
20170329,387.53,388,388,387.53,387.53,4210,3,19610180.00
20170404,426.22,426,426,425.97,426.14,2190,3,11216370.00
20170408,425.97,426,426,425.97,425.97,1000,1,5120000.00
20170409,415.99,416,416,415.99,415.99,1438,3,7190000.00
20170419,440.95,458,441,440.95,449.10,4080,3,22024000.00
20170424,445.11,445,445,445.11,445.11,310,1,1658500.00
20170426,482.54,483,483,482.54,482.54,4112,1,23849600.00
20170430,528.30,528,528,528.30,528.30,15000,1,95250000.00
20170528,581.13,581,581,581.13,581.13,4440,1,31013400.00
20170530,636.46,636,581,581.13,584.13,8735,10,61332730.00
20170531,581.13,581,581,581.13,581.13,290,2,2025650.00
20170607,549.10,549,549,549.10,549.19,1625,3,10726000.00
20170612,549.19,549,549,549.19,549.19,6560,1,43302560.00
20170708,540.78,541,541,540.78,540.78,190,1,1235000.00
20170807,540.78,541,541,540.78,540.78,4424,2,28756000.00
20170808,540.78,541,541,540.78,540.78,60,1,390000.00
20170813,594.86,595,595,594.86,594.86,9384,5,67095600.00
20170814,653.93,654,654,654.35,654.26,19500,26,153352500.00
20170815,719.66,720,720,719.66,719.66,29244,19,252960600.00
20170816,791.62,792,792,791.62,791.62,36485,9,347154775.00
20170819,870.74,871,871,870.74,870.74,86954,23,910060564.00
20170820,957.77,958,958,957.77,957.77,120615,27,1388519880.00
20170821,1053.53,1054,1054,1053.53,1053.53,42395,13,536847885.00
20170823,1158.86,1159,1159,1158.86,1158.86,117950,30,1642925550.00
20170826,1274.67,1275,1082,1141.05,1268.93,368564,121,5621221729.00
20170829,1142.05,1142,1142,1142.05,1142.05,5240,5,71929480.00
20170902,1027.90,1028,1028,1027.90,1027.90,2452,6,30294460.00
20170903,925.15,1115,925,1046.62,988.30,204770,100,2432381126.00
20170904,998.54,999,890,889.55,926.74,41908,30,465869939.00
20170905,835.36,906,834,834.70,835.11,127285,56,1275037401.00
20170906,758.08,875,758,769.50,763.58,52491,22,480752985.00
20170910,816.77,817,725,808.43,788.76,7346,11,69503276.00
20170911,808.52,849,726,725.65,786.51,4727,27,44596197.00
20170912,821.19,821,726,726.98,727.65,24895,19,217275375.00
20170916,781.92,789,775,789.34,779.34,1120,9,10469457.00
20170918,701.47,732,701,701.47,701.97,48180,48,405658766.00
20170919,667.79,668,668,667.79,667.79,2363,2,18927630.00
20170920,733.65,735,722,734.57,732.82,13042,14,114636122.00
20170923,806.10,806,806,806.10,806.10,10306,43,99648194.00
20170924,886.63,887,887,886.63,886.63,39542,28,420524787.00
20170925,949.58,950,800,899.56,849.62,13301,38,135553199.00
20170927,895.81,896,765,764.75,822.61,7202,9,71059323.00
20171002,833.70,834,740,833.70,774.25,2804,10,26039639.00
20171003,851.37,851,848,847.78,849.45,5965,11,60778895.00
20171004,764.67,847,765,765.58,766.17,20288,16,186440508.00
20171010,825.36,843,825,842.78,837.53,66925,24,672341896.00
20171011,848.54,921,792,921.23,912.06,10659,15,116612218.00
20171016,917.06,1003,917,1003.19,987.51,25977,17,307689930.00
20171017,1086.22,1086,1086,1086.22,1086.22,37904,9,493851216.00
20171022,1150.50,1150,978,977.67,1000.18,2809,8,33700237.00
20171023,1100.14,1100,1100,1099.89,1099.98,5589,20,73743271.00
20171024,1099.89,1100,1100,1099.89,1099.89,76,1,1002668.00
20171025,1099.81,1100,1100,1099.89,1099.81,881,2,11622533.00
20171028,1125.49,1125,990,989.85,993.85,2597,7,30959460.00
20171029,894.47,1042,894,894.47,898.39,3992,7,43016220.00
20171031,812.35,916,812,916.23,886.80,5922,21,62995177.00
20171101,917.06,917,812,812.44,834.95,10884,17,109000978.00
20171104,813.69,918,814,918.40,882.30,11437,17,121036725.00
20171105,970.50,971,971,970.50,970.50,7898,4,91940618.00
20171106,875.46,1067,874,883.63,888.30,12133,17,129272251.00
20171107,833.70,963,875,963.33,940.24,8203,9,92509500.00
20171108,958.75,961,875,875.38,940.83,1810,4,20425000.00
20171112,846.87,850,847,846.87,847.12,11304,15,114865059.00
20171113,917.06,917,792,833.70,830.36,5280,14,52588674.00
20171114,907.06,907,834,833.78,845.87,2752,7,27922004.00
20171118,833.86,834,834,833.78,833.86,1552,4,15522547.00
20171120,846.20,846,834,833.70,835.20,4600,3,46081000.00
20171121,833.70,842,834,842.03,836.03,357,3,3580000.00
20171126,833.70,834,834,833.70,833.70,4260,2,42600000.00
20171128,833.70,834,834,833.70,833.70,16427,11,164269679.00
20171203,751.16,751,750,750.74,750.58,8783,7,79070137.00
20171205,824.02,826,824,825.61,825.11,14184,30,140373532.00
20171209,833.70,863,834,863.29,842.78,5889,9,59533840.00
20171211,858.62,859,859,858.71,858.71,1759,4,18117602.00
20171216,772.84,800,773,800.35,774.42,4415,8,41012050.00
20171218,813.69,814,709,708.64,725.23,2242,8,19502216.00
20171219,709.72,798,710,797.68,793.93,9598,23,91404476.00
20171220,850.37,850,834,850.29,840.70,4556,21,45944638.00
20171223,850.37,925,850,924.48,853.95,16998,27,174105373.00
20171224,817.02,917,809,808.68,826.19,4800,11,47569494.00
20171226,826.19,826,826,826.19,826.19,500,2,4955000.00
20180101,767.00,767,744,743.74,744.32,4060,3,36249156.00
20180114,688.63,689,670,669.96,671.04,22000,16,177087680.00
20180225,738.07,738,738,738.07,672.13,1672,5,14802216.00
20180228,739.32,739,739,739.32,739.32,9725,6,86241300.00
20180305,813.19,813,813,813.19,813.19,10180,7,99295720.00
20180306,894.47,894,894,894.47,894.47,10000,3,107290000.00
20180310,983.84,984,984,983.84,983.84,10409,6,122836609.00
20180311,1082.22,1082,1082,1082.22,1082.22,2437,1,31634697.00
20180313,1190.43,1309,1190,1309.40,1279.56,77808,32,1194168929.00
20180314,1279.47,1279,1152,1151.67,1152.25,92074,42,1272594198.00
20180317,1037.95,1152,1038,1142.16,1099.31,14773,15,194793527.00
20180318,1209.19,1209,1209,1209.19,1209.19,12000,5,174048000.00
20180319,1330.08,1330,1330,1330.08,1330.08,13498,6,215347092.00
20180325,1462.97,1463,1462,1462.97,1462.97,29280,29,513793527.00
20180326,1604.03,1604,1463,1584.02,1475.72,1108,5,19613200.00
20180328,1461.05,1559,1330,1330.24,1444.88,3607,10,62514608.00
20180404,1575.27,1575,1311,1310.65,1359.59,15525,20,253176654.00
20180408,1234.54,1342,1235,1342.33,1334.25,5154,6,82486201.00
20180409,1342.25,1376,1342,1375.60,1365.26,1853,4,30344900.00
20180410,1342.25,1342,1342,1342.25,1342.25,4000,1,64400000.00
20180411,1342.25,1342,1342,1342.25,1342.25,26563,14,427674300.00
20180415,1342.25,1342,1292,1292.23,1331.16,6060,5,96760000.00
20180416,1342.25,1376,1342,1375.60,1345.58,10056,8,162301600.00
20180418,1345.58,1417,1346,1417.28,1372.43,19453,8,320241860.00
20180421,1334.75,1459,1334,1417.28,1417.12,20560,8,349469000.00
20180422,1417.28,1559,1417,1558.76,1506.15,14016,20,253218356.00
20180423,1417.45,1501,1417,1500.65,1457.97,9749,4,170492000.00
20180425,1417.28,1417,1417,1417.37,1417.28,14810,7,251774060.00
20180428,1292.23,1542,1292,1542.34,1375.18,1257,3,20734500.00
20180429,1500.65,1501,1417,1417.28,1435.12,636,4,10948000.00
20180430,1417.28,1459,1417,1458.97,1418.20,18150,4,308746000.00
20180506,1333.91,1334,1334,1333.91,1333.91,11941,4,191056000.00
20180507,1467.30,1467,1467,1467.30,1467.30,22760,13,400576000.00
20180508,1475.64,1614,1476,1614.03,1575.02,24297,21,459019546.00
20180529,1667.39,1834,1667,1834.13,1768.02,611189,84,12961295900.00
20180530,1944.09,1945,1751,1944.76,1908.58,179284,85,4104283064.00
20180602,1875.81,2099,1818,1984.11,1962.27,251688,62,5924039136.00
20180603,2042.14,2042,2042,2042.14,2042.14,1076,5,26356620.00
20180609,1838.30,1838,1838,1837.96,1838.05,30950,4,682340500.00
20180610,1654.30,1917,1654,1750.18,1842.22,90420,66,1998000971.00
20180611,1658.05,1658,1658,1658.05,1658.05,5000,4,99440000.00
20180612,1500.65,1817,1492,1567.76,1672.56,113047,56,2267974523.00
20180613,1506.07,1750,1505,1506.40,1552.51,37660,47,701313470.00
20180618,1417.37,1541,1397,1397.27,1407.86,60099,29,1014887991.00
20180619,1492.31,1492,1277,1392.27,1392.44,25157,16,420168220.00
20180620,1392.19,1426,1259,1383.52,1390.02,8179,19,136366404.00
20180623,1268.05,1529,1268,1529.00,1483.48,159917,51,2845636280.00
20180624,1508.99,1532,1501,1500.82,1507.07,15555,21,281193929.00
20180625,1592.36,1592,1368,1375.60,1431.87,4341,9,74556397.00
20180626,1296.73,1297,1289,1288.89,1295.81,4887,13,75957369.00
20180627,1333.91,1334,1334,1333.91,1333.91,615,1,9840000.00
20180630,1425.54,1426,1251,1415.45,1350.17,287,3,4647831.00
20180701,1216.36,1216,1215,1215.19,1215.36,3225,5,47014572.00
20180702,1097.56,1101,1098,1097.64,1098.64,17711,9,233398196.00
20180704,1208.44,1208,1208,1208.44,1208.44,33153,32,480552735.00
20180707,1308.90,1329,1309,1329.24,1328.58,15565,14,248043960.00
20180708,1336.83,1461,1334,1461.38,1437.12,10940,18,188586398.00
20180710,1475.64,1581,1476,1580.69,1570.35,600,4,11301585.00
20180711,1567.35,1724,1542,1542.34,1569.43,3020,7,56852000.00
20180714,1412.61,1413,1413,1412.53,1412.53,5978,21,101285354.00
20180716,1442.29,1442,1271,1271.30,1275.80,2253,9,34477104.00
20180718,1390.10,1390,1390,1390.10,1390.10,157,3,2617818.00
20180722,1251.13,1251,1251,1251.13,1251.13,2760,6,41419490.00
20180723,1126.91,1127,1126,1126.41,1126.41,5340,4,72151300.00
20180724,1239.04,1239,1239,1239.04,1239.04,1430,9,21252660.00
20180725,1115.48,1267,1115,1115.15,1120.49,38466,22,516993689.00
20180729,1125.57,1126,1070,1070.13,1089.31,3794,5,49571830.00
20180731,1198.10,1198,1194,1198.19,1196.69,8684,12,124648710.00
20180801,1316.32,1316,1316,1316.32,1316.32,16700,12,263676300.00
20180805,1442.29,1448,1376,1375.85,1446.29,5794,14,100516434.00
20180806,1447.88,1584,1334,1333.91,1339.25,2710,5,43532936.00
20180807,1466.47,1417,1416,1415.61,1416.78,935,4,15889600.00
20180812,1483.89,1484,1276,1275.72,1359.92,274,4,4469407.00
20180813,1225.62,1226,1224,1223.95,1224.03,20868,9,306382070.00
20180814,1346.33,1346,1345,1345.00,1345.42,2828,6,45638555.00
20180815,1328.08,1328,1224,1223.95,1317.41,555,3,8770305.00
20180818,1316.40,1316,1251,1250.54,1254.04,2306,5,34687960.00
20180819,1263.05,1263,1226,1225.53,1258.88,2250,2,33975000.00
20180820,1225.53,1226,1226,1225.53,1225.53,1000,1,14700000.00
20180821,1192.18,1192,1192,1192.18,1192.18,2002,2,28628600.00
20180825,1311.40,1311,1276,1311.40,1309.07,22894,6,359478910.00
20180826,1317.41,1440,1317,1439.96,1385.52,70619,29,1173628488.00
20180827,1524.00,1524,1524,1524.00,1524.00,52092,27,952239560.00
20180828,1371.93,1542,1372,1542.34,1540.50,6183,8,114248340.00
20180829,1667.31,1694,1667,1694.49,1684.81,5656,6,114302940.00
20180901,1834.13,1834,1834,1834.13,1834.13,10057,6,221254000.00
20180902,1833.88,1959,1651,1959.18,1869.73,176174,72,3951069936.00
20180903,1766.60,1767,1683,1682.81,1683.40,14545,34,293692330.00
20180904,1542.34,1852,1542,1850.72,1835.96,68371,24,1505674538.00
20180905,2019.54,2020,2001,2019.54,2018.21,56087,46,1357730348.00
20180908,2188.45,2188,2188,2188.45,2188.45,3000,1,78750000.00
20180909,1969.61,2167,1970,1972.52,2000.62,21519,23,516399100.00
20180910,1800.78,2059,1801,1813.29,1870.65,13665,25,306613409.00
20180911,1792.44,2017,1751,1750.76,1817.54,9586,14,208989121.00
20180912,1734.09,1834,1662,1669.31,1705.49,22869,28,467828236.00
20180915,1710.49,1834,1678,1834.13,1683.31,44999,43,908561433.00
20180916,1850.72,1852,1784,1851.64,1824.71,17537,33,383826230.00
20180917,1750.76,1751,1735,1750.76,1744.67,7317,11,153126220.00
20180918,1573.27,1876,1573,1875.81,1792.03,5742,28,123422578.00
20180922,1871.65,1876,1752,1752.84,1765.18,3368,11,71309079.00
20180923,1634.13,1729,1631,1729.08,1643.21,644,5,12693384.00
20180924,1667.31,1792,1479,1515.24,1545.84,65818,51,1220428958.00
20180925,1492.31,1700,1488,1700.40,1624.54,17952,30,349817589.00
20180926,1786.78,1787,1787,1786.94,1786.94,12488,20,267664565.00
20180929,1965.60,1966,1966,1965.60,1965.60,19022,11,448481694.00
20180930,2162.11,2162,2162,2162.02,2162.11,93300,23,2419637843.00
20181001,2334.35,2334,2334,2334.35,2334.35,1000,4,28000000.00
