date,open,high,low,last,close,vol,count,value
20040225,7.93,8,8,7.93,7.93,5000,9,5750000.00
20040315,8.32,8,8,8.12,8.12,1000,2,1206971.00
20040316,8.52,9,9,8.52,8.52,7640,6,9443040.00
20040510,8.94,9,9,8.94,8.94,9000,6,11673000.00
20040511,9.38,9,9,8.94,8.94,180,3,244916.00
20040512,9.38,9,9,8.98,8.98,880,2,1197100.00
20040515,9.43,9,9,9.43,9.43,9950,4,13611600.00
20040516,9.90,10,10,9.90,9.90,9625,4,13821500.00
20040517,10.39,10,10,10.39,10.39,9000,3,13563000.00
20040518,10.90,11,10,10.45,10.45,1010,2,1597160.00
20040519,10.96,11,11,10.96,10.96,9000,6,14319000.00
20040522,11.51,12,12,11.51,11.51,20000,15,33400000.00
20040523,12.08,12,12,11.65,11.65,2010,4,3522900.00
20040524,12.23,12,12,12.23,12.23,10000,15,17740000.00
20040525,12.83,13,13,12.83,12.83,9000,3,16758000.00
20040526,13.47,13,13,13.47,13.47,30000,17,58650000.00
20040529,14.14,14,14,14.14,14.14,9000,3,18468000.00
20040530,14.84,15,15,14.84,14.84,10100,4,21755400.00
20040531,15.58,16,16,15.58,15.58,20000,4,45220000.00
20040601,16.36,16,16,16.36,16.36,30000,17,71220000.00
20040602,17.17,17,17,17.17,17.17,32000,25,79744000.00
20040605,18.03,18,18,18.03,18.03,44900,26,117458400.00
20040606,18.92,19,19,18.92,18.92,44500,20,122197000.00
20040607,19.87,20,20,19.87,19.87,68125,28,196404375.00
20040608,20.86,21,20,20.13,20.13,2174,4,6579638.00
20040609,21.14,21,21,21.14,21.14,34000,26,104278000.00
20040612,22.19,22,22,22.19,22.19,34958,22,112564760.00
20040613,23.30,23,23,23.30,23.30,33117,34,111968577.00
20040614,24.47,24,24,24.47,24.47,36282,22,128801100.00
20040615,25.69,26,26,25.69,25.69,20191,7,75251857.00
20040616,26.97,27,27,26.97,26.97,40000,21,156520000.00
20040619,28.31,28,28,28.31,28.31,30422,20,124973576.00
20040620,29.72,30,30,29.72,29.72,44982,24,194007366.00
20040621,31.21,31,31,31.21,31.21,65920,55,298485760.00
20040622,32.76,33,30,31.61,31.61,67037,59,307470360.00
20040623,30.03,30,30,30.03,30.03,27635,25,120405695.00
20040626,28.53,29,29,28.53,28.53,34289,22,141956460.00
20040627,27.11,27,27,27.11,27.11,25219,18,99186327.00
20040628,25.75,26,26,25.75,25.75,19428,19,72602436.00
20040629,25.69,26,24,24.56,24.56,42164,28,150310656.00
20040630,23.50,24,23,23.34,23.34,35054,23,118699744.00
20040703,23.54,25,23,24.39,24.39,20109,16,71173988.00
20040704,24.50,26,25,25.27,25.27,56329,37,206505148.00
20040705,26.53,27,26,26.42,26.42,122418,59,469342566.00
20040713,26.88,28,27,27.25,27.25,11010,4,43538540.00
20040714,27.57,28,27,27.37,27.37,36344,19,144353541.00
20040717,26.01,27,26,26.73,26.73,26309,21,102060946.00
20040718,26.19,26,25,25.78,25.78,38382,28,143581535.00
20040719,24.49,25,24,25.02,25.02,4710,2,16735410.00
20040720,23.78,24,24,24.47,24.47,3634,4,12538300.00
20040724,23.25,24,23,23.94,23.94,3478,5,11732304.00
20040725,22.75,23,23,22.76,22.76,8061,11,26609371.00
20040726,21.62,22,22,21.62,21.62,10807,6,33901559.00
20040727,22.69,23,21,20.95,20.95,220595,59,670685599.00
20040728,22.00,22,22,21.75,21.75,6220,6,19853880.00
20040731,22.83,23,23,22.83,22.83,60198,21,199435974.00
20040801,23.97,24,24,23.97,23.97,118643,38,412640354.00
