date,open,high,low,last,close,vol,count,value
20010516,849.44,849,849,849.44,849.44,1000,1,6700000.00
20010519,806.97,807,807,806.97,806.97,1000,1,6365000.00
20010520,766.65,767,767,766.65,766.65,4000,5,24188000.00
20010521,728.37,728,728,728.37,728.37,6000,7,34470000.00
20010526,697.30,697,697,697.30,697.30,1000,1,5500000.00
20010613,662.44,662,662,662.44,662.44,3000,1,15675000.00
20010619,662.44,662,662,662.44,662.44,100,4,522500.00
20010624,662.31,662,662,662.31,662.31,1000,1,5224000.00
20010625,659.02,659,658,658.00,658.00,5050,4,26250480.00
20010626,629.35,634,629,629.35,629.35,7404,9,36947706.00
20010627,629.48,634,629,633.91,633.91,2500,5,12465000.00
20010630,634.17,634,634,634.04,634.04,3632,3,18165632.00
20010701,634.04,634,634,633.91,633.91,5068,11,25342068.00
20010702,633.91,634,628,627.57,627.57,1520,7,7549000.00
20010707,602.34,602,602,602.22,602.22,2000,3,9501000.00
20010708,572.17,572,572,572.17,572.17,1000,2,4513000.00
20010709,557.84,558,558,557.84,557.84,19050,18,83818870.00
20010710,557.84,558,558,557.84,557.84,4080,10,17952000.00
20010711,557.84,558,558,557.84,557.84,25479,13,112107600.00
20010909,507.13,507,507,507.13,507.13,2900,5,11600000.00
20010910,507.13,507,507,507.13,507.13,5200,5,20800000.00
20010911,507.00,507,507,507.00,507.00,3556,3,14220444.00
20010912,506.75,507,507,506.75,506.75,100,1,399700.00
20010916,482.03,482,482,481.90,481.90,7056,5,26821856.00
20010918,457.81,458,458,457.81,457.81,5000,3,18055000.00
20010923,456.42,456,456,456.42,456.42,400,1,1440000.00
20010924,456.42,457,456,456.42,456.42,8193,13,29497800.00
20011007,456.42,456,456,456.42,456.42,3802,6,13687200.00
20011008,456.80,457,457,456.67,456.67,844,2,3040588.00
20011009,456.54,457,456,456.42,456.42,1130,2,4068500.00
20011013,456.42,456,456,456.42,456.42,826,4,2973600.00
20011014,456.42,456,456,456.42,456.42,83,1,298800.00
20011017,456.54,457,456,456.42,456.42,892,3,3211700.00
20011020,456.42,456,456,456.42,456.42,2700,3,9720000.00
20011021,456.42,457,456,456.54,456.54,630,2,2268280.00
20011023,457.31,479,457,479.24,479.24,5892,2,21804660.00
20011028,503.20,503,503,503.20,503.20,9730,1,38618370.00
20011029,506.75,507,507,506.75,506.75,116,1,463652.00
20011030,531.98,532,532,531.98,531.98,8825,5,37029700.00
20011104,558.48,558,558,558.48,558.48,1000,1,4405000.00
20011105,586.37,586,586,586.37,586.37,1000,1,4625000.00
20011106,615.66,616,616,615.66,615.66,1000,2,4856000.00
20011107,646.34,646,646,646.34,646.34,1000,2,5098000.00
20011110,678.54,679,679,678.54,678.54,5765,9,30854280.00
20011111,712.39,712,679,678.54,678.54,69901,42,387361781.00
