date,open,high,low,last,close,vol,count,value
20151222,275.90,276,276,275.90,275.90,11520000,10214,38592000000.00
20151223,289.65,290,286,289.65,289.65,4128453,5100,14518488057.00
20151226,289.16,293,282,292.37,287.59,5659651,7001,19765417567.00
20151227,290.23,302,290,301.92,299.53,2562983,1859,9322704110.00
20151228,307.36,314,307,314.44,312.71,1022240,629,3881933961.00
20151230,328.28,328,322,328.28,328.20,2901792,1298,11565084073.00
20160102,330.25,345,329,344.58,339.23,2124336,1284,8750787042.00
20160103,354.14,356,347,356.11,355.37,446383,217,1926126109.00
20160104,373.08,373,356,373.08,372.34,3499156,1169,15818744634.00
20160105,373.08,385,358,366.08,371.93,1789951,922,8083371808.00
20160106,366.00,374,353,353.40,356.11,2432722,884,10518528503.00
20160109,346.73,354,338,338.33,340.22,2074863,780,8571791690.00
20160110,330.25,346,323,332.31,332.64,1076859,523,4348994386.00
20160111,338.49,342,324,329.27,333.55,901994,418,3653394957.00
20160112,329.35,338,317,317.90,324.49,836839,427,3296954941.00
20160113,323.67,326,311,313.78,316.75,620710,424,2387203123.00
20160116,320.70,331,313,313.04,319.79,887047,296,3444794981.00
20160117,314.69,321,304,303.82,307.03,731893,317,2728768297.00
20160118,300.61,304,292,296.49,297.39,306992,158,1108653808.00
20160119,297.56,312,298,312.22,311.81,1904706,348,7212125996.00
20160120,316.67,325,313,313.78,317.57,796793,269,3072187638.00
20160123,316.42,321,310,319.55,315.02,769971,258,2945335182.00
20160124,319.47,331,315,330.75,323.34,3075600,659,12073717985.00
20160125,339.48,339,332,339.48,338.98,1979644,353,8147368888.00
20160126,341.78,356,338,345.08,352.98,3179068,696,13626471686.00
20160127,346.07,362,335,341.62,344.17,2142614,662,8954469328.00
20160130,337.67,350,334,335.20,341.70,507821,222,2106911358.00
20160131,334.45,338,325,336.02,331.41,624079,171,2510986281.00
20160201,336.93,347,337,345.08,344.01,715122,196,2986977200.00
20160202,345.82,353,336,336.02,343.10,999554,290,4164522916.00
20160203,334.45,336,329,328.61,333.38,1117474,228,4524092754.00
20160206,325.31,341,325,326.05,329.68,784861,217,3141415264.00
20160207,325.31,346,325,346.15,342.20,1540792,350,6402182368.00
20160208,357.68,359,354,359.24,358.50,1808129,374,7871320378.00
20160209,369.79,376,341,340.96,358.50,2092887,526,9111066246.00
20160210,340.63,351,341,340.63,342.36,706031,156,2935037346.00
20160213,329.43,338,325,325.31,325.89,366945,119,1451835909.00
20160214,325.31,333,311,314.77,317.49,708645,171,2731895050.00
20160215,317.90,333,315,333.30,331.41,757569,173,3048528504.00
20160216,333.30,336,317,321.19,321.36,591381,140,2307405780.00
20160217,322.59,329,316,321.61,325.56,360067,120,1423190541.00
20160220,340.96,342,327,341.78,339.40,1813604,222,7474526083.00
20160221,356.36,356,350,355.62,355.95,6006171,796,25959080665.00
20160222,358.26,374,356,373.74,372.42,3012846,413,13625501677.00
20160223,388.65,389,354,362.37,369.62,2919046,551,13100947003.00
20160224,351.26,354,351,351.17,351.26,359643,82,1533848014.00
20160227,351.26,369,351,367.23,363.36,1702661,362,7512908099.00
20160228,358.26,370,347,362.87,361.39,1479054,351,6489411539.00
20160229,358.26,379,354,362.37,368.72,1502604,271,6727904598.00
20160301,369.79,387,366,387.08,379.83,2506427,414,11560420899.00
20160302,395.32,399,389,398.78,397.54,611767,109,2952742866.00
20160305,417.39,417,417,417.39,417.39,121264,24,614565952.00
20160306,425.79,437,412,420.02,429.00,2512556,576,13088518604.00
20160307,425.79,432,408,407.59,415.25,1621179,489,8174552223.00
20160308,407.59,422,402,411.79,414.51,774194,240,3896869276.00
20160309,411.79,428,412,419.94,418.95,382936,208,1948185479.00
20160312,416.24,439,416,420.85,425.87,815118,278,4215060559.00
20160314,417.55,424,405,405.03,410.22,766944,296,3820332847.00
20160315,408.66,411,391,391.20,396.39,470883,204,2266162291.00
20160316,387.16,399,380,387.08,388.15,328759,155,1549550006.00
20160326,398.61,408,399,407.51,407.09,329897,71,1630607351.00
20160327,411.79,412,387,395.32,392.85,150452,66,717643842.00
20160328,392.85,393,383,382.96,386.59,148948,68,699118766.00
20160329,402.65,403,367,384.20,371.76,146122,75,659585616.00
20160330,362.46,390,362,383.79,386.34,362549,113,1700684286.00
20160402,401.08,405,389,396.06,396.47,230070,63,1107550897.00
20160403,397.79,402,378,378.85,381.81,359585,102,1667065507.00
20160404,370.69,394,371,370.77,375.22,264833,99,1206661511.00
20160405,392.02,392,380,386.26,387.41,354861,78,1669212810.00
20160406,391.20,391,379,378.85,387.33,155897,74,733156443.00
20160409,383.13,387,371,379.59,378.93,222866,103,1025362705.00
20160410,382.14,382,369,372.34,372.17,186471,88,842735465.00
20160411,377.20,377,370,376.29,373.57,137286,52,622682306.00
20160412,382.14,387,374,376.29,380.66,153319,72,708565985.00
20160413,370.69,385,370,383.62,377.45,202033,121,925913541.00
20160416,378.10,396,378,385.60,389.63,1346788,307,6371199895.00
20160417,399.43,399,379,386.26,387.82,428201,166,2016420148.00
20160418,395.32,407,395,407.18,403.47,630777,200,3090416703.00
20160419,414.26,416,391,415.00,409.24,276419,110,1373390805.00
20160420,409.32,415,395,397.79,405.20,290360,107,1428675393.00
20160423,399.43,412,385,384.94,390.38,432312,137,2049251238.00
20160424,383.46,391,383,391.20,386.92,237970,96,1118034970.00
20160425,398.61,403,385,393.67,392.27,207836,72,989914441.00
20160426,387.08,391,385,386.26,387.41,133585,47,628356329.00
20160427,394.49,398,385,392.85,389.47,243701,56,1152388859.00
20160430,399.27,399,379,378.85,388.32,317745,79,1498212153.00
20160501,378.93,395,379,379.92,381.81,177759,94,824051916.00
20160502,382.96,386,379,379.67,380.08,129590,64,598119868.00
20160503,379.67,387,377,381.65,380.49,217085,98,1002899954.00
20160504,382.14,387,379,383.05,383.29,230267,128,1071612933.00
20160507,384.61,399,384,398.20,393.83,764549,250,3656427520.00
20160508,396.30,414,391,399.85,405.03,1326634,442,6524626036.00
20160509,413.52,414,394,398.53,397.79,365721,128,1766309030.00
20160510,398.61,403,379,383.79,386.34,174183,67,817161896.00
20160511,378.93,387,379,379.34,379.75,256946,94,1184732421.00
20160514,373.00,392,371,382.96,384.36,238710,80,1113940315.00
20160515,393.50,394,376,376.46,380.25,373003,124,1722024789.00
20160516,373.08,388,373,378.02,378.85,159612,69,734205207.00
20160517,390.13,390,380,379.83,385.35,170631,64,798406572.00
20160518,383.79,387,379,378.85,380.25,144895,77,669039148.00
20160521,378.85,384,379,378.85,379.42,251678,82,1159529270.00
20160523,385.43,395,384,384.12,391.78,363926,138,1731171857.00
20160524,387.08,392,384,383.79,387.82,174763,61,822916123.00
