date,open,high,low,last,close,vol,count,value
20160619,282.92,283,283,282.92,282.92,100000000,13228,108000000000.00
20160620,285.54,293,282,284.23,286.33,51943896,19238,56780728807.00
20160621,284.50,292,281,288.16,287.64,21395729,7810,23484839758.00
20160622,301.79,302,299,301.79,301.79,10438763,2048,12023879005.00
20160625,316.72,317,305,310.43,314.62,27750476,7216,33325306315.00
20160626,306.76,330,303,329.55,319.34,21294622,7410,25958297295.00
20160628,329.82,335,310,312.53,324.31,14779943,4291,18291556327.00
20160629,313.84,315,308,308.33,309.38,10100373,2876,11926855869.00
20160702,305.98,319,306,315.41,314.88,6602555,1871,7933113047.00
20160703,314.36,320,306,307.02,311.48,4109388,1223,4885524295.00
20160704,307.29,309,298,299.17,301.79,3728565,1061,4294770841.00
20160705,303.62,312,299,306.50,303.88,3398103,893,3942074418.00
20160709,302.05,302,293,294.19,296.55,1735711,549,1965028075.00
20160710,291.04,298,290,290.00,293.14,2446822,727,2737112893.00
20160711,293.40,295,286,286.33,289.73,2134525,678,2359789110.00
20160712,285.54,296,283,288.42,289.21,3705376,981,4092179854.00
20160713,289.21,301,283,294.45,294.97,2107729,612,2373914900.00
20160716,290.52,306,289,297.33,299.43,2190317,622,2504256214.00
20160717,295.50,308,295,297.59,302.57,3024419,860,3493473839.00
20160718,298.38,299,295,294.71,296.28,922517,314,1043732699.00
20160719,291.83,299,292,297.07,294.45,919442,315,1033732985.00
20160720,293.93,304,294,301.26,299.43,1774997,508,2029153886.00
20160723,292.88,303,293,297.07,298.64,1309630,433,1493466427.00
20160724,298.64,303,297,298.12,298.90,2180123,567,2488323574.00
20160725,301.26,303,296,296.81,297.86,2001041,532,2274664010.00
20160726,297.07,309,296,305.19,303.62,2769167,931,3209895122.00
20160727,306.50,310,300,303.36,304.40,899768,324,1045696892.00
20160731,300.74,305,297,297.07,299.69,1170692,320,1338766857.00
20160801,297.33,299,295,298.12,296.55,923504,310,1045210752.00
20160802,301.00,301,294,294.97,296.28,1283242,491,1451519206.00
20160803,295.50,301,295,300.21,299.43,1126023,312,1287550661.00
20160806,301.26,308,300,302.31,304.14,2106464,596,2445797733.00
20160807,303.88,312,304,305.19,309.12,3370918,965,3978657890.00
20160808,302.31,307,300,305.19,303.10,667458,197,772006011.00
20160809,303.88,307,299,301.00,301.52,1081714,232,1244517605.00
20160810,298.90,307,299,301.00,302.83,1554947,480,1797539626.00
20160813,305.98,318,300,317.77,316.46,21366651,4922,25816748998.00
20160814,317.77,319,302,306.50,305.71,4191344,1179,4892032800.00
20160815,302.31,307,299,300.74,301.00,1543102,527,1773327849.00
20160816,303.88,307,300,303.62,303.62,898151,306,1040713883.00
20160817,301.26,309,299,302.31,301.00,678418,227,779778938.00
20160820,303.88,304,300,301.26,301.26,766885,279,881559303.00
20160821,300.74,302,298,298.64,299.43,1023115,213,1169138817.00
20160822,299.69,303,296,298.90,297.59,1973756,324,2241642292.00
20160823,301.00,301,293,297.07,295.50,3370375,349,3800196759.00
20160824,296.81,297,293,296.81,294.19,2670694,277,2999218991.00
20160827,292.88,296,293,293.40,293.66,1444241,189,1619516752.00
20160828,294.19,299,291,291.31,291.83,1703712,219,1897652622.00
20160829,291.31,292,289,291.57,290.00,796714,143,882185024.00
20160830,289.21,294,289,293.14,290.52,486143,102,539076198.00
20160831,289.47,296,289,290.52,290.78,300149,83,333253032.00
20160903,288.95,293,286,288.16,287.90,990528,148,1088755841.00
20160904,288.16,291,287,287.12,288.42,516741,107,568852455.00
20160905,286.59,291,286,287.64,287.38,647993,113,711096718.00
20160906,288.16,291,288,288.16,288.42,984862,146,1083995442.00
20160907,288.16,293,288,291.83,290.52,1239547,158,1375210314.00
20160910,292.88,293,286,288.16,287.64,2625794,188,2883403441.00
20160911,292.62,293,288,288.42,289.21,1250223,91,1380861188.00
20160913,289.21,292,286,286.85,287.38,1465104,244,1607160609.00
20160914,288.16,291,286,287.90,287.38,1072290,137,1176313278.00
20160917,287.64,298,285,288.42,290.52,5687495,332,6308791327.00
20160918,290.78,294,288,290.78,290.00,282555,82,312709643.00
20160919,291.04,293,287,288.16,287.90,1416885,156,1557244814.00
20160921,291.83,297,288,291.83,294.71,4362545,348,4909742187.00
20160924,295.76,300,291,294.71,296.55,1934944,252,2190798953.00
20160925,294.19,296,289,289.47,290.78,998034,155,1108139103.00
20160926,289.21,294,289,289.47,290.78,1302312,153,1445044035.00
20160927,290.78,293,288,290.52,288.69,1325442,159,1460168892.00
20160928,287.12,293,287,289.73,288.69,1563887,230,1723456857.00
20161001,286.59,291,287,288.42,288.69,1107028,154,1219910585.00
20161002,288.42,290,287,287.12,288.16,1759580,222,1935751897.00
20161003,287.12,288,285,285.28,285.81,2257847,397,2463607293.00
20161004,284.23,287,284,284.23,285.02,1590766,211,1730619065.00
20161005,284.50,286,284,284.76,285.02,1066705,176,1160268988.00
20161008,284.76,291,284,285.54,286.85,414453,95,453756393.00
20161009,285.54,288,284,285.54,286.59,832833,160,910718851.00
20161010,285.81,288,284,285.02,285.02,562479,118,612221045.00
20161015,284.50,287,283,284.23,284.23,1099091,171,1192510915.00
20161016,297.33,298,297,298.38,297.86,3820758,200,4343353054.00
20161017,312.53,313,300,312.26,308.33,33940948,2024,39944746568.00
20161018,310.17,324,310,323.53,320.91,15396520,1322,18862028695.00
20161019,324.84,327,312,314.62,315.93,4382110,610,5284288777.00
20161022,307.81,314,303,312.00,309.64,5076594,457,6001058193.00
20161023,312.00,324,312,319.34,317.50,4578752,422,5551551415.00
20161024,314.36,321,312,312.26,313.05,1929588,210,2305758301.00
20161025,314.36,329,314,328.51,326.15,12598207,1017,15681352153.00
20161026,330.08,341,322,330.08,335.06,8484460,875,10855769773.00
20161029,335.32,342,330,330.34,333.22,4231954,435,5383910710.00
20161030,329.82,332,319,320.12,324.05,3402303,407,4210277413.00
20161031,317.24,325,315,316.98,319.60,2529103,274,3085234090.00
20161101,319.60,324,312,311.74,316.98,2622172,295,3171989512.00
20161102,313.05,320,312,320.12,314.36,1996212,169,2395211450.00
