,DATE,TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD,DATETIME
0,2018.01.01,09:25:00,1120,1120,1120,1120,1,1247,60,2018-01-01 09:25:00
1,2018.01.01,09:50:00,1184,1184,1124,1124,3,16000,2,2018-01-01 09:50:00
2,2018.01.01,10:00:00,1185,1185,1185,1185,1,1000,50,2018-01-01 10:00:00
3,2018.01.01,10:50:00,1133,1133,1133,1133,1,900,46,2018-01-01 10:50:00
4,2018.01.01,11:05:00,1182,1182,1182,1182,1,1000,24,2018-01-01 11:05:00
5,2018.01.01,12:25:00,1177,1190,1177,1190,18,100000,5,2018-01-01 12:25:00
6,2018.01.02,09:25:00,1187,1188,1187,1188,2,1000,19,2018-01-02 09:25:00
7,2018.01.02,10:00:00,1169,1169,1120,1120,14,150000,19,2018-01-02 10:00:00
8,2018.01.02,10:05:00,1120,1121,1119,1119,12,150000,1,2018-01-02 10:05:00
9,2018.01.02,10:20:00,1159,1159,1159,1159,1,1082,28,2018-01-02 10:20:00
10,2018.01.02,11:55:00,1131,1131,1131,1131,1,918,23,2018-01-02 11:55:00
11,2018.01.02,12:05:00,1158,1199,1158,1199,28,227305,6,2018-01-02 12:05:00
12,2018.01.02,12:10:00,1198,1204,1198,1200,18,184777,4,2018-01-02 12:10:00
13,2018.01.02,12:15:00,1190,1190,1180,1180,4,100000,11,2018-01-02 12:15:00
14,2018.01.02,12:20:00,1200,1200,1180,1180,8,200000,1,2018-01-02 12:20:00
15,2018.01.02,12:25:00,1180,1180,1140,1140,3,60447,53,2018-01-02 12:25:00
16,2018.01.03,09:20:00,1198,1200,1198,1200,4,12000,4,2018-01-03 09:20:00
17,2018.01.03,09:25:00,1200,1200,1200,1200,5,35500,4,2018-01-03 09:25:00
18,2018.01.03,09:30:00,1200,1200,1200,1200,2,3334,44,2018-01-03 09:30:00
19,2018.01.03,09:50:00,1152,1152,1152,1152,1,905,14,2018-01-03 09:50:00
20,2018.01.03,10:35:00,1178,1178,1172,1172,2,2034,19,2018-01-03 10:35:00
21,2018.01.03,10:45:00,1173,1173,1173,1173,1,2159,18,2018-01-03 10:45:00
22,2018.01.03,10:50:00,1174,1174,1174,1174,1,1667,18,2018-01-03 10:50:00
23,2018.01.03,11:20:00,1174,1174,1173,1173,2,7853,12,2018-01-03 11:20:00
24,2018.01.03,11:50:00,1180,1180,1180,1180,1,4466,12,2018-01-03 11:50:00
25,2018.01.03,11:55:00,1192,1195,1192,1195,5,30000,12,2018-01-03 11:55:00
26,2018.01.03,12:10:00,1194,1195,1194,1195,2,1500,14,2018-01-03 12:10:00
27,2018.01.06,10:05:00,1197,1198,1197,1198,2,3141,48,2018-01-06 10:05:00
28,2018.01.06,10:30:00,1198,1198,1198,1198,1,4906,1,2018-01-06 10:30:00
29,2018.01.06,10:40:00,1199,1199,1199,1199,2,3760,1,2018-01-06 10:40:00
30,2018.01.06,12:15:00,1158,1158,1158,1158,1,2414,40,2018-01-06 12:15:00
31,2018.01.06,12:20:00,1158,1158,1158,1158,1,5000,41,2018-01-06 12:20:00
32,2018.01.06,12:25:00,1157,1157,1156,1156,3,13000,4,2018-01-06 12:25:00
33,2018.01.07,10:35:00,1193,1193,1193,1193,1,7520,3,2018-01-07 10:35:00
34,2018.01.07,10:40:00,1193,1193,1193,1193,1,480,37,2018-01-07 10:40:00
35,2018.01.07,11:25:00,1159,1159,1159,1159,1,1,38,2018-01-07 11:25:00
36,2018.01.07,11:40:00,1158,1158,1158,1158,1,1,39,2018-01-07 11:40:00
37,2018.01.08,09:05:00,1137,1156,1134,1134,22,350000,40,2018-01-08 09:05:00
38,2018.01.08,09:15:00,1139,1139,1139,1139,1,1,49,2018-01-08 09:15:00
39,2018.01.08,09:30:00,1189,1189,1189,1189,1,1000,26,2018-01-08 09:30:00
40,2018.01.08,11:25:00,1180,1180,1180,1180,1,890,27,2018-01-08 11:25:00
41,2018.01.08,12:05:00,1152,1152,1152,1152,1,2000,27,2018-01-08 12:05:00
42,2018.01.08,12:15:00,1152,1152,1150,1150,5,6000,27,2018-01-08 12:15:00
43,2018.01.08,12:20:00,1150,1150,1150,1150,2,2000,29,2018-01-08 12:20:00
44,2018.01.08,12:25:00,1150,1150,1140,1140,2,3500,29,2018-01-08 12:25:00
45,2018.01.09,09:00:00,1180,1180,1180,1180,1,1000,23,2018-01-09 09:00:00
46,2018.01.09,10:45:00,1145,1145,1145,1145,1,2000,23,2018-01-09 10:45:00
47,2018.01.09,10:55:00,1145,1145,1145,1145,1,2000,7,2018-01-09 10:55:00
48,2018.01.09,11:05:00,1143,1143,1143,1143,1,1000,7,2018-01-09 11:05:00
