,DATE,TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD,DATETIME
0,2020.06.27,11:40:00,213500,230000,213500,214500,8101,961446,0,2020-06-27 11:40:00
1,2020.06.27,11:45:00,214500,220000,214100,220000,6351,524243,10,2020-06-27 11:45:00
2,2020.06.27,11:50:00,220000,224180,218000,222500,6627,538274,10,2020-06-27 11:50:00
3,2020.06.27,11:55:00,222600,224180,222500,224180,4901,449355,10,2020-06-27 11:55:00
4,2020.06.27,12:00:00,224100,229000,224000,229000,5414,628484,10,2020-06-27 12:00:00
5,2020.06.27,12:05:00,229000,242900,228900,241000,7067,584505,10,2020-06-27 12:05:00
6,2020.06.27,12:10:00,242000,250000,229190,229800,8765,708387,10,2020-06-27 12:10:00
7,2020.06.27,12:15:00,229800,234000,225610,233700,5746,464030,10,2020-06-27 12:15:00
8,2020.06.27,12:20:00,234000,240000,233500,237000,5572,563067,10,2020-06-27 12:20:00
9,2020.06.27,12:25:00,237010,238000,236600,236600,4917,401751,10,2020-06-27 12:25:00
10,2020.06.27,12:30:00,236600,236700,233000,233100,3282,227856,10,2020-06-27 12:30:00
11,2020.06.27,12:35:00,233000,233200,230000,230100,3377,244660,10,2020-06-27 12:35:00
12,2020.06.27,12:40:00,230100,232000,230020,232000,3435,258697,10,2020-06-27 12:40:00
13,2020.06.27,12:45:00,231900,233020,231800,232600,3119,221396,10,2020-06-27 12:45:00
14,2020.06.27,12:50:00,232600,233000,232480,232990,4207,333109,10,2020-06-27 12:50:00
15,2020.06.27,12:55:00,232990,234500,232500,234000,3824,356274,0,2020-06-27 12:55:00
16,2020.06.28,09:05:00,240610,249900,240160,248100,3253,466668,0,2020-06-28 09:05:00
17,2020.06.28,09:10:00,248100,250000,248100,248200,3739,475546,10,2020-06-28 09:10:00
18,2020.06.28,09:15:00,248200,248500,245990,246900,2711,257386,10,2020-06-28 09:15:00
19,2020.06.28,09:20:00,246900,248000,246800,247590,2495,270716,10,2020-06-28 09:20:00
20,2020.06.28,09:25:00,247590,248800,247500,248440,2175,212170,10,2020-06-28 09:25:00
21,2020.06.28,09:30:00,248440,249550,248390,249500,2043,210334,10,2020-06-28 09:30:00
22,2020.06.28,09:35:00,249500,249900,249400,249890,2500,255063,10,2020-06-28 09:35:00
23,2020.06.28,09:40:00,249850,250000,249800,249840,2833,316089,10,2020-06-28 09:40:00
24,2020.06.28,09:45:00,249850,249890,249750,249750,2277,234758,10,2020-06-28 09:45:00
25,2020.06.28,09:50:00,249750,249770,247800,247800,2439,265279,10,2020-06-28 09:50:00
26,2020.06.28,09:55:00,247800,247900,241000,241000,2285,289151,10,2020-06-28 09:55:00
27,2020.06.28,10:00:00,241000,241740,240000,240000,3009,303610,10,2020-06-28 10:00:00
28,2020.06.28,10:05:00,240000,240140,233420,240110,1758,223406,10,2020-06-28 10:05:00
