,DATE,TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD,DATETIME
0,2018.01.01,09:00:00,7051,7078,7051,7078,13,113901,0,2018-01-01 09:00:00
1,2018.01.01,09:05:00,7078,7078,7078,7078,20,361686,20,2018-01-01 09:05:00
2,2018.01.01,09:10:00,7168,7169,7079,7079,15,69814,1,2018-01-01 09:10:00
3,2018.01.01,09:15:00,7078,7081,7070,7070,8,23000,10,2018-01-01 09:15:00
4,2018.01.01,09:40:00,7100,7150,7100,7150,2,100690,5,2018-01-01 09:40:00
5,2018.01.01,09:45:00,7155,7180,7155,7169,11,8848,1,2018-01-01 09:45:00
6,2018.01.01,09:50:00,7180,7180,7050,7050,27,209654,10,2018-01-01 09:50:00
7,2018.01.01,10:05:00,7150,7160,7150,7160,3,13000,60,2018-01-01 10:05:00
8,2018.01.01,10:10:00,7100,7105,7100,7100,6,23572,33,2018-01-01 10:10:00
9,2018.01.01,10:20:00,7101,7101,7101,7101,2,4000,33,2018-01-01 10:20:00
10,2018.01.01,10:25:00,7122,7122,7050,7050,23,182783,5,2018-01-01 10:25:00
11,2018.01.01,10:30:00,7050,7070,7043,7070,6,28500,31,2018-01-01 10:30:00
12,2018.01.01,10:40:00,7070,7070,7043,7043,5,31717,49,2018-01-01 10:40:00
13,2018.01.01,10:50:00,7099,7099,7099,7099,1,59000,30,2018-01-01 10:50:00
14,2018.01.01,10:55:00,7050,7050,7026,7044,7,69805,7,2018-01-01 10:55:00
15,2018.01.01,11:10:00,7090,7099,7040,7040,9,52155,9,2018-01-01 11:10:00
16,2018.01.01,11:15:00,7030,7030,7030,7030,3,83420,62,2018-01-01 11:15:00
17,2018.01.01,11:20:00,7090,7090,7090,7090,1,150,51,2018-01-01 11:20:00
18,2018.01.01,11:30:00,7029,7029,7000,7000,22,157058,50,2018-01-01 11:30:00
19,2018.01.01,11:35:00,7074,7074,7074,7074,1,1000,66,2018-01-01 11:35:00
20,2018.01.01,11:40:00,7073,7074,7006,7006,7,64595,59,2018-01-01 11:40:00
21,2018.01.01,12:00:00,7068,7133,7068,7133,9,17617,2,2018-01-01 12:00:00
22,2018.01.01,12:05:00,7119,7119,7119,7119,1,944,17,2018-01-01 12:05:00
23,2018.01.01,12:10:00,7117,7117,7110,7110,3,892,7,2018-01-01 12:10:00
24,2018.01.01,12:15:00,7071,7071,7071,7071,1,480,6,2018-01-01 12:15:00
25,2018.01.01,12:20:00,7117,7117,7117,7117,1,165,29,2018-01-01 12:20:00
26,2018.01.01,12:25:00,7071,7099,7031,7099,9,8587,0,2018-01-01 12:25:00
27,2018.01.02,09:00:00,7140,7140,7140,7140,4,10000,0,2018-01-02 09:00:00
28,2018.01.02,09:05:00,7101,7101,7100,7100,13,356765,77,2018-01-02 09:05:00
29,2018.01.02,09:30:00,7050,7050,7000,7000,8,43235,100,2018-01-02 09:30:00
30,2018.01.02,09:35:00,7135,7137,7135,7137,5,165550,70,2018-01-02 09:35:00
31,2018.01.02,09:45:00,7065,7065,7065,7065,1,13126,70,2018-01-02 09:45:00
32,2018.01.02,09:50:00,7065,7135,7060,7135,4,100100,70,2018-01-02 09:50:00
33,2018.01.02,09:55:00,7134,7137,7134,7137,7,50000,60,2018-01-02 09:55:00
34,2018.01.02,10:05:00,7060,7060,7060,7060,1,468,55,2018-01-02 10:05:00
35,2018.01.02,10:10:00,7080,7080,7080,7080,1,50000,58,2018-01-02 10:10:00
36,2018.01.02,10:20:00,7070,7070,7070,7070,3,97112,58,2018-01-02 10:20:00
37,2018.01.02,10:25:00,7070,7128,7060,7119,18,100965,58,2018-01-02 10:25:00
38,2018.01.02,10:35:00,7050,7080,7015,7080,11,65200,5,2018-01-02 10:35:00
39,2018.01.02,10:45:00,7012,7099,7012,7099,5,100001,68,2018-01-02 10:45:00
40,2018.01.02,11:00:00,7096,7096,7096,7096,4,3500,52,2018-01-02 11:00:00
41,2018.01.02,11:05:00,7018,7018,7011,7011,11,13246,1,2018-01-02 11:05:00
42,2018.01.02,11:15:00,7012,7012,7001,7001,15,98950,76,2018-01-02 11:15:00
43,2018.01.02,11:25:00,7010,7010,7010,7010,2,13258,8,2018-01-02 11:25:00
44,2018.01.02,11:30:00,7010,7087,7010,7087,3,50000,8,2018-01-02 11:30:00
45,2018.01.02,11:50:00,7012,7012,7012,7012,1,390,60,2018-01-02 11:50:00
46,2018.01.02,11:55:00,7020,7020,7020,7020,1,288,60,2018-01-02 11:55:00
47,2018.01.02,12:00:00,7020,7077,7012,7077,4,3801,8,2018-01-02 12:00:00
