,DATE,TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD,DATETIME
0,2018.01.01,09:00:00,4681,4700,4675,4700,49,469672,0,2018-01-01 09:00:00
1,2018.01.01,09:05:00,4700,4749,4700,4748,76,919280,3,2018-01-01 09:05:00
2,2018.01.01,09:10:00,4721,4747,4720,4720,24,289000,9,2018-01-01 09:10:00
3,2018.01.01,09:15:00,4715,4715,4690,4710,18,90474,7,2018-01-01 09:15:00
4,2018.01.01,09:20:00,4710,4710,4700,4702,18,89060,2,2018-01-01 09:20:00
5,2018.01.01,09:25:00,4700,4700,4675,4675,37,270802,1,2018-01-01 09:25:00
6,2018.01.01,09:30:00,4699,4700,4675,4675,19,111098,1,2018-01-01 09:30:00
7,2018.01.01,09:35:00,4700,4700,4682,4685,14,120400,4,2018-01-01 09:35:00
8,2018.01.01,09:40:00,4690,4699,4690,4699,5,12189,5,2018-01-01 09:40:00
9,2018.01.01,09:45:00,4699,4710,4699,4700,25,179650,1,2018-01-01 09:45:00
10,2018.01.01,09:50:00,4699,4710,4675,4700,48,528214,4,2018-01-01 09:50:00
11,2018.01.01,09:55:00,4710,4720,4710,4710,7,7220,5,2018-01-01 09:55:00
12,2018.01.01,10:00:00,4710,4710,4710,4710,2,520,9,2018-01-01 10:00:00
13,2018.01.01,10:05:00,4710,4710,4710,4710,9,163254,7,2018-01-01 10:05:00
14,2018.01.01,10:10:00,4710,4710,4700,4700,13,88993,1,2018-01-01 10:10:00
15,2018.01.01,10:15:00,4700,4700,4690,4690,20,112042,1,2018-01-01 10:15:00
16,2018.01.01,10:20:00,4700,4705,4691,4691,7,14350,5,2018-01-01 10:20:00
17,2018.01.01,10:25:00,4695,4695,4675,4675,47,224789,1,2018-01-01 10:25:00
18,2018.01.01,10:30:00,4671,4700,4666,4700,32,261874,4,2018-01-01 10:30:00
19,2018.01.01,10:35:00,4700,4700,4654,4700,14,242020,5,2018-01-01 10:35:00
20,2018.01.01,10:45:00,4659,4696,4659,4696,2,5162,25,2018-01-01 10:45:00
21,2018.01.01,10:50:00,4670,4696,4664,4696,12,81939,3,2018-01-01 10:50:00
22,2018.01.01,10:55:00,4692,4692,4676,4688,8,19379,4,2018-01-01 10:55:00
23,2018.01.01,11:00:00,4688,4688,4665,4665,16,51634,4,2018-01-01 11:00:00
24,2018.01.01,11:05:00,4670,4670,4658,4659,13,82399,5,2018-01-01 11:05:00
25,2018.01.01,11:10:00,4659,4669,4658,4669,25,231332,2,2018-01-01 11:10:00
26,2018.01.01,11:15:00,4659,4659,4657,4657,4,28817,5,2018-01-01 11:15:00
27,2018.01.01,11:20:00,4665,4680,4660,4660,22,296400,5,2018-01-01 11:20:00
28,2018.01.01,11:25:00,4678,4696,4641,4692,87,1711369,4,2018-01-01 11:25:00
29,2018.01.01,11:30:00,4652,4652,4642,4643,18,79371,1,2018-01-01 11:30:00
30,2018.01.01,11:35:00,4645,4649,4644,4646,9,47886,1,2018-01-01 11:35:00
31,2018.01.01,11:40:00,4649,4685,4647,4661,20,181321,1,2018-01-01 11:40:00
32,2018.01.01,11:45:00,4660,4660,4651,4651,4,30821,8,2018-01-01 11:45:00
33,2018.01.01,11:50:00,4652,4668,4651,4668,6,10285,1,2018-01-01 11:50:00
34,2018.01.01,11:55:00,4666,4667,4666,4666,3,1883,1,2018-01-01 11:55:00
35,2018.01.01,12:00:00,4664,4664,4647,4647,32,363461,1,2018-01-01 12:00:00
36,2018.01.01,12:05:00,4647,4648,4645,4648,17,135000,1,2018-01-01 12:05:00
37,2018.01.01,12:10:00,4650,4663,4641,4650,47,440914,2,2018-01-01 12:10:00
38,2018.01.01,12:15:00,4650,4668,4650,4655,19,299667,1,2018-01-01 12:15:00
