,DATE,TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD,DATETIME
0,2020.12.01,12:00:00,119000,119000,119000,119000,11845,3317131,0,2020-12-01 12:00:00
1,2020.12.01,12:05:00,118990,130900,107500,118000,42822,9318217,10,2020-12-01 12:05:00
2,2020.12.01,12:10:00,118000,118550,112300,114300,35635,6862507,10,2020-12-01 12:10:00
3,2020.12.01,12:15:00,114300,114300,112000,112000,29994,5427533,10,2020-12-01 12:15:00
4,2020.12.01,12:20:00,112010,112200,111400,111800,30981,5539958,10,2020-12-01 12:20:00
5,2020.12.01,12:25:00,111800,130900,110000,113400,34301,6425490,0,2020-12-01 12:25:00
6,2020.12.01,12:30:00,113400,113490,113300,113300,10,2008,0,2020-12-01 12:30:00
7,2020.12.02,09:00:00,110260,110260,108010,108010,8893,2330282,0,2020-12-02 09:00:00
8,2020.12.02,09:05:00,108010,108700,103960,106100,28420,6098450,10,2020-12-02 09:05:00
9,2020.12.02,09:10:00,106100,107340,106000,107300,19945,3850353,10,2020-12-02 09:10:00
10,2020.12.02,09:15:00,107310,109530,107140,109500,17923,3646448,10,2020-12-02 09:15:00
11,2020.12.02,09:20:00,109460,109990,109000,109000,15475,3146316,10,2020-12-02 09:20:00
12,2020.12.02,09:25:00,109000,109100,107000,107100,11799,2018661,10,2020-12-02 09:25:00
13,2020.12.02,09:30:00,107100,108200,107100,107880,12971,2417269,10,2020-12-02 09:30:00
14,2020.12.02,09:35:00,107810,107900,107400,107400,8776,1556095,10,2020-12-02 09:35:00
15,2020.12.02,09:40:00,107400,107440,107010,107100,10172,1883158,10,2020-12-02 09:40:00
16,2020.12.02,09:45:00,107100,107370,107040,107050,8627,1559273,10,2020-12-02 09:45:00
17,2020.12.02,09:50:00,107040,107050,107000,107020,12044,2126217,10,2020-12-02 09:50:00
18,2020.12.02,09:55:00,107010,107850,107000,107810,10490,2023720,10,2020-12-02 09:55:00
19,2020.12.02,10:00:00,107810,108850,107810,108800,10204,1917960,10,2020-12-02 10:00:00
20,2020.12.02,10:05:00,108800,108900,107430,107450,8963,1687064,10,2020-12-02 10:05:00
21,2020.12.02,10:10:00,107450,107480,107010,107030,8242,1560011,10,2020-12-02 10:10:00
22,2020.12.02,10:15:00,107030,107070,107010,107020,8908,1626403,10,2020-12-02 10:15:00
23,2020.12.02,10:20:00,107020,107030,106200,106210,10396,1879401,10,2020-12-02 10:20:00
24,2020.12.02,10:25:00,106210,106240,105570,105590,10690,1986510,10,2020-12-02 10:25:00
25,2020.12.02,10:30:00,105590,106300,105510,106150,10282,1895747,10,2020-12-02 10:30:00
26,2020.12.02,10:35:00,106150,106200,105510,105510,7875,1343466,10,2020-12-02 10:35:00
27,2020.12.02,10:40:00,105520,106000,105510,105730,8048,1638031,10,2020-12-02 10:40:00
28,2020.12.02,10:45:00,105730,106270,105700,106000,7257,1604652,10,2020-12-02 10:45:00
29,2020.12.02,10:50:00,106000,106020,105550,105560,6921,1560316,10,2020-12-02 10:50:00
30,2020.12.02,10:55:00,105560,105590,105500,105520,7727,1352360,10,2020-12-02 10:55:00
31,2020.12.02,11:00:00,105510,105550,105500,105520,7202,1429772,10,2020-12-02 11:00:00
32,2020.12.02,11:05:00,105520,105540,105510,105530,6569,1203164,10,2020-12-02 11:05:00
33,2020.12.02,11:10:00,105520,105540,105500,105520,6876,1286844,10,2020-12-02 11:10:00
34,2020.12.02,11:15:00,105500,105520,105300,105300,7406,1738510,10,2020-12-02 11:15:00
35,2020.12.02,11:20:00,105300,105310,104440,104500,7840,1459370,10,2020-12-02 11:20:00
36,2020.12.02,11:25:00,104450,105000,104090,104180,9678,1999996,10,2020-12-02 11:25:00
37,2020.12.02,11:30:00,104190,105000,104160,104200,8106,1493675,10,2020-12-02 11:30:00
38,2020.12.02,11:35:00,104200,104210,104000,104010,8861,1537833,10,2020-12-02 11:35:00
39,2020.12.02,11:40:00,104010,104020,103920,103930,9184,2212496,10,2020-12-02 11:40:00
40,2020.12.02,11:45:00,103920,103950,102800,102860,8432,1448198,10,2020-12-02 11:45:00
41,2020.12.02,11:50:00,102860,103300,102530,103250,9481,1732467,10,2020-12-02 11:50:00
42,2020.12.02,11:55:00,103250,104000,103250,103300,8167,1646609,10,2020-12-02 11:55:00
43,2020.12.02,12:00:00,103300,103800,103150,103800,6407,1170986,10,2020-12-02 12:00:00
44,2020.12.02,12:05:00,103790,104010,103670,103900,6571,1533677,10,2020-12-02 12:05:00
45,2020.12.02,12:10:00,103880,104010,103840,103850,6071,1076913,10,2020-12-02 12:10:00
46,2020.12.02,12:15:00,103850,104000,103700,103700,6965,1340646,10,2020-12-02 12:15:00
47,2020.12.02,12:20:00,103730,103770,103300,103310,8131,1546300,10,2020-12-02 12:20:00
48,2020.12.02,12:25:00,103300,103630,103300,103560,9862,1713550,0,2020-12-02 12:25:00
49,2020.12.05,09:30:00,103510,116780,103500,107100,19577,8100098,0,2020-12-05 09:30:00
50,2020.12.05,09:35:00,107100,109000,106170,108480,9798,4834396,10,2020-12-05 09:35:00
51,2020.12.05,09:40:00,108480,108500,106200,106540,7065,2826974,10,2020-12-05 09:40:00
52,2020.12.05,09:45:00,106540,106700,105960,106430,7084,2297641,10,2020-12-05 09:45:00
53,2020.12.05,09:50:00,106410,106610,106000,106000,5312,2071808,10,2020-12-05 09:50:00
54,2020.12.05,09:55:00,106010,106060,105800,105880,5758,2279608,10,2020-12-05 09:55:00
55,2020.12.05,10:00:00,105880,105960,105300,105320,4627,1382368,10,2020-12-05 10:00:00
56,2020.12.05,10:05:00,105320,105320,104000,104990,5601,2118410,10,2020-12-05 10:05:00
57,2020.12.05,10:10:00,104990,105150,104020,105100,4850,1675896,10,2020-12-05 10:10:00
58,2020.12.05,10:15:00,105120,105310,104450,104600,3793,1208848,10,2020-12-05 10:15:00
59,2020.12.05,10:20:00,104580,104730,104580,104630,3922,1054861,10,2020-12-05 10:20:00
60,2020.12.05,10:25:00,104620,105810,104620,104990,4711,1793393,10,2020-12-05 10:25:00
61,2020.12.05,10:30:00,104900,105250,104690,105070,3284,958415,10,2020-12-05 10:30:00
62,2020.12.05,10:35:00,105070,105070,104660,104830,2875,1015490,10,2020-12-05 10:35:00
63,2020.12.05,10:40:00,104830,104880,104750,104750,2977,863974,10,2020-12-05 10:40:00
64,2020.12.05,10:45:00,104770,104770,104640,104730,3130,852052,10,2020-12-05 10:45:00
65,2020.12.05,10:50:00,104730,105050,104680,105010,4109,1321980,10,2020-12-05 10:50:00
66,2020.12.05,10:55:00,105010,105600,105000,105030,3183,1195921,10,2020-12-05 10:55:00
67,2020.12.05,11:00:00,105030,105500,105020,105260,2613,992321,10,2020-12-05 11:00:00
68,2020.12.05,11:05:00,105050,105400,104900,105210,3330,1298195,10,2020-12-05 11:05:00
69,2020.12.05,11:10:00,105220,106420,105180,106180,4828,2253550,10,2020-12-05 11:10:00
70,2020.12.05,11:15:00,106000,107760,106000,107000,5529,2648212,10,2020-12-05 11:15:00
71,2020.12.05,11:20:00,106780,107770,106150,106990,4156,2328723,10,2020-12-05 11:20:00
72,2020.12.05,11:25:00,106990,107250,106800,107190,3421,1353325,10,2020-12-05 11:25:00
73,2020.12.05,11:30:00,107160,107170,106500,107160,3036,1350041,10,2020-12-05 11:30:00
74,2020.12.05,11:35:00,107160,107220,106990,107020,2948,1445689,10,2020-12-05 11:35:00
75,2020.12.05,11:40:00,107030,107100,106380,106920,2656,1059076,10,2020-12-05 11:40:00
76,2020.12.05,11:45:00,106920,106990,106660,106950,2490,1187143,10,2020-12-05 11:45:00
77,2020.12.05,11:50:00,106960,107200,106820,106820,2793,1212080,10,2020-12-05 11:50:00
78,2020.12.05,11:55:00,106850,106850,106510,106660,2437,749969,10,2020-12-05 11:55:00
79,2020.12.05,12:00:00,106690,106710,106550,106550,2693,870677,10,2020-12-05 12:00:00
80,2020.12.05,12:05:00,106550,106550,106170,106210,3009,931295,10,2020-12-05 12:05:00
81,2020.12.05,12:10:00,106210,106520,106210,106410,3108,1049024,10,2020-12-05 12:10:00
82,2020.12.05,12:15:00,106410,106600,106400,106510,3464,1312865,10,2020-12-05 12:15:00
83,2020.12.05,12:20:00,106520,106600,106510,106540,3499,1287631,10,2020-12-05 12:20:00
84,2020.12.05,12:25:00,106550,106550,106390,106440,4241,2065307,0,2020-12-05 12:25:00
85,2020.12.06,09:00:00,107900,108000,107580,107580,3836,1651956,10,2020-12-06 09:00:00
86,2020.12.06,09:05:00,107580,110000,107520,109450,6380,4036800,10,2020-12-06 09:05:00
87,2020.12.06,09:10:00,109400,109500,108500,108810,5043,2416643,10,2020-12-06 09:10:00
88,2020.12.06,09:15:00,108810,108840,107990,107990,4082,1662006,10,2020-12-06 09:15:00
89,2020.12.06,09:20:00,107990,108000,107000,107680,4616,2161831,10,2020-12-06 09:20:00
90,2020.12.06,09:25:00,107600,107800,107260,107500,4166,1776451,10,2020-12-06 09:25:00
91,2020.12.06,09:30:00,107500,107520,107030,107200,3437,1142047,10,2020-12-06 09:30:00
92,2020.12.06,09:35:00,107150,108330,107150,107690,4498,1999508,10,2020-12-06 09:35:00
93,2020.12.06,09:40:00,107690,107800,107270,107340,2792,1089091,10,2020-12-06 09:40:00
94,2020.12.06,09:45:00,107300,108540,107300,108530,5102,1899026,10,2020-12-06 09:45:00
