,Unnamed: 0,ticker,pe,tmin,tmax,cs,bvol
0,0,وسپهر,15.77,8854,9786,56,12000000
1,1,شصدف,24.77,37115,41021,44,365934
2,2,فسا,1471.0,1388,1472,44,6798097
3,3,فرآور,26.65,30620,33840,27,479080
4,4,سبزوا,8.0,3225,3563,53,4401409
5,5,اپال,31.58,21230,23450,13,5359536
6,6,وبملت,5.08,3485,3851,57,32301480
7,7,لپیام,-577.76,48854,53996,32,194474
8,8,ثنام,inf,16101,17095,70,602483
9,9,حپارسا,10.79,31859,35211,60,440116
10,10,وآذر,75.67,62500,69060,70,218087
11,11,یاقوت,,11509,14065,68,1
12,12,حسینا,7.82,52429,57947,60,277439
14,14,کلر,30.44,95948,106046,44,145033
15,15,سپیدما,,9712,11870,68,1
16,16,غدام,262.5,348170,384810,42,40962
17,17,خصدرا,16.75,2598,2758,45,10488423
18,18,وسپه,9.24,8310,9170,56,4800000
19,19,شستا,7.94,12320,13600,39,8888889
20,20,خزامیا,-82.11,6080,6700,34,2403846
21,21,پیشگام,,1,999999,68,1
22,22,وتوصا,19.98,8160,9000,56,1726122
23,23,قنقش,-44.44,69937,72791,38,70064
24,24,وایران,67.29,6840,7540,58,2083333
25,25,شستان,271.82,2922,3040,44,1672241
27,27,شاروم,20.26,14202,15696,44,1000401
28,28,غدیس,10.38,13466,14882,42,1058276
29,29,شوینده,7.33,21520,23780,44,659921
30,30,کیا,21.76,1,999999,28,1
32,32,کدما,243.36,219980,243120,13,100000
33,33,تکنو,572.8,14310,15810,29,1047486
34,34,حتاید,8.51,26310,29070,60,780000
35,35,رتکو,-4.3,10950,12090,74,1351351
36,36,افران,,12537,15321,68,1
37,37,ثمسکن,28.9,4251,4697,70,3370029
38,38,فبستم,8.01,770,816,28,12610341
39,39,مفاخر,113.65,39115,43231,72,351948
40,40,قیستو,20.81,14544,15136,38,330426
41,41,غزر,11.36,21610,23870,42,1280000
42,42,دلر,9.55,35110,38790,43,450000
43,43,استارز,,180000,220000,68,1
44,44,سخاش,13.57,106120,117280,53,135526
45,45,زماهان,47.82,15765,17423,1,903942
46,46,سفانو,12.0,28520,31520,53,478927
47,47,ساراب,9.49,17100,18900,53,831486
48,48,کسرا,14.61,14590,16110,54,998668
49,49,سفارود,-67.05,16889,17577,54,290142
50,50,فخاس,8.59,21820,24100,27,4280822
51,51,خپویش,33.02,48430,53510,34,282539
52,52,کاما,13.28,11530,12730,13,4000000
53,53,زمگسا,21.86,26040,28780,1,571429
54,54,لپارس,96.51,59560,65820,32,231624
55,55,داوه,22.22,15080,16666,43,912132
56,56,هجرت,12.46,27321,30195,43,519949
57,57,زفکا,19.25,11087,12253,1,1350500
58,58,وسخوز,8.07,520,574,56,102744030
59,59,غمینو,12.56,7561,8355,42,1967214
60,60,بخاور,6.61,5217,5765,66,2757353
61,61,شگویا,9.7,10722,11850,44,9583067
