time,count,volume,price,discarded
90300,1,100000,13910,0
90300,2,100000,13910,0
90300,3,100000,13910,0
90300,4,51397,13910,0
90300,5,35190,13910,0
90300,6,20000,13910,0
90300,7,17968,13910,0
90300,8,6111,13910,0
90300,9,2150,13910,0
90300,10,2032,13910,0
90300,11,1050,13910,0
90300,12,600,13910,0
90300,13,150,13910,0
90300,14,109,13910,0
90300,15,26,13910,0
90314,16,24312,13910,0
90314,17,26045,13910,0
90341,18,50000,13910,0
90357,19,370,13910,0
90428,20,3600,13914,0
90443,21,1000,13910,0
90453,22,576,13910,0
90455,23,7191,13910,0
90521,24,14818,13910,0
90521,25,85182,13910,0
90531,26,750,13910,0
90614,27,14068,13910,0
90614,28,58022,13910,0
90622,29,41978,13910,0
90622,30,12094,13910,0
90637,31,9000,13910,0
90650,32,7191,13910,0
90659,33,7330,13910,0
90725,34,2000,13911,0
90755,35,3593,13912,0
90902,36,5000,13911,0
90910,37,3000,13911,0
90910,38,2000,13911,0
90941,39,3300,13911,0
90951,40,30000,13910,0
91006,41,393,13911,0
91031,42,5000,13910,0
91101,43,1100,13910,0
91125,44,10000,13910,0
91131,45,1307,13911,0
91131,46,3751,13911,0
91143,47,420,13911,0
91157,48,10000,13910,0
91224,49,5000,13910,0
91227,50,3285,13910,0
91227,51,1715,13910,0
91232,52,5000,13910,0
91237,53,3000,13910,0
91245,54,829,13911,0
91245,55,18,13911,0
91300,56,2400,13911,0
91319,57,1400,13911,0
91319,58,2000,13910,0
91348,59,432,13910,0
91403,60,456,13911,0
91419,61,5000,13910,0
91426,62,400,13910,0
91434,63,4010,13910,0
91457,64,78443,13910,0
91457,65,21556,13910,0
91459,66,5000,13910,0
91503,67,5000,13910,0
91608,68,10000,13910,0
91610,69,43241,13910,0
91637,70,15203,13910,0
91637,71,43817,13910,0
91700,72,4911,13911,0
91700,73,849,13911,0
91752,74,10000,13910,0
91901,75,431,13910,0
91936,76,14620,13910,0
91939,77,454,13911,0
92024,78,144,13910,0
92144,79,7191,13910,0
92230,80,500,13911,0
92319,81,197,13911,0
92319,82,2000,13911,0
92319,83,5803,13911,0
92404,84,23797,13910,0
92404,85,19203,13910,0
92410,86,4197,13911,0
92446,87,4000,13911,0
92458,88,2000,13911,0
92534,89,585,13911,0
92549,90,14291,13911,0
92606,91,6449,13912,0
92606,92,10000,13912,0
92606,93,10000,13912,0
92606,94,9491,13912,0
92607,95,7186,13912,0
92611,96,3000,13911,0
92638,97,71901,13911,0
92650,98,26,13911,0
92650,99,88399,13911,0
92705,100,11601,13911,0
92705,101,38399,13911,0
92730,102,36,13912,0
92744,103,600,13912,0
92752,104,5000,13911,0
92813,105,2000,13912,0
92814,106,400,13911,0
92859,107,6000,13911,0
92908,108,20000,13911,0
92914,109,700,13912,0
92915,110,9987,13912,0
92936,111,90013,13912,0
92957,112,9987,13912,0
92957,113,11572,13912,0
93000,114,88428,13912,0
93003,115,3594,13912,0
93008,116,445,13913,0
93011,117,7978,13912,0
93011,118,35934,13912,0
93013,119,625,13912,0
93023,120,5463,13912,0
93110,121,14350,13912,0
93150,122,80187,13912,0
93150,123,7320,13912,0
93150,124,12493,13911,0
93152,125,17708,13911,0
93152,126,82292,13911,0
93156,127,1500,13911,0
93157,128,21571,13912,0
93157,129,16208,13911,0
93157,130,62221,13911,0
93200,131,37779,13911,0
93200,132,3600,13911,0
93200,133,926,13911,0
93200,134,4221,13911,0
93217,135,5000,13910,0
93230,136,972,13911,0
93243,137,2000,13911,0
93250,138,25000,13910,0
93333,139,3700,13910,0
93336,140,800,13911,0
93407,141,14351,13911,0
93433,142,7000,13910,0
93503,143,3000,13910,0
93711,144,35351,13911,0
93717,145,4649,13911,0
93717,146,37097,13910,0
93717,147,58254,13910,0
93727,148,10000,13910,0
93751,149,1000,13911,0
93811,150,5000,13911,0
93825,151,3000,13910,0
93851,152,2000,13911,0
93851,153,8000,13911,0
93958,154,1500,13911,0
94001,155,4000,13910,0
94049,156,2000,13910,0
94052,157,10500,13911,0
94126,158,447,13911,0
94139,159,5000,13910,0
94148,160,17746,13910,0
94148,161,72254,13910,0
94254,162,27746,13910,0
94254,163,72254,13910,0
94304,164,10000,13910,0
