time,last,close,open,high,low,count,volume,value,discarded
64617,21650,21730,0,0,0,0,0,0,0
90001,21650,21730,21650,21650,21650,1,400,8660000,0
90001,21650,21730,21650,21650,21650,2,800,17320000,0
90001,21650,21730,21650,21650,21650,3,1200,25980000,0
90001,21650,21730,21650,21650,21650,4,1600,34640000,0
90001,21650,21730,21650,21650,21650,5,2000,43300000,0
90001,21650,21730,21650,21650,21650,6,2400,51960000,0
90001,21650,21730,21650,21650,21650,7,2800,60620000,0
90001,21650,21730,21650,21650,21650,8,3200,69280000,0
90001,21650,21730,21650,21650,21650,9,3600,77940000,0
90001,21650,21730,21650,21650,21650,10,4000,86600000,0
90001,21650,21730,21650,21650,21650,11,4400,95260000,0
90001,21650,21730,21650,21650,21650,12,4800,103920000,0
90001,21650,21730,21650,21650,21650,13,5050,109332500,0
90001,21650,21730,21650,21650,21650,14,5289,114506850,0
90001,21650,21730,21650,21650,21650,15,5479,118620350,0
90001,21650,21730,21650,21650,21650,16,5577,120742050,0
90001,21650,21730,21650,21650,21650,17,5646,122235900,0
90001,21650,21730,21650,21650,21650,18,5666,122668900,0
90001,21650,21730,21650,21650,21650,19,5682,123015300,0
90001,21650,21730,21650,21650,21650,20,5690,123188500,0
90001,21650,21730,21650,21650,21650,21,5692,123231800,0
90004,21650,21730,21650,21650,21650,22,5736,124184400,0
90010,21650,21730,21650,21650,21650,23,5984,129553600,0
90010,21650,21730,21650,21650,21650,24,6126,132627900,0
90020,21650,21730,21650,21650,21650,25,6216,134576400,0
90020,21650,21730,21650,21650,21650,26,6439,139404350,0
90041,21730,21730,21650,21730,21650,27,6704,145162800,0
90113,21680,21730,21650,21730,21650,28,7000,151580080,0
90129,21680,21730,21650,21730,21650,29,7395,160143680,0
90133,21680,21730,21650,21730,21650,30,7466,161682960,0
90139,21700,21730,21650,21730,21650,31,7866,170362960,0
90152,21730,21730,21650,21730,21650,32,8001,173296510,0
90152,21730,21730,21650,21730,21650,33,8080,175013180,0
90152,21730,21730,21650,21730,21650,34,8480,183705180,0
90152,21730,21730,21650,21730,21650,35,8715,188811730,0
90152,21730,21730,21650,21730,21650,36,9115,197503730,0
90152,21730,21730,21650,21730,21650,37,12934,280490600,0
90211,21700,21730,21650,21730,21650,38,12954,280924600,0
90212,21700,21730,21650,21730,21650,39,17534,380310600,0
90215,21680,21730,21650,21730,21650,40,17934,388982600,0
90225,21680,21730,21650,21730,21650,41,18334,397654600,0
90227,21700,21730,21650,21730,21650,42,19480,422522800,0
90232,21680,21730,21650,21730,21650,43,19485,422631200,0
90232,21680,21730,21650,21730,21650,44,19885,431303200,0
90236,21700,21730,21650,21730,21650,45,20159,437249000,0
90248,21700,21730,21650,21730,21650,46,20285,439983200,0
90248,21700,21730,21650,21730,21650,47,20559,445929000,0
90253,21700,21730,21650,21730,21650,48,20744,449943500,0
90305,21680,21730,21650,21730,21650,49,21144,458615500,0
90307,21680,21730,21650,21730,21650,50,21777,472338940,0
90307,21680,21730,21650,21730,21650,51,22097,479276540,0
90315,21680,21730,21650,21730,21650,52,22144,480295500,0
90315,21700,21730,21650,21730,21650,53,22359,484961000,0
90315,21700,21730,21650,21730,21650,54,22397,485785600,0
90339,21660,21730,21650,21730,21650,55,22797,494449600,0
90340,21660,21730,21650,21730,21650,56,22927,497265400,0
90354,21650,21730,21650,21730,21650,57,23322,505817150,0
90355,21660,21730,21650,21730,21650,58,23592,511665350,0
90355,21660,21730,21650,21730,21650,59,23992,520329350,0
90358,21660,21730,21650,21730,21650,60,24492,531159350,0
90403,21660,21730,21650,21730,21650,61,24892,539823350,0
90418,21660,21730,21650,21730,21650,62,25292,548487350,0
90429,21660,21730,21650,21730,21650,63,25692,557151350,0
90433,21660,21730,21650,21730,21650,64,26092,565815350,0
90441,21660,21730,21650,21730,21650,65,26322,570797150,0
90441,21660,21730,21650,21730,21650,66,26492,574479350,0
90441,21660,21730,21650,21730,21650,67,26572,576212150,0
90441,21660,21730,21650,21730,21650,68,26812,581410550,0
90441,21660,21730,21650,21730,21650,69,26892,583143350,0
90441,21660,21730,21650,21730,21650,70,27522,596789150,0
90447,21660,21730,21650,21730,21650,71,27922,605453150,0
90451,21700,21730,21650,21730,21650,72,28322,614133150,0
90451,21700,21730,21650,21730,21650,73,28611,620404450,0
90453,21660,21730,21650,21730,21650,74,28870,626014390,0
90454,21660,21730,21650,21730,21650,75,29170,632512390,0
90520,21660,21730,21650,21730,21650,76,29430,638143990,0
90525,21660,21730,21650,21730,21650,77,29830,646807990,0
90528,21660,21730,21650,21730,21650,78,30230,655471990,0
90528,21660,21730,21650,21730,21650,79,30501,661341850,0
90528,21660,21730,21650,21730,21650,80,30630,664135990,0
90533,21700,21730,21650,21730,21650,81,30841,668714690,0
90534,21700,21730,21650,21730,21650,82,31024,672685790,0
90534,21660,21730,21650,21730,21650,83,31145,675306650,0
90534,21660,21730,21650,21730,21650,84,31241,677386010,0
90540,21660,21730,21650,21730,21650,85,31641,686050010,0
90540,21730,21730,21650,21730,21650,86,31881,691265210,0
90541,21730,21730,21650,21730,21650,87,32041,694742010,0
90541,21730,21730,21650,21730,21650,88,32121,696480410,0
90541,21730,21730,21650,21730,21650,89,32361,701695610,0
90541,21730,21730,21650,21730,21650,90,32441,703434010,0
90541,21730,21730,21650,21730,21650,91,32601,706910810,0
90541,21660,21730,21650,21730,21650,92,34384,745530590,0
90541,21660,21730,21650,21730,21650,93,34684,752028590,0
90541,21660,21730,21650,21730,21650,94,34924,757226990,0
90541,21660,21730,21650,21730,21650,95,35164,762425390,0
90542,21660,21730,21650,21730,21650,96,35404,767623790,0
90542,21660,21730,21650,21730,21650,97,35644,772822190,0
90542,21660,21730,21650,21730,21650,98,35884,778020590,0
90542,21660,21730,21650,21730,21650,99,36124,783218990,0
90542,21660,21730,21650,21730,21650,100,36364,788417390,0
90542,21660,21730,21650,21730,21650,101,36498,791319830,0
90542,21730,21730,21650,21730,21650,102,36604,793623210,0
90544,21730,21730,21650,21730,21650,103,36738,796535030,0
90544,21750,21730,21650,21750,21650,104,36844,798840530,0
90544,21750,21730,21650,21750,21650,105,37084,804060530,0
90544,21750,21730,21650,21750,21650,106,37138,805235030,0
90544,21780,21730,21650,21780,21650,107,37324,809286110,0
90544,21780,21730,21650,21780,21650,108,37538,813947030,0
90544,21950,21730,21650,21950,21650,109,37564,814517730,0
90544,21950,21730,21650,21950,21650,110,37804,819785730,0
90544,21950,21730,21650,21950,21650,111,37885,821563680,0
90544,21950,21730,21650,21950,21650,112,38044,825053730,0
90544,21950,21730,21650,21950,21650,113,38284,830321730,0
90544,21950,21730,21650,21950,21650,114,38355,831880180,0
90544,21980,21730,21650,21980,21650,115,38375,832319780,0
90544,22000,21730,21650,22000,21650,116,38524,835597780,0
90544,22000,21730,21650,22000,21650,117,38764,840877780,0
90544,22000,21730,21650,22000,21650,118,38775,841119780,0
90544,22000,21730,21650,22000,21650,119,39004,846157780,0
90545,22000,21730,21650,22000,21650,120,39175,849919780,0
90545,22000,21730,21650,22000,21650,121,39244,851437780,0
