time,count,volume,price,discarded
90024,1,50000,38600,0
90024,2,21386,38600,0
90024,3,17114,38600,0
90024,4,10000,38600,0
90024,5,5000,38600,0
90024,6,3000,38600,0
90024,7,1281,38600,0
90024,8,1277,38600,0
90024,9,1251,38600,0
90024,10,1242,38600,0
90024,11,886,38600,0
90024,12,870,38600,0
90024,13,700,38600,0
90024,14,700,38600,0
90024,15,510,38600,0
90024,16,500,38600,0
90024,17,493,38600,0
90024,18,380,38600,0
90024,19,300,38600,0
90024,20,300,38600,0
90024,21,264,38600,0
90024,22,250,38600,0
90024,23,226,38600,0
90024,24,223,38600,0
90024,25,200,38600,0
90024,26,200,38600,0
90024,27,200,38600,0
90024,28,156,38600,0
90024,29,130,38600,0
90024,30,129,38600,0
90024,31,119,38600,0
90024,32,96,38600,0
90024,33,76,38600,0
90024,34,48,38600,0
90024,35,31,38600,0
90024,36,27,38600,0
90024,37,20,38600,0
90024,38,11,38600,0
90024,39,7,38600,0
90024,40,6,38600,0
90024,41,5,38600,0
90024,42,3,38600,0
90024,43,1,38600,0
90024,44,1,38600,0
90028,45,300,38900,0
90028,46,5243,39000,0
90028,47,500,39000,0
90028,48,143,39000,0
90028,49,762,39000,0
90028,50,4052,39000,0
90033,51,455,39000,0
90034,52,250,39000,0
90036,53,4500,39000,0
90038,54,11000,39000,0
90041,55,1992,39000,0
90042,56,10,38900,0
90042,57,3000,39000,0
90045,58,34751,39000,0
90045,59,300,39000,0
90046,60,219,39260,0
90046,61,158,39200,0
90049,62,1000,39000,0
90049,63,31,39260,0
90053,64,9432,39260,0
90055,65,1370,39320,0
90055,66,2565,39320,0
90056,67,190,39360,0
90056,68,15767,39360,0
90056,69,842,39360,0
90100,70,1470,39350,0
90105,71,1021,39360,0
90105,72,5500,39360,0
90105,73,586,39360,0
90106,74,3000,39360,0
90106,75,689,39360,0
90107,76,780,39360,0
90107,77,500,39360,0
90109,78,150,39360,0
90109,79,2530,39360,0
90109,80,253,39360,0
90111,81,3000,39360,0
90111,82,1149,39360,0
90111,83,153,39360,0
90111,84,11,39360,0
90111,85,250,39360,0
90112,86,350,39360,0
90112,87,244,39360,0
90112,88,3200,39360,0
90113,89,867,39360,0
90113,90,182,39360,0
90113,91,170,39350,0
90114,92,261,39360,0
90114,93,4285,39360,0
90114,94,121,39360,0
90114,95,594,39360,0
90115,96,200,39360,0
90115,97,150,39360,0
90115,98,500,39360,0
90115,99,2000,39360,0
90116,100,515,39360,0
90116,101,12656,39360,0
90116,102,1500,39360,0
90117,103,130,39360,0
90117,104,891,39350,0
90117,105,3500,39350,0
90117,106,4609,39350,0
90117,107,1000,39360,0
90118,108,2755,39360,0
90118,109,400,39360,0
90118,110,500,39360,0
90118,111,5979,39360,0
90119,112,405,39360,0
90119,113,1000,39350,0
90119,114,500,39360,0
90120,115,300,39360,0
90120,116,132,39360,0
90121,117,511,39350,0
90122,118,3684,39360,0
90122,119,1742,39380,0
90122,120,1460,39380,0
90122,121,1800,39400,0
90122,122,165,39400,0
90122,123,628,39400,0
90123,124,845,39400,0
90124,125,994,39400,0
90124,126,150,39450,0
90124,127,244,39500,0
90124,128,93,39450,0
90124,129,96,39400,0
90126,130,513,39400,0
90128,131,1000,39400,0
90129,132,1051,39500,0
90129,133,2340,39500,0
90129,134,388,39500,0
90129,135,132,39500,0
90129,136,1089,39500,0
90130,137,911,39500,0
90130,138,500,39500,0
90130,139,513,39500,0
90132,140,230,39580,0
90135,141,20,39580,0
90135,142,200,39580,0
90135,143,1780,39500,0
90136,144,1250,39600,0
90140,145,130,39580,0
90140,146,4000,39510,0
90140,147,8296,39500,0
90140,148,5045,39500,0
90140,149,133,39500,0
90140,150,6131,39500,0
90140,151,1000,39500,0
90140,152,155,39500,0
90141,153,1300,39500,0
90145,154,5034,39500,0
90146,155,1000,39500,0
90147,156,5000,39500,0
90147,157,150,39450,0
90147,158,70,39450,0
90149,159,135,39500,0
90149,160,251,39500,0
90150,161,2500,39500,0
90150,162,130,39450,0
90151,163,300,39450,0
90151,164,1000,39400,0
90152,165,78,39450,0
90152,166,9890,39500,0
90152,167,32,39500,0
90153,168,125,39500,0
90153,169,1200,39400,0
90154,170,4543,39500,0
90155,171,7847,39500,0
90155,172,4873,39400,0
90155,173,1000,39400,0
90155,174,130,39400,0
90155,175,4164,39400,0
90156,176,770,39400,0
90159,177,841,39400,0
90159,178,200,39400,0
90202,179,3875,39400,0
90202,180,2160,39400,0
90202,181,134,39400,0
90202,182,5000,39400,0
90202,183,300,39400,0
90202,184,250,39450,0
90202,185,1200,39450,0
90202,186,1671,39500,0
90202,187,227,39380,0
90205,188,128,39360,0
90205,189,506,39360,0
90206,190,260,39360,0
90207,191,5000,39350,0
90207,192,592,39360,0
90207,193,2773,39380,0
90207,194,8226,39400,0
90213,195,34,39360,0
90213,196,240,39380,0
90213,197,1000,39360,0
90213,198,3000,39360,0
90213,199,186,39380,0
90213,200,7139,39400,0
90214,201,300,39360,0
90215,202,74,39360,0
90215,203,926,39350,0
90215,204,6500,39400,0
90216,205,2272,39350,0
90216,206,1800,39350,0
90216,207,2000,39350,0
90216,208,180,39350,0
90219,209,781,39350,0
90219,210,278,39350,0
90220,211,1923,39350,0
90222,212,250,39350,0
90222,213,1300,39350,0
90224,214,156,39350,0
90227,215,2833,39260,0
90227,216,6048,39260,0
90227,217,2315,39000,0
90227,218,1637,39000,0
90228,219,128,39350,0
90229,220,1265,39350,0
90229,221,2781,39350,0
90230,222,5000,39260,0
90230,223,2785,39260,0
90231,224,580,39260,0
90235,225,516,39260,0
90235,226,500,39340,0
90235,227,3031,39350,0
90240,228,63,39000,0
90240,229,437,39000,0
90241,230,138,39250,0
90242,231,300,39300,0
90242,232,2200,39350,0
90244,233,2,39260,0
90244,234,498,39000,0
90246,235,1041,39350,0
90246,236,309,39350,0
90246,237,400,39350,0
90251,238,300,39200,0
90251,239,9291,39350,0
90251,240,130,39350,0
90251,241,250,39350,0
90251,242,3000,39350,0
90251,243,842,39350,0
90252,244,257,39350,0
90257,245,351,39350,0
90300,246,20,39010,0
90301,247,210,39010,0
90306,248,149,39350,0
90306,249,608,39350,0
90306,250,200,39350,0
90306,251,500,39350,0
90306,252,200,39350,0
90306,253,115,39350,0
90306,254,344,39300,0
90308,255,160,39360,0
90308,256,1840,39400,0
90310,257,128,39350,0
90314,258,1872,39350,0
90314,259,303,39350,0
90314,260,128,39350,0
90318,261,2000,39350,0
90320,262,697,39350,0
90320,263,1265,39350,0
90320,264,506,39350,0
90321,265,181,39350,0
90321,266,2196,39300,0
90321,267,177,39300,0
90321,268,200,39300,0
90322,269,150,39300,0
90323,270,300,39300,0
90326,271,2702,39300,0
90326,272,1351,39350,0
90326,273,200,39350,0
90326,274,1000,39350,0
90326,275,1963,39350,0
90326,276,6000,39360,0
90326,277,11705,39400,0
90326,278,365,39400,0
90328,279,1000,39020,0
90330,280,506,39020,0
90330,281,130,39020,0
90334,282,300,39020,0
90335,283,64,39020,0
90339,284,150,39300,0
90341,285,200,39020,0
90341,286,1651,39300,0
90342,287,129,39020,0
90342,288,203,39300,0
90344,289,300,39020,0
90346,290,1000,39020,0
90349,291,150,39020,0
90353,292,253,39300,0
90356,293,506,39300,0
90358,294,762,39200,0
90358,295,526,39050,0
90402,296,474,39050,0
90402,297,1246,39030,0
90410,298,662,39300,0
90410,299,1000,39300,0
90410,300,100,39300,0
90410,301,1709,39300,0
90410,302,200,39300,0
90410,303,130,39300,0
90410,304,2000,39350,0
90410,305,155,39350,0
90410,306,2021,39350,0
90411,307,300,39200,0
90411,308,613,39060,0
90415,309,735,39100,0
90415,310,2387,39060,0
90416,311,1000,39060,0
90418,312,1878,39060,0
90418,313,1270,39200,0
90427,314,730,39200,0
90427,315,108,39200,0
90428,316,140,39300,0
90428,317,500,39300,0
90428,318,620,39350,0
90431,319,170,39350,0
90433,320,132,39300,0
90433,321,158,39350,0
90437,322,31,39350,0
90437,323,119,39350,0
90437,324,650,39300,0
90439,325,130,39300,0
90440,326,135,39350,0
90440,327,1130,39350,0
90441,328,300,39350,0
90442,329,570,39350,0
90442,330,695,39350,0
90445,331,204,39350,0
90445,332,654,39350,0
90446,333,200,39350,0
90448,334,500,39350,0
90451,335,442,39350,0
90451,336,200,39350,0
90451,337,1265,39350,0
90452,338,132,39300,0
90452,339,129,39350,0
90454,340,4064,39350,0
90454,341,500,39350,0
90454,342,2000,39350,0
90457,343,634,39350,0
90457,344,140,39370,0
90458,345,360,39370,0
90458,346,915,39370,0
90458,347,85,39370,0
90458,348,65,39370,0
90500,349,500,39350,0
90500,350,707,39370,0
90500,351,893,39370,0
90500,352,128,39370,0
90501,353,130,39350,0
90502,354,434,39370,0
90503,355,2545,39370,0
90504,356,880,39370,0
90505,357,1000,39370,0
90511,358,1264,39380,0
90512,359,1300,39370,0
90515,360,561,39370,0
90516,361,253,39380,0
90518,362,300,39370,0
90520,363,251,39380,0
90521,364,600,39370,0
90522,365,3518,39370,0
90522,366,3572,39350,0
90522,367,602,39350,0
90525,368,135,39380,0
90529,369,1000,39370,0
90536,370,700,39370,0
90536,371,191,39380,0
90537,372,1756,39380,0
90537,373,500,39380,0
90537,374,512,39380,0
90537,375,1232,39380,0
90539,376,759,39380,0
90542,377,800,39370,0
90542,378,200,39370,0
90546,379,3250,39370,0
90546,380,150,39370,0
90548,381,1300,39380,0
90548,382,2800,39380,0
90549,383,3909,39380,0
90549,384,54,39380,0
90549,385,111,39370,0
90549,386,700,39370,0
90549,387,1000,39370,0
90549,388,3189,39370,0
90549,389,1250,39370,0
90550,390,739,39370,0
90550,391,25465,39370,0
90550,392,900,39380,0
90551,393,500,39380,0
90552,394,2630,39380,0
90553,395,330,39380,0
90553,396,700,39380,0
90554,397,430,39370,0
90555,398,1000,39380,0
90557,399,140,39370,0
90600,400,175,39380,0
90600,401,506,39380,0
90600,402,137,39380,0
90601,403,1000,39380,0
90604,404,3028,39380,0
90605,405,261,39370,0
90606,406,9040,39380,0
90606,407,960,39380,0
90609,408,240,39380,0
90609,409,278,39380,0
90610,410,1482,39380,0
90610,411,918,39370,0
90614,412,365,39390,0
90615,413,3500,39380,0
90615,414,678,39380,0
90615,415,622,39370,0
90616,416,130,39390,0
90617,417,700,39370,0
90618,418,1000,39370,0
90619,419,494,39390,0
90621,420,22,39390,0
90621,421,1000,39390,0
90621,422,130,39390,0
90621,423,792,39390,0
90621,424,130,39390,0
90621,425,131,39390,0
90621,426,500,39390,0
90621,427,6576,39390,0
90621,428,71,39400,0
90626,429,500,39380,0
90626,430,1000,39380,0
90627,431,400,39380,0
90627,432,1264,39380,0
90627,433,1436,39380,0
90629,434,347,39390,0
90630,435,500,39390,0
90630,436,1403,39390,0
90631,437,1314,39390,0
90631,438,86,39390,0
