time,row,askcount,askvol,askprice,bidprice,bidvol,bidcount
63127,1,1,300,19886,20119,50,1
63127,2,1,300,19720,20576,50,1
63127,3,1,353,19716,20600,50,1
63127,4,1,300,19690,20650,400,1
63127,5,1,300,18790,20700,300,1
84509,1,2,1300,19886,20119,50,1
84519,5,1,283,19489,20700,300,1
84520,1,2,1300,19886,19913,50,1
84520,2,1,300,19720,20119,50,1
84520,3,1,353,19716,20576,50,1
84520,4,1,300,19690,20600,50,1
84520,5,1,283,19489,20650,400,1
84542,5,2,1283,19489,20650,400,1
84550,1,2,1300,19886,19913,100,2
84603,1,2,1300,19886,19900,12,1
84603,2,1,300,19720,19913,100,2
84603,3,1,353,19716,20119,50,1
84603,4,1,300,19690,20576,50,1
84603,5,2,1283,19489,20600,50,1
84608,3,1,353,19716,20576,50,1
84608,4,1,300,19690,20600,50,1
84608,5,2,1283,19489,20650,400,1
84617,1,2,1300,19886,19886,50,1
84617,2,1,300,19720,19900,12,1
84617,3,1,353,19716,19913,100,2
84617,4,1,300,19690,20576,50,1
84617,5,2,1283,19489,20600,50,1
84623,1,2,1300,19886,19886,55,2
84633,4,1,300,19690,20514,50,1
84633,5,2,1283,19489,20576,50,1
84658,5,3,1543,19489,20576,50,1
84718,1,2,1300,19886,19886,1634,3
84721,1,2,1300,19886,19886,1684,4
84738,4,1,300,19690,20514,100,2
84744,5,4,1843,19489,20576,50,1
84746,5,1,751,19580,20576,50,1
84807,1,2,1300,19886,19886,1706,5
84838,4,1,300,19690,20514,200,4
84839,4,1,300,19690,20514,250,5
84859,1,2,1300,19886,19886,1756,6
84859,1,2,1300,19886,19886,1806,7
84906,2,1,300,19720,19900,62,2
84907,4,1,1000,19700,20514,250,5
84907,5,1,300,19690,20576,50,1
84910,4,1,1000,19700,19923,50,1
84910,5,1,300,19690,20514,250,5
84918,5,1,300,19690,20514,300,6
84919,3,1,353,19716,19912,50,1
84919,4,1,1000,19700,19913,100,2
84919,5,1,300,19690,19923,50,1
84937,1,2,1300,19886,19886,1856,8
84947,1,2,1300,19886,19886,1906,9
84953,1,2,1300,19886,19886,1956,10
85049,1,2,1300,19886,19886,2006,11
85056,1,2,1300,19886,19886,2053,12
85057,2,1,260,19780,19900,62,2
85057,3,1,300,19720,19912,50,1
85057,4,1,353,19716,19913,100,2
85057,5,1,1000,19700,19923,50,1
85102,1,2,1300,19886,19886,2103,13
85109,1,1,300,19886,19886,2103,13
85109,5,2,2000,19700,19923,50,1
85135,1,1,300,19886,19886,2153,14
85136,1,1,300,19886,19886,2203,15
85145,1,1,300,19886,19886,2253,16
85152,1,2,2260,19886,19886,2253,16
85214,1,2,2260,19886,19886,2303,17
85226,1,2,2260,19886,19886,2338,18
85231,1,2,2260,19886,19886,2388,19
85315,1,2,2260,19886,19886,2438,20
85345,1,2,2260,19886,19886,2488,21
85347,1,2,2260,19886,19886,2538,22
85400,1,2,2260,19886,19886,2588,23
85401,1,3,3260,19886,19886,2588,23
85401,5,1,1000,19700,19923,50,1
85418,1,3,3260,19886,19886,2638,24
85428,1,4,6791,19886,19886,2638,24
85501,1,4,6791,19886,19886,2688,25
85553,1,4,6791,19886,19886,2738,26
85559,1,4,6791,19886,19886,3288,27
85604,5,1,1000,19700,19923,100,2
85609,1,4,6791,19886,19886,3307,28
85612,1,4,6791,19886,19886,3357,29
85707,1,4,6791,19886,19886,3407,30
85741,1,4,6791,19886,19886,3457,31
85755,1,4,6791,19886,19886,3507,32
85807,1,4,6791,19886,19886,3557,33
85810,1,5,7191,19886,19886,3557,33
85815,1,5,7191,19886,19886,3607,34
85817,1,5,7191,19886,19886,3657,35
85901,1,5,7191,19886,19886,3707,36
85922,1,5,7191,19886,19886,3757,37
85936,1,5,7191,19886,19886,3807,38
85939,1,5,7191,19886,19886,3857,39
85952,1,6,7448,19886,19886,3857,39
90006,5,1,1000,19700,19923,150,3
90019,1,6,7448,19886,19886,3907,40
90027,1,6,7448,19886,19886,3957,41
90037,1,1,3491,19886,19900,62,2
90037,2,1,260,19780,19912,50,1
90037,3,1,300,19720,19913,100,2
90037,4,1,353,19716,19923,150,3
90037,5,1,1000,19700,20000,250,5
90050,1,2,4503,19886,19900,62,2
90106,1,2,4453,19886,19900,62,2
90112,1,2,4403,19886,19900,62,2
90128,1,2,4403,19886,19900,112,3
90130,1,3,4904,19886,19900,112,3
90131,1,3,4854,19886,19900,112,3
90134,1,1,888,19900,19912,50,1
90134,2,3,4854,19886,19913,100,2
90134,3,1,260,19780,19923,150,3
90134,4,1,300,19720,20000,250,5
90134,5,1,353,19716,20514,615,13
90135,5,1,353,19716,20187,5400,1
90140,1,1,838,19900,19912,50,1
90142,2,1,1000,19887,19913,100,2
90142,3,3,4854,19886,19923,150,3
90142,4,1,260,19780,20000,250,5
90142,5,1,300,19720,20187,5400,1
90143,1,1,788,19900,19912,50,1
90143,1,1,738,19900,19912,50,1
90150,1,1,688,19900,19912,50,1
90154,1,1,638,19900,19912,50,1
90157,1,1,588,19900,19912,50,1
90159,3,2,3842,19886,19923,150,3
90206,1,2,11247,19900,19912,50,1
90207,1,2,11197,19900,19912,50,1
90211,1,1,961,19912,19913,100,2
90211,2,2,11197,19900,19923,150,3
90211,3,1,1000,19887,20000,250,5
90211,4,2,3842,19886,20187,5400,1
90211,5,1,260,19780,20514,615,13
90211,1,1,911,19912,19913,100,2
90219,1,1,861,19912,19913,100,2
90228,1,1,288,19930,20000,250,5
90228,2,1,861,19912,20187,5400,1
90228,3,1,10659,19900,20514,615,13
90228,4,1,1000,19887,20576,50,1
90228,5,2,3842,19886,20580,252,1
90235,1,2,1288,19930,20000,250,5
90240,1,2,1238,19930,20000,250,5
90242,2,1,861,19912,20514,615,13
90242,3,1,10659,19900,20576,50,1
90242,4,1,1000,19887,20580,5652,2
90242,5,2,3842,19886,20600,890,2
90249,5,1,3341,19886,20600,890,2
90255,1,2,1238,19930,20000,279,6
90256,1,1,315,19950,20000,279,6
90256,2,2,1238,19930,20514,615,13
90256,3,1,861,19912,20576,50,1
90256,4,1,10659,19900,20580,5652,2
90256,5,1,1000,19887,20600,890,2
90258,1,1,861,19912,19930,1881,1
90258,2,1,10659,19900,20000,279,6
90258,3,1,1000,19887,20514,615,13
90258,4,1,3341,19886,20576,50,1
90258,5,1,260,19780,20580,5652,2
90308,1,1,10659,19900,19930,1881,1
90308,2,1,1000,19887,20000,279,6
90308,3,1,3341,19886,20514,615,13
90308,4,1,260,19780,20576,50,1
90308,5,1,300,19720,20580,5652,2
90311,1,1,10659,19900,19930,1931,2
90313,1,1,10659,19900,19930,1981,3
90314,1,1,10609,19900,19930,1981,3
90318,1,1,10559,19900,19930,1981,3
90321,1,1,10509,19900,19930,1981,3
90325,1,1,10459,19900,19930,1981,3
90329,1,1,10459,19900,19930,2032,4
90334,1,1,10459,19900,19930,1172,4
90334,1,1,1000,19901,19930,1172,4
90334,2,1,10459,19900,20000,279,6
90334,3,1,1000,19887,20514,615,13
90334,4,1,3341,19886,20576,50,1
90334,5,1,260,19780,20580,5652,2
90343,1,1,3000,19901,19930,1172,4
90343,1,1,2950,19901,19930,1172,4
90352,3,1,1000,19887,20511,50,1
90352,4,1,3341,19886,20514,615,13
90352,5,1,260,19780,20576,50,1
90358,1,1,2900,19901,19930,1172,4
90359,2,2,10714,19900,20000,279,6
90359,1,1,2850,19901,19930,1172,4
90400,1,1,2850,19901,19930,672,4
90400,1,1,2800,19901,19930,672,4
90402,1,1,2750,19901,19930,672,4
90408,1,1,2700,19901,19930,672,4
90416,1,1,255,19902,19930,672,4
90416,2,1,2700,19901,20000,279,6
90416,3,1,10459,19900,20511,50,1
90416,4,1,1000,19887,20514,615,13
90416,5,1,3341,19886,20576,50,1
90429,1,1,255,19902,19930,722,5
90430,1,1,205,19902,19930,722,5
90439,1,1,205,19902,19930,772,6
90440,1,1,205,19902,19930,822,7
90443,1,1,155,19902,19930,822,7
90456,1,1,155,19902,19920,1420,1
90456,2,1,2700,19901,19930,822,7
90456,3,1,10459,19900,20000,279,6
90456,4,1,1000,19887,20511,50,1
90456,5,1,3341,19886,20514,615,13
90502,2,1,2700,19901,19930,872,8
90508,1,1,105,19902,19920,1420,1
90508,1,1,55,19902,19920,1420,1
90508,1,1,1280,19920,19930,872,8
90508,2,1,55,19902,20000,279,6
90508,3,1,10459,19900,20511,50,1
90508,4,1,1000,19887,20514,615,13
90508,5,1,3341,19886,20576,50,1
90509,2,1,55,19902,19990,50,1
90509,3,1,10459,19900,20000,279,6
90509,4,1,1000,19887,20511,50,1
90509,5,1,3341,19886,20514,615,13
90509,1,1,1230,19920,19930,872,8
90516,1,1,1195,19920,19930,872,8
90517,1,1,1145,19920,19930,872,8
90517,1,1,1105,19920,19930,872,8
90518,4,1,1000,19887,20500,50,1
90518,5,1,3341,19886,20511,50,1
90528,1,1,1055,19920,19930,872,8
90534,1,1,1009,19920,19930,872,8
90535,1,1,959,19920,19930,872,8
90541,2,1,55,19902,19990,550,2
90545,1,1,957,19920,19930,872,8
90546,1,1,957,19920,19930,922,9
90549,1,1,907,19920,19930,922,9
90555,1,1,907,19920,19929,50,1
90555,2,1,55,19902,19930,922,9
90555,3,1,10459,19900,19990,550,2
90555,4,1,1000,19887,20000,279,6
90555,5,1,3341,19886,20500,50,1
90555,1,1,857,19920,19929,50,1
90555,2,1,55,19902,19930,972,10
