time,last,close,open,high,low,count,volume,value,discarded
64129,19923,20514,0,0,0,0,0,0,0
90037,19886,20513,19886,19886,19886,1,1579,31399994,0
90037,19886,20513,19886,19886,19886,2,2129,42337294,0
90037,19886,20513,19886,19886,19886,3,2179,43331594,0
90037,19886,20513,19886,19886,19886,4,2229,44325894,0
90037,19886,20513,19886,19886,19886,5,2279,45320194,0
90037,19886,20513,19886,19886,19886,6,2329,46314494,0
90037,19886,20513,19886,19886,19886,7,2379,47308794,0
90037,19886,20513,19886,19886,19886,8,2429,48303094,0
90037,19886,20513,19886,19886,19886,9,2479,49297394,0
90037,19886,20513,19886,19886,19886,10,2529,50291694,0
90037,19886,20513,19886,19886,19886,11,2579,51285994,0
90037,19886,20513,19886,19886,19886,12,2629,52280294,0
90037,19886,20513,19886,19886,19886,13,2679,53274594,0
90037,19886,20513,19886,19886,19886,14,2729,54268894,0
90037,19886,20513,19886,19886,19886,15,2779,55263194,0
90037,19886,20513,19886,19886,19886,16,2829,56257494,0
90037,19886,20513,19886,19886,19886,17,2879,57251794,0
90037,19886,20513,19886,19886,19886,18,2929,58246094,0
90037,19886,20513,19886,19886,19886,19,2979,59240394,0
90037,19886,20513,19886,19886,19886,20,3029,60234694,0
90037,19886,20513,19886,19886,19886,21,3079,61228994,0
90037,19886,20513,19886,19886,19886,22,3129,62223294,0
90037,19886,20513,19886,19886,19886,23,3179,63217594,0
90037,19886,20513,19886,19886,19886,24,3229,64211894,0
90037,19886,20513,19886,19886,19886,25,3279,65206194,0
90037,19886,20513,19886,19886,19886,26,3329,66200494,0
90037,19886,20513,19886,19886,19886,27,3379,67194794,0
90037,19886,20513,19886,19886,19886,28,3429,68189094,0
90037,19886,20513,19886,19886,19886,29,3479,69183394,0
90037,19886,20513,19886,19886,19886,30,3529,70177694,0
90037,19886,20513,19886,19886,19886,31,3579,71171994,0
90037,19886,20513,19886,19886,19886,32,3629,72166294,0
90037,19886,20513,19886,19886,19886,33,3679,73160594,0
90037,19886,20513,19886,19886,19886,34,3729,74154894,0
90037,19886,20513,19886,19886,19886,35,3779,75149194,0
90037,19886,20513,19886,19886,19886,36,3829,76143494,0
90037,19886,20513,19886,19886,19886,37,3876,77078136,0
90037,19886,20513,19886,19886,19886,38,3911,77774146,0
90037,19886,20513,19886,19886,19886,39,3933,78211638,0
90037,19886,20513,19886,19886,19886,40,3943,78410498,0
90037,19886,20513,19886,19886,19886,41,3952,78589472,0
90037,19886,20513,19886,19886,19886,42,3957,78688902,0
90106,19886,20513,19886,19886,19886,43,4007,79683202,0
90112,19886,20513,19886,19886,19886,44,4057,80677502,0
90131,19886,20512,19886,19886,19886,45,4107,81671802,0
90134,19900,20512,19886,19900,19886,46,4119,81910602,0
90134,19900,20512,19886,19900,19886,47,4169,82905602,0
90134,19900,20512,19886,19900,19886,48,4219,83900602,0
90140,19900,20512,19886,19900,19886,49,4269,84895602,0
90143,19900,20512,19886,19900,19886,50,4319,85890602,0
90143,19900,20512,19886,19900,19886,51,4369,86885602,0
90150,19900,20512,19886,19900,19886,52,4419,87880602,0
90154,19900,20512,19886,19900,19886,53,4469,88875602,0
90157,19900,20512,19886,19900,19886,54,4519,89870602,0
90207,19900,20512,19886,19900,19886,55,4569,90865602,0
90211,19912,20512,19886,19912,19886,56,4619,91861202,0
90211,19912,20512,19886,19912,19886,57,4669,92856802,0
