time,count,volume,price,discarded
90019,1,1878,22600,0
90019,2,1000,22600,0
90019,3,866,22600,0
90019,4,400,22600,0
90019,5,134,22600,0
90204,6,2122,22600,0
90551,7,3979,22530,0
90551,8,250,22530,0
90551,9,300,22520,0
90551,10,300,22500,0
90551,11,500,22360,0
90551,12,20139,22340,0
90604,13,3864,22340,0
90631,14,2859,22340,0
90654,15,210,22340,0
90751,16,320,22350,0
90759,17,112,22350,0
91045,18,30,22410,0
91203,19,230,22460,0
91203,20,930,22460,0
91224,21,300,22470,0
91224,22,560,22470,0
91253,23,1000,22480,0
91253,24,701,22480,0
91620,25,1267,22950,0
91708,26,3000,22900,0
91715,27,797,22590,0
91715,28,3,22590,0
91847,29,478,22880,0
91847,30,1709,22880,0
91859,31,1000,22900,0
91907,32,300,22900,0
91933,33,1000,22900,0
92007,34,320,22900,0
92018,35,870,22890,0
92018,36,920,22890,0
92024,37,6,22900,0
92116,38,370,22990,0
92116,39,1000,22990,0
92138,40,54,23000,0
92138,41,1540,23000,0
92245,42,1000,23150,0
92301,43,2000,23150,0
92301,44,10000,23160,0
92311,45,225,23300,0
92317,46,2675,23300,0
92323,47,230,23300,0
92330,48,74,23300,0
92336,49,126,23300,0
92418,50,600,23300,0
92517,51,274,23300,0
92556,52,1000,23150,0
92725,53,1,23000,0
92740,54,356,23150,0
92754,55,162,23000,0
92852,56,74,23000,0
92852,57,216,23000,0
93123,58,8,23000,0
93309,59,230,23000,0
93318,60,212,23140,0
93318,61,500,23140,0
93450,62,1000,23010,0
93450,63,200,23000,0
93956,64,4272,23250,0
94112,65,220,23050,0
94147,66,180,23050,0
94147,67,9820,23050,0
94637,68,8640,23240,0
94653,69,15728,23070,0
94715,70,2557,23070,0
94756,71,10000,23080,0
94835,72,21715,23070,0
94835,73,4834,23070,0
94901,74,921,23080,0
94948,75,407,23080,0
95059,76,315,23090,0
95223,77,4685,23090,0
95223,78,4554,23090,0
95223,79,8238,23090,0
95223,80,1000,23010,0
95223,81,20,23000,0
95223,82,24503,23000,0
95732,83,73,23010,0
100257,84,220,23020,0
100257,85,500,23020,0
100257,86,14280,23010,0
100920,87,220,23020,0
100920,88,4980,23020,0
100920,89,500,23020,0
100920,90,4300,23010,0
101114,91,1290,23100,0
101323,92,500,23100,0
101340,93,210,23100,0
101340,94,216,23100,0
101340,95,74,23100,0
101420,96,1000,23030,0
101628,97,20,23030,0
101645,98,700,23030,0
101645,99,226,23100,0
101645,100,20527,23100,0
101721,101,3567,23170,0
101729,102,220,23100,0
101743,103,10,23100,0
101925,104,500,23110,0
101925,105,8317,23100,0
101925,106,23000,23100,0
101925,107,862,23100,0
101925,108,1347,23010,0
101925,109,218,23010,0
101925,110,1000,23000,0
101925,111,14756,23000,0
101930,112,50000,23000,0
102444,113,4327,23020,0
102444,114,1000,23010,0
102444,115,500,23010,0
102444,116,4173,23010,0
102515,117,291,23010,0
102805,118,1000,23030,0
102805,119,500,23030,0
102851,120,250,23170,0
102930,121,2600,23040,0
102947,122,4150,23030,0
102953,123,10823,23020,0
103012,124,290,23030,0
103422,125,260,23100,0
103720,126,300,23030,0
103720,127,700,23020,0
103753,128,1180,23020,0
103920,129,566,23100,0
104014,130,710,23030,0
104512,131,220,23050,0
104732,132,34,23100,0
104732,133,1000,23100,0
104849,134,6486,23150,0
104907,135,250,23150,0
105006,136,1074,23100,0
105006,137,550,23100,0
105006,138,7448,23050,0
105006,139,1000,23030,0
105006,140,10797,23020,0
105006,141,950,23020,0
105006,142,10000,23020,0
