time,row,askcount,askvol,askprice,bidprice,bidvol,bidcount
63127,1,0,0,0,16102,796177,47
63127,2,0,0,0,16103,104253,6
63127,3,0,0,0,16750,9000,1
63127,4,0,0,0,17091,10000,1
63127,5,0,0,0,17096,3673,1
84501,1,0,0,0,16101,35844,4
84501,2,0,0,0,16102,796177,47
84501,3,0,0,0,16103,104253,6
84501,4,0,0,0,16110,25000,1
84501,5,0,0,0,16750,9000,1
84501,1,0,0,0,16101,67495,7
84502,1,0,0,0,16101,183397,12
84502,1,0,0,0,16101,351038,15
84502,1,0,0,0,16101,386038,17
84503,1,1,93439,16101,16101,792859,20
84503,1,1,93439,16101,16101,976409,24
84503,1,1,93439,16101,16101,1179164,30
84504,1,1,93439,16101,16101,1217897,32
84504,1,1,93439,16101,16101,1448158,38
84504,1,1,93439,16101,16101,1820234,46
84505,1,1,93439,16101,16101,2207597,50
84505,1,1,93439,16101,16101,2409579,52
84505,1,1,93439,16101,16101,2846473,59
84505,2,0,0,0,16102,777177,46
84505,1,1,93439,16101,16101,2898118,60
84505,4,0,0,0,16110,35000,2
84506,1,1,93439,16101,16101,2898818,61
84506,1,1,93439,16101,16101,3176582,66
84506,1,1,93439,16101,16101,3212836,70
84506,1,1,93439,16101,16101,3711778,80
84507,1,1,93439,16101,16101,3721195,82
84507,1,1,93439,16101,16101,3941302,84
84507,5,0,0,0,16300,27000,1
84507,1,1,93439,16101,16101,3980501,86
84507,1,1,93439,16101,16101,3998203,90
84507,1,1,93439,16101,16101,4053709,92
84508,1,1,93439,16101,16101,4319886,99
84508,1,1,93439,16101,16101,4353489,101
84508,1,1,93439,16101,16101,4816780,106
84508,1,1,93439,16101,16101,4939128,109
84509,1,1,93439,16101,16101,4948908,110
84509,1,1,93439,16101,16101,5107331,113
84509,2,0,0,0,16102,758754,45
84509,1,1,93439,16101,16101,5123331,115
84509,1,1,93439,16101,16101,5126046,116
84510,1,1,93439,16101,16101,5165383,119
84510,1,1,93439,16101,16101,5174496,121
84511,1,1,93439,16101,16101,5210361,123
84511,1,1,93439,16101,16101,5216011,125
84511,2,0,0,0,16102,755850,44
