time,last,close,open,high,low,count,volume,value,discarded
64615,5960,5930,0,0,0,0,0,0,0
90020,6050,5930,6050,6050,6050,1,11503,69593150,0
90020,6050,5930,6050,6050,6050,2,19924,120540200,0
90020,6050,5930,6050,6050,6050,3,26421,159847050,0
90020,6050,5930,6050,6050,6050,4,29421,177997050,0
90020,6050,5930,6050,6050,6050,5,32421,196147050,0
90020,6050,5930,6050,6050,6050,6,34421,208247050,0
90020,6050,5930,6050,6050,6050,7,36109,218459450,0
90020,6050,5930,6050,6050,6050,8,37109,224509450,0
90020,6050,5930,6050,6050,6050,9,38072,230335600,0
90020,6050,5930,6050,6050,6050,10,38922,235478100,0
90020,6050,5930,6050,6050,6050,11,39425,238521250,0
90020,6050,5930,6050,6050,6050,12,39722,240318100,0
90020,6050,5930,6050,6050,6050,13,39744,240451200,0
90020,6050,5930,6050,6050,6050,14,39754,240511700,0
90020,6050,5930,6050,6050,6050,15,39759,240541950,0
90023,6080,5930,6050,6080,6050,16,43759,264861950,0
90036,6080,5930,6050,6080,6050,17,44087,266856190,0
90036,6050,5930,6050,6080,6050,18,68759,416121790,0
90038,6100,5930,6050,6100,6050,19,69759,422221790,0
90038,6100,5930,6050,6100,6050,20,71759,434421790,0
90102,6100,5930,6050,6100,6050,21,73392,444383090,0
90102,6100,5930,6050,6100,6050,22,119759,727221790,0
90102,6100,5940,6050,6100,6050,23,129759,788221790,0
90102,6100,5940,6050,6100,6050,24,146395,889701390,0
90102,6100,5940,6050,6100,6050,25,147244,894880290,0
90103,6100,5940,6050,6100,6050,26,147744,897930290,0
90108,6110,5940,6050,6110,6050,27,149744,910150290,0
90120,6110,5940,6050,6110,6050,28,152039,924172740,0
90123,6110,5940,6050,6110,6050,29,157080,954973250,0
90128,6120,5940,6050,6120,6050,30,177080,1077373250,0
90128,6120,5940,6050,6120,6050,31,178080,1083493250,0
90128,6120,5940,6050,6120,6050,32,203189,1237160330,0
90128,6110,5940,6050,6120,6050,33,203191,1237172550,0
90128,6110,5940,6050,6120,6050,34,204191,1243282550,0
90142,6100,5940,6050,6120,6050,35,205191,1249382550,0
90142,6110,5940,6050,6120,6050,36,207191,1261602550,0
90149,6100,5940,6050,6120,6050,37,208191,1267702550,0
90150,6100,5940,6050,6120,6050,38,210191,1279902550,0
90152,6110,5940,6050,6120,6050,39,212080,1291444340,0
90152,6110,5940,6050,6120,6050,40,213080,1297554340,0
90158,6110,5940,6050,6120,6050,41,213960,1302931140,0
90159,6110,5940,6050,6120,6050,42,241560,1471567140,0
90201,6120,5940,6050,6120,6050,43,244560,1489927140,0
90201,6120,5940,6050,6120,6050,44,274560,1673527140,0
90204,6120,5940,6050,6120,6050,45,285385,1739776140,0
90204,6120,5940,6050,6120,6050,46,314505,1917990540,0
90206,6120,5940,6050,6120,6050,47,318385,1941736140,0
90207,6110,5940,6050,6120,6050,48,319385,1947846140,0
90209,6110,5950,6050,6120,6050,49,349385,2131146140,0
90212,6110,5950,6050,6120,6050,50,362432,2210863310,0
90215,6110,5950,6050,6120,6050,51,371003,2263232120,0
90215,6100,5950,6050,6120,6050,52,392651,2395284920,0
90215,6100,5950,6050,6120,6050,53,402651,2456284920,0
90222,6050,5950,6050,6120,6050,54,403571,2461850920,0
90234,6050,5950,6050,6120,6050,55,404297,2466243220,0
90234,6050,5950,6050,6120,6050,56,417097,2543683220,0
90236,6050,5950,6050,6120,6050,57,417471,2545945920,0
90236,6050,5950,6050,6120,6050,58,419471,2558045920,0
90236,6050,5950,6050,6120,6050,59,422097,2573933220,0
90238,6100,5950,6050,6120,6050,60,427097,2604433220,0
90241,6050,5950,6050,6120,6050,61,439575,2679925120,0
90250,6050,5950,6050,6120,6050,62,444471,2709545920,0
90250,6050,5950,6050,6120,6050,63,444575,2710175120,0
90252,6050,5950,6050,6120,6050,64,445575,2716225120,0
90312,6070,5950,6050,6120,6050,65,446500,2721839870,0
90314,6070,5950,6050,6120,6050,66,446675,2722902120,0
90315,6050,5950,6050,6120,6050,67,447509,2727947820,0
90324,6070,5950,6050,6120,6050,68,449209,2738266820,0
90334,6050,5950,6050,6120,6050,69,449521,2740154420,0
90334,6050,5950,6050,6120,6050,70,450358,2745218270,0
90334,6050,5950,6050,6120,6050,71,453990,2767191870,0
90335,6070,5950,6050,6120,6050,72,470403,2866818780,0
90403,6060,5950,6050,6120,6050,73,473403,2884998780,0
90418,6060,5950,6050,6120,6050,74,480403,2927418780,0
90418,6060,5950,6050,6120,6050,75,487063,2967778380,0
90418,6060,5950,6050,6120,6050,76,489563,2982928380,0
90418,6070,5950,6050,6120,6050,77,525209,3199299600,0
90428,6060,5950,6050,6120,6050,78,528009,3216267600,0
90445,6060,5950,6050,6120,6050,79,528497,3219224880,0
90445,6060,5950,6050,6120,6050,80,533009,3246567600,0
90448,6070,5950,6050,6120,6050,81,533844,3251636050,0
90450,6070,5950,6050,6120,6050,82,534075,3253038220,0
90450,6070,5950,6050,6120,6050,83,535844,3263776050,0
90455,6070,5950,6050,6120,6050,84,536065,3265117520,0
90455,6070,5950,6050,6120,6050,85,537044,3271060050,0
90504,6060,5950,6050,6120,6050,86,537319,3272726550,0
90507,6070,5950,6050,6120,6050,87,538340,3278924020,0
90507,6070,5950,6050,6120,6050,88,541319,3297006550,0
90510,6060,5950,6050,6120,6050,89,541532,3298297330,0
90513,6060,5950,6050,6120,6050,90,542368,3303363490,0
90532,6060,5950,6050,6120,6050,91,544319,3315186550,0
90538,6060,5950,6050,6120,6050,92,548590,3341068810,0
90541,6070,5950,6050,6120,6050,93,548934,3343156890,0
90541,6070,5950,6050,6120,6050,94,550624,3353415190,0
90543,6070,5960,6050,6120,6050,95,585624,3565865190,0
90546,6070,5960,6050,6120,6050,96,587799,3579067440,0
90558,6070,5960,6050,6120,6050,97,588799,3585137440,0
90601,6070,5960,6050,6120,6050,98,598799,3645837440,0
90604,6070,5960,6050,6120,6050,99,601799,3664047440,0
90607,6070,5960,6050,6120,6050,100,602245,3666754660,0
90610,6070,5960,6050,6120,6050,101,605068,3683890270,0
90642,6070,5960,6050,6120,6050,102,605168,3684497270,0
90655,6080,5960,6050,6120,6050,103,606008,3689604470,0
90707,6080,5960,6050,6120,6050,104,606168,3690577270,0
90707,6070,5960,6050,6120,6050,105,606245,3691044660,0
90707,6070,5960,6050,6120,6050,106,608245,3703184660,0
90716,6070,5960,6050,6120,6050,107,623958,3798562570,0
90734,6090,5960,6050,6120,6050,108,624825,3803842600,0
90734,6090,5960,6050,6120,6050,109,624958,3804652570,0
90756,6060,5960,6050,6120,6050,110,628736,3827547250,0
90756,6060,5960,6050,6120,6050,111,630687,3839370310,0
90756,6060,5960,6050,6120,6050,112,632122,3848066410,0
90756,6060,5960,6050,6120,6050,113,633382,3855702010,0
90802,6090,5960,6050,6120,6050,114,634249,3860982040,0
90802,6090,5960,6050,6120,6050,115,635084,3866067190,0
90802,6090,5960,6050,6120,6050,116,635281,3867266920,0
90817,6090,5960,6050,6120,6050,117,636281,3873356920,0
90845,6090,5960,6050,6120,6050,118,637084,3878247190,0
90845,6090,5960,6050,6120,6050,119,638098,3884422450,0
90845,6090,5960,6050,6120,6050,120,642098,3908782450,0
90845,6090,5960,6050,6120,6050,121,646732,3937003510,0
90902,6070,5960,6050,6120,6050,122,656732,3997703510,0
90911,6070,5960,6050,6120,6050,123,666732,4058403510,0
90914,6070,5960,6050,6120,6050,124,667562,4063441610,0
90915,6070,5960,6050,6120,6050,125,726193,4419331780,0
90916,6090,5960,6050,6120,6050,126,728184,4431456970,0
90916,6090,5960,6050,6120,6050,127,729193,4437601780,0
90921,6070,5960,6050,6120,6050,128,731033,4448770580,0
90936,6070,5960,6050,6120,6050,129,740023,4503339880,0
90945,6060,5960,6050,6120,6050,130,753175,4583041000,0
90945,6060,5960,6050,6120,6050,131,765023,4654839880,0
90957,6060,5960,6050,6120,6050,132,766755,4665335800,0
91004,6070,5960,6050,6120,6050,133,766865,4666003500,0
91013,6070,5960,6050,6120,6050,134,767605,4670495300,0
91013,6070,5960,6050,6120,6050,135,767715,4671163000,0
91043,6090,5960,6050,6120,6050,136,771756,4695772690,0
91043,6090,5960,6050,6120,6050,137,772715,4701613000,0
91049,6090,5960,6050,6120,6050,138,772756,4701862690,0
91049,6090,5960,6050,6120,6050,139,774035,4709651800,0
91054,6070,5960,6050,6120,6050,140,774905,4714932700,0
91109,6070,5960,6050,6120,6050,141,774925,4715054100,0
91109,6070,5960,6050,6120,6050,142,775761,4720128620,0
91109,6070,5960,6050,6120,6050,143,776405,4724037700,0
91110,6070,5960,6050,6120,6050,144,785761,4780828620,0
91113,6060,5960,6050,6120,6050,145,802181,4880333820,0
91113,6060,5960,6050,6120,6050,146,818748,4980729840,0
91113,6060,5970,6050,6120,6050,147,835761,5083828620,0
91115,6060,5970,6050,6120,6050,148,868748,5283729840,0
91121,6060,5970,6050,6120,6050,149,875448,5324331840,0
91134,6060,5970,6050,6120,6050,150,885761,5386828620,0
91134,6070,5970,6050,6120,6050,151,886405,5390737700,0
91134,6070,5970,6050,6120,6050,152,887755,5398932200,0
91142,6080,5970,6050,6120,6050,153,892755,5429332200,0
91158,6080,5970,6050,6120,6050,154,895436,5445632680,0
91210,6070,5970,6050,6120,6050,155,896178,5450136620,0
91211,6080,5970,6050,6120,6050,156,904297,5499500140,0
91211,6090,5970,6050,6120,6050,157,906178,5510955430,0
91219,6070,5970,6050,6120,6050,158,918930,5588360070,0
91221,6080,5970,6050,6120,6050,159,918979,5588657990,0
91252,6090,5970,6050,6120,6050,160,921387,5603322710,0
91259,6090,5970,6050,6120,6050,161,923637,5617025210,0
91301,6080,5970,6050,6120,6050,162,926588,5634967290,0
91303,6070,5970,6050,6120,6050,163,961588,5847417290,0
91305,6070,5980,6050,6120,6050,164,1090787,6631655220,0
91305,6070,5980,6050,6120,6050,165,1100787,6692355220,0
91308,6070,5980,6050,6120,6050,166,1109900,6747671130,0
91309,6070,5980,6050,6120,6050,167,1111000,6754348130,0
91319,6070,5980,6050,6120,6050,168,1111588,6757917290,0
91319,6080,5980,6050,6120,6050,169,1116637,6788615210,0
91328,6090,5980,6050,6120,6050,170,1121387,6817542710,0
91332,6080,5980,6050,6120,6050,171,1150647,6995443510,0
91335,6080,5980,6050,6120,6050,172,1155647,7025843510,0
91336,6080,5980,6050,6120,6050,173,1157647,7038003510,0
91400,6090,5980,6050,6120,6050,174,1160755,7056931230,0
91406,6080,5980,6050,6120,6050,175,1167954,7100701150,0
91421,6080,5980,6050,6120,6050,176,1170755,7117731230,0
91429,6080,5980,6050,6120,6050,177,1171954,7125021150,0
91429,6080,5980,6050,6120,6050,178,1190755,7239331230,0
91429,6080,5980,6050,6120,6050,179,1191755,7245411230,0
91430,6080,5980,6050,6120,6050,180,1191954,7246621150,0
91442,6070,5980,6050,6120,6050,181,1195190,7266263670,0
91442,6070,5980,6050,6120,6050,182,1202624,7311388050,0
91445,6080,5980,6050,6120,6050,183,1203948,7319437970,0
91448,6070,5980,6050,6120,6050,184,1204720,7324124010,0
91457,6070,5980,6050,6120,6050,185,1212257,7369873600,0
91503,6070,5980,6050,6120,6050,186,1242257,7551973600,0
