time,row,askcount,askvol,askprice,bidprice,bidvol,bidcount
63127,1,1,3000,31980,34210,1000,1
63127,2,1,5104,31420,34350,8000,1
63127,3,2,550,31127,34403,1000,1
63127,4,0,0,0,35640,1160,1
63127,5,0,0,0,35860,585,1
84514,4,0,0,0,34467,693,1
84514,5,0,0,0,35640,1160,1
84600,3,1,5750,31190,34403,1000,1
84600,4,2,550,31127,34467,693,1
84603,4,2,550,31127,34466,310,1
84603,5,0,0,0,34467,693,1
84615,3,1,5750,31190,34400,350,1
84615,4,2,550,31127,34403,1000,1
84615,5,0,0,0,34466,310,1
84632,1,1,3057,34350,34350,9000,2
84632,2,1,3000,31980,34400,350,1
84632,3,1,5104,31420,34403,1000,1
84632,4,1,5750,31190,34466,310,1
84632,5,2,550,31127,34467,693,1
84732,1,1,3057,34350,34350,10500,3
84807,5,1,100000,31185,34467,693,1
84816,5,2,200000,31185,34467,693,1
84833,2,1,3000,31980,34403,1000,1
84833,3,1,5104,31420,34466,310,1
84833,4,1,5750,31190,34467,1043,2
84833,5,2,200000,31185,35640,1160,1
84845,5,3,220000,31185,35640,1160,1
84926,4,1,15000,31200,34467,1043,2
84926,5,1,5750,31190,35640,1160,1
84954,1,1,3000,31980,33949,1500,1
84954,2,1,5104,31420,34210,1000,1
84954,3,1,15000,31200,34350,8000,1
84954,4,1,5750,31190,34403,1000,1
84954,5,3,220000,31185,34466,310,1
85030,5,4,225000,31185,34466,310,1
85038,5,1,1000,31186,34466,310,1
85101,2,1,5000,31500,34210,1000,1
85101,3,1,5104,31420,34350,8000,1
85101,4,1,15000,31200,34403,1000,1
85101,5,1,5750,31190,34466,310,1
85106,1,1,5000,31990,33949,1500,1
85106,2,1,3000,31980,34210,1000,1
85106,3,1,5000,31500,34350,8000,1
85106,4,1,5104,31420,34403,1000,1
85106,5,1,15000,31200,34466,310,1
85128,3,2,31886,31500,34350,8000,1
85206,5,2,15170,31200,34466,310,1
85241,1,1,5604,32000,33949,1500,1
85241,2,1,5000,31990,34210,1000,1
85241,3,1,3000,31980,34350,8000,1
85241,4,2,31886,31500,34403,1000,1
85241,5,1,5104,31420,34466,310,1
85252,1,1,5604,32000,33949,2557,2
85314,4,1,165,31954,34403,1000,1
85314,5,2,31886,31500,34466,310,1
85348,4,1,165,31600,34403,1000,1
85558,1,1,5604,32000,32000,221,1
85558,2,1,5000,31990,33949,2557,2
85558,3,1,3000,31980,34210,1000,1
85558,4,1,165,31600,34350,8000,1
85558,5,2,31886,31500,34403,1000,1
85608,4,2,5165,31600,34350,8000,1
85624,1,1,5000,32010,32010,221,1
85624,2,1,5604,32000,33949,2557,2
85624,3,1,5000,31990,34210,1000,1
85624,4,1,3000,31980,34350,8000,1
85624,5,2,5165,31600,34403,1000,1
85742,3,1,5000,31990,34210,7755,2
85830,5,3,5665,31600,34403,1000,1
85856,2,1,5604,32000,32830,215,1
85856,3,1,5000,31990,33949,2557,2
85856,4,1,3000,31980,34210,7755,2
85856,5,3,5665,31600,34350,8000,1
85905,1,2,12000,32010,32010,221,1
85956,1,1,312,32020,32020,221,1
85956,2,2,12000,32010,32830,215,1
85956,3,1,5604,32000,33949,2557,2
85956,4,1,5000,31990,34210,7755,2
85956,5,1,3000,31980,34350,8000,1
85958,2,1,221,32015,32830,215,1
85958,3,2,12000,32010,33949,2557,2
85958,4,1,5604,32000,34210,7755,2
85958,5,1,5000,31990,34350,8000,1
90029,1,2,509,32020,32020,221,1
90037,1,2,288,32020,32830,215,1
90037,2,1,221,32015,33949,2557,2
90037,3,2,12000,32010,34210,7755,2
90037,4,1,5604,32000,34350,8000,1
90037,5,1,5000,31990,34400,248,1
90051,1,1,1710,32030,32830,215,1
90051,2,2,288,32020,33949,2557,2
90051,3,1,221,32015,34210,7755,2
90051,4,2,12000,32010,34350,8000,1
90051,5,1,5604,32000,34400,248,1
90051,4,2,12000,32010,34267,150000,1
90051,5,1,5604,32000,34350,8000,1
90131,1,2,11710,32030,32830,215,1
90145,1,2,11546,32030,32830,215,1
90204,1,1,1555,32035,32830,215,1
90204,2,2,11546,32030,33949,2557,2
90204,3,2,288,32020,34210,7755,2
90204,4,1,221,32015,34267,150000,1
90204,5,2,12000,32010,34350,8000,1
90207,1,1,690,32040,32830,215,1
90207,2,1,1555,32035,33949,2557,2
90207,3,2,11546,32030,34210,7755,2
90207,4,2,288,32020,34267,150000,1
90207,5,1,221,32015,34350,8000,1
90239,1,1,1540,32050,32830,215,1
90239,2,1,690,32040,33949,2557,2
90239,3,1,1555,32035,34210,7755,2
90239,4,1,10000,32030,34267,150000,1
90239,5,2,288,32020,34350,8000,1
90240,1,1,785,32830,33949,2557,2
90240,2,1,1540,32050,34210,7755,2
90240,3,1,690,32040,34267,150000,1
90240,4,1,1555,32035,34350,8000,1
90240,5,1,10000,32030,34400,248,1
90258,2,1,5604,32060,34210,7755,2
90258,3,1,1540,32050,34267,150000,1
90258,4,1,690,32040,34350,8000,1
90258,5,1,1555,32035,34400,248,1
90308,3,1,1459,32051,34267,150000,1
90308,4,2,6540,32050,34350,8000,1
90308,5,1,690,32040,34400,248,1
90316,1,2,940,32830,33949,2557,2
90316,2,1,2328,32210,34210,7755,2
90316,3,1,5604,32060,34267,150000,1
90316,4,1,1459,32051,34350,8000,1
90316,5,2,6540,32050,34400,248,1
90319,1,2,940,32830,33940,3487,1
90319,2,1,2328,32210,33949,2557,2
90319,3,1,5604,32060,34210,7755,2
90319,4,1,1459,32051,34267,150000,1
90319,5,2,6540,32050,34350,8000,1
90322,3,1,5000,32070,34210,7755,2
90322,4,1,5604,32060,34267,150000,1
90322,5,1,1459,32051,34350,8000,1
90324,3,2,10000,32070,34210,7755,2
90326,1,3,2390,32830,33940,3487,1
90326,2,2,10000,32070,33949,2557,2
90326,3,1,5604,32060,34210,7755,2
90326,4,1,1459,32051,34267,150000,1
90326,5,2,6540,32050,34350,8000,1
90332,4,2,11459,32051,34267,150000,1
90336,5,1,5000,32050,34350,8000,1
90339,1,3,2395,32830,33940,3487,1
90342,1,2,10000,32070,32830,32112,1
90342,2,1,5604,32060,33940,3487,1
90342,3,2,11459,32051,33949,2557,2
90342,4,1,5000,32050,34210,7755,2
90342,5,1,690,32040,34267,150000,1
90404,1,3,11544,32070,32830,32112,1
90412,3,1,10000,32051,33949,2557,2
90419,1,3,11544,32070,32830,31112,1
90421,1,1,341,32230,32830,31112,1
90421,2,3,11544,32070,33940,3487,1
90421,3,1,5604,32060,33949,2557,2
90421,4,1,10000,32051,34210,7755,2
90421,5,1,5000,32050,34267,150000,1
90432,1,3,11544,32070,32830,31112,1
90432,2,1,5604,32060,33940,3487,1
90432,3,1,10000,32051,33949,2557,2
90432,4,1,5000,32050,34210,7755,2
90432,5,1,690,32040,34267,150000,1
90452,1,3,11544,32070,32830,31772,2
90457,1,1,5000,32100,32830,31772,2
90457,2,3,11544,32070,33940,3487,1
90457,3,1,5604,32060,33949,2557,2
90457,4,1,10000,32051,34210,7755,2
90457,5,1,5000,32050,34267,150000,1
90459,1,2,10000,32100,32830,31772,2
90500,1,3,15000,32100,32830,31772,2
90519,1,1,1500,32110,32830,31772,2
90519,2,3,15000,32100,33940,3487,1
90519,3,2,10000,32070,33949,2557,2
90519,4,1,5604,32060,34210,7755,2
90519,5,1,10000,32051,34267,150000,1
90532,1,1,1500,32110,32830,31545,2
90535,1,1,5000,32120,32830,31545,2
90535,2,1,1500,32110,33940,3487,1
90535,3,3,15000,32100,33949,2557,2
90535,4,2,10000,32070,34210,7755,2
90535,5,1,5604,32060,34267,150000,1
90630,1,1,5000,32120,32830,28711,2
90715,1,1,3500,32120,32830,28711,2
90718,1,1,1500,32140,32830,28711,2
90718,2,1,3500,32120,33940,3487,1
90731,1,1,5000,32150,32830,28711,2
90731,2,1,1500,32140,33940,3487,1
90731,3,1,3500,32120,33949,2557,2
90731,4,3,15000,32100,34210,7755,2
90731,5,2,10000,32070,34267,150000,1
90801,1,1,868,32160,32830,28711,2
90801,2,1,5000,32150,33940,3487,1
90801,3,1,1500,32140,33949,2557,2
90801,4,1,3500,32120,34210,7755,2
90801,5,3,15000,32100,34267,150000,1
90804,2,2,15000,32150,33940,3487,1
90813,1,1,868,32160,32800,3000,1
90813,2,2,15000,32150,32830,28711,2
90813,3,1,1500,32140,33940,3487,1
90813,4,1,3500,32120,33949,2557,2
90813,5,3,15000,32100,34210,7755,2
90839,1,1,868,32160,32830,28711,2
90839,2,2,15000,32150,33940,3487,1
90839,3,1,1500,32140,33949,2557,2
90839,4,1,3500,32120,34210,7755,2
