time,count,volume,price,discarded
90024,1,30000,2420,0
90024,2,30000,2420,0
90024,3,20000,2420,0
90024,4,10000,2420,0
90024,5,8500,2420,0
90024,6,5000,2420,0
90024,7,5000,2420,0
90024,8,3280,2420,0
90024,9,2949,2420,0
90024,10,1629,2420,0
90024,11,1018,2420,0
90024,12,560,2420,0
90024,13,191,2420,0
90024,14,11,2420,0
90031,15,2280,2410,0
90031,16,7720,2410,0
90032,17,2500,2410,0
90033,18,3450,2410,0
90034,19,6953,2410,0
90045,20,5618,2410,0
90045,21,4382,2410,0
90049,22,2265,2400,0
90054,23,7735,2400,0
90117,24,3000,2388,0
90118,25,7000,2388,0
90118,26,2300,2381,0
90118,27,5000,2370,0
90118,28,4800,2365,0
90118,29,2275,2365,0
90123,30,5000,2388,0
90123,31,15459,2400,0
90216,32,5000,2367,0
90216,33,1550,2367,0
90224,34,4800,2367,0
90234,35,20208,2368,0
90244,36,4600,2369,0
90244,37,1400,2368,0
90309,38,3500,2370,0
90309,39,24250,2370,0
90329,40,72836,2385,0
90330,41,27164,2385,0
90330,42,71836,2385,0
90401,43,126000,2385,0
90403,44,2164,2385,0
90403,45,34204,2390,0
90403,46,8500,2390,0
90403,47,10553,2400,0
90403,48,6366,2400,0
90419,49,13634,2400,0
90450,50,79450,2386,0
90458,51,3114,2386,0
90528,52,4694,2388,0
90528,53,155010,2387,0
90549,54,25313,2405,0
90550,55,10000,2405,0
90607,56,100000,2405,0
90646,57,160221,2390,0
90650,58,10000,2405,0
90708,59,20715,2405,0
90722,60,10618,2391,0
90730,61,1240,2402,0
90730,62,5000,2403,0
90730,63,33972,2405,0
90730,64,18038,2405,0
90731,65,2500,2392,0
90731,66,12500,2391,0
90739,67,2300,2393,0
90756,68,9150,2400,0
90803,69,1961,2405,0
90803,70,5000,2410,0
90803,71,2520,2410,0
90803,72,2100,2412,0
90803,73,3419,2419,0
90828,74,50,2400,0
90828,75,47000,2400,0
90828,76,10000,2400,0
90844,77,20000,2400,0
90851,78,8749,2400,0
90851,79,5853,2419,0
90936,80,19536,2401,0
91004,81,2490,2419,0
91006,82,5238,2419,0
91006,83,2200,2419,0
91006,84,50000,2419,0
91006,85,21000,2419,0
91006,86,1561,2419,0
91006,87,13000,2419,0
91010,88,198371,2420,0
91010,89,1629,2420,0
91010,90,14371,2420,0
91010,91,10000,2420,0
91010,92,10000,2420,0
91010,93,165629,2420,0
91011,94,34371,2420,0
91011,95,7500,2420,0
91011,96,44127,2420,0
91011,97,4247,2420,0
91011,98,10000,2425,0
91011,99,2100,2428,0
91011,100,97655,2429,0
91011,101,62929,2429,0
91011,102,3100,2429,0
91011,103,133971,2430,0
91011,104,66029,2430,0
91011,105,11650,2430,0
91011,106,10000,2430,0
91011,107,2100,2430,0
91011,108,100000,2430,0
91011,109,10221,2430,0
91011,110,40890,2430,0
91011,111,50000,2433,0
91011,112,2100,2433,0
91011,113,50000,2433,0
91011,114,57010,2433,0
91011,115,142990,2433,0
91011,116,41970,2434,0
91011,117,5000,2434,0
91011,118,10040,2434,0
91011,119,7258,2434,0
91011,120,3500,2434,0
91011,121,407,2434,0
91011,122,29015,2434,0
91011,123,3000,2434,0
91011,124,10000,2434,0
91011,125,12210,2435,0
91011,126,40123,2435,0
91011,127,94487,2435,0
91011,128,21319,2435,0
91011,129,2100,2435,0
91011,130,7670,2435,0
91011,131,10000,2435,0
91011,132,2054,2435,0
91011,133,18035,2435,0
91011,134,138822,2435,0
91011,135,61178,2435,0
91011,136,138822,2435,0
91011,137,61178,2435,0
91011,138,40000,2435,0
91011,139,34000,2435,0
91011,140,2800,2435,0
91011,141,62022,2435,0
91011,142,7978,2435,0
91011,143,2592,2435,0
91011,144,1000,2435,0
91011,145,3000,2435,0
91011,146,33999,2435,0
91011,147,2500,2435,0
91011,148,10000,2435,0
91011,149,138931,2435,0
91012,150,27607,2435,0
91012,151,10600,2435,0
91012,152,7589,2435,0
91012,153,154204,2435,0
91012,154,45796,2435,0
91012,155,5000,2435,0
91012,156,14476,2435,0
91012,157,41429,2435,0
91012,158,2757,2435,0
91012,159,3000,2435,0
91012,160,2200,2435,0
91012,161,400,2435,0
91012,162,2200,2435,0
91012,163,82742,2435,0
91012,164,47258,2435,0
91012,165,3000,2435,0
91012,166,27680,2435,0
91012,167,30000,2435,0
91012,168,12193,2435,0
91012,169,5000,2435,0
91012,170,2092,2435,0
91012,171,3920,2435,0
91012,172,25000,2435,0
91012,173,43857,2435,0
91012,174,100903,2435,0
91012,175,99097,2435,0
91012,176,100903,2435,0
91012,177,5000,2435,0
91012,178,94097,2435,0
91012,179,903,2435,0
91012,180,21123,2435,0
91012,181,2500,2435,0
91012,182,20351,2435,0
91012,183,40000,2435,0
91012,184,20000,2435,0
91021,185,1000,2435,0
91032,186,20000,2435,0
91035,187,30000,2435,0
91049,188,44123,2435,0
91049,189,155877,2435,0
91050,190,2500,2435,0
91101,191,6000,2435,0
91109,192,35623,2435,0
91109,193,95769,2435,0
91112,194,2100,2435,0
91126,195,5000,2435,0
91129,196,97131,2435,0
91129,197,102869,2435,0
91130,198,1,2435,0
91140,199,800,2435,0
91148,200,3875,2435,0
91155,201,92455,2435,0
91155,202,105884,2435,0
91220,203,2884,2435,0
91224,204,17000,2435,0
91224,205,18516,2435,0
91306,206,5000,2435,0
91307,207,3000,2435,0
91310,208,5000,2435,0
91310,209,409,2435,0
91314,210,5000,2435,0
91317,211,5000,2435,0
91321,212,5000,2435,0
91324,213,5000,2435,0
91325,214,3800,2435,0
91328,215,5000,2435,0
91330,216,5000,2435,0
91336,217,5000,2435,0
91339,218,3507,2435,0
91339,219,1493,2435,0
91343,220,5000,2435,0
91344,221,25025,2435,0
91350,222,5000,2435,0
91357,223,10000,2435,0
91406,224,4400,2435,0
91408,225,3000,2435,0
91408,226,4269,2435,0
91409,227,2500,2435,0
91413,228,5000,2435,0
91416,229,5000,2435,0
91419,230,5000,2435,0
91449,231,10000,2435,0
91449,232,10000,2435,0
91452,233,2500,2435,0
91503,234,2200,2435,0
91512,235,1000,2435,0
91518,236,6105,2435,0
91526,237,2090,2435,0
91532,238,5000,2435,0
91559,239,5000,2435,0
91600,240,5000,2435,0
91603,241,5000,2435,0
91609,242,5000,2435,0
91610,243,16573,2435,0
91616,244,14000,2435,0
91633,245,800,2435,0
91711,246,2092,2435,0
91728,247,5000,2435,0
91811,248,1500,2435,0
91811,249,2500,2435,0
91826,250,22953,2435,0
91826,251,77047,2435,0
91830,252,5000,2435,0
91830,253,2000,2435,0
91833,254,5000,2435,0
91836,255,5000,2435,0
91839,256,5000,2435,0
91844,257,13150,2435,0
91847,258,5000,2435,0
91850,259,5000,2435,0
91915,260,5000,2435,0
91924,261,3700,2435,0
91931,262,5000,2435,0
91934,263,5000,2435,0
91951,264,5000,2435,0
92045,265,4000,2435,0
92053,266,50103,2435,0
92053,267,1897,2435,0
92146,268,130000,2435,0
92229,269,9671,2435,0
92239,270,58432,2435,0
92239,271,44990,2435,0
92239,272,96578,2435,0
92246,273,4766,2435,0
92257,274,98656,2435,0
92257,275,1344,2435,0
92432,276,16000,2435,0
