time,row,askcount,askvol,askprice,bidprice,bidvol,bidcount
63938,1,1,1545,23980,26210,420,1
63938,2,1,1000,21560,26530,4027,1
63938,3,1,5000,20550,26870,450,1
63938,4,0,0,0,26880,10617,2
63938,5,0,0,0,27300,1000,1
84504,5,0,0,0,27000,1869,1
84505,2,1,1000,21560,26400,31971,1
84505,3,1,5000,20550,26530,4027,1
84505,4,0,0,0,26870,450,1
84505,5,0,0,0,26880,10617,2
84505,3,1,5000,20550,26450,2000,1
84505,4,0,0,0,26530,4027,1
84505,5,0,0,0,26870,450,1
84513,1,1,1545,23980,26210,4270,2
84513,1,1,300,24460,26210,4270,2
84513,2,1,1545,23980,26400,31971,1
84513,3,1,1000,21560,26450,2000,1
84513,4,1,5000,20550,26530,4027,1
84543,1,1,300,24460,26210,4650,3
84617,4,1,5000,20550,26870,450,1
84617,5,0,0,0,26880,10617,2
84637,1,1,2000,26210,26210,4650,3
84637,2,1,300,24460,26400,31971,1
84637,3,1,1545,23980,26450,2000,1
84637,4,1,1000,21560,26870,450,1
84637,5,1,5000,20550,26880,10617,2
84644,2,1,300,24460,26380,2629,1
84644,3,1,1545,23980,26400,31971,1
84644,4,1,1000,21560,26450,2000,1
84644,5,1,5000,20550,26870,450,1
84645,3,1,1545,23980,26400,35998,2
84652,1,1,2000,25740,25740,2000,1
84652,2,1,300,24460,26210,4650,3
84652,3,1,1545,23980,26380,2629,1
84652,4,1,1000,21560,26400,35998,2
84736,5,1,5000,20550,26760,10877,1
84802,1,1,2000,26100,26100,2000,1
84813,2,1,300,24460,26210,5450,4
84829,2,1,500,26000,26210,5450,4
84829,3,1,300,24460,26380,2629,1
84829,4,1,1545,23980,26400,35998,2
84829,5,1,1000,21560,26760,10877,1
84835,3,2,10300,24460,26380,2629,1
84850,1,1,2000,26110,26110,2000,1
84850,2,1,1000,26100,26210,5450,4
84850,3,1,500,26000,26380,2629,1
84850,4,2,10300,24460,26400,35998,2
84850,5,1,1545,23980,26760,10877,1
84901,5,1,1545,23980,26760,11127,2
84926,1,1,2000,26100,26100,2000,1
84926,2,1,500,26000,26210,5450,4
84926,3,2,10300,24460,26380,2629,1
84926,4,1,1545,23980,26400,35998,2
84926,5,1,1000,21560,26760,11127,2
84952,5,1,1000,21560,26540,1996,1
85000,1,2,3000,26210,26210,7450,5
85000,2,1,500,26000,26380,2629,1
85000,3,2,10300,24460,26400,35998,2
85000,4,1,1545,23980,26540,1996,1
85000,5,1,1000,21560,26760,11127,2
85038,3,3,10550,24460,26400,35998,2
85057,3,4,10760,24460,26400,35998,2
85110,1,3,7100,26210,26210,7450,5
85114,5,1,1000,21560,26700,1000,1
85130,1,3,7100,26210,26210,9450,6
85155,3,1,1000,24510,26400,35998,2
85155,4,4,10760,24460,26540,1996,1
85155,5,1,1545,23980,26700,1000,1
85208,5,1,1545,23980,26550,230,1
