time,count,volume,price,discarded
90023,1,16,24360,0
90158,2,400,24730,0
90358,3,80,24480,0
90448,4,500,24480,0
90520,5,420,24480,0
90520,6,275,24480,0
90520,7,105,24480,0
90643,8,186,24940,0
90643,9,735,24940,0
90643,10,23845,24940,0
90643,11,8894,24970,0
90643,12,11340,24980,0
90710,13,205,24980,0
90750,14,223,25000,0
90806,15,223,25000,0
90808,16,103,25000,0
90808,17,4884,25000,0
90808,18,5013,25000,0
90817,19,224,25000,0
90826,20,224,25000,0
90846,21,16,24980,0
90848,22,208,24980,0
90858,23,224,24980,0
90935,24,224,24980,0
91037,25,382,24780,0
91041,26,179,24780,0
91212,27,233,24790,0
91216,28,67,24790,0
91216,29,343,24790,0
91225,30,210,24790,0
91331,31,447,24790,0
91331,32,753,24780,0
91449,33,500,24790,0
91449,34,4047,24780,0
91509,35,440,24780,0
91656,36,100,24800,0
91715,37,4900,24800,0
91715,38,4600,24790,0
91720,39,10000,24970,0
91807,40,2000,24960,0
91812,41,8000,24960,0
91828,42,10000,24970,0
91839,43,2000,24970,0
91845,44,201,24970,0
91900,45,2000,24960,0
91940,46,3991,24960,0
92008,47,4009,24960,0
92008,48,3785,24960,0
92010,49,192,24800,0
92036,50,415,24960,0
92300,51,426,24800,0
92300,52,40,24800,0
92329,53,4960,24800,0
92329,54,400,24790,0
92329,55,440,24790,0
92426,56,460,24790,0
92426,57,640,24790,0
92506,58,2500,24790,0
92838,59,70,24790,0
92838,60,3595,24790,0
92838,61,3210,24790,0
92925,62,3,24790,0
92931,63,114,24790,0
92958,64,7000,24800,0
93105,65,635,24790,0
93229,66,500,24800,0
93229,67,203,24800,0
93249,68,1008,24790,0
93306,69,227,24950,0
93331,70,1199,24780,0
93331,71,224,24780,0
93331,72,203,24780,0
93349,73,5000,24770,0
93349,74,5000,24770,0
93425,75,2568,24940,0
93429,76,200,24940,0
93507,77,427,24940,0
93521,78,8512,24710,0
93536,79,3099,24710,0
93545,80,30,24940,0
93545,81,249,24940,0
93557,82,400,24700,0
93557,83,5000,24700,0
93557,84,237,24700,0
93640,85,500,24700,0
93654,86,1423,24700,0
93724,87,400,24680,0
93724,88,1787,24680,0
93736,89,1787,24700,0
93739,90,5000,24670,0
93739,91,10000,24670,0
93739,92,220,24670,0
93759,93,1953,24680,0
93818,94,3047,24690,0
93842,95,800,24700,0
93853,96,4000,24680,0
93935,97,4100,24690,0
94005,98,156,24700,0
94113,99,345,24710,0
94258,100,2242,24900,0
94258,101,2705,24940,0
94258,102,15,24950,0
94258,103,600,24950,0
94258,104,4438,24950,0
94349,105,337,24950,0
94349,106,1,24950,0
94430,107,327,24950,0
94449,108,273,24950,0
94516,109,416,24970,0
94553,110,84,24970,0
94613,111,416,24970,0
94613,112,1001,24970,0
94623,113,26,24950,0
94638,114,1570,24950,0
94643,115,345,24800,0
94643,116,280,24800,0
94643,117,240,24740,0
94643,118,500,24730,0
94644,119,404,24730,0
94646,120,1001,24730,0
94730,121,217,24720,0
94737,122,1938,24720,0
94822,123,965,24720,0
94822,124,805,24720,0
94822,125,1517,24720,0
94946,126,1044,24730,0
95205,127,395,24970,0
95214,128,500,24970,0
95300,129,300,24760,0
95335,130,1900,24970,0
95442,131,100,24770,0
95606,132,6,24770,0
95606,133,2009,24770,0
95644,134,620,24770,0
95802,135,9993,24800,0
95909,136,500,24810,0
95940,137,469,24850,0
95940,138,7493,24890,0
95940,139,488,24970,0
95940,140,3992,24970,0
95940,141,1212,24970,0
95940,142,4335,24970,0
95940,143,205,24970,0
95940,144,5000,24980,0
95940,145,420,24980,0
95940,146,5000,24990,0
95940,147,321,25000,0
95940,148,250,25000,0
95940,149,815,25000,0
100056,150,500,24960,0
100058,151,5000,24960,0
100120,152,351,24950,0
100120,153,1803,24960,0
100149,154,790,24970,0
100149,155,1103,24980,0
100149,156,381,24990,0
100149,157,3204,25000,0
100149,158,110,25000,0
100149,159,504,25000,0
100149,160,33908,25000,0
100202,161,1389,24960,0
100227,162,537,24960,0
100251,163,3140,24960,0
100251,164,6860,25000,0
100258,165,10000,25000,0
100308,166,5000,25000,0
100315,167,5000,25000,0
100415,168,5680,24980,0
100425,169,1201,24890,0
100518,170,183,24890,0
100526,171,1100,24980,0
100632,172,450,24890,0
100733,173,2168,24890,0
100733,174,1800,24890,0
100733,175,5000,24890,0
100733,176,201,24890,0
100733,177,7239,24890,0
100733,178,3200,24890,0
100733,179,210,24870,0
100733,180,332,24830,0
100955,181,210,24880,0
101013,182,2368,24880,0
101134,183,240,24900,0
101134,184,1179,24890,0
101147,185,231,24890,0
101150,186,900,24950,0
101150,187,5126,24950,0
101150,188,3974,24980,0
101335,189,1000,24900,0
101418,190,1308,24900,0
101418,191,30074,24980,0
101418,192,39232,25000,0
101418,193,3721,25000,0
101418,194,665,25000,0
101528,195,4928,24900,0
101528,196,300,24900,0
101528,197,3590,24890,0
101528,198,1182,24890,0
101651,199,5740,24900,0
101651,200,818,24890,0
101651,201,245,24890,0
101651,202,3197,24890,0
101937,203,395,24890,0
102122,204,1000,24980,0
102325,205,8000,24910,0
102325,206,2932,24910,0
102329,207,360,24980,0
102459,208,222,24980,0
102507,209,9000,24980,0
102601,210,713,24920,0
102841,211,2778,24980,0
