time,row,askcount,askvol,askprice,bidprice,bidvol,bidcount
63127,1,1,1000,43020,46500,200,1
63127,2,0,0,0,47380,1000,1
63127,3,0,0,0,47500,1000,1
63127,4,0,0,0,47550,1200,2
63127,5,0,0,0,47600,1000,1
84509,4,0,0,0,47550,3112,3
84516,5,0,0,0,47576,4611,1
84525,1,1,1000,43020,43054,233,1
84525,2,0,0,0,46500,200,1
84525,3,0,0,0,47380,1000,1
84525,4,0,0,0,47500,1000,1
84525,5,0,0,0,47550,3112,3
84527,2,0,0,0,46100,1000,1
84527,3,0,0,0,46500,200,1
84527,4,0,0,0,47380,1000,1
84527,5,0,0,0,47500,1000,1
84542,1,1,117,43054,43054,233,1
84542,2,1,1000,43020,46100,1000,1
84637,5,0,0,0,47500,6900,2
84728,1,2,348,43054,43054,233,1
84809,1,3,498,43054,43054,233,1
84821,5,0,0,0,47500,7200,3
84850,1,4,2052,43054,43054,233,1
84915,1,5,2700,43054,43054,233,1
84918,1,5,2700,43054,43054,584,2
84931,1,6,3000,43054,43054,584,2
84931,1,6,3000,43054,43054,233,1
84931,2,1,1000,43020,46100,1351,2
84931,5,0,0,0,47500,10200,4
85014,2,1,1000,43020,45320,2082,1
85014,3,0,0,0,46100,1351,2
85014,4,0,0,0,46500,200,1
85014,5,0,0,0,47380,1000,1
85043,3,0,0,0,46100,1461,3
85050,1,1,255,45320,45320,2315,2
85050,2,1,150,43055,46100,1461,3
85050,3,5,2850,43054,46500,200,1
85050,4,1,1000,43020,47380,1000,1
85050,5,0,0,0,47500,10200,4
85116,2,1,150,43055,46100,6461,4
85122,4,1,1000,43020,47000,1000,1
85122,5,0,0,0,47380,1000,1
85125,4,1,1000,43020,46900,70000,1
85125,5,0,0,0,47000,1000,1
85136,3,5,2850,43054,46500,2700,2
85142,2,2,1307,43055,46100,6461,4
85147,3,4,1296,43054,46500,2700,2
85149,4,1,1000,43020,46700,20000,1
85149,5,0,0,0,46900,70000,1
85151,5,0,0,0,46899,1000,1
85158,4,1,1000,43020,46699,1000,1
85158,5,0,0,0,46700,20000,1
85159,1,1,255,45008,45008,343,2
85159,2,2,1307,43055,45320,2082,1
85159,3,4,1296,43054,46100,6461,4
85159,4,1,1000,43020,46500,2700,2
85159,5,0,0,0,46699,1000,1
85210,5,0,0,0,46700,20000,1
85216,2,1,231,43056,45320,2082,1
85216,3,2,1307,43055,46100,6461,4
