time,count,volume,price,discarded
90036,1,56200,12700,0
90036,2,46931,12700,0
90036,3,37000,12700,0
90036,4,15651,12700,0
90036,5,7825,12700,0
90036,6,7500,12700,0
90036,7,6600,12700,0
90036,8,4500,12700,0
90036,9,3400,12700,0
90036,10,3249,12700,0
90036,11,3000,12700,0
90036,12,1800,12700,0
90036,13,1800,12700,0
90036,14,1500,12700,0
90036,15,1499,12700,0
90036,16,1000,12700,0
90036,17,978,12700,0
90036,18,782,12700,0
90036,19,782,12700,0
90036,20,500,12700,0
90036,21,264,12700,0
90036,22,258,12700,0
90036,23,163,12700,0
90036,24,78,12700,0
90036,25,1,12700,0
90141,26,3909,12650,0
90147,27,3000,12310,0
90154,28,3000,12640,0
90211,29,500,12590,0
90223,30,1582,12580,0
90230,31,8418,12580,0
90230,32,11582,12590,0
90230,33,7100,12590,0
90256,34,1414,12570,0
90256,35,1002,12570,0
90256,36,2000,12570,0
90256,37,3498,12590,0
90308,38,727,12400,0
90308,39,10000,12590,0
90310,40,2000,12590,0
90310,41,1630,12590,0
90314,42,4347,12590,0
90316,43,1510,12590,0
90317,44,4999,12600,0
90323,45,500,12590,0
90325,46,4073,12630,0
90331,47,1104,12640,0
90331,48,3500,12640,0
90331,49,4800,12640,0
90341,50,430,12600,0
90343,51,570,12600,0
90343,52,13,12590,0
90346,53,399,12560,0
90355,54,15000,12560,0
90359,55,1338,12560,0
90400,56,400,12590,0
90405,57,750,12560,0
90405,58,1134,12500,0
90435,59,3009,12520,0
90436,60,1000,12520,0
90438,61,800,12520,0
90442,62,550,12560,0
90454,63,2000,12530,0
90502,64,1850,12560,0
90502,65,800,12560,0
90507,66,1600,12590,0
90507,67,4180,12590,0
90508,68,500,12560,0
90525,69,5820,12590,0
90526,70,1606,12590,0
90527,71,574,12590,0
90527,72,6426,12560,0
90540,73,3582,12620,0
90553,74,789,12620,0
90558,75,9800,12620,0
90608,76,424,12620,0
90610,77,5191,12620,0
90618,78,2000,12620,0
90619,79,7300,12600,0
90619,80,2700,12600,0
90627,81,500,12620,0
90628,82,2714,12620,0
90628,83,898,12620,0
90640,84,2000,12630,0
90655,85,705,12630,0
90655,86,180,12630,0
90717,87,450,12630,0
90722,88,650,12630,0
90723,89,500,12640,0
90725,90,800,12640,0
90727,91,1959,12630,0
90728,92,788,12640,0
90732,93,1000,12630,0
90734,94,3700,12630,0
90740,95,1000,12630,0
90750,96,1406,12631,0
90755,97,2327,12631,0
90755,98,4300,12630,0
90755,99,2673,12630,0
90801,100,2327,12630,0
90801,101,500,12640,0
90808,102,400,12640,0
90809,103,420,12632,0
90816,104,983,12630,0
90817,105,1017,12630,0
90837,106,1588,12620,0
90837,107,1000,12620,0
90837,108,4890,12620,0
90837,109,1000,12620,0
90844,110,793,12620,0
90902,111,790,12610,0
90902,112,300,12600,0
90902,113,4177,12600,0
90906,114,3963,12600,0
90906,115,400,12591,0
90906,116,14366,12560,0
90906,117,1000,12560,0
90906,118,50000,12560,0
90913,119,2000,12530,0
90919,120,1579,12560,0
90924,121,2000,12530,0
90926,122,8339,12530,0
90926,123,7904,12530,0
90936,124,404,12500,0
90936,125,6,12500,0
90937,126,793,12500,0
90937,127,797,12500,0
90937,128,3297,12500,0
90937,129,1594,12500,0
90944,130,500,12500,0
90953,131,400,12460,0
90956,132,399,12460,0
90957,133,10000,12460,0
91000,134,4297,12460,0
91015,135,2000,12460,0
91015,136,1962,12460,0
91016,137,1741,12460,0
91016,138,2000,12460,0
91016,139,5690,12460,0
91024,140,800,12460,0
91031,141,2902,12460,0
91031,142,800,12460,0
91035,143,700,12460,0
91058,144,437,12500,0
91111,145,2175,12500,0
91113,146,500,12460,0
91113,147,3566,12500,0
91113,148,2445,12500,0
91113,149,20000,12500,0
91113,150,410,12500,0
91113,151,500,12500,0
91114,152,519,12500,0
91123,153,1599,12530,0
91128,154,1000,12530,0
91136,155,1000,12500,0
91137,156,532,12500,0
91146,157,10386,12500,0
91146,158,3452,12500,0
91149,159,1548,12500,0
91154,160,4452,12500,0
91154,161,1158,12530,0
91154,162,700,12530,0
91154,163,500,12530,0
91220,164,500,12560,0
91225,165,132,12530,0
91225,166,500,12530,0
91225,167,868,12530,0
91236,168,500,12530,0
91245,169,300,12550,0
91245,170,6856,12560,0
91253,171,400,12560,0
91254,172,1022,12530,0
91301,173,1060,12490,0
91305,174,1020,12460,0
91305,175,1000,12460,0
91305,176,5000,12460,0
91305,177,5000,12460,0
91305,178,2980,12460,0
91312,179,400,12470,0
91321,180,478,12490,0
91324,181,1646,12470,0
91329,182,500,12490,0
91329,183,462,12490,0
91329,184,500,12490,0
91330,185,645,12490,0
91330,186,343,12470,0
91346,187,10000,12510,0
91351,188,10000,12510,0
91359,189,886,12500,0
91401,190,1842,12490,0
91401,191,22422,12490,0
91401,192,410,12490,0
91403,193,5326,12490,0
91403,194,10050,12500,0
91407,195,877,12530,0
91407,196,713,12530,0
91415,197,10000,12500,0
91419,198,1084,12500,0
91422,199,2077,12500,0
91422,200,1000,12500,0
91422,201,1000,12500,0
91438,202,1000,12471,0
91444,203,660,12470,0
91459,204,1951,12470,0
91459,205,406,12470,0
91459,206,405,12470,0
91459,207,799,12470,0
91459,208,1000,12470,0
91459,209,1000,12470,0
91507,210,296,12461,0
91515,211,439,12461,0
91517,212,1600,12470,0
91532,213,1655,12461,0
91532,214,722,12461,0
91532,215,969,12461,0
91533,216,2756,12460,0
91549,217,1897,12460,0
91551,218,3208,12460,0
91558,219,6493,12461,0
91559,220,13159,12460,0
91559,221,5000,12460,0
91559,222,3500,12460,0
91559,223,2398,12460,0
91610,224,10000,12454,0
91620,225,493,12454,0
91622,226,968,12454,0
91626,227,3000,12460,0
91629,228,39,12454,0
91630,229,500,12453,0
91630,230,7271,12453,0
91630,231,3491,12454,0
91643,232,500,12460,0
91647,233,690,12455,0
91652,234,7729,12460,0
91656,235,1819,12455,0
91656,236,799,12455,0
91656,237,500,12455,0
91656,238,2729,12453,0
91656,239,1086,12453,0
91656,240,3067,12453,0
91706,241,399,12453,0
91711,242,1062,12453,0
91729,243,472,12453,0
91729,244,1600,12453,0
91729,245,2400,12453,0
91729,246,811,12453,0
91729,247,559,12453,0
91729,248,940,12453,0
91729,249,50000,12450,0
91729,250,3218,12450,0
91758,251,982,12450,0
91758,252,403,12450,0
91758,253,500,12450,0
91806,254,2511,12450,0
91838,255,1000,12430,0
91852,256,2000,12430,0
91901,257,500,12429,0
91902,258,2400,12420,0
91927,259,359,12429,0
91933,260,2000,12429,0
91953,261,254,12429,0
91953,262,561,12429,0
91953,263,6600,12420,0
91953,264,920,12420,0
91953,265,3209,12420,0
91953,266,405,12420,0
91953,267,2000,12420,0
91953,268,5000,12420,0
91953,269,5000,12410,0
91953,270,405,12410,0
91953,271,500,12410,0
91953,272,996,12410,0
91953,273,813,12410,0
91953,274,5000,12410,0
91953,275,761,12410,0
91953,276,5000,12410,0
91953,277,3576,12400,0
92009,278,3497,12430,0
92019,279,930,12429,0
92021,280,70,12429,0
